id,cluster
20408.559092799616_35628.61268714663,8
20413.57936475492_35629.8217072987,8
20418.944578321443_35568.958452552324,4
20419.930409599976_35631.734709002296,8
20422.583473112012_35569.573001935845,9
20426.426565282225_35633.095310689154,8
20426.88233135455_35570.332675242025,9
20430.951700621095_35504.9736015307,9
20431.84115304905_35571.23747247087,9
20433.067831801676_35633.90351235925,8
20436.18812564575_35505.71944302487,9
20436.77046640905_35572.38560036857,9
20439.04005938725_35634.81438327955,8
20441.343724874452_35506.46101011243,9
20441.670271434552_35573.77705893513,9
20444.34324803895_35635.82792345005,8
20446.621729159175_35575.05751438117,9
20446.858496625435_35694.24578125728,8
20449.85550596715_35636.51011745737,8
20450.97383085575_35694.7274441166,4
20451.624839582924_35576.22696670673,9
20453.177088943266_36408.66555431137,8
20454.346999196736_35436.53579835033,2
20455.57683317185_35636.86096530152,8
20455.68175023405_35695.048489468,4
20456.652545070327_35577.25789332743,9
20457.086501963226_35436.97066749575,2
20460.80782734495_35695.47390211147,8
20461.111232141375_35637.53117068827,8
20461.704845621374_35578.15029424328,9
20461.912506670473_35437.72993111585,2
20463.0656382092_35509.46647008193,9
20466.35206218845_35696.00368204703,8
20466.458702875727_35638.520733617625,8
20466.699157790925_35438.50918776835,2
20466.712873021526_35579.05283244193,9
20467.39276132395_35758.926739380884,9
20468.6689178558_35510.24106537977,9
20470.5857319992_36424.60674511608,0
20471.446455324574_35439.30843745325,2
20471.547027111978_35696.87352151405,8
20471.611860258326_35639.630023737096,8
20471.676627270775_35579.96550792338,9
20472.46409132138_35759.43992359269,9
20474.11450269119_35805.34169402498,8
20474.345996289747_35511.19118337195,9
20474.413150709603_36428.01735547902,8
20476.261801225766_35439.88786632605,2
20476.392722115525_35698.08342051255,8
20476.570704289174_35640.8590410467,8
20476.63546280275_35580.84658044248,9
20477.50868523975_35759.958953212874,9
20477.7460810074_35805.69986310085,8
20479.352329690377_36430.1640192201,8
20480.09687351105_35512.31682405845,9
20481.1451954945_35440.24747438675,11
20481.240878208675_35699.28737437638,8
20481.438537375623_35641.99566116127,8
20481.58937961745_35581.69604999923,9
20482.52654307905_35760.48382824142,9
20482.5474809314_35806.18247810895,8
20485.403268941525_36431.0467363393,8
20486.02858976323_35440.60708244745,11
20486.091495391425_35700.48538310552,8
20486.215359517675_35643.03988408083,8
20486.609710928926_35582.55107093975,9
20487.3415027574_35806.64931896007,8
