id,cluster
24732.103590902196_36000.135418964346,10
24735.44972798761_35997.103615434724,10
24739.056665276337_35993.61170524181,10
24742.92440276839_35989.6596883856,10
24746.806903969762_35985.735265480325,10
24750.723853289306_35981.85216466709,10
24754.66048701769_35977.98279199496,10
24758.6241870503_35974.152804420606,10
24762.614953387136_35970.36220194404,10
24766.625404626986_35966.59718916804,10
24770.655540769854_35962.857766092624,10
24774.70290134631_35959.13801634702,10
24778.76748635636_35955.43793993122,10
24782.846835556356_35951.77138822785,10
24786.940948946303_35948.13836123689,10
24791.047366117436_35944.53887286379,10
24795.16608706976_35940.97292310854,10
24799.29465129649_35937.432618822364,10
24803.43305879763_35933.91796000525,10
24807.566546765906_35930.41124018762,10
24811.69511520131_35926.91245936944,10
24815.813842989694_35923.40187810728,10
24819.922730131053_35919.87949640112,10
24824.014395252998_35916.341403052546,10
24828.08883835553_35912.78759806158,10
24832.13375728042_35909.22408216004,10
24836.149152027665_35905.65085534796,10
24840.144864313184_35902.067861331154,10
24844.120894136973_35898.47510010963,10
24975.821288623178_35659.94203284569,10
24978.51791390543_35655.98522087748,10
24979.846209934447_35653.985339134,10
24981.52952131357_35655.82174140917,10
24982.400654087614_35667.397856827454,10
24984.856110847606_35659.451594440754,10
24985.14648843895_35663.31029958018,10
24988.177780179314_35663.08938412403,10
24996.046340597015_35638.59431244694,10
25000.396283470276_35639.16852254725,10
25005.076012858164_35639.4393406688,10
25010.085528760676_35639.4067668116,10
25015.07043759691_35639.0066822419,10
25020.030739366874_35638.239086959715,10
25024.89754060946_35637.08658577804,10
25189.613896454874_35461.25587019884,9
25195.021154198777_35461.96119560682,9
25199.986452486144_35462.41118170436,9
25204.863171064004_35462.551358027864,9
25209.651309932353_35462.38172457732,9
25214.199130102308_35461.11978452679,9
25218.50663157386_35458.76553787627,9
25222.814133045416_35456.41129122575,9
25225.364821474803_35452.85875898684,9
25226.158696862025_35448.10794115956,9
25226.95257224925_35443.35712333226,9
25227.13704786676_35425.90199832545,9
25227.51679874691_35438.448842285594,9
25227.724792728288_35429.20081669949,8
25227.851376355004_35433.38309801954,9
25259.511149707094_35472.17947099531,10
25263.24371396048_35468.83957776444,10
25267.003344450615_35465.45802634359,10
25268.921857149293_35396.60914016514,9
25270.765436510075_35462.0784408605,10
25273.823176437978_35393.948491471354,9
25274.529990138853_35458.70082131518,10
25277.390886172456_35390.180711002824,5
25278.28962396672_35455.34299848492,10
25279.62498635273_35385.30579875955,5
25281.827100453964_35380.454792798984,5
25282.044337993677_35452.00497236972,10
25283.997228476164_35375.62769312113,5
25285.80397398526_35448.657038979276,10
25285.81278845647_35371.59017767428,5
25289.568531941473_35445.29919831356,10
25293.333090738255_35441.921595947715,10
25297.097650375596_35438.52423188172,10
25300.857290006817_35435.12689937683,10
25304.61200963192_35431.729598433056,10
25308.344585593688_35428.33242730681,10
25312.05501789212_35424.935385998106,10
25315.775293252198_35421.53433901273,10
25319.505411673927_35418.1292863507,10
25323.228149596922_35414.730208779605,10
25326.94350702119_35411.337106299456,10
25330.6588652848_35407.92621883894,10
25334.374224387742_35404.497546398066,10
25338.077281904083_35401.07290064045,10
25341.768037833815_35397.652281566116,10
25345.45879478217_35394.23364248732,10
25349.149552749157_35390.81698340407,10
25352.832930066746_35387.39444047214,10
25356.50892673495_35383.96601369153,10
25360.17262183821_35380.547542992965,10
25363.82401537653_35377.13902837643,10
