id,cluster
26209.817475480348_35176.27130210234,10
26212.198044293258_35173.49724241605,10
26215.515003537756_35169.632415315704,10
26218.87625551941_35165.73769536953,10
26221.91502351589_35140.802943360504,10
26222.281800238223_35161.813082577515,10
26225.315669478456_35140.212424901096,10
26225.529864560405_35158.148928390925,10
26228.263526003615_35135.55328041831,10
26228.411184578257_35138.356826762,10
26228.620448485955_35154.74523280976,10
26231.651898055563_35139.27514639123,10
26231.71103241151_35151.341537228596,10
26234.124934740157_35148.4331427004,10
26235.037809910376_35142.96738378877,10
26235.862155471907_35146.02004922516,10
26238.4311046803_35146.693178615315,10
26241.83178236534_35150.45253087087,10
26242.759342157762_35132.53789603623,10
26242.852969077823_35151.4625420796,10
26245.242303418338_35154.20985290165,10
26246.556186423208_35135.75742540135,10
26248.662667839282_35157.96514470766,10
26250.399784359153_35138.96878467582,10
26250.83544548751_35157.98636798133,10
26252.102718320333_35161.7124212443,10
26254.314742688603_35142.15207052997,10
26255.562454861483_35165.45168251156,10
26258.00837195576_35165.97333593484,10
26258.30106141155_35145.30728296382,10
26259.024652452703_35169.13954738672,10
26259.44046960316_35163.27738151414,10
26262.299779721237_35163.44687131452,10
26262.30214485022_35148.411028332186,10
26262.48931109399_35172.77601586979,10
26265.990880108566_35176.3272939444,10
26266.317993004617_35151.463306635065,10
26266.586302309996_35166.48180533597,10
26269.52935949644_35179.793381610536,10
26270.29939216973_35154.44661110372,10
26270.838376483527_35169.51693660967,10
26273.18595170498_35183.15998166339,10
26274.24634234557_35157.360941738145,10
26275.05600224183_35172.552265135615,10
26276.9606567342_35186.42709410296,10
26278.259731811784_35160.26106075163,10
26279.293314254326_35175.54005074999,10
26280.791957698286_35189.63064259989,10
26281.800852377055_35192.05183150378,10
26282.339560568376_35163.14696814418,10
26283.550312521016_35178.48029345277,10
26284.738911107168_35192.67938030915,10
26286.468603784033_35165.99504606599,10
26287.84176100276_35181.345240392206,10
26288.744921025987_35195.63687117338,10
26289.53727911728_35198.5889534995,10
26290.646861458757_35168.805294517035,10
26292.167659699553_35184.134891568276,10
26292.849358565672_35198.47522220622,10
26294.812816448124_35171.562253145756,10
26296.51570519171_35186.83943518481,10
26297.05222372623_35201.1944334077,10
26297.598516815568_35204.64595729249,10
26297.979946031413_35208.32372501273,10
26298.966468752144_35174.265921952145,10
26300.885897479224_35189.458871241804,10
26301.85308344499_35211.49542388509,10
26304.825592375717_35211.719603230646,10
26305.22164093254_35192.01328522441,10
26305.625333790358_35214.695367626424,10
26306.897472823595_35208.9962630494,10
26309.296697067522_35217.92355623673,10
26309.522935551664_35194.50267713264,10
26312.596476417726_35217.75060279383,10
26312.72691496834_35221.34482564403,10
26313.8685237576_35196.999722611145,10
26315.52467184097_35214.17650729772,10
26315.91598749281_35224.959175848315,10
26318.25840555034_35199.50442165992,10
26318.858992552483_35228.69944004218,10
26319.287059353228_35213.53647721363,10
26321.55593014736_35232.565618225635,10
26322.655670462216_35201.985363181535,10
26323.709874218253_35236.11208949365,10
