id,cluster
24510.147298063857_29306.432088286812,8
24511.599335902232_29303.54758965777,8
24513.076592434543_29300.611600873006,9
24514.579067660794_29297.624121932517,9
24515.17030165852_29331.370079155204,10
24516.081542887045_29294.63664299203,9
24516.252662977153_29329.356409520053,10
24516.879120553243_29326.83446561319,10
24517.04967438679_29323.804247434608,10
24517.220228220343_29320.774029256034,10
24517.602061580346_29291.642489232236,9
24518.69073666786_29319.306613256776,10
24519.140623740706_29288.64166065313,9
24520.679185901066_29285.640832074027,9
24521.461199729343_29319.401999436843,10
24522.216108161374_29282.64922741688,10
24523.51893365055_29317.836628222878,10
24523.75139052164_29279.666846681692,10
24524.51133274001_29319.368210383072,10
24524.863938431477_29314.610499614882,10
24525.2866728819_29276.684465946502,10
24526.208943212405_29311.384371006887,10
24526.812113734315_29273.7021424798,10
24527.739303029895_29308.246715876066,10
24527.841135699862_29319.205246095462,10
24528.327713078877_29270.71987628159,10
24529.45501788394_29305.19753422242,10
24529.843312423443_29267.73761008337,10
24531.17073273799_29302.148352568776,10
24531.17093865971_29319.04228180785,10
24531.37039388452_29264.734229913935,10
24531.8320302934_29323.300979679763,10
24532.501236857555_29320.407526335955,10
24532.90895746211_29261.709735773264,10
24533.29819778761_29301.966962360268,10
24533.556518754296_29299.81400605169,10
24534.4475210397_29258.6852416326,10
24534.541751719633_29319.002791045645,10
24535.837413032797_29304.653363596895,10
24535.98608509427_29255.676542002562,10
24536.61237593285_29298.19449467116,10
24537.52464962583_29252.683636883157,10
24537.953574879633_29319.086773808842,10
24538.393655465894_29214.187445278323,10
24538.397810270377_29295.634465232808,10
24538.912821766866_29292.133917736635,10
24539.063214157388_29249.690731763752,10
24539.427833263355_29288.633370240463,10
24540.405767464974_29247.060118714282,10
24540.526794339286_29285.36123636674,10
24540.802638640074_29214.659266706338,10
24541.365398039627_29319.170756572035,10
24541.55230954859_29244.79179773474,10
24542.20970499466_29282.317516115476,10
24542.539910701573_29324.006314372742,10
24542.893222887527_29242.15330344236,10
24542.894176646943_29320.810603426668,10
24543.728238453135_29318.285370077934,10
24543.75733845456_29215.504086733912,10
24543.89261565003_29279.27379586421,10
24544.42850748178_29239.14463583714,10
24545.04209612016_29316.430614326542,10
24545.564044523395_29276.228826114904,10
24545.96379207604_29236.13596823192,10
24546.978481232083_29317.335913130104,10
24547.223991614756_29273.182606867562,10
24547.257754909355_29216.72190536104,10
24547.505638604474_29233.164113651135,10
24548.883938706116_29270.13638762022,10
24549.05404706709_29230.22907209479,10
24549.50048489515_29320.80210588339,10
24550.529123417702_29267.090252722057,10
24550.602455529704_29227.294030538444,10
24550.758171364152_29217.939723988162,10
24551.659589718645_29224.007040645636,10
24551.98557966445_29324.06913803144,10
24552.159545749513_29264.04420217307,10
24552.225449633916_29220.36810241636,10
24553.789968081324_29260.998151624084,10
24554.202451207355_29324.487981958242,10
24555.39906685504_29257.956169014444,10
24556.151099523853_29322.058637663795,10
24556.98684207066_29254.918254344142,10
24558.09974784035_29319.629293369344,10
24558.57461728628_29251.88033967384,10
24560.149270608457_29248.860923071912,10
24560.260030093104_29320.072132724537,10
24561.710802037196_29245.860004538357,10
24562.63194628211_29323.387155729375,10
24563.27233346594_29242.859086004803,10
24564.765983509602_29323.75381525184,10
24564.83550523963_29239.837107503234,10
24566.66214177559_29321.17211129193,10
24568.55830004157_29318.59040733202,10
24570.660352056748_29318.951319084073,10
24572.968297821117_29322.25484654809,10
24575.838025676894_29323.6919405546,10
24579.26953562408_29323.26260110361,10
24582.27614459316_29317.67976449566,10
24582.701045571263_29322.833261652617,10
24583.134001925053_29315.841980142148,10
24583.703248560956_29320.972316116637,10
24584.153985416677_29155.09043184429,10
24584.870779561392_29153.477191816917,10
24586.27682055664_29315.458963056095,10
24586.392947444445_29150.51077286849,10
24587.915115327498_29147.544353920064,10
24589.41963918822_29315.075945970042,10
24590.457556229303_29144.77237836249,10
24591.86699075831_29316.502189531348,10
24592.532933170405_29314.681247170185,10
24593.618875266897_29319.737693740008,10
24594.02027014985_29142.19484619577,10
24595.550585293866_29134.624791961527,10
24595.616702503183_29314.27486665653,10
24595.717946504705_29138.812317395445,10
24597.71571126071_29128.006610007415,10
24598.700471835968_29313.86848614287,10
24599.214915642217_29124.990330515982,10
24600.937190963818_29121.562917039795,10
24601.31267548843_29315.278036135383,10
24602.882537225516_29117.724369578857,10
24603.45331346058_29318.503516634064,10
24605.37493631867_29318.83251733976,10
24607.0775440627_29316.265038252477,10
24608.78015180673_29313.697559165194,10
24610.86170561939_29314.057266524695,10
24613.322205500677_29317.34416033099,10
24615.339787763973_29317.691059106175,10
24616.914452409277_29315.097962850254,10
24618.489117054578_29312.504866594332,10
24619.98285133081_29124.620307066813,10
24620.602658194406_29312.859135146242,10
24621.419725163036_29121.496471349314,10
24622.846757374828_29118.371377250067,10
24623.255075828754_29316.160768505983,10
24625.661404706778_29315.84362928919,10
24627.821644828466_29311.907717495862,10
24630.326393261803_29311.60583014834,10
24633.17565000678_29314.93796724662,10
24635.58690116681_29314.60303641906,10
24637.56014674189_29310.601037665656,10
24640.030450528964_29310.315130128052,10
24642.99781252803_29313.745313806245,10
24645.428748988634_29313.410275655267,10
24647.323259910787_29309.31001567512,10
24649.267838542724_29308.43218506414,10
24651.26248488445_29310.77678382233,10
24653.257131226175_29313.12138258052,10
24654.882677718764_29312.913788207403,10
24656.13912436222_29310.15400070298,10
24657.39557100567_29307.394213198557,10
24659.66246445358_29305.811917199517,10
24662.93980470595_29305.407112705863,10
24666.217144958322_29305.00230821221,10
24668.19292196173_29306.722601853362,10
24668.867135716187_29310.56799362933,10
24670.84455429964_29312.294857306977,10
24674.125177712092_29311.903192886304,10
24677.40580112455_29311.51152846563,10
24678.14551240424_29305.499633470004,10
24678.7459126886_29309.3770086602,10
24680.653619283716_29311.11741179537,10
24683.868632189602_29310.720842875515,10
24687.08364509548_29310.32427395566,10
24688.12271576938_29304.40878182518,10
24688.501672955408_29308.22025360555,10
24690.303580374835_29309.960576381825,10
24693.528438027653_29309.62975015401,10
24696.75329568047_29309.298923926195,9
24698.240174715233_29303.473100923773,10
24698.323874576334_29307.246707516115,10
24699.987997182645_29309.045683435586,10
24703.232542534173_29308.870028682184,10
24706.4770878857_29308.69437392878,10
24708.217440752236_29306.641888239545,10
24708.453601133784_29302.712571614473,10
24709.71179326098_29308.595096527417,10
24712.936658660015_29308.572196478097,10
24716.16152405905_29308.54929642877,10
24718.130701911592_29306.435686005214,10
24718.844192217646_29302.23136520742,10
24719.386391658394_29308.62772233062,10
