id,cluster
37431.31001538496_34626.927985750066,9
37435.00962533795_34626.704717463326,4
37438.52080190757_34626.47435455202,4
37441.84354509382_34626.23689701613,4
37445.16628828007_34625.99943948024,4
37449.206443240284_34625.717087543,4
37450.857951301434_34864.56660553058,10
37451.76236917895_34877.50065188184,10
37453.96400997448_34625.389841204415,8
37454.10842698437_34865.314565908324,10
37454.7313469713_34878.884616452604,10
37457.35890266731_34866.06252628606,10
37457.7212212623_34880.277855640845,10
37457.977900714744_34625.09710382954,8
37460.620873232605_34866.74720949325,10
37460.73199205195_34881.68036944656,10
37461.2481154611_34624.83887541837,8
37463.742762841604_34883.082883252275,10
37463.89433868026_34867.36861552988,10
37464.518330207444_34624.58064700721,8
37466.75189271656_34884.48804039325,10
37467.16780412791_34867.99002156651,10
37467.800037897876_34624.31708610934,8
37469.75938167681_34885.89584086949,10
37470.45112272344_34868.550793577786,10
37471.09323853238_34624.048192724746,8
37472.76687063707_34887.303641345716,10
37473.74429446686_34869.0509315637,10
37474.38643916689_34623.77929934017,8
37475.79077660132_34888.727151639716,10
37477.03746621028_34869.55106954963,10
37477.78799150157_34623.50320682592,8
37478.83109956959_34890.16637175148,10
37480.33884940998_34869.99189976073,10
37481.29789553642_34623.21991518201,8
37481.87142253785_34891.60559186325,10
37483.64844406598_34870.37342219701,10
37484.807799571274_34622.93662353811,7
37484.895330065265_34893.03305325891,10
37486.958038721976_34870.7549446333,10
37487.90282215184_34894.44875593846,10
37488.22410477028_34623.367589779555,11
37490.28241127478_34871.08502343896,10
37490.910314238405_34895.864458618016,10
37491.54681113342_34624.512813906345,8
37493.62156172437_34871.363658614006,10
37493.92601548349_34897.28143170901,10
37494.86951749656_34625.658038033136,11
37496.94992588709_34898.699675211436,10
37496.96071217398_34871.64229378905,10
37498.76190927295_34626.12119778033,8
37499.973836290694_34900.11791871387,10
37500.30643182183_34871.88006731617,10
37502.99118081093_34901.53751665699,10
37503.22398646258_34625.90229314793,4
37503.65872066794_34872.076979195364,10
37506.001959447814_34902.95846904079,10
37507.01100951404_34872.27389107456,10
37507.526005221036_34625.579608556196,4
37509.0127380847_34904.379421424586,10
37510.360017754254_34872.42341279465,10
37511.43117767196_34517.66227390112,0
37511.516430901815_34520.9564433831,0
37511.601684131674_34524.25061286508,0
37511.6679655483_34625.15314400514,5
37512.04978435806_34905.800224593186,10
37512.17824975873_34514.49506740428,8
37512.409272771714_34527.601261373755,0
37513.39871190641_34494.33579336768,8
37513.55783320591_34497.84284728821,0
37513.59070840667_34544.107382153124,4
37513.70574538857_34872.52554435563,10
37513.75764716213_34511.45482389256,8
37513.93919682194_34531.00838890913,0
37514.10803333194_34490.942330061334,8
37514.58539723043_34501.46349182293,0
37514.61335890947_34547.39295798503,0
37514.63771649422_34626.28391083176,5
37514.64805820292_34540.91206137676,4
37514.81735475747_34487.54886675499,8
37514.9275625826_34623.67821940019,5
37515.1130982679_34907.22087854658,10
37515.33704456552_34508.41458038085,8
37515.46912087216_34534.41551644452,0
37515.52265403699_34484.43737701113,0
37515.612961254956_34505.08413635763,0
37515.70540799915_34537.716740600394,0
37516.22393117051_34481.60786082975,0
37516.435258058766_34628.97190903603,5
37517.05147302289_34872.627675916614,10
37517.2331042011_34558.06603857811,0
37517.304796323915_34621.15483474136,5
37517.397969733975_34632.7549924731,5
37517.4201396437_34561.40706455511,0
37517.52585151984_34637.633161142956,5
37517.607175086305_34564.7480905321,0
37517.71600971131_34550.768788872476,0
37517.8057025306_34568.08115397592,0
37518.01572197657_34571.40625488656,0
37518.176412177745_34908.64153249996,10
37518.20346079601_34554.426114952905,0
37518.207008713856_34641.62525017132,8
37518.225741422546_34574.73135579721,8
37518.44396828335_34578.08406706367,8
37518.670402558986_34581.46438868594,8
37518.89683683461_34584.84471030822,8
37519.1281956323_34588.2394927978,0
37519.36447895203_34591.64873615468,0
37519.441441316034_34644.73125955818,8
37519.60076227177_34595.05797951156,0
37519.68203006523_34618.63145008253,5
37519.822270222634_34598.475211478646,0
37520.029002804615_34601.900432055925,0
37520.23573538659_34605.325652633204,8
37520.377503752825_34872.669341616784,10
37520.42769255396_34608.760178727054,8
37520.59898725455_34687.368223458354,6
37520.60487430674_34612.204010337475,8
37520.67274799898_34690.67706390979,4
37520.67587391821_34647.83726894505,8
37520.7820560595_34615.6478419479,5
37520.90849714898_34662.11714634171,4
37520.93983079142_34658.02420556886,4
37520.94713691751_34684.06620855742,6
37520.98713363522_34666.84945511526,4
37521.08113456257_34654.570632796705,8
37521.10027013395_34670.86520561937,4
37521.1684191508_34693.99272991174,6
37521.22243833372_34651.11706002456,8
37521.22987677497_34910.066193409904,10
37521.24790664515_34674.16439785404,6
37521.29528658047_34680.76419365649,6
37521.395543156345_34677.46359008869,6
37521.39660646719_34551.98637158661,0
37521.66409030263_34697.308395913686,4
37522.26875497994_34729.440373221085,8
37522.28616677923_34700.73133008151,4
37523.03464858062_34704.261532415214,8
37523.27498706596_34732.763698411734,8
37523.43775752025_34725.70700018244,8
37523.68383757838_34872.65054145614,10
37523.783130382006_34707.79173474891,8
37524.27349205956_34911.49486127639,10
37524.3296862907_34711.31518670055,5
37524.60676006057_34721.973627143794,8
37524.674316306715_34714.83188827011,5
37525.018946322714_34718.34858983969,5
37525.65514917714_34551.045706127436,4
37526.4564537783_34735.676975754395,8
37526.99017140393_34872.63174129549,10
37528.82528307881_34738.82400710231,8
37529.913691887086_34550.10504066827,8
37530.298149998416_34872.554987809795,10
37530.38147496748_34742.204792455486,8
37531.93766685614_34745.58557780866,8
37533.607773361844_34872.42028099905,10
37534.09835194281_34549.42157382565,8
37536.91739672527_34872.28557418832,10
37538.20912934432_34548.99530559959,8
37540.222098202576_34872.09163456314,10
37542.31990674583_34548.56903737352,8
37543.521877793755_34871.83846212353,10
37546.69746017951_34548.09582572165,8
37546.82165738493_34871.58528968391,10
37550.12964819461_34871.28202819835,10
37551.34178964533_34547.57567064396,8
37553.44585022281_34870.928677666845,10
37555.68646852387_34548.3641532774,8
37556.762052251004_34870.57532713534,10
37559.7314968151_34550.46127362197,8
37560.084824299876_34870.158727921276,10
37563.41416636944_34869.67888002466,10
37563.776525106325_34552.558393966545,8
37566.743508439_34869.19903212805,10
37567.00573861306_34551.784880444866,8
37567.01052852165_34555.668139218986,8
37569.41913733528_34548.14073305694,8
37569.43350706106_34559.790509379294,4
37570.05643678521_34868.662650889186,10
37572.31677272306_34546.22874030206,8
37572.84403090963_34561.81748941739,4
37573.35295140807_34868.06973630807,10
37575.69864477639_34546.048902180206,8
37576.64946603093_34867.47682172696,10
37577.24210006735_34561.74907933327,4
37579.08051682972_34545.869064058366,8
37579.95911768705_34866.812719966445,10
37581.11565476574_34561.6237303057,4
37582.54282865297_34545.80069857047,4
37583.28190637642_34866.077431026526,10
37584.46469500479_34561.44144233469,4
37586.08558024613_34545.84380571654,8
37586.60469506579_34865.3421420866,10
37587.813735243835_34561.259154363666,4
37589.62833183929_34545.88691286261,4
37589.93405386083_34864.542288004544,10
37591.6979582223_34561.29768835032,4
37592.02022464962_34547.04464640253,4
37592.02688487238_34544.36555775733,8
37593.26125867712_34549.31700633631,4
37593.269982761536_34863.67786878036,10
37593.28123934538_34541.279740400714,4
37594.53559381839_34538.19392304409,4
37596.11736394018_34561.55704429464,5
37596.384254379765_34534.65109758598,5
37596.60591166224_34862.813449556175,10
37598.827221029525_34530.65126402638,5
37599.892592404605_34861.91375456483,10
37600.53676965807_34561.81640023896,5
37601.905441695984_34528.9160265922,5
37603.13002498861_34860.97878380632,10
37604.44562073895_34561.8482104548,5
37605.22907963359_34926.67282899906,10
37605.61891637916_34529.44538528342,5
37606.36745757263_34860.043813047814,10
37606.79207795171_34923.37163873396,10
37607.843917182836_34561.652474942166,5
37608.35507626983_34920.07044846886,10
37609.33239106233_34529.97474397464,5
37609.583551064476_34859.05892203415,10
37609.88359668957_34916.84979031301,10
37611.24221362671_34561.45673942953,5
37611.37763921095_34913.70966426641,10
37612.77830546416_34858.02411076533,10
37612.80452594413_34530.87812770897,5
37612.87168173233_34910.56953821981,10
37614.3575142937_34907.48082223689,10
37614.62573597983_34561.262404640365,5
37615.83513689506_34904.44351631764,10
37615.97305986384_34856.989299496505,10
37616.03532102455_34532.15553648639,5
37617.312759496424_34901.40621039838,10
37617.9944842422_34561.06947057467,5
37618.83306494225_34898.40422186326,10
37619.162891909946_34855.90710858328,10
37619.26611610498_34533.43294526382,5
37620.39605323253_34895.437550712275,10
37621.36323250457_34560.87653650898,5
37621.70997053177_34926.016756787765,10
37621.95904152281_34892.47087956129,10
37622.34780160247_34854.77753802565,10
37623.46340748573_34922.67826914886,10
37623.6073970049_34889.52611381636,10
37625.34111967878_34886.6032534775,10
