id,cluster
29712.09944800184_35880.19692847854,9
29713.555817018612_35888.58250927303,9
29715.080573406303_35879.95419279994,9
29718.211960922832_35879.76941278948,9
29720.670808676903_35904.865085134144,9
29721.493610551428_35879.64258844717,9
29722.748476312_35906.226701667445,9
29724.775260180017_35879.51576410484,9
29725.12868448626_35906.930465268466,9
29725.39872598396_35886.97500537301,9
29725.805669588102_35883.965943997275,9
29726.212613192245_35880.956882621555,9
29727.811433199673_35906.976375937214,9
29728.083164098058_35879.38878954326,9
29730.494181913084_35907.02228660596,9
29731.41732230554_35879.26166476241,9
29733.176930626498_35907.06819727471,9
29734.751480513027_35879.134539981555,9
29735.516056047694_35886.8169599926,9
29735.877057475325_35883.71856703201,9
29736.196871730746_35906.85096504539,9
29736.238058902956_35880.620174071424,9
29738.129942195188_35879.001891344255,9
29739.554005225822_35906.370589918006,9
29741.552707352024_35878.86371885051,9
29742.911138720905_35905.89021479061,9
29744.97547250886_35878.725546356756,9
29745.66609537974_35904.50942009516,9
29745.792553193427_35886.64614540689,9
29746.150273950967_35883.45027128809,9
29746.507994708507_35880.25439716928,9
29747.81887520234_35902.22820583162,9
29748.3752672993_35878.57828230111,9
29749.971655024936_35899.9469915681,9
29751.65844154153_35897.458950990236,9
29751.752091723338_35878.42192668358,9
29752.879234752123_35894.76408409806,9
29754.10002796271_35892.069217205884,9
29755.128916147376_35878.26557106605,9
29755.320821173304_35889.37435031371,9
29756.078902875397_35886.386996265894,9
29756.374273069_35883.10715506245,9
29756.669643262598_35879.827313859,9
29757.20121915541_35887.9939547409,9
29758.472925212776_35878.09490991516,9
29759.74122190904_35887.92803048746,9
29761.78411891954_35877.90994323094,9
29762.68651031932_35887.83014081969,9
29765.095312626298_35877.72497654671,9
29766.03708438626_35887.700285737585,9
29768.3999442779_35877.51369585486,9
29769.387658453197_35887.570430655476,9
29771.69801387434_35877.27610115539,9
29772.743156303528_35887.41419574665,9
29774.996083470778_35877.038506455916,9
29776.103577937247_35887.23158101109,9
29778.290872656682_35876.775896589206,9
29779.463999570973_35887.04896627554,9
29781.582381432047_35876.48827155526,9
29784.873890207415_35876.20064652131,9
29785.755816443165_35628.4404358897,9
29785.780445209253_35625.95020324584,9
29786.513091395143_35623.782668697866,9
29787.300653229857_35629.64371721674,9
29787.75765298478_35875.931166213944,9
29787.95375500084_35621.9378322458,9
29789.394418606535_35620.09299579373,9
29790.23366976414_35875.67983063315,9
29790.41495556933_35629.56004722696,9
29791.273999552235_35619.148144234125,9
29792.90241641494_35885.86923064428,9
29793.10266715101_35875.33796813193,9
29793.529257908798_35629.47637723717,9
29793.592497837937_35619.10327756699,9
29796.216900999112_35885.42072740697,9
29796.364645145386_35874.905578710284,9
29796.753497134603_35629.396031641925,9
29799.531385583283_35884.97222416966,9
29799.62662313976_35874.473189288634,9
29800.087673246748_35629.319010441206,9
29802.839308532355_35884.43416314061,9
29802.890243530677_35873.96700625868,9
29803.421849358892_35629.2419892405,9
29806.140669846336_35883.80654431984,9
29806.155506318137_35873.387029620426,9
29806.678974134244_35619.05881188267,9
29806.706801466313_35629.16920184335,9
29809.420769105593_35872.80705298216,9
29809.442031160317_35883.17892549906,9
29809.94252956901_35629.10064824978,9
29809.957363772133_35619.03744610862,9
29812.293873127623_35872.249084664094,9
29812.71714083782_35882.45790904956,9
29813.17825767171_35629.03209465621,9
29813.235753410016_35619.01608033456,9
29814.774818384227_35871.71312466621,9
29814.80103345623_35630.62030211494,9
29814.81085692258_35633.86527062599,9
29815.965998878844_35881.643494971344,9
29816.152229927593_35635.472213231085,9
29816.17941344554_35618.980816950236,9
29817.64464327761_35871.018147583425,9
29818.788343878707_35618.93165595565,9
29818.825152471276_35635.44112993026,9
29819.21485691987_35880.82908089313,9
29820.90334780777_35870.164153415724,9
29820.99680703627_35634.32860145344,9
29821.397274311872_35618.88249496105,9
29822.437463135455_35879.94366828254,9
29822.667193622576_35632.13462780064,9
29823.334273952907_35620.09736680195,9
29824.162052337928_35869.31015924804,9
29824.33758020888_35629.940654147846,9
29824.59934280182_35622.576271478334,9
29825.187549433096_35627.58668144522,9
29825.217101295213_35625.07270969276,9
29825.633817525595_35878.98725713958,9
29826.564228687643_35870.32807520768,9
29827.387941711073_35868.382569179295,9
29828.10987685691_35873.21790129467,9
29828.83017191574_35878.030845996625,9
29829.257000135414_35662.95443805658,3
29829.655525026177_35876.107727381655,9
29830.581015927193_35867.38138320951,9
29832.326189277515_35662.68393413664,3
