id,cluster
27755.396222595322_38596.79584091384,0
27756.851116577105_38595.787898068644,0
27758.306010558896_38594.77995522345,0
27759.773365543773_38593.78252019624,0
27761.25318153174_38592.79559298699,0
27762.73299751971_38591.80866577776,0
27764.212813507682_38590.82173856851,0
27765.69262949565_38589.83481135928,0
27767.17244548362_38588.84788415003,0
27768.67276946112_38587.93533166555,0
27770.19360142816_38587.0971539058,0
27771.714433395195_38586.25897614606,0
27773.235265362233_38585.420798386316,0
27774.756097329268_38584.58262062658,0
27776.276929296306_38583.74444286683,0
27777.808425669817_38582.94707606732,8
27779.350586449804_38582.19052022803,0
27780.89274722979_38581.43396438875,8
27782.434908009778_38580.67740854947,8
27783.977068789765_38579.92085271019,0
27785.519229569752_38579.1642968709,0
27787.042523968845_38578.41576237198,0
27788.546951987042_38577.675249213426,8
27790.05138000524_38576.93473605488,8
27791.555808023433_38576.19422289632,8
27793.06023604163_38575.453709737776,8
27794.564664059828_38574.71319657922,8
27796.060889556422_38573.97536874372,8
27797.548912531416_38573.24022623125,0
27799.036935506407_38572.5050837188,8
27800.5249584814_38571.76994120634,8
27802.01298145639_38571.03479869389,8
27803.501004431386_38570.29965618142,8
27804.99066847102_38569.562527018286,8
27806.481973575294_38568.82341120447,0
27807.97327867957_38568.08429539065,8
27809.464583783847_38567.345179576834,8
27810.955888888122_38566.606063763014,8
27812.447193992397_38565.866947949195,8
27813.95490557592_38565.12114486456,8
27815.47902363869_38564.36865450912,8
27817.003141701458_38563.61616415368,8
27818.52725976423_38562.86367379824,8
27820.051377826996_38562.1111834428,8
27821.575495889767_38561.35869308736,8
27823.08895054234_38560.63724917179,9
27824.591741784716_38559.946851696106,9
27826.094533027095_38559.25645422042,9
27827.59732426947_38558.56605674474,9
27829.10011551185_38557.875659269055,9
27830.602906754226_38557.18526179337,9
27832.136869981958_38556.56324280825,9
27833.702005195046_38556.00960231371,9
27835.267140408134_38555.45596181916,9
27836.832275621222_38554.90232132461,9
27838.39741083431_38554.348680830066,9
27839.962546047398_38553.79504033552,9
27841.540806658086_38553.33229694938,9
27843.132192666373_38552.96045067166,9
27844.723578674657_38552.588604393924,9
