id,cluster
28135.888189545094_35878.34317530249,10
28137.863095590707_35905.8482372021,10
28138.04389141096_35867.05354508292,10
28138.713419418036_35879.83698657236,10
28141.509096418482_35869.96224190544,10
28142.07756292737_35908.36038256303,10
28143.157946358984_35882.21892097416,10
28145.343300823195_35873.264757303856,9
28146.320289929325_35910.93717982874,9
28147.582786663108_35884.64247494917,9
28149.017542289286_35876.63539046973,9
28150.55563507414_35913.56343274047,9
28151.98794033041_35887.10764849739,9
28152.393980675297_35925.815185021114,10
28152.531820816766_35880.074141403085,9
28154.78359836182_35916.23914129823,10
28155.955043625116_35883.6893234483,9
28156.35864145023_35889.56511376366,9
28156.43983190001_35928.09466187816,10
28159.097697723635_35917.414186047725,10
28159.287210714345_35887.480936605374,9
28159.823047798396_35962.80775042384,10
28160.52505975786_35930.50634021299,10
28160.694890022573_35892.01487074799,9
28161.728463232987_35958.4000278045,10
28161.90815428385_35891.30824621204,9
28162.220684602577_35915.94752762044,10
28162.49386821967_35891.40767240114,9
28163.04348976459_35888.75865457195,9
28163.305966893968_35934.208247440205,10
28163.63326587069_35953.94588939749,10
28164.066422924498_35913.33982982464,9
28164.78255330834_35939.20038355982,10
28164.819462021038_35949.2132280504,10
28165.01883484022_35894.47062817931,9
28165.28705168403_35944.202043763216,10
28165.575016141094_35895.46953083559,9
28166.987592541573_35941.42912969808,10
28167.154956655897_35913.33400828646,9
28167.223880775862_35887.52247734803,9
28168.584795896735_35899.79665200384,9
28169.33047590317_35896.932386057626,9
28169.92108459366_35940.894485854966,10
28170.068781224316_35879.82949108836,9
28171.404271787127_35886.286300124106,9
28171.48628579678_35915.93006300591,9
28171.52320748659_35904.3890359059,9
28172.352571936615_35883.721971370884,9
28173.639657126663_35899.40799406461,9
28173.65193571469_35941.211109493735,10
28174.678187143014_35907.58081717605,9
28175.035043059994_35887.002093808376,9
28175.81269415537_35918.484639817856,9
28177.946378510696_35901.89745220027,9
28178.049734866003_35909.371995814305,9
28178.11619459445_35889.669858400855,9
28178.180145904647_35942.379000614375,10
28179.282675560153_35928.74065764089,10
28180.134181731675_35920.997738722304,9
28180.908577472583_35911.884240974614,9
28181.19734612891_35892.33762299332,9
28181.29084219994_35924.416411329985,9
28182.267866949136_35904.404614894265,9
28182.629607108545_35941.717086752105,10
28182.735427638283_35944.453959521044,10
28183.25471496275_35915.11755265699,9
28184.534423358913_35921.11090417755,9
28184.82237640857_35895.10044181143,9
28185.600852452913_35918.35086433937,9
28186.60412244198_35906.929482146596,9
28187.000319326384_35939.22536790692,10
28187.317780915593_35947.43598621375,10
28188.991285433436_35897.95831485517,9
28190.93791811516_35909.454364058474,9
28191.75739827777_35950.300239762015,10
28193.305393791572_35900.884535212244,9
28195.269253968672_35911.9792606299,9
28196.054279724816_35953.046720165854,0
28196.516922704475_35985.02234229568,10
28196.996845274953_35942.76341768103,10
28197.764701482978_35903.87910288265,9
28199.530025575557_35938.38146998096,10
28199.620278902003_35914.49811554786,5
28200.37823317956_35955.80688199421,10
28201.180522880324_35945.423575528344,10
28201.512729307437_35982.55073232207,10
28201.684233697673_35906.604004103974,5
28202.26090568125_35933.40412420565,10
28202.406100957367_35937.03415037751,10
28203.99099291514_35917.010928812364,5
28204.020511664883_35934.17872657199,10
28204.729258642004_35958.58072524709,10
28205.063990435658_35909.0592388762,5
28205.295269834114_35979.94178602799,0
28205.413421346224_35948.107170511634,10
28206.383061106375_35934.23240119663,10
28206.67591796149_35935.889019771224,10
28207.864544284505_35977.195503413415,0
28208.41091464786_35936.42262763902,10
28208.443747173642_35911.514473648436,5
28209.018760534196_35961.31934411988,10
28209.695540672645_35950.81420263088,10
28209.97118231859_35936.64494678517,10
28210.640542234723_35974.665457326504,0
28211.0564775913_35938.358301000284,10
28212.102418118193_35913.028614018076,5
28213.246738856138_35964.02273861258,10
28213.623263684764_35972.35164776727,8
28214.036736567556_35938.50726490746,10
28215.176150311618_35969.73966620547,10
28215.29920211528_35966.8295126411,10
28215.402584570686_35940.81196789283,10
28216.040003269314_35913.601659985114,9
28217.247483268053_35971.596282106926,0
28217.94232703351_35940.79149714728,10
28219.733926763285_35943.2716493995,10
28219.977588420435_35914.17470595215,9
28221.241473795864_35418.90152896654,6
28221.513200984587_35972.3993603455,0
28221.68795371645_35943.49764350462,10
28222.025131740666_35915.69806987676,9
28222.191997164373_35312.15129852849,0
28223.046445984535_35912.735374851276,9
28224.05050416909_35945.73734552032,10
28224.141987329105_35422.46227275066,6
28225.12647708709_35311.58619296001,0
28225.246575961617_35909.28366668248,9
28225.778918701122_35973.20243858406,9
28226.993884113464_35905.13882678553,9
28227.292060104297_35426.57474652966,11
28228.288370440074_35900.30085516043,9
28228.408919616795_35948.21070869198,10
28229.38105538892_35895.52531541036,5
28230.006081472002_35974.99136714763,9
28230.087850488144_35310.625121472825,0
28230.11191558813_35961.10500483542,10
28230.252636524856_35430.73771171814,6
28230.271938959988_35890.81220753534,5
28231.13329067986_35886.105203342544,5
28231.31287775142_35964.25331722637,10
28231.965110548528_35881.40430283197,5
28232.070869293362_35957.435904511556,10
28232.774781758755_35876.452520857114,5
28232.8091731064_35950.69173891449,10
28233.02371659078_35434.9511683161,11
28233.562304310537_35871.24985741798,5
28234.02982299859_35953.766804187675,10
28234.194689297226_35977.766146036185,10
28234.362131923135_35866.02736504757,5
28234.36699605537_35934.23228353878,10
28235.04676453406_35309.6877794179,0
28235.174264596546_35860.78504374593,5
28235.61514408784_35439.234823566505,6
28235.673755783224_35966.88084168439,10
28236.070071159265_35855.560038301184,5
28237.049551611293_35850.35234871335,5
28237.226654761733_35953.17860058065,10
28237.99211713503_35845.25753542714,5
28238.026919016025_35443.58867746935,11
28238.3956031657_35980.55073792948,10
28238.673733665444_35936.71779629536,10
28238.897767730476_35840.27559844254,5
28239.771425419123_35835.349191310495,5
28240.003219224844_35308.77416679523,0
28240.012486057563_35969.47686919123,10
28240.295956237438_35447.9828753707,6
28240.613090200983_35830.478314031,5
28241.447372063943_35825.61539036017,5
28241.66136458279_35955.671293690466,10
