id,cluster
28357.64246293847_35290.962282397624,5
28361.15877713754_35290.56420245241,5
28366.233402540718_35290.00959992496,5
28371.42369774988_35289.46421940345,5
28376.729662765036_35288.92806088792,5
28380.282197153843_35585.39469197647,8
28382.08977232458_35288.31452147273,5
28383.72101620088_35585.052164624896,8
28387.504026428505_35287.623601157895,9
28388.618450197366_35584.48267203435,8
28392.51467528199_35286.13856663553,9
28393.45928192666_35583.86804696349,8
28396.001516681816_35585.19744339084,8
28396.301756730023_35588.51599379668,8
28396.94437172387_35389.526001517035,8
28397.08218201664_35394.4500641051,8
28397.09450148277_35384.542990416114,8
28397.121272116492_35592.27955451116,8
28397.121718885024_35283.85941790563,9
28397.291118596127_35567.608524053314,8
28397.45953262084_35399.010450261594,8
28397.53257129334_35379.50103080235,8
28398.076423536484_35403.20715998651,8
28398.105997837923_35374.258703481144,8
28398.23120731084_35583.28346107101,8
28398.460062841223_35596.48812553426,8
28398.693314452128_35407.40386971142,8
28398.814781116518_35368.816008452515,8
28399.24047557488_35412.11349587007,8
28399.45711641005_35363.60689638839,8
28399.599565237157_35563.31063756803,8
28399.71790690474_35417.33603846244,8
28399.798853565953_35600.696696557374,8
28400.033003718505_35358.63136728876,8
28400.25932504519_35422.455455225354,8
28400.56213133626_35353.81618622463,8
28400.86472999622_35427.4717461588,8
28401.044499263306_35349.16135319597,8
28401.504589110275_35432.62223312701,8
28401.652379833_35344.3338765879,8
28401.723368071944_35604.99152070636,8
28402.166420025256_35558.96384824958,8
28402.178902387343_35437.90691612997,0
28402.38577304534_35339.333756400425,9
28402.855676952517_35443.017677574884,8
28402.990828617105_35582.774046837214,8
28403.274210985404_35334.35647276748,9
28403.534912805786_35447.95451746174,8
28404.22891464515_35453.00787946944,8
28404.233606359197_35609.372597981215,8
28404.31769365319_35329.40202568906,9
28404.93768247061_35458.177763597996,8
28404.99168296041_35554.56815609796,8
28405.307033038458_35324.98147537222,9
28405.62184001325_35463.36755677402,8
28406.242229141215_35321.09482181694,9
28406.281387273077_35468.57725899752,0
28406.578956167363_35613.83565154094,8
28406.94831773494_35473.707872733954,0
28407.221708634654_35327.792619436084,9
28407.50931851386_35549.99042720977,8
28407.622631398845_35478.75939798332,0
28407.77260040959_35582.44237735246,8
28408.279717852867_35483.82881368844,0
28408.437470419332_35318.112029126176,9
28408.75941749644_35618.380681385526,8
28408.91957709701_35488.91611984928,8
28409.492988649432_35493.99392923929,8
28409.7193266856_35545.23066158501,8
28409.99995251013_35499.06224185845,8
28410.044489078202_35621.435899991455,8
28410.374020942894_35504.127366012675,8
28410.61519394773_35509.189301701976,8
28410.920353434994_35514.3852673199,8
28411.070437278486_35540.260386593465,8
28411.289499404687_35519.71526286648,8
28411.557743492034_35524.90749799381,8
28411.562650292522_35535.07960223513,8
28411.72508569704_35529.961972701916,8
28411.89275687281_35316.03309729992,9
28411.986255929794_35329.528254008546,9
28412.576522688298_35582.28845261675,8
28413.45799142204_35302.234068172984,9
28413.465366780838_35307.36430445255,9
28413.546596250264_35297.05981357003,9
28413.568722326647_35312.450522408704,9
28414.59740147818_35332.88680179843,9
28415.050316702615_35276.0183715178,10
28415.055145279806_35337.86826280572,9
28415.569492752536_35342.83952509222,8
28415.626205530825_35270.74255935363,10
28416.140443896373_35347.80058865793,8
28416.26361988687_35265.63438021309,10
28416.78522589596_35352.76914135852,8
28416.96255977074_35260.69383409618,10
28417.350916065752_35580.907387524596,4
28417.5038387513_35357.745183194005,8
28417.740252576026_35255.82003559574,10
28418.266750141513_35362.71900130648,8
28418.59669830272_35251.01298471175,10
28419.07396006659_35367.69059569595,8
28419.091215413628_35349.722454176925,8
28419.50974771781_35246.26292633258,10
28419.895936215617_35372.63839592624,8
28420.4794008213_35241.56986045822,10
28420.732678588585_35377.56240199735,8
28421.525345927115_35236.91193649369,10
28421.552193756346_35382.496392673784,8
28422.09578054195_35578.299182075985,4
28422.354481718903_35387.44036795554,8
28422.647583035257_35232.289154439015,10
28423.151847665817_35392.36659001955,8
28423.84611220342_35227.68768084106,10
28423.944291597087_35397.27505886581,8
28424.412037399303_35300.118325534495,9
28424.41695159186_35305.20904698378,9
28424.421807304305_35348.60512164921,8
28424.488337190684_35295.04493278939,9
28424.503079829356_35310.2736201176,9
28424.645850966004_35289.988868748456,9
28424.670422111798_35315.31204493598,9
28424.741657615406_35402.17362330262,8
28424.889446020505_35320.354133067536,9
28424.911650116894_35284.92428833181,9
28425.120933431604_35223.107515699834,10
28425.16015155548_35325.39988451228,9
28425.28573464336_35279.85119153946,9
28425.48253872348_35330.44534675999,9
28425.54394572076_35407.062283329986,8
28425.76564354454_35274.771568786164,9
28425.811930839216_35579.15347637367,4
28425.856607524514_35335.490519810664,9
28426.304507256184_35340.52144359834,9
28426.3437728067_35411.95096236981,8
28426.351376820443_35269.68542007192,10
28426.484352098836_35218.43989880495,10
28426.82623791849_35345.53811812302,9
28427.07000575666_35264.651877352335,10
28427.08433279673_35631.22160289412,5
28427.141138873212_35416.83966042209,8
28427.40703330493_35350.56236479797,8
28427.9215303532_35259.67094062741,10
28427.936368205126_35213.68483015639,10
28427.94096600864_35421.71451546394,8
28427.977559989762_35627.75347035127,5
28428.10103610527_35355.58399759329,8
28428.743254212975_35426.57552749535,8
28428.849181595382_35360.595444358725,8
28428.86657423991_35254.69145293668,10
28429.454832328196_35208.9629834767,10
28429.533237241838_35431.45835375115,8
28429.62652420884_35580.07638126234,4
28429.658852904897_35365.58480667433,8
28429.739662839835_35623.54165527106,5
28429.905137416798_35249.71341428014,10
28430.310915095222_35436.36299423134,8
28430.53005003382_35370.552084540075,8
28431.019992634378_35244.78039917797,10
28431.039744468057_35204.27435876586,10
28431.088592934186_35441.28542629572,8
28431.396325164096_35375.48975173865,8
28431.86627075873_35446.22564994428,10
28432.211139892657_35239.892407630185,10
28432.25767829573_35380.39780827004,8
28432.424650444387_35620.32856195827,5
28432.59965006195_35451.1562500414,10
28432.7206370896_35199.60693059558,10
28433.10672632338_35385.28420111335,8
28433.288730843866_35456.077226587084,8
28433.431819607184_35235.05365823372,10
28433.916285946478_35460.94519942353,8
28433.943469247053_35390.14893026858,8
28434.482315369787_35465.76016855075,8
28434.49751019282_35194.96069896586,10
28434.568274829748_35577.6053969957,6
28434.682031777953_35230.26415098858,10
28434.775290099627_35395.029502533136,8
28434.954672247877_35567.27088999012,11
28434.976974897014_35470.57752623566,8
28435.018667739285_35561.77631090011,11
28435.117117776404_35556.206441251474,2
28435.250022359232_35550.56128104421,3
28435.37554335622_35545.23040556262,3
28435.400264528143_35475.39727247827,8
28435.45179341168_35571.60611086693,11
28435.49368076735_35540.21381480672,3
28435.59048840052_35535.73557015233,3
28435.602188881105_35399.925917907036,8
28435.66596625572_35531.79567159945,8
28435.74144411092_35527.85577304657,8
28435.747262140307_35480.256985208944,8
28435.82348526828_35523.56932739066,0
28435.91208972779_35518.93633463172,0
28435.98392576088_35225.49806899681,10
28436.01299949605_35514.20643715452,9
28436.017967733496_35485.15666442766,8
28436.03252280342_35618.114190412896,5
28436.126214573058_35509.37963495907,9
28436.18531005503_35490.04310473252,0
28436.20743624113_35504.56290210076,9
28436.2492891049_35494.916306123516,8
28436.25666450027_35499.75623857959,0
28436.37282491323_35190.31984046116,10
28436.41186043612_35404.834294159264,8
28436.510031230697_35574.78197353057,6
28436.92835985539_35603.92279120059,5
28436.962822587782_35598.708978545095,10
28436.975190217872_35559.88234734241,2
28437.142461112628_35609.14902430631,5
28437.204304764673_35409.754631289834,8
28437.605126359504_35614.38767786224,5
28437.99182704283_35414.67500154466,8
28438.190843379933_35619.44973794353,5
28438.346581250815_35185.68435508151,10
28438.77442727059_35419.59540492373,8
28438.89961217392_35624.33520455016,5
28439.05965332615_35578.243794919326,6
28439.56441053328_35424.56122560828,8
28439.716666315642_35629.21215196591,5
28440.347360833435_35211.26839046505,10
28440.361776830905_35429.57246359828,8
28440.41139617747_35181.06416577315,10
28440.642005805108_35634.080580190785,5
28440.824239683643_35561.58899931701,2
28441.186214482248_35434.59145747185,8
28441.422436268054_35637.90712875701,5
28442.001183391018_35206.50032542688,10
28442.03772348731_35439.618207228974,8
28442.56726969319_35176.45927253607,10
28442.891693536232_35444.648900760054,10
28443.100659698033_35581.9915750332,6
28443.753447586227_35201.70799096662,10
28444.67328914941_35563.295651291606,2
28444.77728625164_35171.9271942887,10
28445.54445980044_35584.16345153439,6
28445.58200409958_35196.944870163265,10
28447.20323200603_35561.5446663371,2
28447.486852931077_35192.210963016805,10
28447.973500110224_35583.11990345228,6
28448.414068253514_35556.33604445347,3
28449.467994106562_35187.52603108605,10
28451.52542762603_35182.890074371004,10
28451.98498689688_35580.436834399545,11
28455.176944334133_35581.4166551072,11
28456.496063842562_35578.31614709547,11
28457.805269079432_35616.53322540797,5
28457.96524425994_35611.73372102258,5
28457.975072284305_35621.3664277918,5
28458.265466125442_35626.187086873,5
28458.33440718957_35606.980457938305,5
28458.637074141432_35630.95590140177,5
28458.94232072749_35584.49009963403,6
28459.089896332283_35635.672871378134,5
28459.18839365333_35602.30150808847,5
28459.51452590133_35639.734765607296,5
28459.91096284858_35643.14158408926,5
28460.527203651218_35597.69687147309,5
28461.50673094728_35576.75784154006,6
28462.56740843157_35593.232506752174,5
28464.10064542635_35585.99427821968,5
28465.309007994376_35588.90841392573,5
28468.248366262895_35552.64298361739,2
28469.101468860797_35585.56451746888,10
28472.23195967714_35554.694062370116,0
28473.94479103083_35583.20081738165,10
28476.215553091395_35556.74514112284,10
28476.459975320024_35579.8246974759,10
28476.647021728375_35575.43615775164,10
28479.01452888614_35581.391176969366,10
28479.184355961024_35572.72396485301,10
28480.60932153497_35558.38543615913,10
28484.071978017964_35571.68811878002,10
28485.413265007875_35559.614947479,10
28486.84065097091_35568.43507259237,10
28487.490374819852_35562.964826290074,10
28487.90381154113_35573.006189919884,10
28488.681504219185_35570.64595624427,10
28490.679856530518_35576.678178272625,10
28493.012934564682_35569.597477245785,10
28497.447729739273_35568.45156804815,9
28500.20409222863_35569.76194641109,9
28501.178657203647_35573.62604253377,9
28502.010501476092_35567.067769183835,9
28506.59788494603_35565.543510851996,9
28509.413314588972_35566.395041373784,9
28510.456790404914_35569.622360749214,9
28511.057296055653_35563.780848661394,9
28515.388734804957_35561.779782612044,9
28518.69145134645_35563.38546334152,9
28519.570051597373_35559.536487349105,10
28521.126381447815_35059.04832414666,10
28523.60124643291_35557.0509628726,10
28523.72243167198_35054.48475297779,10
28523.770369538164_35058.30606657131,10
28526.474237193335_35061.00189995034,10
28526.955648118033_35557.97056115591,10
28527.632442819082_35554.35990295862,10
28529.178104848506_35063.69773332936,10
28531.663640755898_35551.46330760718,10
28531.910691911486_35063.00437534931,10
28534.67199838228_35058.92182601018,10
28535.160785868364_35551.919630086646,10
28535.670229485397_35548.513494879335,10
28536.932203957935_35055.44394958744,10
28539.652209007578_35545.510464775085,10
28543.144434248534_35545.81463866426,10
28543.63172867969_35542.47583053663,10
28547.608788501726_35539.40959216395,10
28551.290519810915_35538.13953629577,10
28554.676922607254_35538.66566293208,10
28556.699908314335_35537.15408942317,10
28557.359476932157_35533.60481576904,10
28559.217525852997_35555.313940065105,10
28559.41937874056_35532.38750202171,10
28562.87961373954_35533.50214818116,10
28563.041991349233_35558.70323337427,10
28565.03549704346_35532.16571034434,10
