id,cluster
26829.370843564437_43955.812852814204,10
26832.94613722234_43936.03784708925,10
26834.41279597913_43955.21611797205,10
26836.966896423597_43933.74440320397,10
26837.884691394043_43924.28196881739,10
26838.613081147498_43929.82577711336,10
26839.713126479095_43955.473227294024,10
26840.222335857805_43921.22843263043,10
26845.626014538782_43920.66516855247,10
26848.800318319034_43922.907273366596,10
26850.64582481815_43919.67256292345,10
26855.281766695916_43918.25061574337,10
26855.709888010304_43909.44262021114,10
26856.969787759965_43914.84063483927,10
26858.71690158065_43919.39615977331,10
26860.95122947236_43923.109195013254,10
26864.31992829193_43924.403645283885,10
26865.47385855292_43893.50748566666,10
26866.67470042831_43898.486061161755,10
26867.727943102298_43913.16988670359,10
26867.870620970978_43903.470610307646,10
26868.220061418062_43908.36721003853,10
26868.822998039363_43923.2795105852,10
26868.982916396097_43917.23335685828,10
26870.77924088043_43920.80646595814,10
26871.918561198527_43924.785498866906,10
26873.606617769427_43928.92161012901,10
26876.598839797243_43931.90932483197,10
26878.50345254709_43939.38256473964,10
26879.854204324813_43899.77082522315,10
26880.080820396448_43953.29507335747,10
26880.34160812512_43942.54159593019,10
26880.52618904592_43949.16785032149,10
26880.895227281977_43933.748642975785,10
26881.301348029898_43958.168645864964,10
26881.530098198593_43936.23972294501,10
26882.521875607075_43963.02044087336,10
26882.610423192542_43954.317378033316,10
26882.637454034575_43945.80875425612,10
26883.38790875875_43932.317843175435,10
26883.747324637177_43967.87221089164,10
26884.076884227565_43927.61692543092,10
26884.204715470856_43898.56445865253,10
26884.977695120193_43972.72395591979,10
26885.353966848175_43922.870883049894,10
26886.225290520277_43977.567681259796,10
26886.59898245529_43900.07269138482,10
26887.03700527812_43904.29552342002,10
26887.219156620595_43918.07971603237,10
26887.479950393852_43908.726237709125,10
26887.49011083742_43982.40338691165,10
26887.927817802483_43913.364834252105,10
26888.759852628642_43987.243027745164,10
26890.034515893938_43992.08660376034,10
26890.88308991016_43906.50386289179,10
26891.28457218595_43996.92241252599,10
26892.510021504677_44001.7504540421,10
26893.723167257987_44006.550852813845,10
26894.918585572937_43893.993192219066,10
26894.92400944588_44011.32360884121,10
26894.972761345158_43903.41403944897,10
26895.263101564_43898.14925910768,10
26896.122391086636_44016.120145772,10
26897.31831218025_44020.940463606225,10
26898.22333081446_43899.151137308756,10
26898.519154981208_44025.82016022667,10
26899.724919489505_44030.75923563336,10
26900.923301934054_44035.69638037731,10
26902.114302314858_44040.631594458515,10
26903.290538336412_44045.51937931373,10
26903.799273324323_43896.998826822266,10
26904.452009998713_44050.35973494296,10
26905.184608213167_43887.54357350344,10
26905.613481486318_44055.14861163616,10
26906.11969912389_43893.12963888717,10
26906.774952799227_44059.886009393354,10
26907.92904202191_44064.61553565788,10
26908.752657557387_43894.35525725939,10
26909.075749154385_44069.337190429746,10
26910.234759928793_44074.078576853266,10
26911.189763256993_44133.465667464276,10
26911.40607434514_44078.83969492843,10
26912.400448996705_44138.29789304076,10
26912.570006800197_44083.6246239614,10
26913.083483513645_43891.2204286201,10
26913.611134730705_44143.116262048046,10
26913.72655729395_44088.43336395215,10
26914.821820458987_44147.92077448612,10
26914.915097124198_44093.27755818034,10
26916.06695605406_44152.71914283623,10
26916.135626290936_44098.15720664596,10
26917.29861774759_43878.58002290767,10
26917.346541515923_44157.51136709837,10
26917.35861644619_44103.09228950264,10
26917.40200733131_43888.09557764837,10
26918.584067589967_44108.08280675036,10
26918.667959072125_44162.32314500415,10
26919.824282940783_44113.057398489065,10
26920.031208722667_44167.154476553565,10
26921.07926249864_44118.016064718744,10
26921.421525999052_44171.9420849721,10
26921.67376581581_43881.80885276394,10
26921.708229010383_43884.980704344176,10
26922.31209574601_44122.96694898647,10
26922.838910901282_44176.68597025976,10
26923.52278268289_44127.91005129223,10
26924.263678037834_44181.43971632535,10
26924.731008861265_44132.82743112421,10
26925.695827408716_44186.20332316889,10
26925.936774281145_44137.71908848241,10
26925.98246288079_43881.87988750014,10
26927.132898247433_44190.9609641336,10
26927.157303813252_44142.57105790053,10
26928.392597457594_44147.38333937858,10
26928.574890553995_44195.712639219484,10
26929.637734116233_44152.22922907774,10
26929.99227572141_44200.420903039514,10
26930.892713789173_44157.108726998,10
26931.385053749684_44205.08575559369,10
26932.140311488813_44162.00807612931,10
26932.731078194756_44209.68554826667,10
26933.38052721516_44166.92727647166,10
26934.030349056622_44214.22028105844,10
26934.62566448779_44171.86625380306,10
26935.226270270083_44218.73188015537,10
26935.87572330671_44176.8250081235,10
26936.318841835142_44223.22034555745,10
26937.140546490016_44181.801499871464,10
26938.420134037704_44186.79572904695,10
26938.7698683399_44263.03758158239,10
26939.276613130754_44223.92326140469,10
26939.370301260275_44268.10332973421,10
26939.689878853533_44191.797943484315,10
26939.702454747858_44257.92692629915,10
26939.941205637548_44273.14945951536,10
26940.482581471715_44278.17597092584,10
26940.543947064594_44241.204829663235,5
26940.949780937503_44196.80814318358,10
26941.0042716795_44283.206567187546,10
26941.506276260894_44288.24124830049,10
26942.042730740017_44293.28166714752,10
26942.16806048415_44252.771363884494,5
26942.199840276397_44201.82434800458,10
26942.44855792306_44247.19733167252,5
26942.613635116864_44298.327823728665,10
26943.243596464286_44303.383529701794,10
26943.440056870215_44206.84655794731,10
26943.93261478228_44308.44878506692,10
26944.099584156924_44220.840627697115,10
26944.672891292845_44211.843074899836,10
26944.712679538716_44313.59270506387,10
26945.583790733588_44318.81528969265,10
26945.89834354429_44216.813898862165,10
26946.491812473825_44324.0237948982,10
26946.87046065762_44250.45775712559,5
26947.185313911927_44221.8794059557,10
26947.436744759423_44329.21822068052,10
26948.46041992901_44334.47752417876,10
26948.533802395767_44227.03959618044,10
26949.562837982594_44339.80170539291,10
26950.005326587874_44232.26439495773,10
26950.746459570808_44345.17094714868,10
26950.854335081818_44248.091075168624,5
26951.1397980487_44253.22999645528,5
26951.599886488257_44237.55380228756,5
26951.88288931957_44242.829362357865,5
26952.23972425482_44250.704505575704,5
26952.739278220226_44258.24612621784,10
26955.0326747011_44262.39468638922,10
26956.039056838577_44250.66965357911,5
26958.01998749133_44265.67567696943,10
26958.561376265054_44273.868561688505,10
26958.98463742339_44278.648256195316,10
26959.19622134598_44269.500302069195,10
26960.466004820984_44283.83938558964,10
26961.61748434478_44250.762660421155,5
26961.93014619525_44288.7454702872,10
26963.377061546176_44293.366510288004,10
26964.819056966568_44298.33610669934,10
26966.25613245641_44303.654259521216,10
26967.707972398857_44309.00203235199,10
26968.975006773424_44250.98352610186,5
26969.174576793914_44314.37942519168,10
26970.660866958617_44319.758684945125,10
26972.166842892977_44325.13981161233,10
26973.682661870233_44330.54860803957,10
26975.016046781777_44250.0163008008,5
26975.20832389039_44335.985074226846,10
26976.28859761849_44341.48562882665,10
26976.92348305454_44347.05027183899,10
26977.87333871337_44352.42489061847,10
26979.138164594984_44357.609485165085,10
26979.599124202192_43939.89724606481,8
26979.74060436983_44247.860984517996,5
26979.813225573103_43944.7491371003,8
26979.987897715688_43934.98033974114,8
26980.422676267895_44362.80584760586,10
26980.63020182842_43949.536012847624,8
26981.368340992987_43930.41188908781,8
26981.712935119685_43954.26584697922,8
26981.726873732103_44368.013977940784,10
26983.038453484896_44373.245832309214,10
26983.061425446896_43958.9386394951,8
26983.74045403408_43926.19189410481,8
26984.357415526272_44378.50141071115,10
26984.371656540738_44245.74385933677,5
26984.464051847244_43963.676452726904,8
26985.678838444437_44383.78272335333,10
26985.92081432072_43968.479286674636,8
26987.00272223939_44389.089770235754,10
26987.00335005317_43922.732817097385,9
26987.424330956663_43973.4026289913,8
26988.3339883031_44394.414600617136,10
26988.909203294505_44243.66492525714,5
26988.97460175506_43978.4464796769,8
26989.67263663556_44399.75721449748,10
26990.583930570258_43983.674128475686,8
26991.01128512551_44405.12359752414,10
26991.15702905025_43920.034658065524,9
26992.252317402254_43989.08557538764,8
26992.349933772937_44410.513749697144,10
