id,cluster
29814.63039778846_40178.79037414326,9
29817.583526714225_40178.599265866185,9
29820.6206657699_40178.30046889047,9
29824.147582846843_40178.62984584595,9
29828.16427794506_40179.587396732604,9
29832.338492463117_40180.466868453346,9
29836.67022640102_40181.26826100816,9
29837.534813828857_40452.47432502585,9
29840.57699163118_40182.05303332036,9
29841.485806144206_40451.838873629866,9
29844.058788153598_40182.82118538994,9
29845.344954548218_40451.23570253569,9
29847.540584676015_40183.589337459525,9
29849.112259040892_40450.664811743314,9
29851.53349458787_40184.47053590317,9
29852.879563533566_40450.09392095094,9
29856.03751788916_40185.46478072089,9
29857.202284771214_40449.4201764319,9
29859.781022018095_40186.94751446748,9
29862.080422753836_40448.64357818621,9
29862.764006974678_40188.91873714295,9
29865.746991931257_40190.88995981842,9
29866.286649115536_40447.942824668775,9
29869.266527544332_40192.354230163415,9
29869.82096385632_40447.31791587961,9
29873.322613813903_40193.31154817795,9
29873.3552785971_40446.69300709046,9
29875.05649177308_39816.65246257936,10
29876.176383071714_39805.66318302225,0
29876.896977650373_40446.12476777565,9
29877.180167100425_40193.64622978732,9
29878.004065292618_39816.3158847504,10
29878.922490997982_39805.37251128677,0
29880.446061016126_40445.61319793519,9
29880.8391874039_40193.35827499154,9
29881.99707478722_39805.04574600073,0
29882.24230087668_39815.79646384497,10
29884.343804584925_40216.400033094724,9
29884.452129140554_40212.078895537896,9
29884.498207707373_40193.07032019576,9
29884.604755544417_40207.78321835021,9
29884.801683796508_40203.51300153168,9
29885.210074577975_39937.04320317452,10
29885.25704040669_40199.26500554128,9
29885.400134439435_39804.68288716415,0
29885.97082537497_40195.039230379,9
29886.613444058537_39815.27032804647,0
29886.65261238019_40191.10840524343,9
29887.302401422356_40187.47253013457,9
29888.059966669265_40256.49527638801,10
29888.247541418088_40183.27705527474,9
29888.473425437624_40260.25550875816,10
29888.768593950528_39939.74964536909,10
29888.803194091648_39804.32002832755,0
29888.977949604392_40263.99938128021,10
29889.064696835292_40179.218837322514,9
29889.458516720395_40175.85747602884,9
29889.57353916957_40267.72689395417,10
29890.346333200385_40271.96771744761,10
29891.117494838196_39814.7374773549,0
29891.296331696845_40276.72185176052,10
29891.93371087871_39942.686362337954,10
29892.066665834936_40280.77871613037,10
29892.124195658667_40151.69948115637,9
29892.20625484271_39803.96640065604,0
29892.657335614665_40284.13831055717,10
29892.828137288896_40147.33137852166,9
29893.289844786963_40287.697467415324,10
29893.505004937964_40143.04059014229,9
29893.96419335183_40291.45618670485,10
29894.154798605872_40138.82711601826,9
29894.71237798839_40295.309431507565,10
29894.991644014597_40134.82223527162,9
29895.53439869665_40299.25720182349,10
29895.609316692615_39803.622004149605,0
29895.722459088953_39813.970621149616,0
29896.015541164146_40131.025947902344,9
29898.0643986055_40318.6552573238,10
29898.325260696976_40322.52326621784,10
29899.01237854252_39803.27760764317,0
29900.02264665426_40442.27694926139,10
29900.047167935896_40111.77995287013,9
29900.428336810804_39812.969759430605,0
29900.647735449576_40107.855616895744,9
29901.23075101854_39805.446389185236,0
29901.282761479586_40103.75106556248,9
29901.952246025932_40099.46629887035,9
29902.213838803993_40344.435746326555,9
29902.26443412067_39810.12834877582,0
29903.05554673965_40348.75931898143,9
29903.742198969878_40352.87806527896,9
29903.945847605693_40440.94018092627,10
29904.273795494675_40356.79198521914,9
29904.42866207334_39812.124695914994,0
29904.71389703132_40078.06773649919,9
29904.719457372536_39989.21618766877,8
29904.81769971291_40360.488221135354,10
29904.862187082836_39992.220160558354,8
29905.073899193045_39985.75233918936,8
29905.137256659877_40074.112822936106,9
29905.373911624585_40363.96677302759,9
29905.498896233225_39982.29401358045,8
29905.50208832395_39994.76425785811,8
29905.68121594194_40070.23633056029,9
29905.95965915043_40367.32051924795,10
29905.994448493082_39978.841210842045,8
29906.329039603632_39997.78003559053,8
29906.34577487751_40066.43825937176,9
29906.40146944068_39965.23050453892,9
29906.49000075294_39975.38840810363,8
29906.535992417554_39968.603105417125,9
29906.574942290445_40370.54945979641,10
29906.670515394428_39971.97570629533,9
29907.007868321365_40063.2395949253,9
29907.116387307608_40373.96677836565,10
29907.280819831954_40439.15779919193,10
29907.343040921896_40001.267493755615,8
29907.583994201912_40377.57247495565,9
29907.6674962735_40060.64033722091,5
29907.723434876563_39811.43543060278,0
29907.99978251969_40057.80562590629,5
29908.00472705993_40054.73546098141,5
29908.098281121675_40050.930873558435,5
29908.26843724986_40004.86229623194,8
29908.280444704924_40046.391863637364,5
29908.65458451686_40041.80425263551,5
29908.878572076734_40381.31375823288,10
29909.105228587527_40008.56444301952,5
29909.22070055748_40037.16804055289,5
29909.449711029698_40021.02483861814,5
29909.44974150909_40016.78958942223,5
29909.498905235767_40025.245955004015,5
29909.498996673934_40012.54020741628,5
29909.508694518045_40032.97657918292,5
29909.518566398547_40029.22986852561,5
29910.02756333304_40436.92980405837,10
29911.00012093206_40385.19062819736,9
29911.01820767978_39810.74616529057,0
29911.395643521613_39804.148397663135,0
29912.24227722813_39808.31715431069,0
29912.304218031564_40434.022055575144,10
29914.110783927525_40430.43455374224,10
29914.90342891404_40412.43886891713,10
29914.989000185848_39810.04369759309,0
29915.11007141903_40426.33151430909,10
29915.233199671082_40417.08205547836,10
29915.302080506077_40421.71293727567,10
29919.63581239476_39809.32802751035,0
29921.508856049342_39802.99115426437,0
29921.80909768259_39806.97717973411,0
29923.386801135588_39799.7004830465,0
29926.0547804624_39799.427660255205,0
29927.900685149914_39802.33248884736,0
29930.312667677066_39806.09247464826,0
29932.44737552234_39806.53884583404,0
29934.304808685745_39803.67160240466,0
29935.7102380685_39794.85699122169,0
29936.16224184915_39800.80435897529,0
29936.630718310065_39797.86615524764,0
29936.879349675706_39791.519064337575,0
29938.57014733416_39801.304509915724,0
29940.138053131683_39787.85237459527,0
29941.528525140777_39805.17205522596,0
29943.08910373038_39784.039141589325,0
29944.144821736056_39804.90349265785,0
29945.7325014718_39780.07936531975,0
29946.419037119987_39800.498822211404,0
29947.694133563655_39776.55415460555,0
29948.858128749856_39799.78821236028,0
29948.974000005954_39773.46350944675,0
29950.25386644825_39770.37286428794,0
29951.19572364322_39767.18794292912,0
29951.46209662566_39802.771663104475,0
29951.799571590876_39763.908745370274,0
29952.403419538525_39760.629547811426,0
29953.259055055605_39768.21034356247,0
29954.425754988246_39758.28752830408,0
29954.60017625359_39802.682016606486,0
29957.287849182543_39802.671502319434,0
29957.39616962657_39799.144633498596,0
29957.43763063242_39724.683969132544,0
29957.68957488626_39728.843026099596,0
29957.866577940025_39756.88268684822,0
29957.97012029286_39733.72317017118,0
