id,cluster
15111.237400401438_35219.49042046319,5
15112.125275973496_35216.63913739116,5
15113.615114852579_35211.88149898728,8
15115.097576459688_35207.10413650556,8
15116.572660794816_35202.307049946,8
15118.037909936374_35197.510024982716,8
15119.493323884357_35192.71306161571,8
15120.840356120696_35222.43350909079,6
15120.911854985956_35187.91038237997,8
15121.969176063707_35218.52184950702,4
15122.180817708735_35192.05913583516,8
15122.29350324117_35183.10198727548,8
15123.212114181408_35214.1243117314,5
15123.662857236657_35178.28971345834,8
15124.5691704738_35209.24089576392,8
15125.019916972416_35173.47356092855,8
15125.950818529971_35204.422591721144,8
15126.100391409509_35195.54824764107,8
15126.374517850609_35168.65347370703,8
15127.35705834992_35199.66939960306,8
15127.726659871232_35163.82945179378,8
15128.792805328954_35194.93186217638,8
15129.098471218269_35158.96973504137,8
15130.258059467076_35190.20997944109,8
15130.489951891723_35154.074323449786,8
15131.779864169692_35185.41857993491,8
15131.908480602347_35149.188649349366,8
15133.354057350147_35144.31271274011,8
15133.358219436803_35180.557663657826,8
15134.846352607949_35139.43849311027,8
15134.92674175251_35175.74426061032,8
15136.385366375753_35134.56599045985,8
15136.485431116811_35170.97837079239,8
15137.91208711528_35129.71531193008,8
15138.002321670325_35166.24435872925,8
15139.426514826537_35124.88645752096,8
15139.477413413051_35161.542224420904,8
15140.91562096456_35156.80669414458,8
15140.950778080227_35120.05557569743,8
15142.316944324855_35152.037767900285,8
15142.484876876351_35115.22266645949,8
15143.698598050698_35147.29070757291,8
15144.810782172646_35111.55175571359,8
15145.060582142094_35142.56551316244,8
15146.349559548924_35101.615894803865,8
15146.400435973514_35137.82463308742,8
15146.617731143813_35104.94580679685,8
15147.71815954496_35133.068067347835,8
15147.726295508162_35096.85112450854,8
15147.928493969108_35109.04284345972,8
15148.53081029283_35106.84086048747,8
15149.053096668376_35128.34106593709,8
15149.107947046869_35092.03690404999,8
15150.405247343766_35123.643628855185,8
15150.494514165042_35087.17323342826,8
15151.223241408152_35106.473612288086,8
15151.893376956907_35082.33520089839,8
15153.30453542246_35077.52280646043,8
15154.695024489778_35103.84406219867,8
15154.735365126575_35072.71425991249,8
15156.18586606925_35067.90956125459,8
15157.104528958404_35100.09360575333,8
15157.155543842784_35104.32697587546,8
15157.6535795881_35063.112678656995,8
15158.451754814025_35095.22224295208,8
15158.604799467168_35107.922353318456,8
15159.138505683122_35058.32361211969,8
15160.054055091552_35111.51773076144,8
15160.616055317554_35053.53261603433,8
15161.811249368197_35057.55117822747,8
15162.086228491393_35048.739690400915,8
15162.395091208447_35080.86708964435,8
15162.967072629883_35113.423569506296,8
15163.348969847491_35077.47949785815,8
15163.556400291724_35043.91315990995,8
15164.302848486534_35074.09190607194,8
15164.771262763124_35047.87426594122,8
15165.02657071854_35039.05302456144,8
15165.485363674765_35069.90295172332,8
15165.671810643325_35060.79537698034,8
15166.457399502004_35034.191141630195,8
15166.89651541218_35064.91263481229,8
15167.343852082162_35113.63986955302,8
15167.723897613485_35038.138105873266,8
15167.848886642107_35029.32751111621,8
15168.671158132744_35050.93634265523,8
15169.24037443173_35024.473771694444,8
15170.631862870874_35019.6299233649,8
15171.502626034306_35114.11245846032,8
15171.648380976552_35041.16840384541,8
