id,cluster
20978.300077675965_33751.40520294482,9
20983.224974549048_33748.456400531744,9
20987.57386632978_33745.13575047236,9
20991.602980795906_33741.78528973524,9
20995.31231794742_33738.40501832038,9
20998.780581024403_33734.56568193665,7
21002.007770026845_33730.267280584034,7
21005.27678206632_33726.170208728414,7
21005.488421992774_33729.901837739555,7
21008.587617142835_33722.27446636978,7
21008.983235719388_33803.153976103524,2
21009.222536922192_33733.469353403205,7
21010.454357049675_33808.76970820014,2
21011.888612368657_33718.32542972353,7
21012.179355212902_33737.42659184523,9
21012.88883859314_33831.48229030306,4
21013.054528036348_33813.84947483362,6
21014.35887686491_33741.773553065635,9
21014.978876087618_33835.11101152704,4
21015.179767743793_33714.32309878967,3
21015.689409752653_33829.7345080197,2
21016.764705433594_33746.19828520745,9
21016.783748679416_33818.393276003975,6
21017.662042584852_33823.688287066,6
21018.33563185509_33710.27410936779,3
21019.396840918955_33750.70078827069,9
21020.808056422662_33819.22030263738,2
21021.356204702555_33706.17846145791,2
21023.965996339204_33702.504060589155,11
21025.12745126609_33816.33055473385,11
21026.165006765037_33699.25090676153,6
21030.408164611472_33696.897198993975,6
21035.667641517215_33867.60385184888,4
21036.695469878512_33695.44293728648,0
21038.062524206027_33866.34262025744,4
21038.111638777817_33667.785899929004,10
21038.121354475363_33662.8733734148,10
21038.20031696627_33672.71368562705,10
21038.229464058913_33657.97610608445,10
21038.38738828697_33677.627089556656,10
21038.438426835062_33653.07234758101,5
21038.672852739903_33682.52611171781,10
21038.748242803802_33648.16209790448,5
21039.071469352784_33687.41066870697,0
21039.161371975148_33643.251271470916,9
21039.583238125615_33692.280760524154,0
21039.67781434909_33638.339868280294,9
21039.71529613772_33856.91896135059,4
21040.297569011716_33633.39034374772,9
21040.36478733765_33665.27348878365,10
21040.472843774733_33853.65603546666,2
21040.51262852863_33675.24581303238,10
21040.652338416898_33655.338253539,9
21041.02063596303_33628.402697873185,9
21041.090939291396_33685.13669000239,0
21041.414638221715_33645.39838877192,8
21041.822418255837_33623.4323985341,9
21042.07692199429_33864.177825480685,8
21042.141537271014_33694.961691475,0
21042.59456512519_33711.58184701731,2
21042.627845971518_33861.03660584507,8
21042.702915890142_33618.47944573047,9
21043.598300038742_33716.39385970445,2
21043.659669308723_33613.55373343133,9
21044.245034770156_33708.31992306006,11
21044.692678511576_33608.65526163667,9
21044.700427507778_33721.16580069717,2
21044.900488882555_33851.24782819327,2
21044.95976264578_33665.17645219098,10
21045.048573464894_33675.38228214497,10
21045.389977549316_33654.95981577845,5
21045.64164794145_33685.45882441041,0
21045.75274590803_33603.75071500246,9
21045.900947532296_33725.897669995495,9
21046.296784104994_33718.03064356643,11
21046.4376130888_33644.78122018332,9
21046.746366788982_33695.45346155953,0
21046.83987149809_33598.84009352868,9
21047.18264113784_33730.58363609849,9
21047.939296259952_33593.92348042726,9
21048.5455083244_33735.22369900615,9
21048.549708973642_33706.608087832676,6
21048.739643196233_33727.5534264311,9
21049.05102019362_33589.0008756982,9
21049.374871906475_33848.82355018023,11
21049.39426767995_33641.93288874169,9
21049.46209767982_33698.21255250609,0
21049.969869721066_33739.790304100716,9
21050.162744995796_33584.10791694062,9
21050.284601995158_33636.85339444703,9
21050.28872994353_33703.23896431469,6
21050.69001732394_33716.49219860328,11
21051.27447066648_33579.24460415455,9
21051.324987429543_33631.80467725305,9
21051.455725327825_33744.28345138219,9
21051.541634676527_33736.90228299365,9
21052.39357633356_33574.395087493496,9
21052.515423983103_33626.78673715975,9
21052.961257763873_33748.6974479394,9
21053.21651449959_33726.133070004,9
21053.52006199704_33569.55936695748,9
21053.895992846497_33846.383201427525,2
21054.486467029205_33753.03229377236,9
21054.636340870664_33745.99063850136,9
21054.64408606419_33564.648577612184,9
