id,cluster
20892.080667974595_30814.27127257355,8
20892.485555461964_30815.867271978666,8
20892.980751229534_30817.903844171164,8
20893.56625527731_30820.380989151043,8
20894.151759325083_30822.858134130922,8
20894.73726337286_30825.3352791108,8
20895.28709976047_30827.811636308077,8
20895.80126848792_30830.287205722747,8
20896.315437215366_30832.76277513742,8
20896.829605942818_30835.23834455209,8
20897.305647231315_30837.7161020691,8
20897.74356108086_30840.196047688434,5
20898.18147493041_30842.675993307777,5
20898.619388779956_30845.155938927113,5
20899.009335951218_30847.643064195785,5
20899.351316444183_30850.13736911378,5
20899.693296937156_30852.631674031778,5
20900.03527743012_30855.125978949774,5
20900.34282015152_30857.61948944791,5
20900.615925101352_30860.112205526177,5
20900.889030051178_30862.60492160445,5
20901.16213500101_30865.097637682717,5
20901.404492186524_30867.599413217395,5
20901.616101607728_30870.11024820849,5
20901.827711028935_30872.621083199578,5
20902.039320450138_30875.131918190673,5
20902.22756149615_30877.646834798532,5
20902.392434166974_30880.165833023162,5
20902.5573068378_30882.684831247796,5
20902.722179508623_30885.203829472426,5
20902.867373265024_30887.71503982176,5
20902.992888107005_30890.218462295794,5
20903.118402948985_30892.721884769828,5
20903.243917790965_30895.22530724386,10
20903.357133063677_30897.713988991083,10
20903.45804876712_30900.187930011485,4
20903.558964470565_30902.66187103189,4
20903.659880174007_30905.135812052293,4
20903.75341640923_30907.611771415242,6
20903.839573176232_30910.089749120736,6
20903.925729943236_30912.567726826226,11
20904.01188671024_30915.04570453172,11
20904.094354363922_30917.54937863568,11
20904.173132904296_30920.078749138105,11
20904.251911444662_30922.608119640532,6
20904.330689985036_30925.13749014296,5
20904.40946857585_30927.668838316615,5
20904.488247217112_30930.2021641615,5
20904.56702585837_30932.735490006387,5
20904.645804499633_30935.268815851272,5
20904.734422225563_30937.791227555204,5
20904.832879036156_30940.302725118185,5
20905.39908306693_30957.817769000474,0
20905.468021658064_30960.323517547826,0
20905.5369602492_30962.829266095177,0
20905.60589884033_30965.33501464253,10
20905.677297295904_30967.84173977469,10
20905.751155615922_30970.349441491657,10
20905.825013935937_30972.857143208625,10
20905.898872255955_30975.364844925592,10
20905.97764995503_30977.860672795396,10
20906.061347033174_30980.344626818038,10
20906.117804104062_30936.495957063486,5
20906.145044111316_30982.828580840676,10
20906.228741189458_30985.31253486332,10
20906.317357201442_30987.76684085137,10
20906.410892147265_30990.191498804834,10
20906.504427093096_30992.6161567583,10
20906.59796203892_30995.040814711763,8
20906.708716080553_30997.474267016038,8
20906.836689217987_30999.91651367112,10
20906.964662355425_31002.358760326202,10
20907.09263549286_31004.801006981284,10
20907.24151743804_31007.250052696658,9
