id,cluster
25843.48879670421_34004.36676967819,9
25843.67326925446_33960.69720147978,0
25845.952012106085_34002.83964508626,9
25846.050105895352_33960.384926942046,0
25848.75956398123_34000.59700345161,9
25849.554028512408_33959.927818125885,0
25851.618789977063_33998.435080704265,9
25851.881905801507_34086.032636280914,8
25853.057951129464_33959.47070930974,0
25853.408339146943_34085.3267306663,8
25854.76099451862_33997.10339020271,9
25856.3709177429_34083.95321016817,8
25856.520864715116_33959.03227341647,0
25856.92140973213_33995.59744649392,0
25856.968536375287_34043.82776144796,9
25857.002968149238_34041.64621392518,9
25857.583706796475_34045.72111429251,9
25857.68700211832_34039.176471724175,9
25858.16196764521_34047.583062590995,9
25858.39810401109_34036.838960581685,9
25858.703318921507_34049.41360634343,9
25858.858723962614_33993.41439199257,0
25859.136273827542_34034.63368049772,9
25859.33349633886_34082.57968967004,8
25859.923800709723_34051.04272538863,9
25859.942769269357_33958.6125104461,0
25860.062073472738_33923.327525182984,10
25860.312438844925_34032.96138376696,9
25861.82341300986_34052.47041972662,9
25861.837705083843_33991.55871215167,0
25861.926599063238_34031.82207038941,9
25861.934448101427_33923.1089248418,10
25862.274750217723_34081.17731125842,8
25863.364673823606_33958.19274747573,10
25863.651488357078_34030.78487622936,9
25864.336538586365_34053.536355797885,9
25864.418367667095_33922.818001021355,10
25864.81668620507_33989.70303231078,9
25865.194679379492_34079.7460749333,8
25865.48710672644_34029.84980128678,9
25866.771815884713_33957.78360583439,10
25867.04347059646_34191.1992782807,9
25867.46317743924_34054.240533602446,9
25867.51383216974_33922.45475372164,10
25867.76810398265_34029.625493859865,9
25867.836679103522_33987.898494267574,9
25868.11460854126_34078.31483860818,8
25870.10940515936_34190.84009740948,0
25870.16419545269_33957.38508552207,10
25870.494480125708_34030.111953948595,9
25870.589816292108_34054.944711407006,9
25870.609296672388_33922.09150642193,10
25870.8976837792_33986.14509802206,9
25871.235179412823_33909.07885057175,10
25873.040620623517_33908.84434492127,10
25873.060916148905_34030.61117300831,9
25873.175339722256_34190.48091653825,4
25873.556575020666_33956.98656520976,10
25873.704761175035_33921.72825912222,10
25873.958688454877_33984.39170177655,9
25874.10698525355_33910.32953501808,10
25874.434273302923_33913.53442086216,10
25874.761561352298_33916.73930670624,10
25875.08884940167_33919.94419255032,10
25875.467412052243_34031.123151039,9
25876.241274285156_34190.121735667024,4
25876.76581131787_34259.41557205545,8
25876.779311604754_33921.3631543363,10
25876.901383724413_33956.60412038256,10
25877.029537371338_33982.734408755845,9
25877.5450110552_34032.47541033778,9
25879.2402616762_34259.72342926209,8
25879.29371315777_34034.667950904666,9
25879.43106117585_34189.72200648019,4
25879.83294796155_33920.99619206417,10
25880.110230528582_33981.173218959964,9
25880.19862156393_33956.23775104049,10
25881.04241526034_34036.86049147154,9
25881.572340705767_34046.046568618935,9
25881.636341932124_34049.2918923539,9
25881.710110948112_34042.81064587335,9
25881.714712034533_34260.03128646874,8
25881.847881190457_34039.57472312777,9
25881.902114627184_34052.546617078246,9
25882.167887322244_34055.8013418026,9
25882.744700394338_34189.281728977745,8
25882.88658431834_33920.629229792044,10
25883.19092368583_33979.612029164084,9
25883.495859403447_33955.87138169841,10
25884.566105414975_34259.87441609675,8
25885.07975685565_34072.36902264727,8
25885.940220675137_33920.262267519916,10
25886.058339612828_34188.8414514753,8
25886.297865326564_33978.15211841324,9
25886.9013657191_33955.46093289969,10
25887.794441817525_34259.252818146124,8
25888.334342091228_34071.723614147224,4
25888.97294287447_33919.88850824789,10
25889.139860980224_34188.42060003441,8
25889.43105545079_33976.79348670746,9
25890.415140510886_33955.006404644315,10
25890.524675204324_33906.22561961129,10
25891.02277822007_34258.63122019551,8
25891.588927326797_34071.07820564719,4
25891.98475091633_33919.50795197595,10
25891.989264496522_34188.01917465507,8
25892.564245575013_33975.43485500167,9
25893.82519632898_33905.706446925404,10
25893.92891530267_33954.55187638895,10
25894.046885539745_34258.25415016016,8
25894.838668012824_34187.61774927574,8
25894.886165341064_34070.53530172354,4
25894.9965589582_33919.12739570402,10
25895.717122483118_33974.169635724946,9
25896.866763776547_34258.12160804008,8
25897.125717453633_33905.18727423952,10
25897.398400022008_33954.10418460775,10
25897.688071529123_34187.2163238964,4
25898.00836700006_33918.74683943208,10
25898.226056134026_34070.09490237628,4
25898.86826464159_33906.63129707152,10
25898.88968617511_33972.997828877276,9
25899.05283789285_33910.03851542141,10
25899.237411144106_33913.44573377129,10
25899.421984395365_33916.852952121175,10
25899.68664201335_34257.989065919995,4
25900.45904646409_33904.45057873598,10
25900.557981843434_34186.892831631834,8
25900.62755682393_34304.4508452448,8
25900.823594668895_33953.66332930073,10
25901.011563994554_33918.359416697866,10
25901.56594692699_34069.65450302903,4
25902.0622498671_33971.82602202961,9
25902.50652025015_34257.856523799914,4
25903.07317780064_34304.095021368485,8
25903.448398955763_34186.64727248205,4
25903.825183360343_33903.49636041478,10
25904.006149941673_33917.96512750137,10
25904.24878931579_33953.22247399371,10
25904.886153823398_34069.21816691352,8
25905.27254485724_33970.72776710145,9
25905.518798777353_34303.73919749216,8
25905.71599847141_34257.62989476687,4
25906.338816068084_34186.40171333225,8
25907.00073588879_33917.57083830488,10
25907.1913202566_33902.54214209357,10
25907.612470355358_33952.94332495464,10
25908.186676823258_34068.785894029745,4
25908.40991442855_34303.352925280735,8
25908.520571145527_33969.703064092806,9
25909.31507667713_34257.30917882087,4
25909.41132063056_34186.141951343074,8
25909.995321835908_33917.17654910838,10
25910.914637787613_33952.82588218354,10
25911.48719982312_34068.35362114598,4
25911.74652475423_34302.9362047342,8
25911.768597433816_33968.67836108416,9
25912.66591264318_34185.867986514495,4
25912.914154882852_34256.988462874855,4
25912.98744837165_33916.78424984065,10
25914.022414293664_33952.47836660351,10
25914.820532556725_34067.94619068711,11
25915.05435511984_33967.7311614271,9
25915.083135079913_34302.519484187666,8
25915.9205046558_34185.59402168593,4
25915.977115496014_33916.39394050171,10
25916.49026830458_34256.642848350966,4
25916.935799873514_33951.900778214535,10
25918.186675024073_34067.56360265314,2
25918.3778442036_33966.861465121634,9
25918.46239747989_34302.10252236108,8
25918.96678262038_33916.003631162755,10
25919.166894373164_34185.15412611336,4
25919.24668189334_33889.24020007886,9
25919.26306236865_33886.08938022099,9
25919.279442843952_33882.93856036312,8
25919.606711419372_33880.40079996115,8
25919.849185453368_33951.323189825576,10
25920.043416942317_34256.272335249196,4
25920.463819918412_33881.80435558889,8
25921.552817491418_34067.18101461917,3
25921.701333287358_33965.991768816166,9
25921.88431195417_34301.68531925444,8
25921.956449744746_33915.61332182381,10
25922.405081795267_34184.54829979679,4
25922.81619359203_33882.68676589827,8
25922.980748832677_33950.82208489957,10
25923.596565580054_34255.901822147425,4
25924.631130802285_33966.32559839696,9
25924.9547303157_33915.224939881875,10
25925.03050971954_34066.77540304574,3
25925.16856726564_33883.56917620766,8
25925.306226428445_34301.2681161478,4
25925.322885630012_33899.311419394726,9
25925.643269217366_34183.94247348022,6
25926.330490011445_33950.397463436544,10
25927.066054052502_34255.54627304555,4
25927.167236748384_33967.86295386402,9
25927.46189226586_33885.27253148286,8
25927.961624333246_33914.83848533696,10
25928.554517659257_33898.91908882605,9
25928.619751708444_34066.346767932846,7
25928.739624943337_34300.83767510241,4
25928.90606362724_34183.27986530948,11
25929.680231190214_33949.972841973504,10
25929.696168592687_33887.796831723856,8
25929.703342694484_33969.400309331075,9
25930.451882359663_34255.20568794358,4
25930.96851835079_33914.45203079204,10
25931.576720023542_33971.232514210686,9
25931.593924034332_33968.503801820276,9
25931.786149688505_33898.52675825737,9
25932.184507498845_34300.39399611826,4
25932.193465024895_34182.560475284554,6
25932.208993697346_34065.91813281996,7
25932.2601660088_33889.69360379249,8
25932.787368735557_33973.35956850285,9
25932.838980767934_33965.17343133163,9
25933.01520974831_33949.55752457975,10
25933.68921032097_33975.837102984646,9
25933.837710666823_34254.865102841606,4
25933.975412368334_33914.06557624712,10
25934.282244779773_33978.66511765608,9
25934.41738179799_33897.419946399714,9
25934.73857792942_33963.30740161989,9
25934.875279238575_33981.49313232751,8
25935.153884514206_33890.96284768873,8
25935.46831369738_33984.32114699894,8
25935.480866422542_34181.841085259635,11
25935.547658875654_34065.03020846739,7
25935.629390054346_34299.95031713411,4
25936.038794691856_33987.46312070022,8
25936.335425685735_33949.15151125527,10
25936.448213987722_33895.598653253066,9
25936.586722222004_33990.919053431324,8
25936.97369533068_33913.67423105928,10
25937.134649752155_33994.37498616244,8
25937.16776559137_34254.50639138651,8
25937.292715518797_33962.90571268507,9
25937.6530493381_33997.78893819019,8
25938.04760301961_33892.232091584985,8
25938.141920979844_34001.160909514576,8
25938.479046177446_33893.777360106425,9
25938.63079262159_34004.53288083896,8
25938.635747243374_34063.682994875126,3
25938.68583756298_34181.093181951175,11
25938.936478415482_34299.531130143456,4
25939.168877013588_34007.90589487826,8
25939.655641623158_33948.7454979308,10
25939.756174155842_34011.279951632474,8
25939.963367237815_33913.277995228535,10
25940.229892884956_33962.486053650005,9
25940.343471298096_34014.65400838668,8
25940.442047133307_34254.129553578285,8
25940.92420618525_34017.951706237465,8
25941.12955661853_33892.859457540544,8
25941.49837881729_34021.17304518481,8
25941.723835611094_34062.335781282876,7
25941.808378446214_34180.31676535919,3
25942.07255144934_34024.394384132174,8
25942.105772582254_34299.136435146276,4
25942.584388351304_34027.66876803669,8
25942.953039144955_33912.88175939777,9
25943.010307626664_33948.34060743673,10
25943.033889523194_34030.99619689836,8
25943.483390695084_34034.32362576004,8
25943.5501100279_33962.04842451471,9
25943.71632867524_34253.75271577006,8
25943.87711713836_34037.61185618458,8
25944.21506885302_34040.860888171985,8
25944.399745310962_33892.84494555543,10
25944.55302056768_34044.1099201594,8
25944.811923978814_34060.98856769061,7
25944.885393598775_34047.19248862724,8
25944.93091932944_34179.540348767194,3
25945.21218794631_34050.10859357552,8
25945.275066749018_34298.7417401491,4
25945.53898229384_34053.02469852379,2
