id,cluster
37016.03970015463_44224.85715657491,9
37018.39298441499_44225.116038003995,9
37020.27385448718_44225.318419301926,9
37021.68231037121_44225.4643004687,9
37023.43795511984_44225.66944551528,10
37025.54078873309_44225.93385444167,10
37027.643622346324_44226.198263368045,10
37029.74645595957_44226.46267229443,10
37031.546423951244_44226.65369301366,10
37033.04352632136_44226.77132552574,10
37034.88658722743_44226.93239361874,10
37037.075606669474_44227.13689729267,10
37039.26462611152_44227.341400966594,10
37041.45364555356_44227.54590464052,10
37043.882740986955_44227.8525484146,10
37046.551912411705_44228.26133228883,10
37049.221083836455_44228.670116163055,10
37051.26974761059_44228.9671836246,10
37082.822220478876_44231.897990009624,10
37085.442148139715_44232.39680667245,10
37087.628725613955_44232.21532939989,10
37089.38195290161_44231.35355819194,10
37091.164679453635_44231.88712947637,10
37093.380770259704_44232.733804287396,10
37096.00072605545_44232.498240132656,10
37098.62068185119_44232.26267597792,10
37101.24063764694_44232.02711182318,10
37103.74896038035_44231.987859556866,10
37106.14565005142_44232.14491917897,10
37108.542339722495_44232.30197880108,10
37111.00633030273_44232.570800858695,10
37113.468681233164_44232.80928104042,10
37115.86209160467_44232.90565691074,10
37118.25550197617_44233.002032781056,10
37120.64891234768_44233.09840865138,10
37122.008178344375_44231.873811629644,10
37122.33329996627_44229.32824171586,10
37122.65842158815_44226.78267180208,10
37122.983543210044_44224.2371018883,10
37123.121123174715_44233.07554035686,10
37123.81341936797_44222.52678092638,10
37125.14805006193_44221.65170891634,10
37125.67213445729_44232.933427897515,10
37126.77077126461_44220.94512816336,10
37128.22314573986_44232.79131543817,10
37128.681582976016_44220.40703866745,10
37130.42005216766_44219.232608033686,10
37130.734777863574_44232.134781738045,10
37131.986178839565_44217.42183626207,10
37133.204568747286_44230.970770424596,10
37133.55230551146_44215.61106449044,10
37135.118432183364_44213.80029271882,10
37135.671897549866_44229.8137027386,10
37136.15762379427_44211.69480208885,10
37136.6698803442_44209.29459260055,10
37137.18213689412_44206.89438311223,10
37137.69439344404_44204.49417362393,10
37138.10323126611_44202.07974628571,10
37138.13922635243_44228.65663505258,10
37138.40865036032_44199.651101097596,10
37138.71406945454_44197.222455909476,10
37139.01948854874_44194.79381072136,10
37139.339665021136_44192.840144010515,10
37139.6745988717_44191.36145577694,10
37140.03416065546_44189.761873370604,10
37140.41835037239_44188.0413967915,10
37140.60655515501_44227.49956736658,10
37140.98475896039_44186.21095024189,10
37141.733386419444_44184.27053372176,10
37142.49432322641_44182.40130340334,10
37143.18958557425_44227.18999753433,10
37143.26756938129_44180.60325928661,10
37144.03835460999_44178.76630220905,10
37144.806678912486_44176.89043217065,10
37145.10828329317_44311.00543838882,10
37145.454937829534_44227.83875657563,10
37145.575003214995_44175.014562132244,10
37146.27929928597_44173.33042529123,10
37146.4591555403_44309.326310345394,10
37146.91956712541_44171.83802164761,10
37147.28691030421_44228.5983466367,10
37147.468770483436_44308.03749141691,10
