id,cluster
31359.11917102179_31919.88460427735,4
31360.820259435117_31921.201055428908,4
31362.577871733836_31922.622321336832,4
31364.39200791795_31924.14840200112,4
31366.20614410207_31925.674482665403,4
31368.020280286186_31927.20056332969,4
31369.867647767485_31928.718561310638,4
31371.748246545965_31930.22847660825,4
31373.62884532444_31931.738391905856,4
31373.802679287983_32009.35316142546,9
31373.94953045699_32011.077459160566,9
31375.38300945049_32007.5790868173,9
31375.50944410292_31933.248307203467,4
31375.823562957514_32012.7519800226,9
31376.990417202313_32005.76734540576,9
31377.372812249065_31934.78003901595,4
31377.697595458038_32014.42650088464,9
31378.624902543455_32003.917937190843,9
31379.21894976287_31936.33358734331,0
31379.54044918912_32016.064337420044,9
31380.047692221295_32002.343516470264,9
31380.183061278625_32003.642684899773,9
31381.065087276682_31937.88713567067,0
31381.258786235827_32001.044083244018,9
31381.35212415077_32017.66548962882,9
31381.66489340782_32004.941588532543,9
31382.469880250363_31999.744650017772,9
31382.91122479049_31939.44068399803,0
31383.16379911242_32019.266641837596,9
31383.25257080208_32006.34060546394,9
31383.919747560263_31998.158233516904,9
31384.79428559114_31941.016734451972,0
31384.946093461407_32007.83973569397,9
31385.60838816553_31996.284833741418,9
31386.639616120734_32009.338865924,9
31386.714269678632_31942.615287032506,0
31387.297028770798_31994.41143396593,9
31388.034492238992_32009.153379535823,9
31388.63425376613_31944.21383961304,0
31388.985669376063_31992.538034190446,9
31389.13072181618_32007.283276529444,9
31390.226951393364_32005.413173523066,9
31390.43553759499_31990.914761387765,9
31390.554237853623_31945.812392193573,0
31390.556136852683_31992.262714237157,9
31391.646633427576_31989.541615557897,9
31391.78527380011_32005.29233147869,9
31392.008431200662_31993.58547410607,9
31392.475453024646_31947.421798571515,0
31392.857729260162_31988.16846972803,9
31393.805689036413_32006.920750396315,9
31394.30513635646_31986.555086051976,9
31394.3978992792_31949.04205874687,0
31395.24329472633_32028.62592267341,9
31395.826104272714_32008.54916931394,9
31395.988854716463_31984.701464529746,9
31396.008039294895_32026.560201835877,9
31396.320345533757_31950.66231892222,6
31396.772783863456_32024.49448099834,9
31397.52735476931_32022.377480182415,9
31397.59624619953_31984.429889410054,9
31397.846519509014_32010.17758823157,9
31397.98550679002_32024.303426053484,9
31398.24279178831_31952.282579097573,4
31398.271752012457_32020.209199388104,9
31399.016149255604_32018.04091859379,9
31399.127310805663_31985.740360692904,9
31399.646208074577_32025.987037001305,9
31399.76054649875_32015.87263779948,9
31399.866934745318_32011.806007149196,9
31400.18493051886_31953.930373872798,4
31400.504943741897_32013.70435700517,9
31400.862681779727_31987.215556457384,9
31401.165386811535_31992.562951659456,9
31401.30690935914_32027.670647949126,9
31401.666489225197_32011.67460565341,9
31402.146761725406_31955.605703247893,4
31402.802359121735_31988.85547670349,9
31402.903260799_31990.63794177085,9
31403.197691118738_32028.726114255707,9
31403.245182948653_32009.78338374421,9
31404.10859293195_31957.281032622992,4
31404.823876672108_32007.89216183501,9
31405.318553353383_32029.153435921045,9
31406.070424138496_31958.956361998087,8
31406.30492664583_32006.220004007122,9
31407.43941558802_32029.580757586387,9
31407.688332869813_32004.76691026055,9
31408.012563536748_31960.62291638751,8
31409.047123825112_32003.314941923003,9
31409.560277822668_32030.008079251726,9
31409.935011126705_31962.28069579126,4
31410.381299511733_32001.864098994476,9
31411.681140057306_32030.435400917064,9
31411.715475198347_32000.413256065956,9
31411.857458716662_31963.93847519501,4
31413.04965088497_31998.96241313743,9
31413.05310420659_32018.568856605478,9
31413.546507631712_32029.765887948117,9
31413.77990630662_31965.59625459876,8
31414.758937548533_32020.087665670242,9
31415.156380545883_32027.999540344877,9
31415.66543128065_31967.240418650792,4
31416.46477089048_32021.60647473501,9
31416.726867978075_32026.308446990486,9
31417.51403363875_31968.8709673511,9
31418.170604232426_32023.125283799774,9
31418.25796992829_32024.692607884932,9
31419.362635996844_31970.501516051412,8
31419.713994172223_32023.13741284114,9
31421.094940709867_32021.64286185911,9
31421.211238354943_31972.13206475172,4
31422.47588724751_32020.148310877074,9
31423.05737946357_31973.77151337861,4
31423.856833785154_32018.65375989504,9
31423.90620945955_32006.823847882402,9
31424.90105932273_31975.41986193208,4
31425.224241961332_32017.16915851153,9
31425.636659989053_32008.304999134303,9
31426.57811177604_32015.694506726537,9
31426.74473918189_31977.06821048555,4
31427.36711051856_32009.786150386208,9
31427.93198159075_32014.219854941548,9
31428.588419041047_31978.71655903902,9
31429.097561048064_32011.26730163811,9
31429.28585140546_32012.745203156555,9
31430.444407191837_31980.3539796809,8
31432.31270363426_31981.980472411175,8
31434.18100007668_31983.60696514146,8
31436.049296519104_31985.233457871735,8
31437.938516522197_31986.86378380613,8
31439.848660085965_31988.49794294464,9
31441.75880364973_31990.13210208315,9
31443.668947213497_31991.76626122166,9
31445.58770641741_31993.419131365776,9
31447.51508126147_31995.090712515506,9
31449.442456105535_31996.762293665237,9
31451.369830949596_31998.433874814968,9
31453.27012937249_32000.08684930335,9
31455.143351374216_32001.72121713039,5
31457.01657337594_32003.355584957426,5
31458.889795377665_32004.98995278447,5
31460.7617872305_32006.607544389717,5
31462.632548934445_32008.20835977318,5
31464.50331063839_32009.80917515664,5
31465.692253652396_32115.058574770374,8
31466.374072342333_32011.4099905401,5
31466.997930714948_32113.23840289363,8
31468.271911586475_32013.01065565439,5
31468.3036077775_32111.418231016876,8
31469.60928484005_32109.59805914013,8
31470.196828370805_32014.611170499502,8
31471.010448555888_32107.69254758997,4
31472.121745155142_32016.211685344613,8
31472.507098925016_32105.701696366395,0
31474.00374929414_32103.710845142825,0
31474.046661939472_32017.812200189725,8
31475.50039966327_32101.71999391925,0
31476.02204074885_32019.441065626837,0
31476.999511656424_32099.750851743574,0
31478.04788158327_32021.09828165595,0
31478.501085273616_32097.803418615793,0
31480.0026588908_32095.855985488015,0
31480.07372241769_32022.755497685062,0
31481.504232507992_32093.908552360233,4
31482.099563252108_32024.412713714177,8
31482.872588525577_32115.558372657022,8
31483.013191298556_32091.94824528742,4
31483.19999458603_32114.05189499349,4
31483.939559037884_32025.900956067973,8
31483.993935211347_32120.27864484897,8
31484.42334457016_32117.551975020673,8
31484.5295352625_32089.975064269584,4
31484.797126798752_32119.125399084653,8
31485.405562751515_32113.032542030072,4
31485.59370977502_32027.22022474646,8
31486.045879226444_32088.001883251745,6
31487.247860512158_32028.539493424945,8
31487.562223190387_32086.028702233907,6
31487.611130917005_32112.013189066656,4
31488.35951379104_32106.40442602231,8
31488.90201124929_32029.85876210343,8
31488.956456954947_32105.191322269293,9
31489.0896449608_32084.019918966427,6
31489.383501540717_32108.036319462,4
31489.81669908249_32110.99383610324,8
31490.407489290395_32109.668212901684,4
31490.556161986427_32031.178030781917,8
31490.62814453768_32081.97553344931,6
31491.17433103244_32104.39700820294,4
31491.804150056127_32032.952926721544,8
31492.16664411456_32079.93114793219,6
31492.645975458392_32035.18344992231,8
31493.39220510993_32103.602694136593,4
31493.487800860657_32037.413973123083,8
31493.70514369144_32077.886762415073,6
31494.0441760073_32098.10176759011,4
31494.329626262923_32039.64449632385,0
31494.64768405945_32096.852428856124,4
31495.114112094845_32099.82554976889,4
31495.22395118012_32075.839527148502,6
31495.536796389537_32077.371248454234,6
31495.55793563774_32040.355075861917,4
31495.61007918742_32102.80838007024,4
31496.184048182393_32101.549331947674,4
31496.72306658059_32073.789442132478,6
31496.924636251293_32096.077533566935,6
31497.17272898511_32039.54571173728,0
31497.661602208842_32078.384606049676,6
31498.222181981062_32071.739357116454,6
31498.787522332485_32038.736347612645,8
31499.20158844314_32095.302638277746,6
31499.721297381533_32069.68927210043,6
31499.78640802815_32079.397963645115,6
31500.620164332373_32037.915238271067,8
31501.47854063498_32094.527742988557,4
31501.911213847456_32080.411321240554,6
31502.670654984777_32037.08238371255,8
31503.34565148526_32093.120301930234,6
31504.03601966676_32081.424678835996,6
31504.72114563718_32036.249529154036,8
31504.802920993967_32091.080315102765,6
31505.6563679413_32082.606189367114,6
31506.26019050268_32089.040328275303,6
31506.771636289584_32035.41667459552,8
31506.77225867108_32083.95585283391,6
31507.717460011387_32087.000341447834,6
31507.762305771106_32044.095326602874,0
31507.77218458387_32041.496732520987,0
31507.78206339664_32038.898138439094,8
31507.791942209406_32036.299544357207,8
31507.888149400853_32085.305516300705,6
31508.30997608455_32046.264305514287,0
31508.959976303653_32034.484323592635,8
31508.977074652357_32045.06201798816,0
31509.168575849475_32084.9673022838,6
31509.415195524198_32048.00366925522,0
31510.520414963852_32049.743032996157,0
31510.613538016943_32082.941210783196,6
31511.286165679376_32033.452476145387,8
31511.41649122763_32044.39680667683,0
31511.6256344035_32051.48239673709,0
31512.058500184412_32080.915119282592,4
31512.239504519875_32074.55790361085,4
31512.618605298903_32072.964271473647,4
31513.50346235188_32078.88902778199,4
31513.563797130366_32076.769955891406,4
31513.612355055106_32032.42062869814,8
31513.8559078029_32043.731595365505,0
31514.70109946745_32071.989059479798,4
31515.93854443083_32031.38878125089,0
31516.29532437817_32043.066384054175,0
31516.783593635995_32071.01384748595,8
31516.85504756571_32065.513570405263,8
31517.379377004247_32064.216965050466,8
31518.07596249495_32067.12855404123,8
31518.198352398726_32043.55455109687,0
31518.28441942368_32030.964004391026,0
31518.86608780454_32070.0386354921,8
31519.296877424196_32068.743537677194,8
31519.564991864565_32045.196096493582,0
31519.648950810566_32063.23873797683,8
31520.649980033653_32031.146298118547,0
31520.931631330408_32046.837641890295,0
31521.918524616885_32062.260510903197,8
31522.29827079625_32048.47918728701,8
31523.015540643628_32031.328591846064,0
31523.66491026209_32050.12073268372,8
31524.188098423205_32061.28228382956,8
31524.47006191143_32052.172963495912,8
31524.470405575637_32024.882404931777,9
31524.71372574427_32054.635879723577,8
31524.957389577106_32057.098795951246,8
31525.068541570763_32026.802298504794,4
31525.201053409946_32059.56171217891,8
31525.381101253603_32031.510885573585,0
31525.480891020183_32023.853287738413,9
31525.611829136156_32051.266188486014,8
31525.666677565896_32028.722192077817,4
31526.26481356102_32030.642085650834,4
31528.0999979044_32023.714946924712,9
31528.139027418445_32051.915554693882,8
31530.231790441416_32017.560854015148,9
31530.666225700734_32052.56492090175,8
31530.719104788623_32023.57660611101,9
31530.950537557143_32019.939486690753,9
31531.046578520312_32114.31516810053,5
31531.049123390858_32116.492115187906,5
31531.132741065314_32016.180219434274,9
31531.19184248002_32111.808587007527,5
31531.19947709165_32118.339428269654,5
31531.33710643973_32109.30200591452,5
31531.482370399437_32106.795424821517,5
31531.66928467287_32022.31811936636,9
31531.671942203546_32104.31525646699,5
31531.905821852055_32101.861500850937,5
31532.072606943602_32051.993666618844,8
31532.139701500564_32099.407745234883,5
31532.358171147054_32050.201791845164,8
31532.373581149073_32096.95398961883,5
31532.54592241035_32094.442329514375,5
31532.604281776265_32053.844171897712,8
31532.643735350506_32048.409917071484,8
31532.656725284392_32091.872764921518,5
31532.767528158434_32089.30320032866,5
31532.878331032476_32086.733635735804,5
31533.34925846329_32084.362881519282,5
31533.382230335905_32046.411808314835,8
31533.653389428833_32015.79758294813,9
31533.953195645037_32055.753307681764,8
31534.180310450884_32082.1909376791,5
31534.573656103246_32044.20746557522,8
31535.011362438476_32080.018993838916,5
