id,cluster
25274.296654921374_29361.14986146484,9
25276.864542956355_29362.352879600523,9
25276.9629986609_29365.798710888033,9
25279.344776164573_29360.12463337153,9
25284.40369828555_29359.113972201056,9
25287.01437515243_29360.39059680533,9
25287.176806765216_29363.954507184353,9
25289.433095425084_29358.119264044562,9
25294.432967583165_29357.140508902045,8
25296.640418353865_29296.40542033806,8
25297.04118567836_29358.425041548908,8
25297.257749710676_29361.97286198515,9
25299.371327049106_29356.158143129323,8
25299.553827393804_29554.015945391686,10
25300.219659628943_29296.511718078676,8
25302.621156661065_29553.84656262751,10
25304.2481738229_29355.172166726396,4
25305.396710294488_29296.850540519714,9
25306.8219456612_29356.464782425177,4
25307.092642563995_29360.03599022566,4
25307.872014679513_29553.553287275474,10
25309.112719315308_29354.184284326973,4
25310.74599525493_29296.35743721982,8
25313.162243596973_29553.245978741616,10
25313.964963526323_29353.194495931057,4
25316.267514510262_29295.032408179,0
25316.536276264804_29354.46935947799,8
25316.826657530746_29358.008874967774,4
25318.49184341344_29552.924637025943,10
25319.427498660185_29359.265811392637,8
25321.236229210153_29294.02095245498,9
25323.870656602725_29552.597104008397,10
25324.338799653116_29358.240168752578,4
25325.652139354603_29293.323070047758,8
25326.417931832242_29352.399990757473,4
25326.668944043802_29355.95156187419,4
25329.29868316482_29552.26337968898,10
25329.321459252576_29357.233874902227,4
25330.068049499052_29292.625187640537,0
25334.375477458558_29356.246929841585,8
25334.746396451017_29551.94336526716,10
25334.783330616745_29291.79079027706,8
25336.555494511915_29350.360806215856,4
25336.786822545004_29353.95590694613,4
25339.370443446216_29355.258334561804,8
25339.79798270768_29290.819877957325,0
25340.213796461314_29551.637060742938,10
25344.30635721555_29354.268089062884,4
25344.800333264942_29289.81350457599,0
25345.695961891972_29551.32475363765,10
25346.634010936075_29348.396953542706,8
25346.72754637884_29351.980962056517,8
25349.197981960086_29353.256374025008,8
25349.790382288535_29288.771670133046,0
25351.192892742984_29551.006443951293,10
25354.04531767982_29352.223189448174,8
25354.83702476179_29287.54990873168,8
25356.53294408173_29349.91793635673,8
25356.650456249274_29550.682428250842,10
25356.66086116581_29346.340614750672,8
25358.882812677246_29351.192033160216,8
25359.94026068471_29286.148220371884,8
25362.06865241083_29550.35270653629,10
25362.18830705846_29274.685124020663,8
25362.309735693543_29278.990024889194,8
25362.431164328627_29283.294925757724,8
25363.710466952365_29350.162905161123,4
25364.689177034503_29285.064282181716,8
25365.237766325554_29271.92352293874,8
25366.262069919354_29347.8237487228,8
25366.537621578216_29344.174563845234,8
25367.42041478298_29550.023348911505,10
25369.072001347282_29341.744706702142,8
25369.08377381117_29284.298094161168,8
25370.63890616579_29288.9754525452,8
25371.06701685493_29285.601817615665,8
25371.148286017593_29293.172972165463,8
25371.458113494824_29270.70522164343,8
25372.59515641034_29298.194376476444,8
25372.705743365714_29549.694355376487,10
25373.791043513134_29302.820417617222,8
25373.86520922655_29340.53417729352,4
25374.73594732598_29307.051095587798,8
25376.106849456013_29345.703270861348,4
25376.210158596128_29341.853698679923,4
25376.291079564016_29311.613992196537,8
25377.723384759956_29338.134586801956,4
25377.94924379424_29549.35769537589,10
25378.45644022726_29316.509107443453,4
25379.96728372261_29321.255822462455,4
25380.646527947494_29334.54593522745,4
25380.823610050073_29325.85413725355,5
25381.67993637753_29330.452452044647,5
25382.573586434686_29380.206457008964,8
25383.150916068545_29549.013368909717,10
25383.438852083593_29375.75329136807,8
25383.75963491405_29385.20174418368,8
25384.40629641059_29333.66279775667,5
25384.559369791976_29390.027423602103,8
25384.972791068463_29394.683495264228,8
25386.22281098787_29399.244194772138,8
25386.35543186078_29371.842247261004,8
25387.624849990156_29345.22377901661,5
25388.309429550198_29403.709522125842,8
25388.3575112737_29548.66309381148,10
25389.002690149253_29335.48517438963,5
25389.272011637957_29367.93120315394,9
25390.843292826652_29344.566645814946,5
25391.397503192045_29407.685771825643,8
25392.57056645552_29338.12640244262,9
25393.173663599133_29365.727423920678,8
25393.5690294097_29548.30687008118,10
25393.941093039033_29335.756212028202,9
25394.534167453116_29343.733229706424,4
25395.109925329405_29341.58648191565,9
25395.487031913406_29411.17294387154,8
25398.0603877443_29365.230909561215,8
25398.78547050584_29547.94667166532,10
25399.221505079935_29334.475910672394,9
25399.615929458792_29414.482252798865,8
25403.03815561877_29364.763505156796,8
25403.784195828197_29417.61369860761,8
25404.006834562133_29547.58249856389,10
