id,cluster
21081.542538091984_33198.64832253976,0
21083.508195131948_33187.2437830501,5
21085.067135934944_33199.85209298509,0
21087.203022883183_33188.02907857396,5
21089.102317446832_33199.68643472035,0
21090.430363357824_33188.709078859276,5
21093.648082627653_33198.15134774556,0
21093.65770383246_33189.3890791446,5
21095.43377185685_33191.64276052998,0
21095.758567430992_33195.47012301543,0
21096.922177670975_33199.51209503066,0
21098.924602576797_33203.76867657568,0
21102.043771076453_33206.82952375455,0
21105.489620052118_33190.5845130676,5
21105.937399330534_33194.0476282108,0
21106.27968316993_33208.6946365673,0
21107.393742757682_33198.49695285848,0
21108.19084565761_33202.948009630156,0
21108.32870803032_33207.400798525836,0
21109.75878287472_33210.61932595821,0
21110.48830847476_33201.31095314599,0
21112.481070190814_33212.60359192729,0
21112.971549107122_33304.4492574469,8
21113.67712047991_33301.28187053083,8
21114.431390381378_33297.85539041966,8
21115.185660282845_33294.4289103085,8
21115.203357506907_33214.587857896375,0
21115.22109648177_33202.48962907333,0
21115.779234186943_33192.466983924845,5
21115.920251083953_33290.988055196816,8
21116.00054654337_33189.462460487855,5
21116.148306127863_33196.24667599176,0
21116.635162784703_33287.53282508461,8
21117.10776236614_33200.80153668858,0
21117.35007448545_33284.0775949724,8
21117.530440679973_33217.05381958975,0
21118.045307925007_33280.64223847244,8
21118.72086310337_33277.226755584736,8
21119.39641828174_33273.81127269703,8
21119.462319710008_33220.00147700743,0
21119.936665436602_33203.6071503521,0
21120.053933654908_33270.35769512054,8
21120.693409222877_33266.86602285526,9
21121.332884790845_33263.374350589984,9
21121.394198740043_33222.9491344251,0
21121.89528416122_33259.850184671246,9
21122.380607334_33256.29352509904,9
21122.657005127712_33226.211422732005,0
21122.865930506778_33252.736865526844,9
21123.247940566616_33249.21108751127,9
21123.250738873016_33229.78834192814,8
21123.52663751352_33245.71619105233,8
21123.805334460427_33242.221294593386,8
21123.84447261832_33233.36526112427,8
21123.99384707315_33239.143814953524,8
21124.092175351696_33236.48375213273,8
21124.635015339252_33204.6635169823,0
21126.06740540006_33235.09942785478,8
21126.364145556003_33198.692675767226,0
21126.77750871239_33203.025358787345,0
21127.014730951912_33180.25245081615,9
21129.123579903568_33177.49814493951,9
21129.919537218244_33234.99084211966,8
21131.232428855223_33174.74383906287,9
21132.19978274944_33233.33016225311,8
21132.28970948998_33325.8545657192,10
21132.81814250582_33171.7474719894,9
21132.908141993656_33230.11738825511,8
21132.94159350084_33322.73187729183,10
21133.616501237866_33226.90461425711,0
21133.63355040433_33319.3953071218,10
21133.880720855363_33168.509043719125,8
21134.319940584683_33223.681333698936,0
21134.32550730782_33316.05873695177,10
21134.943299204904_33165.27061544884,8
21135.018460034105_33220.44754658057,0
21135.03222319742_33312.71286692194,10
21135.716979483528_33217.21375946221,0
21135.75369807313_33309.357697032305,10
21136.475172948838_33306.002527142664,10
21137.14606741667_33213.59914224039,0
21137.18024944598_33302.671164065854,10
21137.209604847587_33163.494127318925,8
21137.57071546633_32823.72877935345,9
21137.86892756456_33299.36360780187,10
21138.557605683138_33296.05605153788,10
21139.24300520799_33292.79462147191,10
21139.305723833535_33209.6036949151,0
21139.399763049485_33199.281345468364,5
21139.40394506074_33202.608643827036,0
21139.925126139122_33289.579317603966,10
21140.045803681132_33195.95830036796,5
21140.05834971489_33205.94019544398,0
21140.607247070253_33286.36401373602,10
21140.67963778341_33163.17957932938,8
21140.687649525637_32823.43937916585,9
21140.691844312772_33192.63525526757,5
21141.28608820002_33283.146097467725,10
21141.318206469226_33189.32549684625,9
21141.924890150483_33186.02902510401,9
21141.961649528424_33279.92556879908,10
21142.093160521727_33336.61068766822,10
21142.531573831744_33182.73255336178,9
21142.63721085683_33276.70504013044,10
21142.971511213094_33333.29659820071,10
21143.12841794416_33179.42823738406,9
21143.307851953134_33273.460832323064,10
21143.71542248773_33176.11607717086,9
21143.94552284625_33329.57642636985,10
21143.97357281734_33270.192945376955,10
21144.10520112422_32822.74586256204,9
21144.14967071923_33162.86503133983,8
21144.3024270313_33172.80391695766,9
21144.639293681543_33266.925058430854,10
21144.860500225856_33325.94748104434,10
21144.9181187741_33169.03781697456,8
21145.31321294025_33263.608391106354,10
21145.562497716128_33164.81777722156,8
21145.71644335192_33322.4097622242,10
21145.99533059346_33260.24294340347,10
21146.162610701893_33161.06230893162,8
21146.544511269956_33318.99734368255,10
21146.67744824667_33256.87749570059,10
21146.718457731393_33157.77141210475,8
21147.2456061476_33154.46882469252,8
21147.333328292487_33253.545130515864,10
21147.344703979965_33315.71022541941,10
21147.522752722813_32822.05234595823,9
21147.744055950512_33151.15454669494,8
21147.96297073091_33250.24584784931,10
21148.144896689973_33312.42310715627,10
21148.242505753427_33147.84026869736,8
21148.592613169334_33246.94656518276,10
21148.744234895705_33144.5049007341,8
21148.90901133493_33309.12697479373,10
21149.199296627557_33243.63292574065,10
21149.249243377344_33141.14844280518,9
21149.63704791484_33305.82182833181,10
21149.754251858987_33137.79198487624,9
21149.78302110559_33240.30492952299,10
21150.254341154316_33134.45531660078,8
21150.36508449474_33302.51668186988,10
21150.36674558362_33236.97693330531,10
21150.74951126333_33131.13843797879,8
21150.930790589024_33233.6227068292,10
21151.084921888243_33299.222123428575,10
21151.244681372344_33127.82155935681,8
21151.739851558494_33124.50600176271,8
21151.796560095336_33295.93815300788,10
21152.235021821773_33121.19176519651,8
21152.50819830243_33292.6541825872,10
21152.73019208505_33117.87752863031,8
21153.203437523618_33289.37030818258,10
21153.212243782807_33114.589713572255,8
21153.681176915044_33111.328320022345,8
21153.882277758898_33286.08652979403,10
21154.150110047274_33108.066926472435,8
21154.561117994177_33282.802751405485,10
21154.609203158827_33104.78056508258,8
21155.058456249702_33101.46923585278,8
21155.238318427204_33279.52030330047,10
21155.50770934057_33098.15790662299,8
21155.913879057967_33276.239185479004,10
21155.956962600478_33094.85184996959,8
21156.406216029412_33091.5510658926,8
21156.589439688738_33272.958067657535,10
21156.85546945835_33088.250281815606,8
21157.27483983418_33269.67689834031,10
21157.30800241753_33084.93631117127,8
21157.763814906943_33081.60915395958,8
21157.97007949429_33266.395677527325,10
21158.219627396356_33078.2819967479,8
21158.65904061784_33074.94571509258,8
21158.66531915441_33263.11445671435,10
21159.082054571387_33071.60030899363,8
21159.34415962338_33259.825428426644,10
21159.505068524933_33068.254902894674,8
21159.919883068706_33064.91349823948,8
21160.006600901208_33256.5285926642,10
21160.326498202703_33061.57609502805,8
21160.669042179037_33253.23175690176,10
21160.7331133367_33058.23869181662,8
21161.144648456175_33054.9104851164,8
21161.323284539933_33249.95736414668,10
21161.561103561133_33051.59147492738,8
21161.969327983898_33246.70541439895,10
21161.97755866609_33048.27246473836,8
21162.395653976037_33044.963986591625,8
21162.615371427866_33243.45346465122,10
21162.81538949097_33041.666040487195,8
21163.235125005907_33038.36809438275,8
21163.23681593385_33240.185850021735,10
21163.654860880633_33035.08332381023,8
21163.833661501856_33236.902570510494,10
21164.07459711515_33031.81172876961,8
21164.430507069857_33233.61929099925,10
21164.49433334966_33028.54013372899,8
21164.9206290603_33025.26060252565,8
21165.35348424707_33021.97313515957,8
21165.786339433835_33018.68566779349,8
21166.21919488556_33015.40742436642,8
