id,cluster
32650.75654191193_42295.88759027172,9
32651.34609882498_42298.90017180597,9
32651.83109500635_42293.53843650144,9
32651.935655738027_42301.91275334022,9
32654.18746721709_42293.023439959914,9
32656.543839427828_42292.50844341839,9
32658.900211638567_42291.99344687686,9
32660.327003818693_42292.92084435185,9
32660.8242159682_42295.29063584337,9
32661.32142811771_42297.66042733488,9
32661.818640267218_42300.030218826396,9
32663.262383988753_42301.02294543023,9
32665.652659282314_42300.63860714639,9
32668.04293457588_42300.25426886256,9
32669.97425822718_42291.604624411615,6
32670.43320986944_42299.86993057872,4
32670.446855166905_42293.91123499024,11
32670.91945210663_42296.21784556886,11
32671.392049046357_42298.52445614749,6
32672.78040592158_42299.54027085177,11
32675.084522732304_42299.26528968171,2
32677.388639543024_42298.99030851165,3
32679.61289811275_42290.56452018276,3
32679.692756353747_42298.71532734159,3
32679.964874297424_42292.85403920384,3
32680.316850482097_42295.14355822493,3
32680.66882666677_42297.433077246016,2
32682.339865668375_42298.407954131435,3
32685.329967486912_42298.068188881196,2
32688.32006930545_42297.72842363095,2
32689.651146493165_42289.92738479556,6
32689.716735981783_42292.97984727967,6
32689.782325470405_42296.032309763774,11
32690.905802731646_42288.27769746714,4
32693.480704697235_42288.03078529441,4
32696.05560666282_42287.78387312168,4
32698.63050862841_42287.53696094895,5
32700.397137236454_42288.85527304833,5
32701.214026892947_42287.31275527147,5
32701.35549248696_42291.73880941982,5
32702.31384773747_42294.62234579131,5
32703.806161456436_42287.11125608925,5
32706.398296019925_42286.90975690702,5
32708.990430583413_42286.7082577248,5
32711.60964454208_42286.49670222921,5
32714.195762924115_42212.805839477944,2
32714.255937895923_42286.27509042026,5
32714.39385522441_42214.432336336824,3
32714.68921105577_42216.87057160863,2
32714.984566887128_42219.30880688045,2
32715.279922718488_42221.74704215226,11
32715.58635548928_42224.21588703146,11
32715.9038651995_42226.71534151805,6
32716.22137490972_42229.214796004635,6
32716.538884619942_42231.714250491226,4
32716.853932540198_42234.22064852329,5
32716.90223124977_42286.053478611306,5
32717.166518670492_42236.73399010082,4
32717.479104800783_42239.24733167835,4
32717.789399065718_42232.368733089395,4
32717.791690931077_42241.760673255885,11
32718.090738506464_42244.240456561274,2
32718.376247526943_42246.686681594525,3
32718.661756547426_42249.13290662777,3
32718.947265567906_42251.57913166102,3
32719.22415920336_42254.000674019335,3
32719.255962452415_42242.282612271745,2
32719.49243745379_42256.39753370274,2
32719.54852460361_42285.83186680236,5
32719.76071570422_42258.794393386124,11
32719.857311039657_42294.26625518674,5
32719.972918247044_42231.17824379914,6
32720.02899395465_42261.191253069526,11
32720.3181967387_42263.56721142707,2
32720.3914322807_42252.1704536361,7
32720.628324056368_42265.92226845878,11
32720.938451374037_42268.27732549048,6
32721.248578691706_42270.63238252219,6
32721.416496079117_42287.04106019407,5
32721.871919364796_42240.81314872592,2
32721.9433199365_42285.53127997018,5
32722.156437428373_42229.98775450889,6
32722.50614567629_42289.681058786446,5
32722.712850394582_42293.84945617893,5
32722.9942566858_42250.90687255302,7
32723.59579527346_42292.321057378824,5
32724.08661724843_42285.15171811478,5
32724.3399566097_42228.797265218636,6
32724.467158943226_42209.22129874316,3
32724.487876277177_42239.3436851801,3
32724.624640189122_42211.686874695384,3
32724.782121435022_42214.1524506476,3
32724.93960268092_42216.61802659982,3
32725.07001491593_42219.14471532562,3
32725.173358140055_42221.73251682502,2
32725.27670136418_42224.32031832442,2
