id,cluster
32160.324747949715_33660.81268895064,4
32161.623555727543_33653.18108989838,9
32162.97819987585_33662.13337362526,4
32166.040411982565_33661.484228820016,4
32169.511384269856_33658.8652545349,4
32172.469949014307_34007.22896629375,9
32173.317102707777_33658.89317734397,4
32174.573195028777_33670.31149971208,4
32175.17799102651_33667.05421952771,4
32176.16740370106_34004.40538395137,9
32176.263475409374_33674.06018519489,4
32177.457567296326_33661.5679972472,4
32177.95375578997_33677.808870677705,4
32178.077863402574_33664.28834464178,4
32180.347338995645_34001.21720309106,9
32181.59803186498_33664.313926288276,4
32181.890864541296_33757.53506024496,0
32184.496518179225_33753.27079140149,8
32184.517428346157_33998.066613216826,5
32185.68299360737_33756.140089795044,0
32185.73849641373_33667.13096446718,4
32187.347185741397_33748.69973765226,5
32188.47677299808_33773.167854810636,0
32188.677671752594_33994.95361432869,5
32189.441766450887_33769.05984768835,0
32189.910962078866_33670.0465848274,4
32190.279088452124_33744.142058054174,5
32190.822802691735_33764.727234183374,0
32190.90661202583_33757.30763283291,0
32191.495110656513_33746.588476629266,5
32192.619881720617_33760.17001429568,0
32192.650648793006_33679.198205359,5
32192.815761153743_33991.86247281122,5
32193.29222631141_33739.59775260723,5
32194.11542886038_33673.06078736895,4
32195.02865776509_33676.11132754615,4
32196.3152118356_33735.031669344105,5
32196.931696549604_33988.79318866442,5
32196.940292924577_33746.937008332505,5
32198.273124264197_33676.1345118255,5
32199.34804502471_33730.4438082648,5
32200.835565736885_33685.74342109972,5
32200.99101525498_33985.7084245092,9
32202.142032353437_33730.165336937396,5
32202.384048290318_33679.26775819706,5
32203.23819544788_33682.47072795513,5
32204.69717382178_33734.196255361894,5
32204.993717269863_33982.60818034553,0
32206.438355150873_33682.399349806394,5
32207.269610026873_33734.10470951871,5
32208.49329429287_33718.42019114997,5
32208.925937682743_33704.49618721863,5
32208.944725581317_33979.50823131241,0
32209.859340968716_33729.89069940784,5
32210.43604484586_33685.5292866535,5
32212.154238671814_33688.51406018164,5
32212.306650608247_33702.4386663033,5
32212.444148326576_33725.728078384025,0
32212.844040189346_33976.40857740982,0
32213.24962073683_33692.28849519723,5
32213.707080755885_33719.18088403591,0
32215.024032100457_33721.61684644726,0
32215.687363533754_33700.38114538797,5
32216.00168690995_33696.99775501928,5
32216.68673732524_33973.33295075856,0
32217.013125962178_33716.942054738145,0
32217.81093546901_33701.78542057671,5
32218.41142991174_33711.70370325667,0
32218.67736641402_33706.65149186953,0
32219.130434389997_33698.66499155367,5
32220.472816989_33970.28135135862,9
32222.635863176973_33697.290204800396,5
32224.268743966317_33967.25340353207,9
32225.60463743274_33696.73026974917,0
32227.20720457705_33695.152890484416,0
32227.980219141118_33691.74321530408,0
32228.07451825719_33964.2491072789,9
32228.245976986083_33698.42000863299,0
32231.09653636822_33701.5445697498,0
32231.95414406795_33961.20686487875,9
32233.42280718583_33701.68551921681,0
32234.569896581535_33704.73870379838,0
32235.224789438915_33698.84285703401,0
32235.907621398594_33958.12667633164,9
32236.606043445827_33681.903316532786,0
32237.4329543228_33695.51199757263,0
32238.666057626033_33708.002410778725,0
32239.92017983137_33955.04418165152,9
32240.04730183749_33691.692940832654,0
32241.465336902715_33684.18694010886,0
32242.277582730723_33690.94359785118,0
32242.624729612995_33687.556082179784,0
32242.83175208206_33671.76291859033,0
32243.991819366278_33951.959380838394,9
32244.123797002507_33693.26396862822,0
32245.216932844174_33683.11496065025,0
32245.60320021481_33697.071790627386,0
32247.065771016165_33674.90336413698,0
32247.46168632758_33701.79991598742,0
32247.8608312702_33678.68737815696,0
32248.048689329076_33948.92405020454,9
32248.16885242916_33658.313131659655,0
32248.803902248732_33662.25802514254,4
32249.617918072614_33714.08366074515,6
