id,cluster
22455.267799103334_35369.24258828947,0
22455.759060646993_35338.357608459664,0
22456.545361567358_35367.63871754213,0
22458.129578981592_35364.77797939595,0
22458.996852320077_35393.236842664155,8
22459.314694764034_35337.46826408729,0
22459.713796395823_35361.91724124976,0
22461.57118792322_35392.38444738766,8
22461.644937686768_35361.808712241036,0
22462.870328881076_35336.57891971491,0
22463.168530933362_35313.86718843746,0
22463.92300285443_35364.45239236978,0
22464.473782246354_35391.441683637095,8
22465.08574361816_35321.69017500762,0
22465.164935715136_35315.44925255694,0
22465.804006610066_35318.056914746994,0
22466.225851308995_35335.57837271518,0
22466.636460682654_35365.22232433323,0
22467.488302520058_35316.90875143315,0
22467.704635289483_35390.408551412474,8
22469.381262047795_35334.4666230881,0
22469.785311171447_35364.11850813137,0
22470.138631348134_35318.24568506607,0
22470.935488332612_35389.37541918784,8
22471.97711653385_35358.93697209771,0
22472.536672786595_35333.35487346101,0
22472.78896017621_35319.582618699,0
22472.93416166024_35363.01469192951,0
22473.664763447705_35361.28751325163,0
22475.36899221588_35332.02292008498,0
22475.700031423487_35319.7030736904,0
22476.078093112712_35361.91354014239,0
22477.87822033565_35330.470762960016,0
22478.87184508996_35318.60705004027,0
22479.21710552887_35360.81505277001,0
22479.89192870418_35461.66292135864,9
22480.690860846695_35329.13760544543,0
22480.73784180382_35381.65651889282,8
22481.634908930602_35379.93958501773,8
22482.04365875644_35317.51102639015,0
22482.233605170553_35384.0200240739,8
22482.35611794503_35359.71656539763,0
22482.781537214745_35462.08287717783,9
22483.806913749017_35328.023447541236,0
22484.924806550895_35378.86922244863,8
22485.203993289415_35316.420340060264,0
22485.48777096575_35359.60712205321,0
22485.67114572532_35462.50283299702,9
22486.92296665134_35326.90928963704,0
22487.141814061688_35464.37114257757,9
22487.19354222386_35467.68780591947,9
22487.245270386033_35471.004469261374,9
22487.296998548205_35474.321132603276,9
22488.214704171194_35377.79885987953,8
22488.27684443536_35368.8322342974,0
22488.352848688883_35315.33499105061,0
22488.513764895542_35365.591089848036,0
22488.612064591027_35360.48672273675,0
22488.909967853753_35372.204812016425,0
22489.49700064047_35367.14904281635,0
22489.543091272146_35375.57738973547,0
22489.62072923429_35362.48137866836,0
22490.035739897292_35325.766160079285,0
22490.917124941825_35359.69871920225,0
22491.501704088354_35314.24964204096,0
22492.40295201814_35357.2431114497,0
22492.511138036538_35354.43362694725,0
22492.570436469076_35367.1552375733,0
22493.145233486885_35324.59405886798,0
22494.670240642874_35313.1457327588,0
22494.74653457426_35355.465887734164,0
22495.643872297678_35367.16143233025,0
22496.254727076477_35323.421957656676,0
22497.858458352443_35312.023263204144,0
22497.94787261019_35354.367048055625,0
22498.78948165478_35367.702239105594,0
22499.33470083439_35322.246072243506,0
22501.04667606201_35310.900793649475,0
22501.149210646123_35353.268208377085,0
22502.007264540378_35368.777657899336,0
22502.38515476064_35321.066402628494,0
22502.612101083883_35351.968435292445,0
22503.36079337233_35311.83244876112,0
22504.068437549886_35350.92566889334,0
22504.8008102834_35314.81822853905,0
22505.225047425974_35369.85307669307,8
22505.43560868688_35319.88673301347,0
22506.24082719447_35317.80400831699,0
22507.256667642287_35350.34084258585,0
22508.452654728037_35370.0890057829,8
22508.510664177313_35318.70428846754,0
22510.44489773469_35349.75601627838,0
22511.61032123193_35317.5190689907,0
22511.69008644656_35369.48544516883,8
22512.88117079205_35308.40072481751,0
22513.598682616765_35348.90519410619,0
22513.747072915212_35306.359827848864,0
22514.23262520077_35311.33693080068,0
22514.709978286544_35316.33384951386,0
22514.927518165085_35368.88188455475,2
22515.584079609493_35314.27313678385,0
22516.718022288504_35347.78837606931,0
22516.830331570265_35305.21423989475,0
22517.4258688102_35315.29379692889,0
22518.13952834969_35490.8334027441,9
22518.68397094187_35488.26580594715,9
22519.22841353406_35485.6982091502,9
22519.757992802897_35314.39891123581,0
22519.837361960243_35346.671558032416,0
22519.91359022531_35304.06865194064,10
22520.515793789655_35483.03544538081,9
22522.373695231327_35346.977318769845,0
22522.493565283665_35313.35479444753,0
22522.54611170866_35480.27751463897,9
22523.003409678833_35302.90457862254,9
22524.327022101752_35348.70565828159,0
22524.57642962767_35477.51958389713,5
22525.61737521317_35351.12961741893,4
22525.6325862525_35312.161446564045,0
22526.099789930828_35301.72201994047,9
22526.244754565578_35354.24919618186,11
22526.2647287185_35348.42841850981,4
22526.872133917987_35357.36877494479,3
22526.983969453548_35475.32484857836,5
22527.499513270395_35360.488353707726,1
22528.18681508157_35346.145599454496,0
22528.771607221337_35310.968098680576,9
22529.196170182822_35300.5394612584,10
22529.768731186297_35473.69330868266,9
22530.10890144464_35343.862780399184,0
22531.935229954823_35309.77724699766,10
22532.553492919047_35472.06176878697,5
22532.65585719242_35342.16017828105,0
22535.123454452958_35308.58889151532,10
22535.484225597396_35470.73513132616,9
22535.827682324918_35341.03779310009,0
22538.311678951093_35307.40053603297,10
22538.56092922135_35469.71339630023,5
22538.99950745741_35339.915407919136,0
22540.801868325434_35337.4632829437,9
22541.516304948447_35306.21077017911,10
22541.6376328453_35468.69166127431,9
22541.84642878607_35350.54884606656,9
22541.874497727364_35339.433839650184,9
22542.18967151413_35353.710232329795,9
22542.222756398925_35347.39587975375,9
22542.599084011785_35344.24291344093,9
22542.97541162464_35341.08994712812,9
22543.252484583114_35356.880038543444,9
22544.315297652098_35360.04984475709,8
22544.339477533722_35338.950656368725,9
22544.707364104826_35467.50392187928,9
22544.737332445024_35305.01959395374,9
22545.05994639637_35363.449446063496,8
22545.48643081593_35367.07884246265,8
22545.91291523549_35370.70823886181,8
22546.59523666686_35373.82487643843,4
