id,cluster
31518.198658179208_39012.94227763753,8
31518.271312397133_39015.62825297199,8
31518.343966615063_39018.31422830645,8
31518.639550277658_39021.287890609354,8
31519.158063384926_39024.54923988071,8
31519.676576492195_39027.81058915205,8
31520.186884602856_39031.07198970447,8
31520.68898771691_39034.33344153795,8
31521.191090830962_39037.594893371424,8
31521.693193914944_39040.85898535914,8
31522.19529696885_39044.12571750109,8
31522.69740002276_39047.39244964304,8
31524.390924634063_38976.89815263916,8
31526.685691774168_38974.25839085285,8
31526.8818745506_39069.928948062436,8
31528.805726397914_39067.64150257515,8
31528.947331301315_38971.75599345659,8
31529.53527014593_39061.060712890016,8
31530.263894125797_39059.60487389876,8
31530.729578245224_39065.35405708787,8
31530.972759494565_39063.16046052615,8
31531.175843215504_38969.390960450364,8
31533.158631434166_39058.792943552406,8
31533.40435512969_38967.02592744414,8
31535.723121759038_38964.73683608249,8
31535.936868340443_39057.22162786287,8
31538.13214310354_38962.52368636543,8
31538.598604844636_39054.89092683015,0
31540.54116444805_38960.31053664835,8
31541.260341348825_39052.56022579743,0
31543.015829658216_38957.86628803259,8
31543.73336539776_39050.06582884271,0
31545.556138734053_38955.19094051812,8
31546.01767699144_39047.407735965964,0
31548.09644780989_38952.51559300366,8
31548.30198858512_39044.74964308922,0
31550.452965006967_38949.843959095626,8
31550.515736644084_39042.16184144482,8
31552.625690325287_38947.176038794,8
31552.658921168324_39039.644331032745,8
31554.798415643607_38944.50811849239,8
31554.80210569257_39037.126820620666,8
31556.942008773312_39034.60537685685,8
31557.04334572786_38941.841097761266,8
31559.07863041055_39032.07999974128,8
31559.36048057805_38939.17497660063,8
31561.215252047787_39029.55462262573,8
31561.677615428238_38936.50885544,8
31563.39782237882_39027.027661235545,8
31563.9373151225_38933.88262415847,8
31565.626341403655_39024.49911557075,8
31566.139579660838_38931.29628275604,8
31567.854860428488_39021.97056990595,8
31568.341844199174_38928.709941353605,8
31570.060405757362_39019.454026876425,8
31570.549032337945_38926.12093728024,8
31572.242977390277_39016.94948648216,8
31572.761144077143_38923.529270535946,8
31574.425549023195_39014.44494608791,8
31574.97325581634_38920.93760379166,8
31576.613044810987_39011.895553985945,8
31577.22311180192_38918.30748662629,8
31578.805464753652_39009.30131017626,8
31579.51071203388_38915.638919039855,8
31580.997884696317_39006.707066366595,8
31581.798312265833_38912.97035145342,8
31583.183741164477_39004.11154536961,8
31583.933446149484_38894.38954269215,8
31584.06950324327_38910.283425550326,8
31585.363034158134_39001.51474718534,8
31585.582877978362_38896.99830620895,8
31586.324284966184_38907.57814133058,8
31587.23230980724_38899.60706972576,8
31587.54232715179_38998.91794900106,8
31588.5790666891_38904.87285711084,8
31588.88174163612_38902.21583324256,8
31589.762646023744_38996.311685155706,8
31590.74359331408_38902.178650034184,8
31592.02399077399_38993.69595564928,8
31592.817864841127_38899.49552010062,8
31594.28533552424_38991.08022614285,8
31594.89213636817_38896.812390167055,8
31596.541757586852_38988.481667417254,8
31596.95984396935_38894.15698722427,8
31598.793256961828_38985.90027947251,8
31599.020987644675_38891.52931127224,8
31601.044756336807_38983.318891527764,8
31601.082131319992_38888.90163532023,8
31603.220398948608_38886.57970190441,8
31603.245384562608_38980.76680825714,8
31605.395141639237_38978.24402966064,8
31605.435790530515_38884.56351102478,8
31607.54489871586_38975.72125106414,8
31607.651182112426_38882.54732014517,8
31609.707784686212_38973.17730426082,8
31609.866573694333_38880.53112926554,8
31611.883799550284_38970.61218925066,8
31612.039302983016_38878.26437167281,8
31614.05981441436_38968.047074240516,8
31614.169369978474_38875.74704736697,8
31616.22926542196_38965.507049682434,8
31616.29943697393_38873.22972306112,0
31618.39215257309_38962.992115576424,8
31618.45904243964_38870.732004324,0
31620.55503972422_38960.477181470415,8
31620.648186375605_38868.25389115561,0
31622.71136349084_38957.951741343095,8
31622.83733031157_38865.77577798722,0
31624.861123872946_38955.415795194465,8
31625.013347535176_38863.23446306509,11
31627.010884255054_38952.87984904584,8
31627.176238046428_38860.629946389236,6
31629.177055559267_38950.32403405444,8
31629.33912855768_38858.02542971338,6
31631.359637785572_38947.74835022027,8
31631.520069836515_38855.48804647171,4
31633.542220011885_38945.17266638608,8
31633.719061882926_38853.01779666424,4
31635.710033771753_38942.58784299971,8
31635.918053929345_38850.54754685675,4
31637.863079065188_38939.99388006114,8
31638.039919330025_38848.03951780319,6
31640.01612435862_38937.39991712258,8
31640.084658084972_38845.493709503535,6
31642.12939683992_38842.94790120388,11
31642.17901617024_38934.812491378725,8
31644.241417026085_38840.4518000337,2
31644.35175450005_38932.23160282959,8
31646.420718643472_38838.005405992975,6
31646.524492829863_38929.65071428045,8
31648.60002026086_38835.55901195225,4
31648.705436102395_38927.11856039087,8
31650.762912677757_38833.08107599472,6
31650.894584317644_38924.635141160834,8
31652.909395894167_38830.57159812038,4
31653.083732532894_38922.151721930815,8
31655.055879110576_38828.06212024603,4
31655.292573318337_38919.680055642864,8
31656.41173846567_38826.47323904504,4
31657.521106673972_38917.220142296996,8
31659.749640029608_38914.76022895112,8
31661.924020748243_38912.27294878753,8
31664.044248829887_38909.758301806214,8
31666.164476911523_38907.24365482491,8
31668.258449611578_38904.70015984178,8
31670.32616693005_38902.12781685684,8
31672.39388424852_38899.5554738719,4
31674.37955529126_38896.68038960195,5
31676.28318005828_38893.50256404699,5
31678.186804825298_38890.32473849203,5
31680.300474530624_38887.57811204683,6
31682.62418917426_38885.26268471137,11
31684.947903817894_38882.94725737593,4
31687.5177474025_38882.416770648866,4
31690.333719928072_38883.6712245302,4
31692.72018285859_38853.23097481689,3
31692.866186938816_38856.611692712395,2
31692.963100540073_38849.85194489627,2
31692.99017998719_38819.54104238987,11
31693.083954684924_38822.50105570411,2
31693.149692453644_38884.92567841153,4
31693.160356997723_38825.67496152832,11
31693.206018221557_38846.472914975646,7
31693.21938692558_38829.06275986251,6
31693.27841685344_38832.450558196695,11
31693.31118935819_38835.91761447238,2
31693.317704439833_38839.46392868957,7
31693.324219521477_38843.01024290675,3
31693.40111278076_38859.99409858278,11
31693.936038622698_38863.37650445316,2
31694.23958026383_38866.783995476784,11
31694.311737704153_38870.21657165364,6
31694.383895144474_38873.64914783049,6
31694.44292467327_38877.06334749113,6
31694.488826290533_38880.45917063556,6
31694.534727907798_38883.85499377998,4
31694.57570516741_38887.34445323268,3
31694.611758069375_38890.927548993655,4
31694.647810971335_38894.510644754635,0
31694.843044218054_38897.99261919834,0
31695.197457809532_38901.373472324776,4
31695.551871401014_38904.75432545122,4
31696.702183039124_38907.91036581348,4
31698.648392723866_38910.84159341156,2
31700.594602408608_38913.77282100965,3
31703.18082990298_38915.329208484356,11
31706.407075206982_38915.51075583568,12
31706.731071843085_38818.777096476566,2
31706.946575569607_38822.27795378468,11
31707.16207929613_38825.778811092794,6
31707.364580201025_38828.9693070966,2
31707.554078284298_38831.84944179611,11
31707.743576367575_38834.72957649562,2
31707.933074450848_38837.60971119513,2
31709.633320510984_38915.692303187025,3
31712.91700416923_38915.76409048529,7
31716.258126181718_38915.726117730475,7
31719.599248194205_38915.68814497568,2
31722.927243415194_38915.62915503482,2
31726.24211184468_38915.54914790792,2
31729.556980274167_38915.46914078102,3
31732.835340779966_38915.130947253536,11
31736.077193362078_38914.534567325485,11
31739.31904594419_38913.938187397434,11
31742.560898526302_38913.341807469384,4
31745.82613375455_38912.97468678396,6
31749.114751628927_38912.83682534116,11
31752.403369503303_38912.698963898365,4
31755.815065401883_38912.56961216732,4
31759.349839324666_38912.44877014801,4
31762.88461324745_38912.3279281287,4
31766.291387213285_38912.275070333446,4
31769.570161222182_38912.290196762246,6
31772.84893523107_38912.30532319103,4
31776.13263324377_38912.330967752576,3
31779.421255260277_38912.367130446866,1
