id,cluster
27106.562738169516_28141.559481334254,9
27106.94314201075_28138.989188214495,9
27107.103793039383_28131.163065601446,9
27107.12349363404_28135.523716303556,9
27108.42471992467_28120.980952173268,9
27108.69351014636_28127.683598311207,9
27110.96279098374_28158.362053627185,9
27111.803048214406_28122.851099053536,9
27111.89264495497_28125.085314432847,9
27112.17000270861_28156.989081672673,9
27113.7310218355_28086.085474304673,10
27114.48650288268_28154.463971119716,9
27115.14428521475_28124.362591684196,9
27115.573261010315_28088.419491539888,10
27116.803003056746_28151.938860566763,9
27117.882322270074_28091.169353113037,10
27118.448430925702_28125.51543006525,9
27119.38680298354_28111.35996574259,10
27119.46895015667_28149.792026507588,9
27120.658205614778_28094.335059024117,10
27121.752576636653_28126.668268446305,9
27122.484344182463_28148.0234689422,9
27122.84743389914_27865.603200498274,5
27122.88781960179_28112.282845285023,10
27123.53088289289_28097.0569344494,10
27124.71458533113_27862.093673258987,5
27125.050160998617_28127.80798782037,9
27125.49973820825_28146.254911376804,9
27126.38883622004_28113.205724827454,10
27126.43892080375_27858.88507973727,5
27126.500354104403_28099.334979388874,10
27126.836072990187_27886.84150176154,5
27127.08746428667_27888.742745284857,5
27128.020440317_27855.977419933115,10
27128.34118401159_28128.934588187447,9
27128.419748925044_27883.59791108537,5
27128.734973397062_28144.91663489029,9
27128.746356999185_27885.461547706167,5
27129.469825315915_28101.613024328348,10
27129.60195983025_27853.06976012896,10
27129.655245350845_28112.656567458067,10
27129.964613209766_27880.518536563268,5
27130.320626680055_27882.34368272983,5
27131.213010231077_27850.15010541689,10
27131.47066584436_27877.603378195236,5
27131.632207024566_28130.06118855452,9
27131.810273329276_27879.38915035584,5
27132.190049748904_28144.00863948265,9
27132.52460805606_28103.964930537328,10
27132.687046994193_28110.63537317686,10
27132.85359151948_27847.218455796898,10
27132.976718478953_27874.688219827203,5
27133.299919978497_27876.434617981857,5
27134.494172807892_27844.286806176904,10
27134.512302017487_27871.77290490472,5
27134.77972335215_27873.48145767041,5
27134.91830929786_28131.18386922862,10
27135.64512610074_28143.10064407501,10
27135.664702324833_28106.39069801581,10
27135.718848637545_28108.614178895656,10
27136.077416459964_27868.85743342778,5
27136.116707930454_27841.360519116617,10
27136.24968345023_27870.529669421492,5
27137.642530902438_27865.94196195084,5
27137.719643548317_27867.577881172583,5
27137.721196887174_27838.43959461603,10
27138.19949083147_28132.302630209742,10
27138.330764085862_28141.202333922898,10
27138.97705919392_28108.900378626087,10
27139.18796329461_27864.61821290189,5
27139.217489213137_27863.036963557708,5
27139.325685843894_27835.518670115445,10
27139.885146056_28115.819350394326,10
27140.246963704274_28138.31370902631,10
27140.441294637745_28112.07123379619,10
27140.65464268912_27861.650664609413,10
27140.802291392058_27860.142438248382,10
27140.92525330673_27832.589883383964,10
27141.078679690218_28117.313153764175,10
27141.48067236508_28133.42139119087,10
27142.121322083625_27858.683116316937,10
27142.16316332268_28135.425084129725,10
27142.387093570982_27857.247912939056,10
27142.519899275685_27829.65323442158,10
27143.596204674675_27855.70895014611,10
27143.9497650849_28135.34961988256,10
27143.98173959249_27854.350706887624,10
27144.021895540394_28116.55264390575,10
27144.11454524464_27826.716585459202,10
27145.079290462265_27852.728166096927,10
27145.586229456596_27851.450820094084,10
27145.606768990932_28138.087316284815,10
27145.709191450595_27823.757578629193,10
27146.562376249854_27849.747382047746,10
27146.96511139057_28115.79213404732,10
27147.190719320693_27848.550933300547,10
27147.263772896964_28140.82501268707,10
27147.303837893556_27820.776213931556,10
27147.6484416982_27847.678989963468,10
27148.788647101974_27845.645823841627,10
27148.898484336518_27817.79484923392,10
27149.293183485664_28141.003431049077,10
27149.698337568276_28116.771795663517,10
27150.380012800422_27842.73549171732,10
27150.506255780325_27814.79894798067,10
27151.69500075703_28138.622571370837,10
27151.971378498878_27839.825159593016,10
27152.127152224988_27811.78851017181,10
27152.221574073505_28119.49162875434,10
27153.572588131166_27836.939769578836,10
27153.748048669644_27808.778072362948,10
27154.34783712887_28139.04425742427,10
27154.744810578737_28122.211461845163,10
27155.1836416973_27834.079321674784,10
27155.370585985653_27805.755790971918,10
27156.79469526343_27831.218873770726,10
27156.95054790206_27830.00131009365,10
27156.994764173003_27802.72166599872,10
27157.228560026055_27724.717402481743,10
27157.251692601174_28142.26848920938,10
27157.473119156075_28124.079082835407,10
27158.402467947562_27828.358446855484,10
27158.618942360357_27799.687541025523,10
27159.064236142134_27728.78852766558,10
27160.0069597497_27825.49804092905,10
27160.284135689446_27796.64662094541,10
27160.40649980552_28125.094491725078,10
27160.612066651436_27732.329382108033,10
27161.611451551835_27822.63763500262,10
27161.872051553953_27735.339965809104,10
27161.990344160273_27793.598905758383,10
27163.132036456474_27738.350549510174,10
27163.6965526311_27790.551190571357,10
27165.33720351111_27810.218820778464,10
27165.44213582302_27787.541411354217,10
27166.018872735338_27811.032630297486,10
27166.40029924582_27807.05093202731,10
27167.227093736044_27784.569568106966,10
27167.46339498052_27803.883043276153,10
27167.9397103031_27713.435699532776,10
27168.367353061338_27800.66998170156,10
27168.445306918493_27809.49236058438,10
27168.803619922877_27755.25759312701,10
27169.012051649068_27781.597724859716,10
27169.11217348826_27797.411747303522,10
27169.515647044296_27758.394797325916,10
27169.856993915186_27794.15351290549,10
27170.22767416571_27761.53200152482,10
27170.426270744236_27790.880447788324,10
27170.473895636147_27807.362989233254,10
27170.65756721387_27781.386255716847,10
27170.747751854444_27764.71628458962,10
27170.82000397541_27787.592551952035,10
27170.872477302517_27778.621530798897,10
27171.07588011049_27767.947646520304,10
27171.21373720658_27784.304656115746,10
27171.404008366535_27771.17900845099,10
27171.4368486009_27781.016371734055,10
27171.489338158364_27777.727698806964,10
27171.541827715828_27774.439025879878,10
27172.104638888297_27804.6445162441,10
27172.8083706964_27775.640985924507,10
27173.735382140443_27801.926043254956,10
27174.74426409028_27772.660441050117,10
27175.364485178143_27799.23257392122,10
27176.765468941598_27769.692591772342,10
27176.9919480014_27796.564108242903,10
27178.61941082465_27793.895642564585,10
27178.87198525035_27766.73743809118,10
27180.261639495715_27791.288921624557,10
27180.9785015591_27763.78228441002,10
27181.918634014586_27788.74394542282,10
27182.83154717405_27761.189568129077,10
27183.575628533457_27786.19896922108,10
27184.431122095193_27758.95928924836,10
27186.505652604646_27757.65968203306,10
27186.90543952747_28154.048750020185,10
27189.055138702406_27757.290746483188,10
27189.968919475625_27746.109300940483,10
27189.985334761735_27749.41993741503,10
