id,cluster
24382.886268576454_27980.990294149484,10
24387.396182637858_27982.321606891397,10
24391.816303219934_27981.33767240815,10
24396.146630322684_27978.038490699746,10
24400.262901255097_27974.79177839047,10
24404.165116017168_27971.59753548033,10
24408.131304542767_27968.5016151214,10
24412.161466831883_27965.50401731368,10
24416.17686543443_27962.328904026966,10
24420.177500350408_27958.976275261248,10
24424.04281102611_27955.539530573074,10
24427.77279746154_27952.01866996244,10
24431.173082062778_27948.225309064583,10
24434.243664829817_27944.159447879494,10
24437.08788577017_27939.96260590609,10
24439.705744883828_27935.634783144356,10
24442.10757168284_27878.5613894114,10
24442.340828215056_27931.352257968858,10
24444.360249709905_27882.460928764456,10
24444.99313576385_27927.115030379595,10
24446.95853431978_27886.81570660589,10
24447.09185075616_27923.472793974237,10
24448.636973191977_27920.42554875279,10
24449.611260816575_27916.453949565017,10
24449.859451170596_27890.91626862253,10
24450.01471362995_27911.55799641092,10
24451.64115042716_27918.141962884125,10
24453.063000262355_27894.762614814383,10
24455.107660985028_27897.145138889086,10
24456.1043824617_27916.62203636824,10
24457.09818830918_27899.184606457176,10
24460.19347060389_27902.344839635807,10
24460.93668781424_27915.473064562775,10
24463.726713972967_27905.546115188514,10
24466.138066484775_27914.69504746773,10
24467.697918416423_27908.788433115296,10
24469.211138229093_27912.357815499447,10
24471.61251261056_27910.347841302857,10
24475.62552370087_27911.69360206047,10
24479.262147701695_28350.411830049838,0
24479.793561936647_27914.50862512736,10
24481.76258062037_28169.422858121652,10
24482.25934025014_28349.70990181979,0
24482.353148403483_28174.31764303385,10
24482.50597395635_28196.99326872105,10
24482.840648946345_28201.396116048105,10
24483.221013325558_27917.996607265995,10
24483.32016542124_28179.247885392782,10
24483.637730293747_28192.874535273135,10
24484.64175526373_28206.083077254298,10
24484.663631673648_28184.213585198435,10
24484.76948663115_28188.75580182522,10
24485.907877867598_27922.157548476374,10
24485.962860907173_27992.053859160464,10
24486.605249803455_28210.634968664333,10
24486.69847536247_27987.092883800644,10
24487.480396886094_28348.50929427112,0
24487.480837446492_27982.04878127755,10
24488.307486296842_27976.886045879528,10
24488.594742409638_27926.31848968676,10
24488.73113256551_28215.05179027821,9
24489.178421913526_27971.604677606574,10
24490.1010270483_27966.317116042723,10
