id,cluster
30210.075669606747_35606.397012109825,1
30211.70828234726_35604.91371931169,1
30214.21884687622_35602.5937855492,12
30216.729411405184_35600.27385178671,12
30217.269617823196_35616.834600823306,7
30218.90646573307_35598.19264243381,12
30219.413389083762_35614.88710860579,7
30220.75000985989_35596.350157490495,7
30221.75040285753_35612.78363949598,1
30222.59355398671_35594.50767254718,7
30224.280659144508_35610.52419349387,1
30224.43709811353_35592.66518760387,7
30226.284335215933_35590.76240910889,7
30226.810915431484_35608.26474749176,7
30228.13526529392_35588.79933706225,7
30228.511622067097_35483.76681496614,5
30229.133189149346_35606.198185468085,7
30229.370509342996_35485.58246312636,5
30229.986195371912_35586.83626501561,3
30230.535056028788_35487.98007626491,5
30231.247480298098_35604.32450742283,3
30231.8371254499_35584.873192968975,2
30232.00526212446_35490.95965438179,5
30233.361771446846_35602.45082937759,2
30233.47546822014_35493.93923249866,5
30233.70528499157_35582.931762492124,2
30234.9850556289_35496.923858030656,6
30235.476062595597_35600.577151332334,2
30235.590673996914_35581.01197358507,2
30236.534024350738_35499.91353097778,11
30237.494522980218_35579.134569286165,2
30237.5337433594_35598.77296631112,11
30238.08299307258_35502.903203924885,6
30239.41683194147_35577.29954959542,2
30239.534813738257_35597.03827431393,11
30239.651652546425_35505.89671924258,2
30241.24000277226_35508.89407693085,2
30241.339140902724_35575.464529904675,11
30241.53588411711_35595.303582316745,11
30242.828352998105_35511.891434619116,2
30243.261449863978_35573.62951021393,2
30243.53695449597_35593.568890319555,11
30244.47085286041_35514.855549166336,2
30244.66056013651_35592.187025561674,6
30245.22683195012_35571.869342206366,2
30245.81862447651_35590.861288054686,6
30246.167502359174_35517.786420572505,2
30247.235287161147_35570.184025881994,11
30247.864151857946_35520.71729197868,11
30247.888612254268_35589.23885055928,6
30249.24374237217_35568.49870955762,6
30249.68879122276_35523.56838735645,2
30249.958600032034_35587.61641306387,6
30251.2521975832_35566.81339323325,6
30251.641420453627_35526.33970670581,11
30252.028587809793_35585.99397556847,4
30253.59404968449_35529.11102605517,11
30253.75291855613_35565.14931075205,4
30253.897537549332_35538.28012434035,5
30254.166668249567_35535.166748896154,4
30254.34184015507_35584.02398431338,5
30254.435798949802_35532.05337345195,6
30254.991996763158_35539.597920839034,5
30256.74590529096_35563.50646211404,5
30256.898357067857_35581.70643929861,5
30257.45004589105_35539.1201383922,5
30259.22867204268_35550.332120925,5
30259.454873980645_35579.38889428384,5
30259.738892025798_35561.86361347603,5
30259.908095018945_35538.64235594537,5
30261.71295445983_35552.44695495935,5
30262.04748887054_35577.338591772845,5
30262.286383566297_35559.68644337048,5
30262.311983171945_35539.65361315618,5
30264.197236876975_35554.56178899369,5
30264.388379912467_35556.974951797405,5
30264.661710350054_35542.153910024645,5
30264.67620173754_35575.555531765625,5
30266.10066591455_35554.30323597878,5
30267.011437528163_35544.6542068931,5
30267.30491460454_35573.7724717584,5
30267.42324157255_35551.671295914624,5
30268.745817230552_35549.039355850466,5
30268.796703088385_35546.813870572856,5
30269.136378669493_35545.35350084343,5
30269.768713354817_35572.670827497626,5
30271.036533774037_35544.251791875606,5
30272.067597988367_35572.250598983286,5
30273.34035015453_35542.81841355555,5
30274.785721929038_35572.76140281279,5
30276.047827810966_35541.05336588324,11
30277.923085176837_35574.20323898613,5
30278.7553054674_35539.28831821093,4
30280.10149794329_35557.893072636674,0
30281.06044842463_35575.64507515945,5
30281.638764213894_35538.131261948816,4
30282.09515941752_35559.87764617351,0
30283.185402930347_35574.925129092306,5
30283.5311993447_35577.395384545816,5
30284.088820891746_35561.86221971035,0
30284.297948693988_35572.04340078468,0
30284.69820405045_35537.58219709689,4
30285.33533793704_35579.45416714521,5
30285.41049445763_35569.16167247704,0
30286.082482365975_35563.84679324718,0
30286.52304022127_35566.279944169415,0
30287.13947652938_35581.512949744596,5
30287.757643887013_35537.033132244964,4
30288.025686793575_35565.85438244668,0
30288.94361512172_35583.57173234399,0
30289.918434174546_35567.884987308855,0
30290.716987543685_35585.616858529276,0
30290.81708372357_35536.48406739304,4
30291.811181555517_35569.91559217102,0
30292.459593795273_35587.64832830047,0
30293.666069154708_35537.29549185122,4
30293.703928936488_35571.94619703319,0
30294.109016783856_35548.293749450575,4
30294.202200046857_35589.679798071666,0
30295.944806298445_35591.71126784286,0
30296.304600180425_35539.46740561949,4
30296.570368757915_35546.0663601791,4
30297.958157384237_35594.00238156158,0
30298.943131206142_35541.63931938777,4
30299.03172073197_35543.838970907644,4
30300.242253304237_35596.553139227835,0
30301.525891415185_35541.58241243181,4
