id,cluster
19247.417473929763_44312.98245577367,9
19247.424519518398_44303.1833331015,9
19247.431803481704_44300.4022341173,9
19247.460983914978_44290.597063236186,9
19247.473185704213_44287.78424848028,9
19247.509747112395_44278.056312203465,9
19247.558844765594_44275.36609071096,9
19247.72084014655_44265.70279001779,9
19247.728590031642_44252.49615014301,9
19247.79945069303_44262.99853095897,9
19248.317929298035_44249.310122268624,9
19248.662480996907_44328.524343006546,10
19248.68665515136_44316.14408271416,9
19248.687483808826_44340.551752527586,10
19248.885736126344_44239.727616429176,9
19249.038127424883_44236.94369654731,9
19249.397857661537_44256.133353819874,9
19249.753501122083_44227.360326239825,9
19249.964919643506_44224.58992197285,9
19250.014480174934_44308.02264292515,9
19250.01682870448_44304.756268701094,9
19250.03868059439_44296.412971748505,9
19250.04840740548_44293.1445814548,9
19250.08501277319_44284.706137187095,9
19250.09719990925_44281.46349176148,9
19250.244492868846_44273.392827283984,9
19250.298491329166_44270.171727052926,9
19250.534322968597_44262.05894987644,9
19251.067125291433_44259.77055749674,9
19251.165875460727_44246.575270196714,9
19251.18860972907_44336.7215592568,10
19251.193338216483_44331.11183968018,10
19251.20547529941_44326.3934504483,10
19251.22502097786_44322.56639156114,10
19251.24456665631_44318.739332673984,9
19251.355144403497_44243.38110158357,9
19251.81231829911_44235.02934193796,9
19252.050776198175_44231.8348851688,9
19252.460830201802_44211.96721884798,9
19252.68503176245_44223.52367236788,9
19253.97543654658_44199.780308440495,9
19254.30323506573_44220.196098577246,9
19254.81952955335_44214.607200600934,9
19254.995178915073_44244.92788092253,9
19255.409606574893_44208.99013313994,9
19256.073466130354_44203.34489619426,9
19256.77439674653_44197.918168943404,9
19259.80583966108_44244.36795444606,9
19264.29353736682_44245.07504059268,9
19268.458272032287_44247.049139362396,9
19272.623006697755_44249.02323813212,9
19277.339452666507_44250.19442539951,9
19282.607609938532_44250.562701164585,9
19287.88313704639_44250.62391076886,9
19290.667109633774_44683.207029178426,10
19293.166033990077_44250.378054212335,9
19294.779298134545_44682.88892111946,10
19295.723634456634_44680.1692696566,10
19296.218444453978_44693.77159010544,10
19298.003717780543_44685.28616457958,10
19298.338245442603_44249.78028753519,9
19299.745277462906_44693.22723473406,10
19300.34036857176_44690.39875955877,10
19301.678775932913_44704.17824432301,10
19302.71882976696_44695.495258083545,10
19303.399771403972_44248.83061073742,9
19304.79241675479_44703.46998890038,10
19305.139101366138_44700.57566015389,10
