id,cluster
22996.53965193023_34402.04608348468,9
22998.00295524825_34402.66719496039,9
22999.46625856627_34403.2883064361,9
23000.929561884288_34403.90941791181,9
23002.15569318138_34403.61046944344,9
23003.144652457544_34402.39146103098,9
23004.44524678136_34402.01980768558,9
23006.057476152833_34402.49550940724,9
23007.669705524306_34402.971211128905,9
23009.281934895782_34403.446912850566,9
23010.894164267254_34403.92261457223,9
23012.506393638727_34404.39831629389,9
23013.97183909894_34405.144275900064,9
23015.290500647894_34406.16049339076,9
23016.609162196848_34407.17671088145,9
23017.9278237458_34408.19292837215,9
23019.246485294752_34409.20914586284,9
23020.565146843706_34410.22536335354,9
23021.577933548757_34411.48046252719,9
23022.284845409904_34412.974443383835,9
23022.99175727105_34414.46842424046,9
23023.698669132198_34415.9624050971,9
23024.405580993345_34417.45638595373,9
23025.112492854492_34418.95036681037,9
23025.53074715301_34420.48550928985,9
23025.6603438889_34422.061813392174,9
23025.789940624793_34423.6381174945,9
23025.91953736068_34425.21442159683,9
23026.049134096575_34426.79072569915,9
23026.178730832464_34428.36702980148,9
23026.257355410955_34429.586226004845,9
23215.96585205928_34302.56073234077,9
23217.217581311295_34301.701521255774,9
23218.469310563312_34300.84231017079,9
23219.72103981533_34299.983099085795,9
23220.972769067346_34299.1238880008,9
23222.19820808379_34298.16805080549,9
23223.397356864665_34297.115587499866,9
23224.59650564554_34296.06312419423,9
23225.795654426413_34295.010660888605,9
23226.994803207286_34293.95819758298,8
23228.19395198816_34292.905734277345,10
23229.393100769033_34291.85327097172,10
23230.667580403013_34290.902954585996,10
23232.0173908901_34290.0547851202,10
23233.36720137719_34289.20661565439,8
23234.717011864275_34288.35844618859,10
23236.066822351364_34287.51027672278,8
23237.416632838453_34286.66210725698,10
23238.86122306124_34286.00330164487,8
23240.400593019735_34285.533859886455,8
23241.939962978227_34285.064418128044,8
23243.479332936717_34284.594976369626,8
23245.01870289521_34284.125534611216,8
23246.558072853702_34283.656092852805,8
23248.097442812195_34283.18665109439,8
23249.601897983037_34282.48666732342,8
23251.071438366234_34281.55614153991,8
23252.540978749428_34280.62561575639,8
23254.010519132622_34279.69508997288,8
23255.480059515816_34278.76456418936,8
23256.949599899013_34277.834038405854,8
23258.396999061388_34276.90890856588,8
23259.822257002947_34275.98917466944,8
23261.2475149445_34275.069440773004,8
23262.67277288606_34274.149706876575,8
23264.098030827616_34273.22997298014,8
23265.523288769175_34272.3102390837,8
23266.93542602036_34271.38662799721,8
23268.334442581174_34270.45913972066,8
23269.733459141993_34269.53165144411,8
23271.132475702805_34268.604163167554,8
23272.531492263624_34267.676674891,8
23273.930508824436_34266.74918661445,8
23275.334446372588_34265.83155208535,8
23276.743304908076_34264.9237713037,8
23278.152163443563_34264.01599052205,8
23279.56102197905_34263.1082097404,8
23280.969880514538_34262.20042895875,8
23282.378739050026_34261.2926481771,8
23283.798259332165_34260.411156489914,8
23285.228441360967_34259.555953897194,8
23286.65862338976_34258.700751304474,8
23288.088805418563_34257.84554871175,8
23289.518987447358_34256.99034611903,8
23290.94916947616_34256.13514352631,8
23292.38919269413_34255.276592423295,8
23293.839057101268_34254.41469280998,8
23295.28892150841_34253.552793196664,8
23296.73878591555_34252.69089358334,8
23298.188650322692_34251.828993970026,8
23299.63851472983_34250.96709435671,8
23301.101500504305_34250.09524055837,8
23302.57760764611_34249.21343257501,8
23304.05371478792_34248.331624591636,8
23305.529821929726_34247.44981660828,8
23307.005929071533_34246.568008624905,8
23308.48203621334_34245.68620064155,8
23309.960603778654_34244.78988786934,8
23311.441631767484_34243.879070308285,8
23312.92265975631_34242.96825274724,8
23314.403687745136_34242.05743518619,8
23315.884715733962_34241.14661762514,8
23317.365743722792_34240.23580006409,8
23318.810689152364_34239.32584624264,8
23320.219552022674_34238.41675616078,8
23321.62841489299_34237.50766607893,8
23323.037277763302_34236.598575997064,8
23324.44614063362_34235.68948591521,8
23325.85500350393_34234.78039583335,8
23327.25156553314_34233.85820198287,8
23328.635826721245_34232.92290436376,8
23330.02008790935_34231.98760674465,8
23331.40434909745_34231.05230912554,8
23332.788610285555_34230.11701150643,8
23334.17287147366_34229.18171388732,8
23335.39780376809_34228.16112195377,8
23336.46340716885_34227.0552357058,8
23337.529010569608_34225.94934945781,8
23338.594613970366_34224.843463209836,8
23339.66021737112_34223.73757696185,8
23340.72582077188_34222.63169071387,8
23341.79142417264_34221.52580446589,8
23342.942785914704_34220.544776914925,8
23344.179905998077_34219.68860806098,8
23345.417026081454_34218.83243920702,8
23346.654146164827_34217.97627035307,8
23347.8912662482_34217.120101499124,8
23349.128386331577_34216.26393264517,8
23350.36550641495_34215.40776379122,8
23351.669620146622_34214.51455421974,8
23353.04072752659_34213.58430393073,8
23354.41183490656_34212.654053641716,8
23355.782942286532_34211.72380335271,8
23357.1540496665_34210.7935530637,8
