id,cluster
28061.64131184987_40468.900347859475,0
28062.644534344774_40478.35576719529,0
28062.782345654512_40480.313668867726,0
28063.751131890844_40469.98085049026,0
28065.151396597525_40476.491738453056,0
28065.564830526735_40482.36544347035,0
28067.191503948045_40472.45741372322,0
28067.65825885027_40474.62770971081,0
28068.347315398958_40484.41721807298,0
28071.101910486952_40486.43882093176,0
28073.82861579072_40488.430252046695,4
28076.55532109449_40490.42168316163,4
28079.22952727184_40492.441123875564,4
28081.851234322774_40494.488574188494,4
28081.90209710828_40481.645153974576,4
28084.198962143746_40483.92929930737,4
28084.472941373708_40496.53602450143,4
28086.495827179217_40486.21344464016,4
28087.235742859633_40497.02489883636,4
28088.78613019111_40488.52137187691,4
28090.13963878055_40495.95519719327,4
28091.06987117944_40490.8530810176,4
28093.043534701468_40494.88549555019,4
28093.35361216776_40493.184790158295,4
28093.732591890137_40502.27576792757,4
28094.037748198854_40499.105718648,4
28094.342904507568_40495.935669368424,4
28094.999150023308_40503.31953943115,4
28097.83742259837_40502.23703315873,4
28100.675695173428_40501.154526886305,4
28101.397564821753_40508.74905962794,4
28101.676471477436_40505.4947452768,4
28101.95537813312_40502.24043092567,4
28102.493498265467_40511.49403942184,5
28102.65920166378_40509.808689084726,4
28104.964271808567_40513.7296846585,5
28105.461382003516_40508.673633647166,5
28107.435045351674_40515.96532989516,5
28108.263562343247_40507.538578209605,5
28110.735154365902_40516.28747555868,5
28114.86459885125_40514.69612164905,5
28117.921073193495_40523.42311150303,5
28118.072834169532_40515.09795016558,5
28120.359860320736_40517.492961108255,5
28121.833957429524_40521.864688849186,5
28122.64688647194_40519.88797205093,5
28123.91836282264_40532.627386870896,5
28124.906022452673_40522.350418452814,5
28125.611484355264_40534.50885714984,5
28127.13726207469_40537.29550040288,5
28127.13726826293_40524.880300313904,5
28127.46456808576_40533.75597499337,5
28128.495695980913_40540.98731663001,5
28129.368514073187_40527.410182175,5
28129.477614014133_40530.36874040149,5
28130.892644937398_40543.96864980942,5
28134.32810894413_40546.23949994112,5
28136.990839613874_40548.742443259434,0
28137.197559860422_40545.57558472253,9
28138.06873527056_40537.33781229496,5
28138.88083694662_40551.47747976435,0
28139.500997686264_40541.97690415364,5
28139.791389489645_40539.23098001112,5
28140.770834279367_40554.21251626927,0
28142.588644387102_40557.00206068539,0
28142.70513025426_40554.272324404934,0
28144.334267269827_40559.84611301271,10
