id,cluster
26203.14048750754_42481.249591311505,10
26203.841531083486_42476.33963819115,10
26204.579677821348_42471.41814012002,10
26205.364575746946_42466.44886029344,10
26206.19622486028_42461.43179871142,10
26207.05001980418_42456.462118418196,10
26207.92596057865_42451.539819413774,10
26208.84373190091_42446.64696838203,10
26209.803333770957_42441.78356532298,10
26210.819529652596_42436.92378858283,10
26211.892319545826_42432.0676381616,10
26213.01186088728_42427.1894396806,10
26217.96984548097_42407.6777938986,10
26218.302053878877_42411.58526929541,10
26219.30838190611_42402.879473502515,10
26220.30500709983_42414.60189969293,10
26220.68874853154_42398.04131941989,10
26221.183329728476_42479.06810770208,8
26222.110945357257_42393.163331650736,10
26222.227145600504_42474.09583597499,8
26223.334385123006_42469.27705252716,8
26223.570051587303_42388.30294428117,10
26224.495758066434_42464.459929134675,8
26225.06606722167_42383.460157311194,10
26225.68419774274_42459.63275202198,8
26226.57684682452_42378.63510294424,10
26226.899704151932_42454.795521189066,8
26228.10239039584_42373.8277811803,10
26228.17180422567_42449.89461410919,8
26229.500497963953_42444.930030782314,8
26229.65992214511_42369.03017122764,10
26230.873483588784_42440.08197818724,8
26231.24944207232_42364.242273086245,10
26232.290761100157_42435.35045632394,8
26232.858647321074_42359.48791358363,10
26233.6908139961_42430.53788415201,9
26234.487537891364_42354.767092719776,10
26235.073642276617_42425.64426167143,9
26236.109047137554_42350.08591027469,10
26236.505683372056_42420.81963250826,8
26237.723175059637_42345.44436624835,10
26237.986937282418_42416.06399666252,8
26239.371751586645_42340.778868504305,10
26239.495258340772_42411.34581451831,8
26241.03064654712_42406.665086075656,8
26241.05477671857_42336.089417042545,10
26242.5709559585_42401.950682649054,8
26242.735341622854_42331.41978003342,9
26244.116186574927_42397.20260423852,8
26244.41344629949_42326.76995747694,9
26245.686023775073_42392.49397355192,8
26246.108775445267_42322.112119666876,9
26247.280467558947_42387.82479058928,8
26247.82132906018_42317.44626660322,9
26248.83062000707_42383.07867728928,8
26249.54618587029_42312.76253060644,9
26251.2833458756_42308.06091167653,9
26252.77249837181_42380.07010383571,8
26253.02542728976_42303.347392283365,9
26253.636127766204_42373.38229767866,8
26253.687771596313_42369.043024584804,8
26254.77243011278_42298.62197242695,9
26255.18634004231_42377.442800693425,8
26255.341271532638_42364.42498141185,8
26256.499748262228_42293.89073734416,9
26257.024299165347_42359.82260269821,8
26258.20738173811_42289.15368703502,9
26258.407293880715_42379.33571527069,8
26258.736854494433_42355.235888443865,8
26259.905173003273_42284.41472158823,9
26260.481398082255_42350.65492667151,8
26261.59312205771_42279.67384100381,8
26262.257929928805_42346.07971738113,8
26263.290913908637_42274.94676305238,8
26263.29898928142_42379.06104141043,8
26264.046765107167_42341.50246037172,8
26264.99854855604_42270.233487733945,0
26265.84790361734_42336.92315564326,8
26266.733250409743_42265.54776799096,0
26267.653963644818_42332.345806170415,8
26268.215292256595_42378.82185086039,8
26268.495019469738_42260.88960382341,0
26269.464945189604_42327.77041195319,8
26270.30600113043_42256.23511009445,0
26270.848164169693_42381.15178223863,8
26271.172997446232_42386.015352234936,8
26271.221793923647_42323.260667361064,8
26272.166195391816_42251.58428680407,0
26272.265449970673_42376.90133890412,8
26272.92450984695_42318.81657239403,8
26273.20057134309_42390.181880447824,8
26274.033771526127_42246.89185751998,0
26274.582935671166_42314.48359461592,8
26275.42485484918_42373.26402223142,8
26275.908729533367_42242.15782224215,0
26276.197071396287_42310.26173402673,8
26276.93088586027_42393.651366877304,8
26277.78368794481_42237.43962767068,0
26278.006010533074_42368.83640405988,8
26278.52724224999_42305.35864067427,8
26279.658646760465_42232.73727380557,0
26280.00891702235_42363.61848438951,8
26281.518842250713_42228.046889869795,0
26281.57344823228_42299.774314558555,8
26281.94784858859_42358.51576130007,8
26283.36427441556_42223.36847586337,0
26283.822805231786_42353.52823479155,8
26284.56307194292_42295.896591653516,8
26285.20478544385_42218.66040591436,0
26285.62886556478_42348.64207730343,8
26286.140256727813_42285.152795790484,8
26286.9325380949_42279.451312448065,8
26287.040375335582_42213.92268002276,0
26287.353375072842_42290.32172478684,8
26287.366029587574_42343.8572888357,8
26287.49611338192_42293.72547195916,8
26288.2021806919_42273.93898952086,8
26288.868583677264_42209.18698312208,0
26289.11057532814_42339.0110994353,8
26289.949184518795_42268.61582700885,8
26290.68941046889_42204.45331521231,0
26290.86250278648_42334.10350910222,8
26291.051708492163_42294.07835384751,8
26291.80199634262_42263.462268408766,8
26292.505316291114_42199.717702842434,0
26292.66610348587_42329.193636696364,8
26293.76061616336_42258.4783137206,8
26294.316301143932_42194.98014601246,0
26294.52137742631_42324.281482217724,8
26295.229857273647_42296.95523731857,8
26295.716775863402_42253.52011205338,8
26296.117443892443_42190.25650905055,0
26297.670475442734_42248.58766340711,8
26297.908744536646_42185.546791956716,0
26299.604490488677_42243.671173433664,8
26299.73449410133_42180.828957379264,0
26300.773643902445_42298.75706015127,8
