id,cluster
44165.34862336951_41145.55661043639,9
44168.62490145424_41146.343810476756,9
44172.83249363844_41146.85071843888,9
44177.971399922084_41147.07733432277,9
44178.839698177006_41060.99347882546,10
44182.891505774554_41059.79725957213,10
44183.01176531483_41147.32628804502,9
44187.72010204528_41058.56233077725,10
44187.953589816694_41147.59757960563,9
44192.54623294045_41057.38278903098,10
44192.883124410124_41147.4437600723,9
44197.36989846006_41056.25863433333,10
44197.80036909514_41146.864829445054,9
44202.22312663232_41055.156058253706,10
44202.8432259398_41146.76768821791,9
44207.10591745721_41054.07506079212,10
44208.01169494413_41147.15233639087,9
44212.028121967414_41053.06699998971,10
44213.15307116692_41147.46595155741,9
44216.98974016293_41052.13187584646,10
44218.267354608186_41147.70853371752,9
44221.919329975084_41051.26220134372,10
44223.43829307615_41148.08130127876,9
44226.816891403876_41050.45797648146,10
44228.66588657083_41148.584254241134,9
44231.69967062862_41049.69536826935,10
44233.73827125231_41149.210738463655,9
44236.567667649324_41048.97437670738,10
44238.655447120604_41149.96075394633,9
44241.44059173805_41048.27906449457,10
44243.4765162669_41151.19980589043,9
44246.318442894786_41047.60943163092,10
44248.2014786912_41152.927894295965,9
44250.87577349802_40959.37280155798,10
44252.874703099165_41154.737371125324,9
44257.496189490805_41156.62823637852,9
44262.18665694265_41158.510782276106,9
44263.70394894793_40963.109253864895,10
44263.827803033564_40954.62394522841,10
44264.970506144_40958.32407969222,10
44266.9461054547_41160.38500881806,9
44271.62424405042_41162.49109703569,11
44276.221072729815_41164.82904692898,4
44281.04704663054_41166.61586473081,10
44286.102165752614_41167.851550441206,10
44290.925694165526_41169.39118270985,10
44295.51763186929_41171.23476153673,10
44300.0824681551_41173.13782932197,10
44304.62020302296_41175.10038606554,10
44309.224450522546_41177.135719881044,10
44309.565689184776_40997.5747244401,10
44312.61468698683_41011.763232843594,10
44313.369587369736_40994.753993022256,10
44313.89521065385_41179.24383076848,10
44314.10293838659_41007.47503827556,10
44314.103526507984_40997.97696531194,10
44314.131943996465_41016.460772689155,10
44314.15135630226_41021.24233831574,10
44316.39507682147_40990.76124779478,10
44318.29178564308_41034.19243708112,10
44318.45757886871_41181.303144624566,10
44318.59669819573_41003.59618898503,10
44318.596894236194_41000.43016466383,10
44322.376518174875_41031.57765515967,10
44322.388345565196_40999.7313911066,10
44322.91155516711_41183.31366144931,10
44325.47788049499_40995.880644640274,10
44327.328560221424_41185.63290455802,10
44329.48370242816_40994.55174719288,10
44331.35975217479_41013.56049460204,10
44331.70859403165_41188.260873950705,10
44332.80106539413_41011.41226548732,10
44332.842548131186_41017.81922464626,10
44334.405811364704_40995.744698764436,10
44335.79298316476_41191.199104775136,10
44337.04409647074_40998.68546898764,10
44337.16648778924_41011.3745373021,10
44337.75329507806_41003.61124087117,10
44338.817231017216_41008.774195763384,10
44339.58172762077_41194.447597031336,10
44341.317660768895_41010.066527704534,10
44342.94917733583_41198.13959743248,10
44345.254584333095_41007.488236694626,10
44345.89533230994_41202.275105978566,9
44347.612136889955_41008.63705720388,10
44348.39031843946_41013.51298923229,10
44348.6099169378_41206.35464023071,9
44350.70353158604_41014.60670043894,10
44351.092931219406_41210.37820018892,9
44353.58826004339_41214.45904086347,9
44354.55177632968_41011.918190823824,10
44356.09590340976_41218.59716225436,9
44356.81079485791_41012.954876116564,10
44357.48058717071_41017.71675631716,10
44358.61093224306_41222.824235841435,9
44360.09175210083_41021.06902112981,10
44361.13334654327_41227.14026162469,5
44363.70749123818_41231.53113355592,5
44364.64428964827_41023.01167055454,10
44366.33336632777_41235.996851635144,5
44367.0931348961_41021.93522744015,10
44367.43828784432_41017.83969178668,10
44368.96417147678_41240.421013732106,5
44369.337253400976_41024.92382507429,10
44371.59990668519_41244.8036198468,5
44374.07058318012_41249.195119297874,5
44374.17064335894_41026.80548468909,10
44376.37620096157_41253.59551208529,5
44377.08508700071_41025.99127121831,10
44378.080584326286_41022.481184661956,10
44378.43545030274_41258.19908937455,5
44380.248331203635_41263.00585116566,5
44380.916195484286_41021.67139254022,10
44381.42806644041_41267.98447444004,5
44381.974656013044_41273.1349591977,5
44382.16616722032_41283.51249232965,5
44382.22068960635_41278.3109651609,5
44385.59192047471_41023.56189485311,10
44386.69521420222_41029.70548718651,10
44387.518260047356_41026.239926401875,10
44390.30214795098_41025.27223734572,10
44395.04687791307_41026.80242001806,10
44396.11073998908_41033.18750760839,10
44396.98307525911_41029.44084343895,10
44399.64133548727_41028.27218952049,10
44404.08552067357_41029.681545853025,10
44405.43512091_41036.64436039182,10
44406.01678248115_41032.4722694768,10
44407.98288935013_41029.577374562534,10
44411.33344151695_41027.95967564902,10
44413.34119672388_41028.79614105809,10
44414.00615497092_41032.08677078973,10
44414.307152245456_41024.997513557275,10
44415.91488976784_41040.598638372045,9
44416.66419458655_41034.50140936026,10
44416.904021535665_41020.69088828731,10
44417.272150462064_41043.25829271416,9
44417.96479997505_41037.04670150066,9
44420.42952634924_41018.48746686896,10
44422.03658205771_41045.02566452702,9
44424.8836666862_41018.387249302235,10
44425.54230883031_41043.93504358812,9
44427.78933077985_41039.98642989746,9
44429.337807023156_41018.287031735505,10
44431.18174044855_41038.815400536936,9
44434.10721653738_41019.303567063165,10
44434.832222193814_41047.30706677098,9
44435.7195378364_41040.42195550654,9
44436.120490587135_41050.1866382094,9
44436.936365084825_41043.25251091789,9
44439.191895228854_41021.436855285196,8
44440.801170264785_41051.89122523315,9
44444.21329146212_41050.7062353911,9
44444.29384747746_41023.13894021411,8
44446.35685417913_41046.631668683265,9
44449.413073283155_41024.4098218499,8
