id,cluster
20645.97489687243_34018.99795441418,8
20649.319762223102_34017.906426618756,8
20652.047250513224_33932.772377980706,8
20652.66462757377_34016.81489882333,8
20655.06780987717_33931.232331956155,8
20655.803067771467_34015.64294972186,8
20658.08836924112_33929.6922859316,8
20658.735082816194_34014.39057931435,8
20661.263085703413_33928.53870504763,8
20661.66709786092_34013.13820890684,8
20664.591959264053_33927.77158930425,8
20664.63518723849_34011.763109296604,8
20667.639350948903_34010.26528048365,8
20667.920832824693_33927.00447356086,8
20670.643514659314_34008.76745167069,8
20670.75779193804_33927.73150505347,8
20672.465320500327_34006.259863169136,8
20673.102836604085_33929.952683782045,8
20673.10476847194_34002.74251497898,8
20674.062353065125_33999.437464166316,8
20675.338074279884_33996.34471073115,0
20675.395593895028_34001.030675098795,8
20675.447881270135_33932.17386251064,8
20676.61379549464_33993.25195729597,0
20677.274746561052_33934.88806627157,8
20678.583432476844_33938.09529506486,8
20678.66683063405_33991.07837029058,0
20679.337796769585_34001.12434352857,8
20679.89211839263_33941.30252385815,8
20681.49717969812_33989.82394971496,0
20681.820655600786_33944.03064843624,8
20682.89224342069_34079.33466817705,4
20683.279999644146_34001.21801195834,0
20684.327528762187_33988.56952913934,0
20684.369044101306_33946.279668799136,8
20685.473808349074_34078.08262587203,4
20686.572042654127_34002.82453269124,0
20686.917432601826_33948.528689162034,8
20687.34973963881_33987.249469260285,4
20688.05537327746_34076.83058356701,4
20689.213925799522_34005.94390572725,0
20689.677319105835_33949.130996571614,8
20690.563812327986_33985.863770077776,0
20690.82036622148_34075.59808266308,4
20691.115414367472_34008.99335543649,4
20691.604014001347_34006.11155828252,4
20692.276508357965_34011.97288181896,4
20692.648703613326_33948.08659102788,8
20693.437602348466_34014.95240820143,4
20693.742307259592_34003.32749035707,4
20693.768787181136_34074.385123160224,4
20693.777885017163_33984.47807089527,4
20694.59869633896_34017.9319345839,4
20695.62008812082_33947.04218548415,8
20695.85162194726_34020.90271074287,11
20695.88060051784_34000.54342243162,4
20696.717208140788_34073.17216365737,4
20696.780418755785_33983.13177453674,4
20697.196379173358_34023.86473667832,2
20698.541136399454_34026.82676261377,11
20698.78826713671_33946.41957630486,8
20699.57141354386_33981.824881002176,4
20699.905572484728_34029.80712472483,4
20700.14610845636_34072.01445959719,4
20701.289687429184_34032.8058230115,6
20702.153240661006_33946.21876349003,8
20702.36240833193_33980.517987467625,4
20702.673802373632_34035.804521298174,6
20704.055488127848_34070.91201097968,11
20704.07267760672_34038.85847354362,6
20705.286231033155_33979.169502906916,4
20705.486313128444_34041.96767974785,2
20705.518214185293_33946.0179506752,8
20706.899948650163_34045.07688595208,11
20707.964867799335_34069.80956236217,2
20708.298825020538_34048.1624632814,6
20708.342881647528_33977.779427320056,4
20708.389624047086_33947.009598746015,8
20708.540089528004_34141.59413525848,4
20709.419040136643_33993.476379976746,4
20709.68294223957_34051.2244117358,11
20710.767470246377_33949.19370770248,8
20711.067059458604_34054.2863601902,7
20711.305473394666_34140.347483946905,6
20711.399532261898_33976.3893517332,4
20711.402776775125_34068.17882581334,3
20712.441337422642_34057.33782686335,3
20712.711828296113_33992.003280926874,4
20713.145316445665_33951.37781665893,8
20713.80577613169_34060.378811755254,7
20714.36921505521_34066.01980133318,7
20714.506429155008_34138.903824008674,4
20714.73661158203_33975.47198421489,4
20715.04761507804_33953.937456613414,9
20715.17021484073_34063.419796647155,7
20716.004616455582_33990.53018187701,6
20716.341960216905_34066.0600343383,3
20716.474366143506_33956.87262756593,8
20716.833875962777_34064.52368194224,7
20717.321012260203_34068.29952482866,7
20717.70738491535_34137.46016407044,2
20717.901117208967_33959.807798518435,9
20718.35411960792_33975.02732476512,4
20718.420602660404_34070.87956897718,7
20718.796759497825_34063.6904676405,7
20719.241652750825_33989.136447684206,6
20719.486937688318_33962.867233438345,4
20719.6407314175_34073.800166783825,7
20720.860860174602_34076.720764590485,3
20720.913261417925_34136.020430071476,2
20721.23182758156_33966.05093232565,4
20721.336455628578_34062.591152845634,7
20721.97162763381_33974.582665315356,4
20722.136746291486_34079.72405262981,6
20722.422937181836_33987.822078348465,4
20722.9767174748_33969.23463121295,4
20723.46838976816_34082.81003090181,2
20723.81477203409_33972.59340812354,4
20724.124058662732_34134.584622011775,3
20724.45296435504_34061.225737557616,7
20724.707738878_33975.07641539048,6
20724.80003324483_34085.89600917381,6
20725.604221612848_33986.50770901272,4
20726.17431409577_34089.01995690525,2
20726.562453340488_33976.5085749905,6
20727.334855907542_34133.14881395207,2
20727.569473081505_34059.86032226961,12
20727.591232320978_34092.1818740961,7
20728.011476295003_33984.49220382596,6
20728.232686352538_33978.022801660205,11
20729.008150546186_34095.34379128697,7
20729.644701228295_33981.775562788185,11
20729.71843791414_33979.6190953996,6
20730.43326841443_34098.51357000236,7
20730.503019371197_34131.76594889735,2
20730.68598180797_34058.49490698159,7
20731.86658592571_34101.69121024229,7
20732.03064361623_33979.927499515434,6
20733.299903436986_34104.86885048221,3
20733.628549053697_34130.436026847616,2
20734.030029522743_34057.42003274155,1
20734.241269303006_34108.23636208955,3
20734.69068352376_34111.793745064286,3
20735.140097744523_34115.35112803902,7
20735.169303458802_33978.94801400771,6
20736.207728728226_34118.56641733935,1
20736.754078736198_34129.10610479788,3
20737.60161622583_34056.635699549486,7
20737.89357647488_34121.43961296526,3
20738.30796330137_33977.96852849998,11
20739.369595836153_34127.09527508856,3
20739.57942422153_34124.31280859117,7
20741.173202928923_34055.85136635742,1
20741.48762383068_33977.11133713674,11
20742.098680944186_34125.328863118564,3
20744.70828504672_33976.37643991798,6
20745.451346642843_34124.487776547445,3
20747.92894626276_33975.64154269921,4
20748.804012341505_34123.64668997633,1
20751.225042371487_33974.91807710791,4
20752.156678040163_34122.80560340521,1
20752.962661878744_34262.51460751197,9
20754.532394166345_34264.99249447452,9
20754.596573372895_33974.20604314409,4
20755.27690583003_34122.37887278398,1
20756.10212645394_34267.47038143707,9
20757.968104374304_33973.49400918026,8
20758.1646957111_34122.366498112635,1
20760.313356779992_34123.76343482661,1
20760.430134138_34121.381363199085,12
20761.34947594176_33972.79114236829,8
20761.722889036697_34126.56968292591,12
20762.073221110728_34119.42346804334,1
20763.132421293405_34129.37593102521,12
20764.37676306046_34117.50729484408,1
20764.54195355011_34132.18217912452,1
20764.740688075264_33972.09744270818,0
20765.8535038522_34134.96790345334,12
20766.15920967297_34286.259462919865,8
20767.06707219967_34137.73310401169,12
20767.340759987197_34115.632843601314,1
20767.917212610424_34289.10599122044,8
20768.049419574072_33890.20519040727,8
20768.13190020877_33971.403743048075,0
20768.236445440318_33893.326490378946,8
20768.28064054714_34140.49830457004,12
20768.423471306567_33896.44779035063,8
20768.610497172813_33899.5690903223,8
20769.202167764604_33887.36880455932,8
20769.531928573928_34143.37001339579,12
20769.67521554788_34291.95251952101,8
20770.25041932958_33901.89567188218,8
20770.304756913934_34113.75839235855,1
20770.820936280033_34146.34823048895,12
20771.436214998423_33971.2506977579,0
20771.543090949257_34294.8616712121,8
20771.694690011915_33884.81733283511,9
20772.10994398614_34149.32644758209,12
20773.26875384067_34111.88394111578,1
20773.343237776862_33903.42753503026,8
20773.44814965136_34152.38212299475,12
20773.520838814562_34297.833446293705,8
20774.18721225923_33882.2658611109,9
20774.653632444228_33971.63830683767,0
20774.835553275698_34155.51525672691,12
20775.498586679867_34300.80522137532,8
20776.222956900034_34158.64839045907,12
20776.43605622415_33904.95939817835,8
20777.26806729491_34303.57131929817,8
20777.64151215379_34161.55737089594,12
20777.871049890036_33972.02591591743,0
20778.829280659695_34306.131740062265,8
20779.091219036967_34164.24219803752,12
20779.17302178638_33906.35691416604,8
20780.39049402448_34308.69216082636,8
20780.540925920144_34166.92702517911,1
20781.04745758396_33971.86964100823,0
20781.554134463564_33907.620082993344,8
20781.979591871153_34311.50671680097,8
20782.066075119434_34169.93817521225,1
20783.300557082846_33906.45020762586,8
20783.596574199728_34314.57540798611,8
20783.666666634836_34173.27564813695,1
20784.182855526007_33971.169482110054,5
20784.233700929177_33908.81635302872,8
20784.41228964424_33902.847288063575,8
20785.213556528295_34317.64409917123,8
20785.267258150237_34176.61312106165,1
20786.176696263996_33899.564780221444,8
20786.8120886585_34179.72429669759,12
20786.82561982983_34320.725996507375,8
20787.211721183226_33909.94572427217,8
20787.318253468053_33970.46932321188,5
20788.301158159615_34182.60917504477,7
20788.432764104327_34323.82109999453,8
20788.59377694212_33896.602684099475,8
20789.79022766073_34185.49405339195,2
20790.03990837882_34326.916203481676,8
20790.189741437276_33911.07509551561,8
20790.47659589654_33969.20911082112,5
20791.01085762025_33893.6405879775,8
20791.194036660225_34188.8431890195,11
20791.683129147194_34329.98607134319,8
20792.512585158096_34192.65658192741,6
20793.139891586543_33912.462845169226,8
20793.36242640944_34333.030703579076,8
20793.462382909085_33890.93915523645,9
20793.657882811473_33967.388844937755,5
20793.831133655967_34196.46997483533,11
20795.04172367169_34336.07533581496,8
20795.4940348239_34199.57390548277,4
20795.948352808624_33888.49838587633,8
20796.062171631027_33914.10897323301,8
20796.689861243696_34339.02264612168,8
20796.8391697264_33965.56857905441,5
20797.5012886619_34201.968373869735,4
20798.306839125464_34341.87263449925,8
20798.434322708163_33886.057616516206,8
20798.98445167551_33915.75510129679,4
20799.5085424999_34204.36284225669,4
20799.92381700723_34344.72262287681,8
20800.03195046459_33964.27391927628,5
20800.78254756242_33883.72960993985,8
20801.29606340813_34207.07739990107,4
20801.51291555939_34347.50030432535,8
20801.969048864674_33917.45752844496,4
20802.86385138658_34210.11204680287,6
20802.99302737139_33881.514366147254,8
20803.07413478195_34350.20567884487,8
20803.23622502603_33963.50486560339,5
20804.431639365033_34213.146693704664,4
20804.635354004502_34352.911053364376,8
20805.015963198523_33919.216254677514,4
20805.203507180362_33879.29912235467,8
20805.932192293963_34216.14878494069,4
20806.011260519837_34355.29401242874,8
20806.440499587472_33962.735811930506,5
20807.201854327952_34357.35455603795,8
20807.282796475083_33877.01479684102,8
20807.365510173375_34219.11832051094,4
20808.062877532364_33920.97498091007,4
20808.61219987613_34359.79924946746,8
20808.79882805278_34222.08785608119,4
20809.23089525555_33874.66138960631,8
20809.651334013335_33961.94168981835,8
20810.096036669333_34225.029178212964,4
20810.242297164383_34362.62809271727,8
20810.906448660004_33922.707189119465,8
20811.178994036018_33872.30798237161,8
20811.257136023036_34227.942286906255,4
20811.87239445263_34365.45693596708,4
20812.418235376732_34230.855395599545,4
20812.868728303616_33961.12249926692,4
20813.43489790476_33870.003151775374,8
20813.4631349341_34368.27414596632,4
20813.546676581434_33924.4128793057,4
20813.58590187826_34234.05964768741,8
20814.76013552762_34237.555043169865,8
20815.014518608787_34371.07972271501,4
20815.93436917698_34241.05043865232,4
20815.99860686178_33867.74689781761,8
20816.086122593897_33960.3033087155,8
20816.18690450286_33926.11856949193,4
20816.565902283473_34373.8852994637,6
20817.059405251814_34244.478921009555,4
20818.122205298103_34376.67372180545,4
20818.135243752127_34247.84049024158,4
20818.356501075184_33928.19844077317,4
20818.520438582596_33926.3135515937,4
20818.5623158188_33865.49064385985,8
20819.211082252437_34251.2020594736,4
20819.336315486104_33959.49183823344,8
20819.68342765267_34379.44498974027,4
20820.055466298403_33930.65249314941,4
20820.321356677778_34254.51337010601,4
20820.473471666784_33924.480483405234,4
20821.24465000724_34382.21625767508,4
20821.466067028145_34257.7744221388,8
20821.754431521622_33933.106545525654,0
20822.352697597125_33922.13007301101,4
20822.610777378515_34261.03547417159,4
20822.619306980236_33958.68808782076,8
20822.804233210314_34385.007300814534,4
20823.8046836934_34264.293615754475,8
20824.124097446118_33935.35919303212,0
20824.231923527466_33919.77966261678,4
20824.362177261894_34387.81811915862,4
20825.04778597281_34267.548846887454,4
20825.902298474368_33957.88433740807,8
20825.920121313473_34390.62893750271,6
20826.268576300914_33917.39674691475,6
20826.290888252217_34270.804078020425,4
20827.164464071902_33937.410435668804,8
