id,cluster
27139.935034862727_33768.60796281979,5
27141.693928158707_33773.24824004608,5
27143.510039472974_33778.082293219064,5
27145.296620709232_33782.851320789,5
27147.053671867492_33787.55532275587,5
27148.82056649172_33792.25137079298,5
27150.597304581916_33796.93946490033,5
27152.378964501637_33801.629511122126,5
27153.356141277938_33727.31451132383,4
27154.165546250886_33806.32150945838,5
27154.83959999746_33735.97866307461,0
27155.307144925653_33731.34119110067,6
27155.35639003849_33740.6007094676,0
27155.93982403149_33811.03531382219,0
27156.857515048745_33745.20733027965,5
27157.701797843463_33815.77092421356,0
27158.353718679195_33749.879179223644,5
27159.458850120955_33820.50459102784,0
27159.84500092984_33754.61625629957,5
27161.210980863973_33825.23631426503,8
27161.30675320685_33759.351528738305,5
27162.738975510227_33764.084996539845,5
27162.972955131627_33829.977864647044,8
27164.151511251457_33768.83833634759,5
27164.744772923925_33834.7292421739,9
27165.544360430544_33773.61154816154,5
27166.516590774547_33839.450988831464,9
27166.934748912343_33778.404534931244,5
27168.288408683493_33844.143104619754,9
27168.32267669686_33783.2172966567,5
27169.737673754335_33788.016080641915,5
27170.055305059446_33848.833276736565,9
27171.179740084775_33792.800886886886,8
27171.8172799024_33853.521505181896,9
27172.690709894858_33797.54184427735,8
27173.596480816035_33858.22544612095,9
27174.270583184585_33802.238952813306,9
27175.392907800357_33862.94509955375,9
27175.919360045948_33806.90999316019,9
27177.218864913397_33867.629028082854,9
27177.63704047894_33811.554965317984,9
27179.07435215516_33872.2772317083,9
27179.38179025957_33816.185959178336,9
27180.949526151864_33876.877911591844,9
27181.15360938782_33820.80297474124,9
27182.06694920415_33687.487957454665,0
27182.844386903507_33881.43106773351,9
27182.895898584644_33825.426088078486,9
27184.608657850033_33830.05529919008,9
27184.781081999423_33885.93855049588,9
27185.597493109322_33686.55097541059,0
27186.323878089734_33834.682524865515,9
27186.759611439615_33890.40035987895,9
27188.041559303743_33839.30776510479,9
27188.81688798773_33894.851849819985,8
27189.754319051615_33843.960696784954,9
27190.39121114635_33684.959264254125,0
27190.952911643777_33899.293020318975,6
27191.462157333353_33848.641319905975,2
27193.147995728625_33903.723982410906,6
27193.22659508291_33853.30187090344,2
27195.04763230029_33857.94234977733,6
27195.15540062498_33683.37167191482,0
27195.402140242277_33908.14473609578,4
27196.895738902633_33862.56489875041,5
27197.656284940855_33912.53783339687,4
27198.77091488993_33867.16951782268,10
27199.89006154521_33681.78819839271,0
27199.910429824355_33916.90327431418,4
27200.687925358965_33871.760074889884,10
