id,cluster
24157.161401116282_30939.09764937447,5
24158.269003010875_30929.977170449776,5
24158.45364101322_30938.050426238995,5
24158.790635128822_30932.407032171825,5
24158.852181129605_30935.0981174349,5
24158.964618948277_30941.022059951298,5
24160.385114934772_30944.013018571804,5
24161.251016324117_30932.983837790227,5
24161.805610921267_30947.00397719231,5
24163.42458570961_30950.619144151737,0
24165.2420392998_30954.858519450077,4
24165.650146596767_30931.707587304987,5
24167.059492889988_30959.097894748425,4
24168.903192021513_30963.435861488582,4
24169.955782107638_30930.29757991335,5
24170.773136694377_30967.87241967055,6
24172.298619829307_30971.627658612637,6
24173.479641426307_30974.70157831483,11
24174.167922856745_30928.753815615324,5
24174.660663023307_30977.77549801703,6
24175.935091063417_30981.2649756126,6
24177.302925546628_30985.170011101545,11
24177.533699390315_30927.51487717379,9
24179.773231497158_30730.879202208154,10
24180.053111708356_30926.580764588758,9
24180.574835604115_30734.568427612754,10
24181.331594807896_30738.072326888247,10
24182.0435091085_30741.390900034632,10
24182.7554234091_30744.70947318102,10
24183.480460841714_30748.108275749142,10
24183.591116185926_30925.307306504696,9
24184.21862140634_30751.587307738995,10
24184.956781970966_30755.066339728848,10
24185.699862963625_30758.51902080737,10
24186.44786438431_30761.94535097455,10
24187.195865805_30765.37168114174,10
24187.93402520801_30768.758578035722,10
24188.14771282303_30923.6945029216,9
24188.66234259335_30772.10604165651,10
24189.390659978686_30775.45350527729,10
24190.099293862386_30778.764222521328,10
24190.78824424445_30782.03819338862,10
24191.477194626514_30785.312164255913,10
24192.053133567122_30922.29329602328,9
24195.307378418205_30921.10368580973,8
24197.709410642736_30716.09495666573,8
24198.376373392835_30719.849764497594,0
24198.56162326929_30919.91407559618,8
24199.028086213773_30723.372177104764,0
24199.664549105553_30726.662194487235,8
24200.301011997337_30729.952211869706,8
24200.950596993796_30733.246109209933,8
24201.33611914768_30798.793353575507,5
24201.61330409494_30736.543886507912,8
24201.832271226354_30918.68488312158,8
24202.27601119608_30739.841663805895,8
24202.413830164744_30803.561913910977,5
24202.941999022103_30743.15390637593,0
24203.4595557148_30808.289189520463,5
24203.61126757301_30746.480614218024,0
24204.28053612392_30749.807322060118,0
24204.473295797834_30812.975180403973,5
24204.624096939806_30805.343268672925,5
24205.119322289396_30917.41610838593,8
24205.455049471664_30817.550775976277,5
24206.404816736285_30822.015976237366,5
24206.750773908112_30750.842818528996,0
24207.966919472856_30804.13741786136,5
24208.406373352438_30916.14733365028,8
24208.446110853343_30760.795068404608,0
24209.777336997864_30772.66467340224,5
24210.143908826758_30770.78879103843,0
24210.745076524625_30704.61973694544,8
24210.758727666547_30707.418718995483,8
