id,cluster
29674.808432846832_33937.20783913427,5
29676.775030417055_33936.12462940248,5
29679.856521490387_33934.566307366564,5
29682.732590205873_33808.421447680696,5
29682.938012563714_33933.00798533065,5
29684.443415408474_33808.222573266285,5
29686.068729409737_33931.484946141085,5
29686.714340542218_33806.21847592057,5
29688.985265675954_33804.21437857486,5
29689.248672028454_33929.99718979787,4
29690.38409038191_33801.843815015905,5
29690.84925119391_33804.3816519784,5
29690.910814660077_33799.106785243705,5
29691.305453784258_33796.05442784441,5
29691.568007754446_33792.68674281803,5
29691.830561724633_33789.31905779164,5
29692.30629709609_33806.72029613119,5
29692.42861464717_33928.50943345465,4
29693.878336955495_33787.02780984856,5
29693.982409956014_33806.53304453977,5
29695.52651659389_33927.02477576426,4
29695.877589773685_33803.81989720415,5
29697.711333447027_33785.81299898878,5
29698.311768630803_33803.61453870307,5
29698.54237786861_33925.5432167267,4
29701.284946527354_33805.916969036545,5
29701.54432993856_33784.59818812901,5
29701.558239143335_33924.06165768914,4
29703.847110926647_33805.75434948226,5
29704.539643962587_33922.55922220827,4
29705.226369066862_33783.69635348701,8
29705.998261828667_33803.12668004024,5
29706.29084037627_33686.073721597786,7
29707.48659232638_33921.0359102841,4
29708.432441579538_33803.031948365504,5
29708.757450831938_33783.10749506278,8
29709.388126957972_33686.642956087526,7
29710.433540690166_33919.51259835993,4
29711.149650179257_33805.47015445809,5
29712.288532597013_33782.51863663855,8
29712.676360259255_33687.15382797342,7
29713.38541282378_33917.932628256836,4
29714.09658396477_33806.70531656704,5
29715.678505797518_33781.58025924653,8
29715.96459356053_33687.664699859306,7
29716.34220872722_33916.29599997481,4
29717.173892957537_33628.95459978041,1
29717.273242936073_33806.737434692346,5
29718.92737043345_33780.29236288672,8
29719.298771444795_33688.16609391475,7
29719.299004630655_33914.659371692804,4
29719.3284259836_33800.93374676557,5
29720.449901907377_33806.76955281767,5
29721.13496292322_33804.834990175405,5
29722.17623506938_33779.00446652691,8
29722.249237537304_33913.113655793066,4
29722.678893912045_33688.65801013973,3
29723.450999390112_33805.63383957979,5
29724.86721966958_33777.10337534156,8
29724.942718558257_34040.45510951626,6
29725.19290744716_33911.65885227561,4
29726.05901637929_33689.14992636471,3
29726.27653538427_33803.33029497872,5
29727.00032423405_33774.58908933068,4
29727.604114705253_34043.17204086411,6
29728.136577357014_33910.204048758154,4
29729.13342879852_33772.074803319796,6
29729.449921732987_33802.322673899806,4
29729.470315561484_33689.696978538544,3
29730.05550837588_34045.692193165785,11
29731.159006847196_33908.99639981278,4
29731.174632014943_33771.934222657095,4
29732.5069020465_34048.212345467466,3
29732.91279145862_33690.299166661236,3
29732.97115843626_33802.61097634307,8
29733.123933883326_33774.16734734259,4
29734.231458357663_33780.7393856399,8
29734.2601959177_33908.035905439494,4
29735.025570018955_34050.821678633074,7
29735.073235751708_33776.40047202808,6
29735.442410576485_33778.59115146051,11
29736.355267355753_33690.90135478391,2
29736.492395139532_33802.899278786324,4
29737.361384988206_33907.075411066195,4
29737.61151229323_34053.5201926626,7
29738.97907622129_33804.38463009956,4
29739.45100403087_33905.142090946974,5
29739.970031897177_33691.62373058028,3
29740.197454567508_34056.21870669215,3
29740.43120168154_33807.067030282764,4
29740.52905304569_33902.23594508183,5
29740.92282265611_33907.30684752798,4
29742.46994029981_33807.7120406284,8
29742.990143193394_34058.89629765682,2
29743.757085082892_33692.466294050304,2
29744.944508921417_33908.73021482483,4
29745.095292076097_33806.31966113647,8
29745.989578170884_34061.552965556635,6
29746.395256659012_33486.42941251522,5
29746.42067041967_33486.34967438616,5
29747.512633730927_33485.20156720771,5
29747.544138268608_33693.308857520344,2
29747.720643852394_33804.92728164454,4
29748.23029127167_33908.31655579628,5
29748.989013148373_34064.20963345645,3
29749.382810061114_33805.586269818254,8
29749.626053511252_33482.73498721344,5
29750.08179070226_33808.296625657604,4
29750.09435623578_33896.9771088689,4
29750.780169706864_33906.065870442326,5
29750.878657311252_33900.16247642748,5
29750.981693875536_33694.1046645999,2
29750.995742423565_34066.69081937727,11
29751.66295838673_33903.34784398606,5
29751.739473291575_33480.26840721916,5
29751.87555047597_34071.15461707607,7
29752.00976599646_34068.99652331909,3
29752.01140902021_33809.86413914665,4
29752.6261120715_33906.37021192131,5
29753.306848117314_34069.1334081188,2
29753.42953912504_33480.488029026,5
29753.768118365566_33909.22958023322,4
29754.06975190368_33694.85371528899,3
29754.696251011654_33483.39385263395,5
29754.88698878613_34067.101473776405,3
29754.910124659633_33912.08894854515,0
29755.17166501496_33810.28881028539,4
29755.962962898266_33486.2996762419,5
29756.78724224981_33912.644662571074,0
29757.157809931825_33695.60276597808,9
29757.7695286022_33486.63716192509,5
29758.213294522488_33887.10441664635,11
29758.328957834543_33889.608707709354,4
29758.331921009714_33810.713481424136,4
29759.399471136097_33910.89672231102,0
29759.889924000887_33806.78337451927,11
29759.90467400502_33809.545002835424,11
29760.115948123464_33484.406309683545,5
29760.21185429827_33884.568433711116,2
29760.558844234452_33892.08130690014,4
29761.20118787531_33899.19939868958,4
29761.51625424804_33895.278203893555,4
29761.612194633093_33902.93870004594,4
29761.62840596414_33805.15960224356,11
29761.808409031735_33881.92607016442,7
29762.011700022384_33909.148782050965,4
29762.462367644723_33482.175457442,5
29762.712640119662_33475.23405756071,5
29762.749274521382_33906.4961079626,4
29763.00295872288_33879.17732600626,7
29763.327931643456_33479.11804006771,5
29763.741141180864_33909.87654224782,4
29764.16884268677_33482.44897919206,5
29764.197508414014_33876.42858184811,7
29764.58779461153_33913.080002901595,4
29764.932327322666_33919.956815786194,4
29764.947104210063_33918.49089548222,0
29765.058969064296_33873.43017435686,2
29765.120119894782_33804.67368600831,11
29765.235373249594_33485.22687493372,5
29765.4344480422_33916.28346355536,4
29765.587340673716_33870.18210353253,2
29766.115712283136_33866.93403270819,11
29766.30190381242_33488.00477067539,5
29766.465643878168_34056.01752912886,0
29766.673619526908_33863.61731506413,2
29766.724114642813_33921.6772531942,4
29767.26106240503_33860.23195060037,4
