id,cluster
26930.268420279015_34552.14221261748,10
26934.45668024951_34549.2730108141,10
26938.61541188264_34546.39409917567,10
26942.744615178406_34543.505477702194,10
26946.83936852288_34540.61507832186,10
26950.899671916064_34537.72290103469,10
26954.920603643022_34534.813165782034,10
26958.902163703755_34531.885872563886,10
26962.883724678795_34528.899302358,10
26966.86528656814_34525.85345516436,10
26970.79025101718_34522.76841208546,10
26974.65861802592_34519.64417312131,10
26978.526985943066_34516.47251357188,10
26982.395354768625_34513.253433437174,10
26986.241577366553_34510.014722265754,10
26990.06565373685_34506.75638005762,9
26993.865123036525_34503.47644487254,9
26997.63998526558_34500.174916710515,9
27001.39024040471_34496.85574761468,9
27005.115888453915_34493.518937585046,9
27005.2412110387_34409.04350924155,4
27008.826772536886_34490.14664715824,9
27009.845268213834_34412.88690547282,4
27012.522892653637_34486.73887633427,9
27014.299343892457_34416.521108251494,8
27016.169797547074_34483.31953219496,9
27019.7674872172_34479.88861474032,9
27023.328265623277_34476.44210232154,9
27026.852132765292_34472.97999493865,9
27030.385843834716_34469.450652665495,9
27033.929398831537_34465.85407550208,9
27037.460650569603_34462.22398061523,9
27040.979599048907_34458.56036800494,8
27044.48132276949_34454.902784793434,8
27047.965821731355_34451.25123098071,8
27051.430634981345_34447.57410528533,8
27054.87576251947_34443.87140770728,9
27058.293821931005_34440.16096371793,8
27061.684813215954_34436.44277331728,8
27065.043814812372_34432.74847947839,8
27068.370826720264_34429.07808220125,8
27071.663388018012_34425.41578776928,8
27074.921498705626_34421.76159618246,8
27078.184531723535_34418.07774152217,8
27081.452487071736_34414.36422378839,8
27084.727825602382_34410.626957,8
27088.01054731546_34406.865941157,8
27091.32772124044_34403.07509525631,8
27094.67934737731_34399.25441929793,8
27098.065425894987_34395.43948008943,8
27101.485956793465_34391.630277630786,8
27104.702057434006_34309.33759705086,0
27104.896654259654_34390.59730431348,8
27104.928635843855_34387.846639790565,8
27108.297518293544_34392.340560137505,8
27108.42545432515_34384.052821895355,8
27108.946915850687_34312.06965898217,8
27111.954264085434_34380.223259326725,8
27113.676630984068_34314.90001221725,8
27114.732534859475_34380.134410606115,8
27115.475692249456_34376.381887331605,8
27116.76026664726_34383.7862757335,8
27118.989738817214_34372.52870590998,8
27121.974720647366_34372.50982010715,8
27122.484099692436_34368.67761618409,8
27124.43063773992_34376.32522992314,8
27125.95877487513_34364.82861815394,8
27129.189841494168_34364.9644363011,8
27129.440833573386_34361.02107657288,8
27132.17729954956_34369.085070625595,8
27132.930275787206_34357.25499144091,8
27135.73565878775_34369.446264979095,8
27136.476318229194_34353.565649999386,8
27139.86491920875_34366.04801936161,8
27140.078960899344_34349.95305224831,8
27143.28542161834_34349.847950724725,8
27146.095700386188_34353.250345428634,8
27149.50395209284_34353.51754729288,8
27150.921358614258_34343.159749406725,8
