id,cluster
22506.05444826892_33058.93084577187,9
22507.593011495_33058.40013355126,9
22509.55665668726_33057.75565759017,9
22511.945383845698_33056.99741788862,9
22514.33411100414_33056.23917818707,9
22516.72283816258_33055.48093848552,9
22517.61582575726_32974.81019527833,9
22519.11033604609_33054.72171836474,9
22519.82582985025_32974.70709147448,9
22521.496604654676_33053.961517824726,9
22522.035833943242_32974.60398767065,9
22523.88287326326_33053.20131728471,9
22524.281486811848_32974.04290672598,9
22526.269141871846_33052.441116744696,9
22526.562788456067_32973.0238486405,9
22528.64311068567_33051.67407089836,9
22528.844090100287_32972.00479055502,8
22531.004779704737_33050.90017974572,9
22531.125391744503_32970.98573246954,8
22533.3664487238_33050.12628859306,9
22533.406693388722_32969.96667438406,8
22535.687995032942_32968.947616298574,8
22535.728117742867_33049.352397440416,9
22537.618318350087_32967.60685275842,8
22538.087327209218_33048.56666658515,9
22539.197663340157_32965.94438376359,8
22540.444077122855_33047.76909602728,9
22540.777008330228_32964.28191476876,8
22542.356353320298_32962.61944577393,8
22542.80082703649_33046.97152546941,9
22543.711827511062_32960.80986429883,8
22544.843430902518_32958.85317034347,8
22545.15757695013_33046.17395491154,9
22545.975034293973_32956.896476388094,8
22547.10663768543_32954.93978243273,8
22547.513097622734_33045.378367481084,9
22548.238241076884_32952.983088477355,8
22549.867389054303_33044.58476317805,9
22552.221680485873_33043.79115887502,9
22554.575971917442_33042.997554571986,9
22556.93149404566_33042.19801690682,9
22559.28824687053_33041.39254587953,9
22561.644999695392_33040.587074852236,9
22564.00175252026_33039.781603824944,9
22566.322833776725_33038.926941888145,9
22568.60824346479_33038.023089041846,4
22570.893653152852_33037.11923619555,4
22573.179062840918_33036.21538334925,4
22575.43618033671_33035.22772399088,4
22577.66500564023_33034.15625812044,4
22578.882762087942_33034.6341208864,9
22579.089449679843_33036.661312288765,4
22579.113722160953_32893.70318209797,9
22579.296137271744_33038.68850369112,9
22579.76672383959_33032.943258795276,8
22580.24040428799_32891.529628538156,9
22581.367086415026_32889.35607497835,9
22581.7413349348_33031.58872601539,8
22582.493768542063_32887.18252141854,9
22583.635210676635_32884.968387825604,9
22583.715946030003_33030.2341932355,8
22584.79141281874_32882.71367419954,9
22585.690557125206_33028.87966045561,8
22585.947614960845_32880.45896057348,9
22587.10381710295_32878.20424694742,9
22587.66516822041_33027.52512767572,8
22589.639779315617_33026.17059489583,8
22591.355257984233_33024.67197802969,8
22592.81160422626_33023.02927707731,8
22594.267950468286_33021.38657612492,8
22595.724296710312_33019.74387517253,8
22597.18064295234_33018.10117422014,8
22598.636989194365_33016.458473267754,8
22600.02075823462_33014.57646898037,8
22601.3319500731_33012.45516135798,8
22602.643141911583_33010.3338537356,8
22603.954333750065_33008.21254611322,8
22604.151772942794_32816.85019458622,4
22605.14424458608_33006.17766476928,8
22605.717839151068_32848.84812860963,4
22605.78021046333_32818.77080755904,4
22606.212874419627_33004.22920970379,8
22607.281504253177_33002.2807546383,8
22607.408647983873_32820.69142053185,4
22607.802010824176_32847.4551201954,4
22608.350134086726_33000.33229957281,8
22609.03708550441_32822.61203350467,4
22609.418763920272_32998.38384450732,8
22609.886182497285_32846.062111781175,4
22610.461808757507_32996.42684263775,8
22610.52416295874_32824.63340319607,4
22611.47926859843_32994.461293964094,8
22611.869880346858_32826.75552960606,4
22611.97035417039_32844.66910336695,4
22612.49672843935_32992.49574529045,8
22613.215597734976_32828.877656016055,4
22613.51418828027_32990.53019661679,8
22614.054525843498_32843.27609495272,4
22614.531648121192_32988.564647943145,8
22614.561315123094_32830.99978242604,4
22615.53041172913_32986.616592276805,8
22615.95131284454_32833.03177340418,4
22616.075724072754_32842.121036924036,4
22616.510479104087_32984.68602961778,8
22617.385590899317_32834.97362895047,4
22617.490546479043_32982.755466958755,8
22618.033948858152_32841.203929280906,4
22618.470613854_32980.82490429973,8
22618.81986895409_32836.91548449676,4
22619.450681228955_32978.8943416407,8
22619.992173643557_32840.28682163777,4
22620.25414700887_32838.857340043054,4
22620.424845070247_32976.99068312674,8
22621.39310537788_32975.11392875786,8
22621.57402966494_32840.76032640643,4
22621.790838829416_33086.093275436535,9
22622.361365685512_32973.237174388974,8
22622.779516922306_32842.6244435869,4
22623.329625993145_32971.360420020086,8
22623.794369673637_33087.2895662623,9
22623.985004179674_32844.48856076737,4
22624.297886300777_32969.483665651205,8
22625.190491437043_32846.35267794784,4
22625.385949866886_32967.39998554583,5
22625.79790051786_33088.48585708805,9
22626.59381669147_32965.109379703965,5
22626.773602665424_32848.090217864425,4
22627.801431362084_33089.68214791381,9
22627.80168351606_32962.8187738621,5
22628.73433786482_32849.70118051712,4
22629.009550340645_32960.52816802023,5
22629.804962206304_33090.87843873957,9
22630.20757736147_32958.25737634932,5
22630.695073064217_32851.31214316982,0
22631.395764578538_32956.00639884936,5
22632.5839517956_32953.7554213494,5
22632.65580826361_32852.92310582251,4
22633.772139012668_32951.50444384944,8
22634.150848500532_32854.68030487807,4
22634.948025946407_32949.25452578225,8
22635.180193774977_32856.58374033649,4
22636.111612596822_32947.005667147845,8
22636.20953904942_32858.487175794915,4
22637.238884323866_32860.39061125333,4
22637.27519924724_32944.75680851343,8
22638.26822959831_32862.29404671175,4
22638.438785897655_32942.50794987903,8
22639.548014495747_32864.22531841665,4
22639.602372805875_32940.261069481225,8
22640.765959971905_32938.01616732003,8
22641.07823901618_32866.18442636803,4
22641.92954713793_32935.77126515882,8
22642.60846353661_32868.14353431941,4
22643.09313430396_32933.526362997625,8
22644.138688057043_32870.102642270795,4
22644.244421342126_32931.29141049046,8
22645.383408252437_32929.066407637336,8
22645.737297050815_32871.70497129274,4
22646.52239516275_32926.8414047842,8
22647.404290517927_32872.95052138526,4
22647.66138207306_32924.616401931075,8
22648.32759852951_33155.44126388277,9
22648.813899694538_32922.386386743834,8
22649.02376500879_33153.183066202,9
22649.07128398504_32874.19607147778,4
22649.719931488067_33150.92486852122,9
22649.97994802719_32920.15135922248,8
22650.416097967347_33148.66667084045,9
22650.73827745215_32875.441621570295,4
22651.145996359843_32917.916331701126,8
22651.20107449673_33146.41291644181,9
22651.750295890255_33101.84515749708,9
22652.074861076224_33144.1636053253,9
22652.312044692495_32915.68130417977,8
22652.405270919262_32876.687171662816,4
22652.948647655718_33141.91429420879,9
22653.40097079592_32729.043196028124,2
22653.473172987804_32913.44433123471,8
22653.671765693143_32878.28741359812,4
22653.82243423521_33139.664983092276,9
22653.92111524572_33102.906163594365,9
22654.53776177379_32880.24234737621,4
22654.629381245777_32911.20541286593,8
22654.696220814705_33137.41567197577,9
22654.72767813525_32731.01398472283,2
22655.40375785444_32882.19728115431,4
22655.486119968336_33135.27549834395,9
22655.78558950375_32908.96649449716,8
22656.091934601187_33103.967169691634,9
22656.098577284796_32732.909691674566,11
22656.192131696105_33133.244462196846,9
22656.26975393509_32884.1522149324,4
22656.898143423878_33131.213426049726,9
22656.941797761723_32906.72757612838,8
22657.51366824456_32734.730316883328,2
22657.604155151646_33129.18238990262,9
22657.831125624703_32885.29193968855,8
22658.100466840748_32904.51432935738,8
22658.262753956653_33105.02817578892,9
22658.535268435084_33127.23208315244,9
22658.92875920432_32736.550942092093,11
22659.26159674083_32902.32675418414,8
22659.69148327419_33125.3625057992,9
22660.087872923286_32885.61645542274,8
22660.343850164078_32738.371567300856,11
22660.42272664091_32900.13917901091,8
22660.43357331212_33106.089181886186,9
22660.847698113295_33123.49292844596,9
22661.583856540994_32897.951603837675,8
22661.75894112384_32740.192192509618,4
22662.0039129524_33121.62335109272,9
22662.344620221866_32885.94097115694,8
22662.418609378074_32895.631520163835,8
22662.557158870502_33107.13148673024,9
22662.647573172057_32742.26705614402,4
22662.92698515216_32893.178927989386,0
22663.00974630873_32744.59615820406,8
22663.306257338263_33119.69111610431,9
22663.371919445402_32746.925260264106,9
22663.43536092624_32890.72633581493,8
22663.527132606687_32886.95243169996,4
22663.635410077753_32888.650837051784,8
22663.734092582075_32749.254362324147,4
22664.09626571875_32751.583464384188,8
22664.246438638733_32885.36002092684,8
22664.6335106318_33108.15509032108,9
22664.66115315748_32753.966748583094,8
22664.75473127088_33117.69622348072,9
22665.428754898283_32756.404214920854,8
