id,cluster
33423.90742684354_32026.419047986674,8
33424.33317122298_32033.256525647994,9
33425.3025511273_32028.254356312216,8
33426.1470243433_32001.59865424563,8
33426.210323761836_32031.84982200546,9
33426.533450396615_32030.182432226873,9
33427.25290103239_32052.21594097327,11
33427.963766810106_32031.83890006419,9
33429.49832167706_32001.20414684518,8
33429.59350036778_32033.223759824185,9
33429.67698649856_32050.335834850033,6
33430.941333071525_32035.454261793486,9
33431.22737499331_32032.66510151171,9
33432.00726492134_32038.530405972102,6
33432.10107196473_32048.45572872679,6
33432.849619010834_32000.809639444724,8
33432.86539068669_32030.16292512678,8
33433.07319677115_32041.60655015072,11
33433.99260462184_32046.868221041907,11
33434.13912862096_32044.682694329334,11
33434.50340638007_32027.660748741844,8
33435.519382262224_32025.480582605465,8
33435.993290025006_32046.780719965736,11
33436.15667474449_32000.403217702522,8
33436.95708749562_32027.034995291506,8
33437.17216176441_32023.403488092597,8
33438.63568098328_32047.900627059928,6
33439.41948887802_31999.98488161857,8
33439.76757731947_32092.077975295513,10
33440.083784697854_32021.107454954705,9
33440.22643403334_32028.285664775765,9
33440.618103036795_31974.177953485756,8
33441.27807194156_32049.020534154115,4
33441.8172093447_32091.909037085916,10
33442.68230301156_31999.566545534613,8
33442.99540763129_32018.811421816805,9
33443.495780571066_32029.536334260018,5
33444.097560744565_31973.908470162492,8
33445.0997154748_32091.653793059253,10
33446.00748692789_31999.089945910593,8
33446.6453247978_32030.373042153566,5
33447.577018452335_31973.63898683923,8
33448.382221604894_32091.39854903259,10
33449.395040627016_31998.555082746498,9
33449.58264211145_31972.88675011429,8
33449.675066713535_32030.795788456402,5
33450.95804404329_31971.208742380157,0
33450.99643698417_31932.628251192502,0
33451.75007393652_32091.14282906195,10
33452.01729548619_31936.300623411185,0
33452.70480862927_32031.218534759235,5
33452.78259432615_31998.02021958241,9
33453.1770582965_31969.087717038514,0
33453.94411258608_31938.817319947415,0
33454.53969843236_32032.72729642406,5
33454.640459806615_31999.630199109026,4
33454.968637068436_32003.385021326354,4
33455.20327246966_32090.886633147336,10
33455.29681433024_32007.139843543682,4
33455.396072549716_31966.966691696864,0
33455.62297136004_32030.35457832305,4
33456.0322888816_31997.230768167294,9
33456.04915481178_32058.16273024861,5
33456.50259798326_32034.693411455686,5
33456.77688828384_31940.178340801194,0
33458.03193062707_31966.628199641997,0
33458.42955490584_32028.203919147854,5
33458.65647100282_32090.63043723272,10
33459.14412429339_31996.18672850116,4
33459.41368416161_32060.105242625963,10
33459.60966398161_31941.539361654974,0
33459.78835939462_32036.03086449213,5
33460.9402354833_31966.397440841953,0
33461.23613845163_32026.05325997265,4
33462.214711984576_32090.32100350888,10
33462.25595970517_31995.142688835025,4
33462.570457007445_31942.964166005102,0
33462.778213511454_32062.04775500332,10
33463.07412080597_32037.368317528577,5
33463.70414329425_31964.491882009952,0
33463.989097394806_31996.4321904641,4
33464.021386101645_32023.92509870543,4
33464.34353736229_32000.05523338839,4
33465.62630075399_31993.724045765448,4
33465.65926736136_31944.45275385158,0
33465.87799541495_32089.958331975824,10
33466.09186907692_32063.78389347816,10
