id,cluster
28097.070529692624_29811.19596841817,8
28099.55241037408_29813.210783197996,8
28102.15781622308_29815.32824476999,8
28102.311348018484_29698.276839614853,0
28102.38709796896_29697.924636879194,0
28103.600020061633_29696.707713653064,0
28104.76322207208_29817.44570634199,8
28105.27850181808_29884.935337791678,10
28105.755881580917_29694.04046947784,0
28105.919415874752_29686.646192257296,8
28107.357143731184_29819.585602208295,5
28107.91174310021_29691.37322530261,8
28107.966254531486_29688.9084662291,8
28108.07414114082_29886.20305806637,10
28108.986753038138_29671.466092608265,4
28109.8313464281_29688.39015668974,8
28109.939581200386_29821.74793236891,5
28110.44414916015_29671.393079647678,4
28111.173351179787_29887.238142523714,10
28111.51469156459_29685.09126363923,11
28112.522018669588_29823.910262529524,5
28113.19803670108_29681.792370588715,4
28113.29402119756_29670.86031919285,4
28114.152917260482_29678.55142654712,6
28114.379333242796_29675.368431514446,11
28114.471775094655_29660.83317485988,4
28114.57613193498_29888.040591163703,10
28114.60574922511_29672.18543648177,6
28115.275087839404_29826.434188965846,5
28116.95521801048_29658.623156653055,4
28117.978912690174_29888.84303980369,10
28118.198788709837_29829.319711677876,5
28118.612312911566_29656.029730141898,4
28120.26940781265_29653.436303630733,6
28121.20370410761_29832.135704572,5
28121.391538943542_29889.08090317075,10
28122.024944318822_29650.806812124636,6
28123.878922430078_29648.141255623595,6
28124.289834032727_29834.882167648215,5
28124.814010695096_29888.754181264878,10
28125.732900541334_29645.475699122555,6
28127.613044851736_29835.941651873833,9
28127.65414727737_29642.81240845257,6
28128.236482446642_29888.42745935901,10
28129.642662638194_29640.151383613636,4
28131.173336564636_29835.31415724885,9
28131.468636171423_29887.212549340184,10
28131.631177999014_29637.490358774707,4
28131.966617450333_29619.369713852015,4
28133.782122011442_29634.91923989263,6
28134.510471869427_29885.109451208402,10
28134.733628277532_29834.686662623866,9
28135.781911645485_29619.63338495615,4
28136.09549467548_29632.438026967422,4
28136.836168810692_29835.431108813893,9
28136.892773841762_29832.762798402367,9
28137.48095816411_29837.547495818937,9
28137.552307567432_29883.006353076624,10
28137.650773257323_29829.54256458435,9
28138.408772672887_29826.322330766332,9
28138.408867339516_29629.956814042205,11
28138.541628163068_29910.23365346919,10
28139.29310515632_29823.16062275593,9
28139.597205840637_29619.897056060276,4
28140.30377070763_29820.057440553144,9
28140.51059130344_29627.87612262967,6
28140.594143265436_29880.903254944842,10
28140.667958606286_29912.645916291673,9
28141.31443625894_29816.95425835036,9
28141.965065753444_29621.360635654226,4
28142.361196565667_29814.82727845951,9
28142.400666567246_29626.195952729802,11
28142.794289049507_29915.058179114152,9
28142.885491383917_29624.02412373799,6
28143.230859115112_29619.910215438787,6
28143.371861900243_29812.687341728466,9
28143.606460169194_29853.109371548726,5
28144.310337507246_29809.558245845292,9
28144.50227448964_29856.42055329785,5
28144.920619492725_29917.470441936635,10
28145.248813114253_29806.429149962114,9
28145.398088810085_29859.73173504697,5
28146.344795059453_29803.238662051437,9
28146.51293547071_29862.417972801093,5
28146.68287146891_29619.672863091684,6
28147.59001884882_29919.308608582298,9
28147.59828334285_29799.98678211326,9
28147.846814471523_29864.479266560214,5
28148.851771626247_29796.734902175085,9
28150.13488382271_29619.435510744574,3
28150.145419837383_29864.95813916136,5
28150.80248711779_29920.572679051143,9
28153.408751568295_29863.85459060454,5
28153.42282853774_29618.56350602132,2
28154.01495538676_29921.83674951999,9
28155.170032854672_29861.588786166198,5
28155.212689141572_29864.622391155845,5
28155.42926369651_29858.16072584634,5
28155.473604851875_29779.798553096334,9
28155.55723255721_29867.261540815278,5
28155.688494538346_29854.732665526488,5
28156.20858475565_29870.335234433263,5
28156.236486849637_29851.317498856042,5
28156.546705613997_29617.056848921922,2
28156.713968697644_29776.4441263751,8
28157.073240630376_29847.915225835008,9
28157.110935934204_29922.551400517157,9
28157.166745736886_29873.843472009794,5
28157.909994411115_29844.51295281397,9
28157.954332543406_29773.089699653858,8
28158.124906718123_29877.351709586328,5
28158.200366442277_29899.670638466498,10
28158.284042651714_29897.683791333457,9
28158.78448415922_29841.13679489275,8
28159.194696389175_29769.735272932623,8
28159.67058269025_29615.550191822524,7
28159.696709874683_29837.78675207135,8
28160.09042876013_29922.71663204265,9
28160.60893559015_29834.436709249952,8
28161.03547805724_29901.413142869787,9
28161.286506685556_29895.452601470668,10
28161.496551051634_29831.097332804547,8
28161.68198528403_29767.80042780176,8
28162.359556259133_29827.768622735144,8
28162.438430201015_29614.31062917274,11
28163.069921586055_29922.881863568145,9
28163.22256146663_29824.43991266574,8
28163.870589672206_29903.155647273077,10
28164.850248146282_29613.33816097258,2
28165.204517082737_29823.377625241395,8
28165.416199227984_29767.285164261288,8
28165.531778136163_29921.364232039443,9
28165.683140863177_29905.59397331102,9
28166.161802109375_29923.672203039478,9
28166.473131630155_29908.72812098361,10
28166.5778964056_29614.449131130303,11
28167.263122397137_29911.862268656205,9
28167.353042219827_29754.523620977918,8
28167.475998410457_29918.16373745654,9
28167.57204711764_29801.079224621713,8
28167.62137497897_29617.643539645913,3
28167.66567722681_29612.23518665013,11
28167.761540000374_29813.544996127283,8
28167.847684792458_29798.49987305433,9
28168.053113164115_29914.996416328795,10
28168.15449587477_29795.48939775287,9
28168.305423107442_29824.58176046211,8
28168.492480364566_29792.047798717336,9
28168.66485355234_29620.837948161523,7
28168.830464854364_29788.6061996818,9
28169.043746329757_29803.32922401383,8
28169.150413171938_29766.769900720807,8
28169.153683137007_29785.169949289608,8
28169.366070330092_29925.087650456648,9
28169.4294143269_29624.181263510425,6
28169.46213521249_29781.739047540752,8
28169.77058728797_29778.308145791903,8
28169.88572349886_29552.61525172189,8
28169.91505730264_29627.673485692627,3
28170.106931128747_29774.91262392299,8
28170.40070027839_29631.165707874825,4
28170.471166734813_29771.55248193402,8
28170.734507375135_29755.878848707882,8
28170.83540234088_29768.192339945053,8
28170.884717442597_29611.00170620539,3
28171.03230020888_29743.319767608773,8
28171.09963346264_29634.454123777035,4
28171.252140112058_29764.85296788762,8
28171.28567748949_29926.95033469842,9
28171.40632913215_29825.785895682828,8
28171.42848464138_29815.352652376416,8
28171.72138004835_29761.534365761716,8
28171.920623587568_29929.2602557648,9
28172.011856855395_29637.53873339926,0
28172.190619984645_29758.215763635813,8
28172.26278242882_29805.249871230677,8
28172.646627829366_29931.97367003746,9
28172.718924894132_29754.88368248786,8
28172.92408024815_29640.62334302148,0
28172.929762011845_29741.568451713505,8
28172.94382257579_29551.59905416317,8
28172.95683133138_29744.860630335897,8
28173.00107979953_29828.08786831189,8
28173.007644614067_29824.699382827817,8
28173.089675109586_29831.487678349302,8
28173.109369553196_29821.322221897084,8
28173.178270419638_29834.887488386714,8
28173.21109449232_29817.94506096635,8
28173.30629477682_29751.538122317863,8
28173.363680881295_29814.582099557334,8
28173.373510720354_29838.25118718135,8
28173.463690214885_29935.090577516406,9
28173.56712872012_29811.23333767004,8
28173.67539601173_29841.57877473322,8
28173.770576558938_29807.884575782748,8
28173.852710916428_29643.215079046797,0
28173.893664659503_29748.19256214786,8
28173.97728130311_29844.90636228509,9
28174.10375765838_29609.76822576065,11
28174.280752600407_29938.207484995353,9
28174.374326755205_29848.187374008456,9
28174.79774886023_29645.3139414752,8
28174.866532368025_29851.421809903317,5
28175.08140809829_29941.345540565355,9
28175.336659911707_29738.302397922642,8
28175.358737980838_29854.656245798178,5
28175.865656708538_29944.504744226404,9
28176.059311561712_29857.80137459941,5
28176.16614590121_29550.544531565094,8
28176.649905318787_29947.663947887453,9
28176.6911078717_29647.38326222884,8
28176.96825311064_29860.857196307017,5
28177.05036538326_29735.055940913713,8
28177.32279890578_29608.593958957543,2
28177.43251326778_29950.827111417842,9
28177.87719465957_29863.913018014624,5
28178.0708784265_29731.829080686723,8
28178.21348055552_29953.99423481756,5
28178.83863840475_29866.998820274563,5
28178.994447843263_29957.161358217287,5
28179.091391469738_29728.602220459732,8
28179.38846922663_29549.49000896702,8
28179.532787950837_29649.42304130771,8
28179.754086155826_29960.35228885257,5
28179.85258434619_29870.114603086837,5
28180.20378347417_29725.40249335223,8
28180.492395493213_29963.567026723413,5
28180.541841184797_29607.47890579606,11
28180.866530287625_29873.23038589911,5
28181.2307048306_29966.781764594256,5
28181.4080544398_29722.229899364225,8
28181.82141136564_29876.32938899857,5
28181.90666788879_29970.003427972657,5
28182.374468029975_29651.462820386583,8
28182.520284667786_29973.232016858612,10
28182.612325405426_29719.057305376213,8
28182.660014505724_29548.399690298043,8
28182.71722758023_29879.411612385215,9
28183.133901446785_29976.460605744567,10
28183.61304379482_29882.49383577186,9
28183.696656770553_29979.707900673242,10
28183.760883463812_29606.363852634582,4
28183.84612905347_29715.881921434717,8
28184.208550639094_29982.973901644636,10
28184.41369984306_29885.61737819524,9
28184.72044450763_29986.23990261603,10
28185.109465383925_29712.70374753973,8
28185.11919572494_29888.782239655353,10
28185.140459610368_29989.50904381749,10
28185.339201293988_29653.03085029968,8
28185.406307372756_29903.613740177105,10
28185.468595947303_29992.78132524901,10
28185.594984681975_29907.26307910641,10
28185.714760242758_29899.580056844472,10
28185.796732284238_29996.05360668053,10
28185.824691606824_29891.947101115467,10
28185.9807817385_29547.27357555817,8
28186.023213112763_29895.54637351184,10
28186.08221062054_29999.326126012173,10
28186.280792170423_29910.52807363239,10
28186.325030956214_30002.59888324394,10
28186.372801714377_29709.525573644747,0
28186.567851291886_30005.871640475707,10
28186.77293569449_30009.151188388056,10
28186.940284164022_30012.437526980983,10
28186.96659965887_29913.79306815837,10
28187.06852436954_29605.256209703715,2
28187.107632633553_30015.72386557391,10
28187.571936651115_30033.91182461026,10
28187.62443662523_30037.238291279504,8
28187.64762309732_29706.359183340417,8
28187.662251319263_29917.07117119777,10
28187.676936599342_30040.56475794875,5
28187.740921414596_30043.89116512185,5
28187.816391070985_30047.21751279881,5
28187.891860727374_30050.543860475766,5
28187.954590263398_30053.643709878972,5
28188.00457967906_30056.517061008424,5
28188.05456909472_30059.39041213788,5
28188.367747151606_29920.362382750587,10
28188.426987742878_29654.12713104701,8
28188.70483698636_30030.987780081694,10
28188.795903930677_30018.166212679327,10
28188.93392953276_29703.204576626747,4
28189.073242983948_29923.653594303403,9
28189.30154897127_29546.147460818298,8
28189.777098147337_29926.94745006839,9
28190.22023596819_29700.049969913074,8
28190.46476390198_29604.155977003466,2
28190.47931264178_29930.243950045548,9
28191.02313763096_30028.46615769381,10
28191.181527136214_29933.540450022705,9
28191.499979814453_29696.92040431707,8
28191.514774191768_29655.22341179434,8
28191.859131234072_29936.86472321697,9
28192.005098055393_30019.764568297236,10
28192.51212493534_29940.21676962835,5
28192.643646506345_29544.86464765312,8
28192.773161071535_29693.81587983873,8
28193.165118636614_29943.56881603973,5
28193.34143827556_30025.944535305924,10
28193.74428114663_29946.92390347432,5
28193.861003434416_29603.055744303212,6
28194.046342328616_29690.71135536039,8
28194.249612465403_29950.282031932125,5
28194.53529296317_29656.395064988195,8
28194.754943784174_29953.64016038993,5
28195.18152180497_29957.010568614707,10
28195.21429218011_30021.362923915145,10
28195.32116446262_29687.638406135007,8
28195.529346527797_29960.39325660646,10
28195.659738920163_30023.42291291804,10
28195.877171250624_29963.77594459822,10
28196.007074343717_29543.425136062648,8
28196.14788335949_29967.18143107194,10
28196.341482854397_29970.60971602762,10
28196.5350823493_29974.0380009833,10
28196.597627473548_29684.597032162586,8
28196.63844371458_29977.433886982275,10
28196.651566950226_29980.797374024543,10
28196.654833050805_30003.04874846011,10
28196.656482951777_29989.638539684456,10
28196.664690185877_29984.16086106681,10
28196.66632885306_29987.107916286783,10
28196.681081723982_30006.572728893698,10
28196.70733039716_30010.09670932728,10
28196.7368604852_30013.575933240747,10
28196.769671988106_30017.010400634084,10
28196.802483491014_30020.44486802743,10
28196.880704073825_29602.066132446176,4
28197.488544057087_29657.642090628582,8
28197.874090484474_29681.555658190166,8
28197.965755721354_29990.92426368456,10
28198.239745109804_30000.63842265361,10
28199.158757172707_29678.52082201576,8
28199.370502181086_29541.985624472174,9
28199.523865820203_29601.18714143235,4
28200.441795151004_29658.88911626897,8
28200.45162753825_29675.492523639365,8
28200.594147161788_29990.965088287092,10
28201.43581790098_29999.3417514742,10
28201.74449790379_29672.46422526297,8
28202.241670872627_29613.0128090964,4
28202.778229743635_29540.936669043665,9
28202.98873893344_29992.58831161754,10
28202.996357704935_29660.09293112977,8
28203.03080569311_29669.430702937578,8
28204.310550906208_29666.39195666319,8
28204.63189069216_29998.04508029479,10
28204.916004883293_29614.995594677835,4
28205.149531036313_29995.7939336759,10
28205.15223171888_29661.253535210988,8
28205.590296119302_29663.353210388792,8
28205.725659563534_29654.961933836807,8
28206.090715996903_29653.17366524293,8
28206.230257031362_29540.27826977712,9
28206.577753185244_29998.996346737415,10
28206.70022910149_29660.718048673352,8
28207.273405380234_30002.195550802084,10
28207.315493340117_29656.567766571352,8
28207.590338893962_29616.97838025927,4
28207.640349852765_29658.486471516866,8
28207.96905757522_30005.394754866753,10
28208.410662640214_29651.20296078972,8
28208.720493395307_30008.626554346916,10
28209.44924647216_29619.495920925634,4
28209.527712840485_30011.890949242574,10
28209.682284319086_29539.619870510578,8
28210.334932285663_30015.15534413823,10
28210.492727617886_29622.54821667692,4
28210.730609283528_29649.23225633651,8
28211.438707369594_30018.524705288528,10
28211.53620876361_29625.600512428216,4
28212.54522200959_29646.710352726408,8
28212.839038092276_30021.999032693457,10
28213.09493614077_29538.832737372348,9
28213.854500818397_29643.63724995942,8
28214.012019794747_29627.80084462087,4
28214.239368814957_30025.47336009839,10
28214.44518876483_29594.56500737645,8
28215.163779627204_29640.564147192435,0
28215.639699537638_30028.947687503318,10
28216.46821249641_29537.91687036243,9
28216.494387721268_29637.493562769436,4
28217.19171873486_29592.66041955933,8
28217.21927665107_30032.165736743824,10
28217.84632510059_29634.425496690423,5
28217.920160711292_29629.149213254896,4
28218.978100155247_30035.1275078199,9
28219.19826247991_29631.35743061141,5
28219.841488852046_29537.00100335251,9
28219.93824870489_29590.75583174222,8
28220.56824773253_29628.33663944105,5
28220.73692365943_30038.089278895975,9
28221.95628085846_29625.36312317934,5
28222.46082430752_29588.60608440623,8
28222.69427189582_30040.80124352112,9
28223.152419246642_29536.52430283162,9
28223.344313984388_29622.389606917634,5
28224.569917803263_29619.808445856834,5
28224.759445542753_29586.211177551373,8
28224.850144864424_30043.26340169533,9
28225.633092315085_29617.619639996938,5
28226.4010036802_29536.48676879976,9
28226.9177616338_29615.081582855324,5
28227.006017833024_30045.725559869537,9
28227.058066777987_29583.816270696516,8
28228.4239257594_29612.19427443199,5
28229.35668801322_29581.42136384166,8
28229.50807861201_30047.87656408653,9
28229.587242204165_29536.644974898285,9
28229.930089885005_29609.30696600865,5
28230.94535565369_30014.560413738658,9
28230.978498526787_29607.024821392493,5
28231.322718811447_30011.219435498962,9
28231.43135448628_29578.85169544555,8
28231.45068752259_30018.079133155887,9
28231.956019391488_30021.59785257312,9
28232.05481864217_29581.244400879707,8
28232.154881828_29604.902509996766,5
28232.35632720138_30049.7164143463,9
28232.58277699586_30008.0561984368,9
28232.71113481854_29536.998921127197,9
28232.997859485316_30024.941235699196,9
28233.282066197164_29576.107265508195,8
28233.842835180276_30004.892961374637,9
28233.861211798932_29602.21938229178,5
28234.576207804068_30028.10928253411,9
28235.10289336469_30001.729724312474,9
28235.132777908053_29573.362835570842,8
28235.152458664837_29583.28538181066,8
28235.204575790754_30051.55626460608,9
28235.511758296343_29599.42076886428,5
28235.835027432913_29537.3528673561,9
28236.15455612282_30031.277329369033,9
28236.93098767433_29570.510798906253,8
28236.997901651397_29999.039704010946,9
28237.162304793746_29596.622155436777,5
28238.17259636215_30053.112524090524,9
28238.250098687506_29585.326362741616,8
28238.262850476363_30034.100315363332,9
28238.28946815185_29593.743516137038,8
28238.676695495993_29567.55115551443,8
28238.893248370645_29590.784850965058,8
