id,cluster
19041.865050046825_41209.58250030893,9
19045.42940690169_41208.845372663214,9
19049.151252195003_41208.073375302614,9
19053.03058592677_41207.26650822713,9
19056.909919658534_41206.459641151625,9
19057.4426967571_41230.63132884037,9
19059.069734500554_41227.984093468636,8
19060.825327244536_41205.66575735152,9
19061.51636106021_41227.73951454507,9
19064.776808684772_41204.884856826786,9
19064.782576436075_41229.897592069676,9
19067.29857170699_41229.409580452906,9
19068.728290125015_41204.10395630206,9
19069.064346872954_41226.27547969474,9
19071.565593184216_41225.98352417615,9
19071.949174434372_41223.25945599553,9
19072.676549525473_41204.97066131832,9
19074.802310640767_41228.53371389709,9
19075.726950607615_41245.29941145909,8
19075.953054391237_41220.36150935525,9
19076.078142334853_41241.08567185394,8
19076.295470991114_41236.68630372792,9
19076.3789365764_41232.10130708102,9
19076.621586886147_41207.48497187558,9
19078.114772168876_41216.36993381489,9
19078.43432776728_41211.284729374434,9
19078.90224273286_41229.544682970634,9
19079.62209274919_41206.918873386625,9
19080.186824273762_41179.163314714824,10
19080.717894377223_41174.13232426269,10
19080.87617673321_41200.01493960704,9
19081.43096103188_41169.0230622957,10
19081.678067114593_41203.27236585146,9
19082.326024237744_41163.835528813855,10
19083.50884465001_41158.69578305052,10
19083.865389460487_41229.01643139674,9
19084.732627658035_41201.08211531317,9
19084.97942226869_41153.60382500568,10
19086.454921537552_41148.58706314217,10
19087.28640225157_41226.69005084123,9
19087.935342456592_41143.645497460006,10
19088.78577437951_41200.34812177174,9
19089.165281106103_41222.56554130408,9
19089.432979260695_41138.68997957387,10
19090.947831949852_41133.720509483785,10
19091.634560026272_41222.3351399197,9
19092.484821047074_41128.784564738045,10
19092.61088118425_41219.95595048769,9
19092.838921100993_41199.614128230314,9
19094.043946552356_41123.882145336655,10
19094.69423901208_41225.99884668806,9
19095.637505660678_41119.01119880017,10
19096.911745693687_41198.897173998106,9
19097.623202486004_41218.86127839205,10
19098.67860323511_41227.626119668625,9
19101.004248157606_41198.19725907511,9
19102.66749818081_41217.760478994285,10
19103.587652695358_41227.21695886139,10
19105.096750621524_41197.49734415211,9
19107.743768268665_41216.6535522944,10
19108.51392148947_41226.85322431184,10
19112.7806899357_41215.578531163854,9
19113.45740961744_41226.53491601997,10
19117.77826318191_41214.53541560263,9
19118.39844019991_41226.224540360454,9
19122.783217836695_41213.53184645994,9
19123.33701323688_41225.92209733328,9
19127.79555390006_41212.56782373577,10
19128.31985825038_41225.623350965194,9
19132.842325603728_41211.649125413314,10
19133.346975240398_41225.328301256195,9
19137.9235329477_41210.775751492554,10
19138.36179731034_41225.05311936508,10
19143.039175732934_41209.939783978836,10
19143.364324460206_41224.79780529186,10
19146.241579591737_41191.220076443584,10
19148.189253959426_41209.14122287215,10
19148.391448613947_41224.5641198076,10
19150.360335525504_41190.6836453646,10
19152.533455987497_41208.48996072304,10
19153.44316977157_41224.35206291231,10
19154.47909145927_41190.14721428562,10
19156.07178181715_41207.985997531505,10
19158.47275862541_41224.1737884493,10
19158.597849425412_41189.620021026545,9
19159.610107646804_41207.48203433997,10
19162.716609423936_41189.10206558739,10
19163.179588112092_41206.983165364945,10
19163.480215175467_41224.02929641858,10
19166.83536942246_41188.58411014823,10
19170.38085831395_41205.99561584792,10
19170.972168141365_41188.09376060568,10
19173.98149517546_41205.51503781897,10
19175.127005580653_41187.63101695976,10
19177.582133797543_41205.04765651961,10
19179.28184301994_41187.16827331383,10
19181.182772419634_41204.58027522024,10
19183.40388981977_41186.72024031417,10
19184.798169682912_41204.12864245353,10
19187.49314598014_41186.286917960766,10
19188.42832558738_41203.69275821946,10
19191.582402140513_41185.853595607376,10
19193.81030853568_41223.7822098154,10
19195.668380883224_41185.425571485626,10
19198.78089285367_41223.87547385741,10
19199.75108220827_41185.00284559555,10
19200.868978844155_40929.54210340441,10
19203.387332023194_40925.228059016015,10
19203.69491243139_41224.00866270649,10
19203.833783533322_41184.58011970545,10
19205.86879325341_40920.90236170239,10
19207.90009065597_41184.174646516825,10
19208.3133625348_40916.56501146352,10
19208.658123790243_41224.16531363034,10
19210.780066358682_40912.19190711637,10
19211.950003576218_41183.78642602965,10
19213.268904725068_40907.78304866094,10
19213.67052693022_41224.34542662897,10
19215.838907904625_40903.425177886,10
19215.99991649647_41183.398205542464,10
19217.760588496873_41223.2819575315,10
19218.490075897367_40899.118294791566,10
19220.04819186795_41183.02319135605,10
19220.451136955_41219.9345541346,10
19220.99121557407_40894.78261402828,10
19222.66451387792_41215.54679853435,10
19223.342326934748_40890.41813559615,10
19224.094829690668_41182.661383470404,10
19224.868052790738_41211.14327045023,10
19225.700816050798_40886.01996993106,10
19227.06175369345_41206.72396988222,10
19228.066682922225_40881.58811703303,10
19228.141467513386_41182.29957558476,10
19229.176755658333_41202.4179701246,10
19230.420251293737_40877.108838236905,10
19231.213058685375_41198.225271177354,10
19232.18318883824_41181.96155050156,10
19232.761521165332_40872.58213354268,10
19233.08703343598_41193.93060683227,10
19234.798679910135_41189.53397708934,10
19235.230686219176_40868.11405733011,10
19236.219993665232_41181.647308220825,10
19236.82514376889_41185.272068985636,10
19237.82774645526_40863.704609599175,10
19238.803904586508_41225.61177049004,10
19239.16642501223_41181.14488252117,10
19240.256798492224_41181.33306594008,10
19240.461699918626_40859.31078333033,10
19241.306133269813_41180.12861704432,10
19241.347030163626_41177.2898383054,10
19243.132546609275_40854.93257852356,10
19243.366959223065_41173.70693633832,10
19243.76221422678_41225.93868482596,10
19244.280488639382_41181.04529426906,10
19245.38688828251_41170.124034371256,10
19245.79601405168_40850.51285693595,10
19248.2910641067_41180.78399320776,10
19248.452102245843_40846.0516185675,9
19248.72052602326_41226.281434839184,10
19251.059001363392_40841.588696976425,9
19251.085591848892_41197.75118957897,10
19252.30163957402_41180.522692146464,10
19253.616711404324_40837.124092162725,9
19253.67883997594_41226.64002052968,10
19254.774798381055_41197.52346112186,10
19256.17934092962_40832.659463485674,9
19256.322055319422_41180.2837667088,10
19258.464004913218_41197.295732664745,10
19258.644535107567_41227.03221341563,10
19258.746889939284_40828.19481094525,9
19260.352311342904_41180.06721689478,10
19261.28492676194_40823.76200684226,9
19262.171249780222_41197.091650930735,10
19263.617611418147_41227.458013497,10
19263.793451397585_40819.361051176704,9
19264.38256736639_41179.85066708076,10
19265.89653298206_41196.911215919834,10
19266.316733037173_40814.948137591746,9
19268.430861955818_41179.656444269036,10
19268.568555102313_41227.91561623205,10
19268.854771680697_40810.5232660874,9
19269.6218161839_41196.73078090893,10
19271.362654198278_41231.90353371801,10
19271.365757455416_40806.1262696586,9
19272.497195111187_41179.484548459615,10
19273.38481289831_41196.55276174386,10
19273.497366160074_41228.405021620754,10
19273.68430415706_41228.94826900041,10
19273.849690361323_40801.75714830533,9
19276.23524206312_40797.31735925674,9
19276.56352826656_41179.312652650195,10
19277.185523125292_41196.377158424606,10
19278.43601739997_41228.91416327885,10
19278.5224125608_40792.80690251282,9
19280.65773755921_41179.151148801524,10
19280.964530682963_40788.28563877893,9
19280.986233352272_41196.201555105356,10
19281.856636452456_41213.31941431432,10
19281.945285264766_41216.563236971706,10
19282.92396743711_41210.7991657511,10
19283.18991387405_41220.53063372326,10
19283.38450882201_41229.44304120634,10
19283.561596429594_40783.75356805507,9
19284.77982298914_41179.000036913596,10
19284.80170254013_41196.04433933752,10
19285.00102215825_41223.86520329075,10
19286.12177246525_40779.283078262895,8
19287.378610117376_41226.56694567417,10
19288.35021895636_41229.99359112836,10
19288.63193068887_41195.90551112109,10
19288.64505878992_40774.87416940241,8
19288.901908419066_41178.84892502568,10
19289.756198076506_41229.268688057586,10
19291.212617297333_40770.49271378349,8
19291.769715136907_41180.39767770041,10
19292.462158837607_41195.76668290467,10
19293.040392770537_41178.71751052876,10
19293.383243142664_41183.6462949378,10
19293.82444798749_40766.138711406136,8
19294.236823587147_41187.87726986648,10
19294.330456470365_41193.09060248647,10
19295.93367087859_40658.531892377396,8
19296.297307996647_41195.644980877805,10
19296.406764067735_40761.74530311644,8
19296.73406173569_41213.957696281286,10
19297.195276043552_41178.60579342283,10
19298.517832248494_40661.81694576083,8
19298.642581961194_41212.794335342245,10
19298.959565538073_40757.312488914395,8
19300.13737816599_41195.54040504049,10
19300.523979739683_41209.55467760143,10
19301.315184810097_40665.4218935843,8
19301.350159316567_41178.494076316914,10
19301.443500958325_40752.85237713248,8
19303.43099400421_41206.667226017846,10
19303.858570328484_40748.36496777072,8
19303.977448335332_41195.435829203176,10
19304.32572856341_40669.34673584781,8
19305.137746707358_41202.763510490666,10
