id,cluster
40754.79916672061_39739.786628797636,4
40755.66396134463_39737.114999801546,7
40756.0505121602_39742.859101790425,11
40757.301857599785_39745.9315747832,11
40758.69767855444_39735.73265166029,3
40761.73139576426_39734.350303519044,2
40764.023200396114_39735.22846072529,2
40764.74743012379_39732.942471615315,11
40765.57309245001_39738.36712327904,2
40767.12298450391_39741.505785832785,2
40767.74578163303_39731.50915594912,4
40769.45129131572_39742.384502274705,2
40770.744133142274_39730.07584028292,4
40772.55801288545_39741.003272604794,11
40773.8213006716_39728.65788066694,6
40775.664734455175_39739.62204293488,4
40776.97728422101_39727.25527710119,4
40778.830567528836_39738.26946660668,4
40780.13326777041_39725.85267353544,4
40782.05551210644_39736.945543620175,4
40782.474938430634_39660.22479084732,0
40783.265986878134_39661.950283578015,0
40783.32865915758_39724.47356640541,4
40784.67467316798_39665.0106383607,0
40785.28045668404_39735.62162063367,4
40786.08335945783_39668.07099314338,0
40786.5634583825_39723.1179557111,4
40787.50353816242_39671.166872879854,9
40788.10967206757_39734.477974480455,4
40788.93520928174_39674.298277570124,5
40789.79825760742_39721.7623450168,4
40790.21149480775_39716.043744193725,4
40790.36688040106_39677.42968226039,5
40790.4078717293_39712.75841458599,4
40790.54315825703_39733.51460516051,4
40791.014269749176_39719.40427451101,4
40791.603400513806_39709.54828568779,4
40791.79198601996_39680.51235688434,5
40792.798929298326_39706.33815678961,2
40793.03305740003_39720.417280630885,4
40793.21052613844_39683.546301441995,5
40793.352670307104_39732.39084865518,4
40793.5478356057_39703.110882512476,2
40793.850119435956_39699.86646285641,4
40794.1524032662_39696.62204320034,4
40794.56224296503_39693.27417959884,4
40794.629066256915_39686.580245999634,6
40795.013222174515_39649.3974715232,0
40795.07963853245_39689.822872051926,4
40796.123327064364_39651.59596897643,0
40796.26785776033_39719.08276255336,4
40796.53820821778_39731.106704964455,4
40797.709344781884_39654.77127059702,9
40799.295362499404_39657.946572217596,8
40799.502658120626_39717.74824447583,4
40799.72374612846_39729.82256127373,4
40800.7742343067_39737.923060910754,5
40800.8813776686_39661.178556573825,10
40800.99114661754_39734.4260323178,5
40801.20805892838_39730.92900372484,5
40802.315972117845_39739.980875334266,5
40802.46739028947_39664.467223665684,10
40802.78672076713_39716.388393242414,4
40802.88137095394_39728.541218852464,4
40804.053402910344_39667.755890757544,1
40805.61636005099_39740.599475588344,5
40805.654192446666_39671.07083688048,12
40806.01108269422_39727.26267770067,5
40806.12004569984_39715.00320885312,6
40807.26975889843_39674.41206203449,4
40808.8853253502_39677.75328718849,4
40808.916747984134_39741.21807584241,5
40809.1407944345_39725.98413654888,5
40809.45337063255_39713.61802446383,4
40810.40239427516_39680.631766106475,2
40811.8209656733_39683.04749878844,6
40811.86145878001_39711.62401767554,4
40812.03648964129_39742.40190970259,5
40813.34431014223_39709.02118848825,4
40813.69929643177_39685.48228204898,6
40814.975585022454_39744.15097716889,5
40815.35176475274_39706.75140764008,11
40816.03738655055_39687.9361158881,4
40816.104308110254_39696.23212597164,4
40816.507530000265_39693.936183704696,4
40817.32252548254_39699.27779913358,4
40817.88382261155_39704.81467513103,11
40817.91468040362_39745.90004463517,5
40818.37547666934_39690.38994972722,6
40818.53219115258_39692.389972332756,4
40818.54074285481_39702.323472295524,6
40819.68236099697_39744.49900250353,5
40820.27862680251_39739.94785077394,5
40820.45638851289_39748.14180352762,4
40820.99929697974_39692.39920980614,4
40821.04140865966_39704.42638854745,4
40822.600709350256_39750.87625384623,4
40823.521153132126_39714.73491240364,4
40823.90884748174_39693.96389612487,4
40824.018843246486_39711.343024694244,4
40824.32393074959_39718.06775639981,4
40824.745030187616_39753.61070416484,5
40824.82452289706_39705.586547889354,4
40825.81700109267_39707.89209327162,4
40825.89526788523_39719.270566612315,5
40826.81839798375_39695.528582443585,4
40828.23516453903_39718.34334304117,5
40829.7689939907_39697.20375228181,11
40830.950266375134_39717.2682604547,5
40832.51021414683_39733.303662678736,4
