id,cluster
28430.941493179584_29742.818535226812,10
28432.53956413533_29744.937871597314,10
28434.11141304385_29727.756800748375,10
28434.54780243329_29747.519111145404,10
28436.556040731255_29750.100350693494,10
28438.58232734729_29752.66043892078,10
28440.3888150757_29717.910427458282,10
28440.626662281396_29755.19937582725,10
28442.246107743456_29720.731967272062,10
28442.670997215504_29757.73831273373,10
28444.103400411215_29723.553507085842,10
28444.743224818063_29760.258675936464,10
28445.98530423125_29726.35912359092,10
28446.843345089077_29762.760465435458,10
28447.886869125432_29746.88010335151,10
28447.891819203564_29729.148816787296,10
28448.39855776964_29700.611191256994,9
28448.94346536009_29765.262254934452,10
28449.798334175874_29731.938509983676,10
28449.914797816582_29749.566503724192,10
28450.085409290892_29703.292747861793,9
28451.06655614356_29767.759972245683,10
28451.722897443262_29734.705736455297,10
28451.83287123076_29706.03916374007,9
28451.942726507732_29752.25290409688,10
28453.212617439483_29770.253617369155,10
28453.640943589242_29708.850438891823,9
28453.665509005732_29737.45049620216,10
28453.99362575661_29754.89049302872,10
28455.358678735407_29772.747262492627,10
28455.44901594773_29711.661714043574,9
28455.6081205682_29740.19525594902,10
28456.067495563213_29757.47927051971,10
28457.28990306816_29714.46491609153,9
28457.53263280202_29775.198647994694,10
28457.581906230404_29742.922740294798,10
28458.14136536982_29760.068048010704,10
28459.16360495054_29717.26004503568,10
28459.586865992344_29745.632949239494,10
28459.734479639315_29777.607773875367,10
28460.271020195847_29762.6367829339,10
28461.037306832914_29720.055173979832,10
28461.371231597815_29696.92786259568,9
28461.591825754283_29748.34315818419,10
28461.897289650653_29687.756015365052,9
28461.936326476614_29780.016899756032,10
28462.456460041303_29765.185475289298,10
28462.935619859_29722.860696794385,10
28463.6230374754_29751.036118624856,10
28464.00459866333_29693.948809060632,9
28464.179951347607_29690.891526650423,9
28464.193958462532_29782.369138098846,10
28464.64189988676_29767.7341676447,10
28464.858544028793_29725.676613479332,10
28465.680501155686_29753.711830561486,10
28466.299151919317_29693.81056086872,9
28466.507375597066_29784.6644889038,10
28466.781468198587_29728.49253016428,10
28467.30315342658_29768.44066172077,10
28467.73796483598_29756.387542498123,10
28468.254891365774_29696.513118019935,9
28468.820792731603_29786.959839708754,10
28469.829884148774_29759.03806559081,10
28470.210630812227_29699.21567517115,10
28470.440220660763_29767.304957517525,10
28471.13459315661_29676.837142309152,9
28471.227731738687_29789.216517904017,10
28471.95625909408_29761.66339983954,10
28472.16801130999_29701.918225148867,10
28472.753731239703_29713.417545507316,10
28473.577287894946_29766.16925331427,10
28473.728192618313_29791.434523489595,10
28474.082634039387_29764.28873408828,10
28474.103944335307_29775.941974897254,10
28474.12703285906_29704.620767953085,10
28474.891661502108_29674.35864908838,9
28475.628287201678_29710.25556994204,10
28476.086054408133_29707.323310757296,10
28476.228653497943_29793.652529075167,10
28476.245105403_29766.877027496317,10
28477.1589765443_29774.86724850422,10
28477.946608120103_29724.719243368076,10
28478.036872626115_29710.040374797474,10
28478.26171718866_29671.64005997048,10
28478.443673184913_29769.428280063657,10
28478.463441834458_29721.72546409883,10
28478.822636412173_29795.817387161704,10
28479.866252697317_29727.469384499236,10
28479.979487513006_29712.771960073616,10
28480.214008753293_29773.792522111184,10
28480.64224096683_29771.979532630998,10
28480.65540748513_29747.813540650783,10
28481.41675384038_29718.48804669149,10
28481.510141361_29797.9290977492,10
28481.631772875204_29668.92147085258,10
28481.78589727453_29730.2195256304,10
28481.922102399898_29715.503545349755,10
28481.93101263912_29783.050139527037,10
28482.755532239804_29750.483751676813,10
28482.876905222103_29774.489796543854,10
28483.705542214746_29732.939403848726,10
28484.197646309825_29800.04080833669,10
28484.23222046149_29729.98767314241,10
28484.800019728595_29666.527688066904,10
28484.855656994474_29753.153962702843,10
28485.14766595074_29776.959071802223,10
28485.62518751796_29735.62901915422,10
28486.34620890883_29781.458702968863,10
28486.939296025543_29802.081164978914,10
28487.009926195118_29755.78045471094,10
28487.205222258188_29726.77382703527,10
28487.418426679367_29779.42834706059,10
28487.54483282117_29738.318634459716,10
28487.76645774882_29664.458711613457,10
28489.218339841726_29758.363227701106,10
28489.28227366108_29790.226058243145,10
28489.728565379977_29781.85924720616,10
28489.735090508144_29804.050167675865,10
28489.993617858956_29738.14927070056,10
28490.732895769048_29662.38973516001,10
28491.42675348834_29760.946000691267,10
28491.701280518715_29863.955750571673,8
28492.07808205256_29784.251772238928,10
28492.530884990745_29806.019170372816,10
28492.97154263131_29735.120927876764,10
28493.022150179742_29859.93852717505,8
28493.495662594654_29788.635725939766,10
28493.667982196388_29763.48122385573,10
28494.23913464408_29660.063186210722,9
28494.32083031231_29856.447345463494,8
28494.42759872515_29786.644297271694,10
28495.019884324913_29796.252211219475,10
28495.252873419522_29792.887550646916,10
28495.35293193618_29807.93144668451,10
28495.426891150488_29735.016005279605,10
28495.485862514135_29789.522890074357,10
28495.597320916422_29853.482205437005,8
28495.942025965876_29765.968897194492,10
28496.87381152053_29850.517065410517,8
28496.901797188082_29797.173523004596,10
28497.359663416493_29737.834502909092,10
28498.20123134445_29809.786996610943,10
28498.216069735365_29768.456570533257,5
28498.285174373923_29657.479064765594,8
28498.799210992336_29846.99634923839,0
28499.292435682495_29740.653000538576,10
28500.898612009034_29795.651486002273,10
28501.04953075272_29811.642546537376,10
28501.186607956493_29768.182360250197,5
28501.274430154237_29743.45149216258,10
28501.373519331828_29842.920056920622,0
28501.494263773915_29757.070798254477,10
28502.501030201616_29655.20389372256,8
28502.594277498323_29810.56030882924,10
28502.83547158126_29806.540283486538,10
28502.911781720315_29797.300418329633,10
28502.941306321925_29802.12031998667,10
28503.305646831715_29746.2299777811,10
28503.38177660763_29839.05610281333,5
28503.57142105061_29759.693766709832,10
28504.823982819737_29835.404486916508,5
28504.853640629262_29765.146266345313,5
28505.336863509197_29749.008463399623,10
28505.648578327302_29762.316735165194,10
28506.886702127165_29653.237673081625,8
28507.29738635374_29832.175534500617,5
28507.38448793378_29751.72764693313,10
28507.67813144854_29778.118407083057,5
28507.758550639315_29764.89478563963,5
28508.13179761241_29775.518387038264,5
28509.44852010547_29754.38752838163,10
28509.901337986656_29767.427918133148,5
28510.093280050973_29780.45793372941,5
28510.356846638853_29651.990971635343,8
28510.801987209645_29829.369245565642,5
28511.45427854258_29772.65787359504,5
28511.51255227716_29757.04740983013,0
28512.044125333996_29769.961050626665,5
28512.508428653404_29782.79746037576,5
28512.91146373668_29651.46378938372,8
28513.282774588555_29826.14223267871,5
28513.578225682948_29759.632279516343,8
28514.644845208073_29649.4554435426,8
28514.73974849048_29822.494495839815,5
28514.944907333374_29785.098710754646,5
28515.5390905852_29652.752060254545,8
28515.64554032284_29762.14213744027,8
28516.85629429657_29819.791893335594,5
28517.402716090884_29787.361684866057,5
28517.712854962734_29764.6519953642,5
28518.239727184417_29655.85578424782,8
28519.602894273285_29809.4010848288,5
28519.63241200683_29818.034425166046,5
28519.81790680024_29767.145857269938,5
28519.860524848395_29789.624658977467,5
28520.94036378363_29658.959508241092,8
28521.96069583536_29769.623723157492,5
28522.280561614265_29811.54180052821,5
28522.352789558718_29791.85191637719,5
28522.408529717093_29816.2769569965,5
28522.52178902909_29789.5107052851,5
28523.449854694936_29662.616934682985,8
28524.10348487048_29772.101589045047,5
28524.264391965502_29709.31573887638,10
28524.288810661263_29813.76646076062,5
28524.87951022185_29794.04345706522,5
28524.958228955245_29813.682516227615,5
28525.04682559898_29815.075548494522,5
28525.27325483934_29810.502936458415,5
28525.386508632982_29787.01982378896,5
28525.768199918337_29666.828063573495,8
28526.257699017417_29807.23941215621,5
28526.2971369809_29774.57522962879,5
28527.082148135938_29816.931614621135,5
28527.229838633983_29803.538429528147,5
28527.404755675798_29706.756290032885,10
28527.40623088499_29796.23499775325,5
28527.746094730875_29670.454197764942,9
28528.09125756249_29784.51797923782,5
28528.18967368903_29799.399988574223,5
28528.541652166612_29777.04464490872,5
28528.65231915634_29821.28909570876,5
28529.383539132556_29673.495337257325,9
28529.973970476847_29798.392101434347,5
28530.062573894753_29796.241472847985,5
28530.431910734173_29703.58559489004,10
28530.636035817624_29782.00517163169,5
28530.69994833995_29822.81349080239,5
28530.78616735233_29779.514060188652,5
28531.020983534232_29676.53647674971,9
28532.532091573346_29679.683579157787,9
28532.58272899743_29800.51476810851,5
28532.848539251147_29794.06288234942,5
28533.22503568677_29821.504799902024,5
28533.345857140623_29699.803653447834,10
28533.916863249895_29682.93664448156,9
28534.20863381117_29832.354136604685,5
28535.001362080664_29696.22994268348,10
28535.191487518012_29802.637434782675,5
