id,cluster
23493.025835272838_30147.623405717455,10
23493.667135698997_30160.5243135704,10
23493.8139825192_30172.361103142015,10
23495.7126344038_30157.563598111738,10
23496.021408573288_30174.731873892222,10
23496.086480202135_30150.831552410928,10
23496.982079912457_30154.144949875692,10
23499.68120753076_30120.605334653526,10
23502.897738570195_30111.024774722195,10
23503.356344619464_30119.679939458816,10
23706.738023734237_30397.306666715915,10
23708.181771975404_30392.560073293695,10
23709.12645250646_30387.543765732815,10
23727.90860063273_30399.267102249018,10
23728.43841370796_30406.28058042878,10
23728.981366549626_30404.043267265333,10
23729.783312502088_30396.4451793818,10
23734.027243059143_30389.858791359802,10
23734.605502157698_30395.577498663686,10
23736.020145676717_30393.382035989685,10
23744.375813144474_30413.727491259124,10
23746.570231314632_30412.011900042038,10
23750.141139193296_30314.67529264129,10
23750.619854952107_30408.90156471734,10
23752.65550473686_30309.83208125454,10
23754.871230860255_30406.15736475075,10
23755.228920655645_30305.14650162433,10
23757.861386949655_30300.618553750664,10
23760.511078262334_30296.242543822562,10
23763.177994593687_30292.018471840012,10
23765.926103952042_30287.93413838607,10
23768.7554063374_30283.98954346073,10
23769.504073246015_30332.91078856551,10
23771.641298773273_30280.190744901724,10
23773.34709528245_30333.630020368713,10
23774.58378125966_30276.537742709043,10
23777.514924522147_30337.34262879599,10
23777.668964382196_30272.992548981798,10
23780.896848140874_30269.555163719975,10
23781.869720591156_30339.82415575054,10
23784.419974046796_30266.33333685805,10
23786.411483489475_30341.074601232358,10
23788.23834209995_30263.32706839601,10
23790.82039430645_30342.580476469993,10
23792.29536818471_30260.724233652272,10
23795.096453042086_30344.34178146343,10
23796.591052301075_30258.524832626834,10
23799.426640647776_30346.148199683837,10
23801.28040940951_30257.697423116333,10
23803.81095712352_30347.999731131207,10
23806.36343951002_30258.242005120774,10
23808.291227815913_30349.8823245957,10
23811.325928622144_30259.67571494262,10
23812.867452724946_30351.79598007731,10
23816.16787674588_30261.99855258187,10
23817.421535799243_30353.69198803112,10
23820.682607847797_30264.635142220257,10
23821.953477038798_30355.570348457135,10
23824.870121927903_30267.58548385778,10
23828.929701598892_30270.63327502619,10
23830.127874153244_29878.20674552561,5
23830.24537316033_29895.175977180435,10
23830.47398424693_29881.600112259126,10
23830.737376313627_29890.924789354955,10
23830.81358000916_29886.399501047847,10
23832.86134686078_30273.778515725488,10
23836.70934161947_30276.90052581455,10
23840.473685874964_30279.999305293382,10
23844.427475810673_30283.069401595196,10
23848.57071142659_30286.11081472,10
23852.868946831913_30289.015143443354,10
23857.322182026634_30291.782387765266,10
23861.817240038126_30294.272989677916,10
23866.354120866385_30296.486949181308,10
23870.849175192074_30298.55306096514,10
23875.30240301519_30300.47132502941,10
23879.76301261006_30302.355984159563,10
23884.231003976678_30304.2070383556,10
23888.775265416225_30305.949081732593,10
23893.395796928697_30307.58211429055,10
23898.14180330582_30308.961735115634,10
23903.0132845476_30310.087944207833,10
23907.9487300506_30310.793257902726,10
23912.948139814835_30311.07767620031,10
23918.045959646082_30311.00221543954,10
23923.24218954435_30310.56687562042,10
23928.32278608658_30310.19337854046,10
23933.28774927277_30309.88172419966,10
23938.32160360065_30309.56179307312,10
23943.42434907021_30309.23358516084,10
23948.564003850726_30309.072996051458,10
23953.74056794219_30309.080025744966,10
23958.75721405782_30309.2814249289,10
23963.613942197615_30309.67719360326,10
23968.581387971906_30310.10196801932,10
23973.65955138069_30310.555748177092,10
23978.725414572513_30310.997749692036,10
23983.778977547365_30311.427972564154,10
23988.726747491237_30311.886419199516,10
23993.56872440413_30312.373089598117,10
23998.410702858717_30312.859759855317,10
24001.36442778653_29940.203614660168,10
24001.540001369365_29945.047366353392,10
24002.223844339293_29935.397616708164,10
24002.750565087787_29949.928871787837,10
24003.083260892046_29930.591618756167,10
24003.252682855007_30313.346429971116,9
24004.41629267434_29954.66178907762,10
24004.884179704466_29926.17924646181,10
24006.537184129025_29959.246118222734,10
24007.626600776548_29922.1604998251,10
24008.207840808373_30313.84037411477,9
24008.776171553985_29963.731091233247,10
