id,cluster
25567.947873430086_27344.07373323131,10
25569.665397773802_27344.235460282995,10
25571.38292211752_27344.397187334678,10
25572.94922441271_27328.08131811509,10
25573.100446461238_27344.558914386358,10
25574.512230374545_27329.316640591143,10
25574.817970804954_27344.72064143804,10
25576.07523633638_27330.551963067195,10
25576.53549514867_27344.882368489725,10
25577.63824229821_27331.787285543247,10
25578.271883692854_27344.911147687195,10
25579.201248260044_27333.0226080193,10
25580.027136437508_27344.80697903045,10
25580.205856600423_27334.55780732299,10
25580.652067319344_27336.392883454326,10
25581.098278038266_27338.227959585663,10
25581.544488757187_27340.063035716998,10
25581.782389182164_27344.702810373707,10
25581.990699476108_27341.898111848335,10
25582.43691019503_27343.73318797967,10
25583.59575918109_27344.454584112125,10
25585.467246434288_27344.0623002457,10
25587.338733687488_27343.670016379274,10
25589.210220940688_27343.277732512848,10
25591.081708193884_27342.885448646422,10
25592.953195447084_27342.493164779997,10
25594.82468270028_27342.10088091357,10
25596.706296607492_27341.96987510711,10
25598.59803716871_27342.10014736061,10
25600.489777729934_27342.23041961411,10
25602.381518291153_27342.36069186761,10
25604.273258852372_27342.49096412111,10
25606.200433052774_27342.598158917892,10
25608.163040892356_27342.682276257965,10
25610.125648731933_27342.766393598038,9
25612.088256571515_27342.85051093811,9
25614.050864411096_27342.934628278184,10
25616.029220750832_27342.987882513647,10
25618.023325590722_27343.010273644504,10
25620.017430430613_27343.03266477536,10
25622.0115352705_27343.055055906218,10
25624.00564011039_27343.077447037074,10
25626.011556658195_27343.094250174014,10
25628.029284913908_27343.105465317036,10
25630.047013169627_27343.116680460058,10
25632.06474142534_27343.127895603084,10
25634.08246968106_27343.139110746106,10
25636.09823007647_27343.147968946738,10
25638.11202261158_27343.154470204983,10
25640.12581514669_27343.16097146323,10
25642.1396076818_27343.16747272147,10
25644.15340021691_27343.173973979716,10
25646.008399601513_27343.174623584575,10
25647.704605835606_27343.169421536055,10
25649.400812069704_27343.164219487535,10
25651.097018303797_27343.15901743901,10
25652.793224537894_27343.15381539049,10
25654.489430771988_27343.14861334197,10
25656.325895937665_27343.30509480242,10
25658.30262003492_27343.62325977184,10
25660.279344132174_27343.941424741264,10
25662.25606822943_27344.259589710688,10
25664.232792326686_27344.57775468011,10
25666.20951642394_27344.89591964953,10
25668.156304522832_27345.374384236926,10
25670.07315662336_27346.013148442296,10
25671.990008723886_27346.651912647663,10
25673.906860824412_27347.290676853034,10
25675.021121809776_27346.823982480997,10
25675.13596578255_27348.509846134522,10
25675.332791679983_27345.251829531553,10
25675.644461550182_27343.679676582113,10
25675.677323598295_27350.309420492133,10
25676.218681414037_27352.108994849743,10
25676.659884235407_27342.873180570212,10
25676.760039229783_27353.908569207353,10
25676.79557079035_27366.12179528552,10
25676.819179290662_27364.410714119935,10
25676.91566415922_27367.810005755317,10
25676.986489660158_27362.676762258565,10
25677.035757528094_27369.49821622511,10
25677.153800029657_27360.942810397195,10
25677.15585089697_27371.186426694905,10
25677.27594426584_27372.874637164703,10
25677.30139704553_27355.708143564963,10
25677.321110399156_27359.208858535825,10
25677.488420768652_27357.474906674455,10
25678.210344088395_27373.882385641627,10
25678.262699493454_27356.672601644146,10
25678.37905973565_27342.832341495847,10
25679.64394657356_27356.8019434449,10
25679.95905036464_27374.209672125675,10
25680.098235235888_27342.79150242148,10
25681.025193653666_27356.93128524566,10
25681.707756640877_27374.53695860973,10
25681.81741073613_27342.750663347117,10
25683.456462917122_27374.864245093777,10
25683.53658623637_27342.70982427275,10
25685.20516919336_27375.19153157783,10
25685.25576173661_27342.668985198387,10
25686.953875469604_27375.51881806188,10
25688.684532778203_27375.254838187007,10
25690.397141119167_27374.399591953206,10
25692.109749460127_27373.54434571941,10
25693.82235780109_27372.68909948561,10
25695.39021045043_27363.186742934013,10
25695.534966142055_27371.83385325181,10
25695.612668197566_27365.013295645324,10
25695.729767208377_27361.47474894189,10
25695.8351259447_27366.839848356634,10
25696.057583691832_27368.666401067945,10
25696.280041438968_27370.492953779256,10
25696.63133847141_27359.877313668956,10
25697.08497534797_27346.36011274675,10
25697.532909734437_27358.279878396024,10
25697.685389246646_27348.121485517182,10
25697.711613525964_27345.25871813373,10
25698.28580314532_27349.882858287612,10
25698.434480997465_27356.682443123093,10
25698.886217043997_27351.644231058042,10
25699.336052260496_27355.085007850157,10
25699.486630942672_27353.405603828476,10
25699.56530378063_27344.817301678122,10
25701.418994035295_27344.375885222515,10
25703.16934072557_27344.39669704077,10
25704.816343851453_27344.879737132887,10
25706.46334697734_27345.362777225004,10
25708.253395098196_27345.641700164477,10
25710.186488214018_27345.716505951306,10
25712.11958132984_27345.791311738132,10
25714.052674445666_27345.866117524958,10
25715.985767561488_27345.940923311788,10
25717.82748712326_27345.796698205333,10
25719.577833130978_27345.433442205594,10
25721.328179138694_27345.070186205856,10
25723.07852514641_27344.70693020612,10
25724.828871154128_27344.343674206382,10
25726.579217161845_27343.980418206644,10
25728.091255797593_27344.096688014008,10
25729.364987061374_27344.69248362847,10
25730.638718325154_27345.288279242934,10
