id,cluster
23928.31981023633_31787.51239071372,9
23931.955947915023_31784.09641872094,9
23933.954838071964_31804.311772589026,8
23935.604476336193_31780.65010683255,9
23936.68188938582_31801.99925050741,8
23938.944233561735_31799.33696820616,8
23939.265395499846_31777.173455048553,9
23940.741870599697_31796.32492568528,8
23942.539507637655_31793.31288316439,9
23942.916474010417_31773.67513648567,8
23945.073984133905_31688.95359571162,8
23945.080792134762_31720.322189311417,10
23945.094939565777_31791.165636543683,9
23945.710562842112_31715.207409595645,10
23946.557711867914_31770.155151143903,8
23947.518909206497_31691.737844547664,8
23948.408166384062_31789.883185823142,9
23950.164506137113_31766.641286141497,8
23950.3406090539_31694.61416163281,8
23951.721393202344_31788.600735102606,9
23953.53908367611_31697.582546967056,8
23953.736856818017_31763.133541478463,8
23955.246585757744_31699.76923137332,8
23955.319185995184_31786.384492999867,9
23956.32914850839_31700.900801252224,8
23957.29198596529_31759.616021239584,8
23958.3048236493_31702.823323610417,8
23959.201544762585_31783.234459514926,8
23960.307577970896_31705.810212047272,8
23960.829893578928_31756.088725424863,8
23962.503056522215_31708.6400064229,8
23963.096206633287_31780.108060849758,8
23964.36042097019_31752.55159932859,8
23964.89125930325_31711.31270673729,8
23967.0031716073_31777.005297004365,9
23967.27946208429_31713.98540705169,8
23967.88356813907_31749.00464295077,8
23969.423268165043_31716.39284434963,8
23970.942122100307_31773.906308249418,9
23971.32267754551_31718.535018631115,9
23971.441160438622_31745.42392370061,8
23973.418884267074_31718.612234498578,9
23973.677261101795_31721.500208686288,9
23974.91305811232_31770.811094584922,9
23975.033197868845_31741.80944157812,8
23976.487018833894_31725.288414515155,9
23978.302941452355_31738.84652952174,9
23978.893836664516_31767.71977920537,9
23979.033520597557_31729.05043709781,9
23981.227182470728_31863.828477791627,8
23981.250391189158_31736.535187531474,9
23981.316766392785_31732.786276434264,9
23982.591252673978_31735.016856319417,9
23982.884457756903_31764.632362110766,0
23983.750046900946_31733.298090388824,9
23984.588246434847_31860.87031612759,8
23986.33336212205_31730.5858789615,9
23986.60137693877_31719.26768758987,8
23986.877540081266_31761.5271593004,0
23987.927056225617_31860.144372700608,8
23988.697698015683_31727.195491148508,9
23990.144280889537_31720.48432576364,9
23990.84305458184_31723.126926949855,9
23990.873083637605_31758.40417077427,0
23991.243611843045_31861.65064751067,11
23993.342736968385_31721.629805105957,9
23994.296877344823_31860.735002530513,2
23994.868628090975_31755.263410310254,8
23995.01288082818_31863.88319620957,11
23996.585446494566_31720.422826811126,8
23997.086852730947_31857.397437760137,11
23998.86417344137_31752.104877908354,0
23999.234863181024_31866.842018797302,2
23999.551246926385_31854.271702214894,4
24000.216858601594_31716.97207712274,8
24001.690059931134_31851.35779589478,4
24002.08968678135_31752.699184997626,0
24002.849878574194_31748.966152597422,0
24003.296925643575_31869.878759906824,6
24003.82887293588_31848.443889574664,11
24003.8482719702_31713.558854846495,8
24004.54516811092_31757.04633157808,0
24006.284253373757_31845.745478920573,2
24006.825744404472_31745.851186666543,0
24007.19906821583_31872.99341953813,3
24007.38690568958_31760.14181151584,0
24007.5067503751_31710.16721033579,8
24009.056201244763_31843.262563932505,6
24010.614899517335_31761.985624810914,0
24010.717402480954_31876.38672546805,2
24010.80161114978_31742.740173024747,0
24011.192293816297_31706.797143590626,8
24011.828149115772_31840.779648944434,11
24013.842893345085_31763.829438105986,0
