id,cluster
22594.862356666225_31794.450124886644,5
22595.475482536265_31795.665568371413,5
22596.619477801083_31797.966149827676,5
22597.763473065897_31800.266731283937,5
22598.907468330715_31802.5673127402,5
22600.001033434153_31804.969896078732,5
22601.04416837622_31807.47448129953,5
22601.778038723685_31846.78551846928,0
22601.86665562629_31849.532456542078,0
22601.955272528896_31852.279394614874,0
22601.963723848807_31844.02619366605,0
22602.0438894315_31855.02633268767,0
22602.08730331828_31809.979066520333,5
22602.160797229324_31857.754352577344,0
22602.30599592236_31860.46345428389,0
22602.42371100165_31841.254482132383,0
22602.451194615398_31863.172555990444,0
22602.596393308435_31865.88165769699,0
22602.737901590477_31868.577944591616,0
22602.87571946152_31871.261416674308,0
22602.8836981545_31838.482770598715,0
22603.01353733257_31873.944888757,0
22603.130438260345_31812.48365174113,5
22603.151355203612_31876.62836083969,0
22603.25719115624_31879.286336982386,0
22603.331045190458_31881.91881718508,0
22603.343685307344_31835.711059065048,0
22603.40489922467_31884.551297387778,0
22603.47875325889_31887.18377759047,0
22603.548916823573_31889.800480020625,0
22603.61538991872_31892.401404678232,0
22603.681863013873_31895.002329335846,0
22603.74833610902_31897.603253993453,0
22603.8160390108_31900.19133613479,0
22603.8849717192_31902.766575759855,0
22603.953904427603_31905.341815384916,0
22604.022837136003_31907.91705500998,0
22604.090539067038_31910.454776008588,0
22604.1570102207_31912.95497838074,0
22604.22313236256_31833.51178103634,0
22604.223481374363_31915.4551807529,0
22604.27197766696_31814.983741394946,5
22604.289952528026_31917.955383125052,0
22604.349460542504_31920.82761922652,0
22604.402005417793_31924.071889057297,0
22604.45455029308_31927.316158888076,0
22604.505455173756_31930.56439169262,0
22604.55472005981_31933.81658747093,0
22604.60398494587_31937.068783249237,5
22604.651609682103_31940.317041266844,5
22604.697594268524_31943.56136152375,5
22604.743578854945_31946.805681780654,5
22604.79365591857_31949.65033471779,5
22604.84782545941_31952.095320335156,5
22604.90507906416_31954.622450320287,5
22604.965416732834_31957.23172467318,5
22605.511921538124_31817.479335481774,5
22605.52203932015_31831.8849365126,0
22606.36318720946_31948.673747768655,5
22606.578207535124_31829.845981992083,5
22606.75186540929_31819.9749295686,5
22607.391637007488_31827.394917474787,5
22607.991809280455_31822.47052365543,5
22608.205066479855_31824.94385295749,5
22609.556419332075_31949.165559487745,5
22609.898436005074_31824.574294371607,5
22612.471745583156_31826.286241717135,5
22612.636977045102_31949.53198159529,5
22615.3328810186_31827.577858166245,5
22615.604860348547_31949.77301409128,5
22618.481842311405_31828.449143718946,5
22618.572743651992_31950.014046587272,5
22621.540626955437_31950.255079083265,5
22621.630803604217_31829.320429271644,5
22624.508510258882_31950.496111579254,5
22624.779764897023_31830.191714824345,5
22627.56692475662_31950.62365884526,5
22627.581837985854_31830.375608131875,0
22630.0370228707_31829.87210919424,0
22630.715870448643_31950.637720881277,8
22632.49220775555_31829.368610256603,0
22633.864816140675_31950.65178291729,0
22634.947392640395_31828.865111318966,0
22636.873532533777_31950.46614447643,0
22637.41611395217_31828.621267580154,0
22639.742019627956_31950.080805558693,0
22639.89837169087_31828.637079040163,0
22642.38062942957_31828.652890500172,0
22642.610506722136_31949.69546664096,0
22644.862887168267_31828.66870196018,0
22645.478993816316_31949.31012772322,0
