id,cluster
28545.438216166815_35040.0385492919,10
28546.054402077778_35038.62372263354,10
28547.038827914017_35036.28632612228,10
28548.023253750256_35033.94892961101,9
28549.007679586495_35031.61153309975,9
28549.96626454962_35029.258477651616,9
28550.899008639626_35026.88976326661,9
28551.83175272963_35024.521048881616,9
28552.238479780357_34786.476234204834,9
28552.764496819636_35022.15233449661,9
28553.688627383064_35019.774779534586,9
28553.911060986255_34786.28546353226,9
28554.604144419907_35017.38838399553,9
28555.519661456754_35015.00198845647,9
28556.039406946755_34786.03157500322,9
28556.435178493597_35012.61559291741,9
28557.3433124768_35010.226277385154,9
28558.08654755335_35012.08352108514,9
28558.244063406368_35007.834041859685,9
28558.62351766185_34785.71456861771,9
28559.154658673277_35005.43780030185,9
28560.075098277535_35003.03755271164,9
28560.473768636017_35013.40577295964,9
28560.99553788179_35000.637305121425,9
28561.207628376946_34785.39756223219,9
28561.91597748605_34998.237057531216,9
28562.82042031339_34995.862592785976,9
28562.860989718676_35014.72802483414,9
28563.70886636382_34993.513910885704,9
28563.79173909204_34785.08055584668,9
28564.59731241425_34991.16522898543,9
28565.248210801343_35016.050276708644,9
28565.48575846468_34988.81654708516,9
28566.33647373154_34784.77167725684,9
28566.361899363685_34986.46892595921,9
28567.22573511126_34984.12236560758,9
28567.784327288115_35017.03969876528,9
28568.089570858836_34981.77580525596,9
28568.84183229543_34784.47092646267,9
28568.95340660641_34979.42924490433,9
28569.82216464755_34977.05894648755,9
28570.469339179_35017.69629100404,9
28570.694704378227_34931.332893864535,10
28570.695844982245_34974.66491000564,9
28571.347190859327_34784.170175668514,9
28571.56952531694_34972.27087352371,9
28571.85632999993_34928.2462846409,10
28572.443205651634_34969.8768370418,9
28572.880135760854_34925.5276778571,10
28573.154351069883_35018.352883242806,9
28573.315655563027_34967.494666766805,9
28573.766121661007_34923.177073513114,10
28573.85254942322_34783.86942487435,9
28574.186875051113_34965.12436269875,9
28574.65210756116_34920.82646916913,10
28575.058094539203_34962.75405863069,9
28575.538093461313_34918.475864825145,10
28575.839362960767_35019.009475481565,9
28575.92931402729_34960.38375456264,9
28576.421618473054_34916.10848088475,10
28576.448969261655_34782.964493857806,9
28576.79684206308_34958.010510186636,10
28577.302682596383_34913.72431734795,10
28577.66067864657_34955.63432550268,10
28578.18374671971_34911.34015381114,10
28578.524515230067_34953.25814081873,10
28578.64743063112_35018.79687731026,9
28579.06481084304_34908.95599027434,10
28579.136450374637_34781.45538261888,9
28579.38835181356_34950.88195613478,10
28579.948336135352_34906.58268375488,10
28580.244805319475_34948.51866057761,10
28580.83432259665_34904.220234252774,10
28581.09387574781_34946.16825414722,10
28581.192695246966_34767.553543194255,9
28581.307128801243_34770.28764707999,9
28581.495411922082_34764.62935504581,9
28581.578554080945_35017.71508872887,9
28581.72030905795_34901.85778475065,10
28581.798128597202_34761.70516689734,9
28581.823931487612_34779.94627137996,9
28581.83871258492_34772.831666702994,9
28581.942946176147_34943.817847716826,10
28582.100845272318_34758.780978748895,9
28582.37029636859_34775.37568632599,9
