id,cluster
26446.020239074096_48526.930371095696,10
26448.348293283652_48529.72155585411,10
26451.15354101462_48532.86706871079,9
26452.763885592358_48516.2810208836,10
26454.43598226701_48536.36690966574,9
26455.766502615726_48637.58140830659,10
26456.22472878771_48520.330457185206,10
26457.784859573218_48539.80291209233,9
26458.23326988807_48634.73241660296,10
26459.748310743234_48524.173678152096,9
26461.200172933248_48543.175075990555,9
26461.50090293392_48630.93016068942,10
26463.35801348572_48527.939064157574,9
26464.598262699532_48546.5195988615,10
26464.79560339518_48627.15350855315,10
26467.05383701516_48531.62661520165,9
26467.97912887206_48549.836480705184,10
26468.11737127186_48623.402460194164,10
26470.74720022484_48535.22697055885,9
26471.332929032804_48553.14560338144,9
26471.392388733715_48619.6378313451,10
26474.438103114753_48538.740130229184,9
26474.62065578076_48615.85962200597,10
26474.65474248074_48556.44501650543,9
26477.971635227652_48559.74247924457,9
26478.195442670632_48542.244950479915,10
26482.019218892478_48545.741431311035,10
26484.531604534553_48566.266511546724,10
26484.753311907705_48608.24469352103,10
26485.865141268114_48549.233812004044,9
26486.475494091246_48570.24841270352,10
26486.957757880038_48568.302935416825,9
26487.56819663951_48603.53349530994,10
26489.08125844108_48570.188617608146,9
26489.457913761325_48600.86767001328,10
26489.73320979754_48552.72209255894,9
26489.82687364259_48579.55547552845,9
26491.743634827828_48573.13733487233,10
26491.992173228333_48576.25962084576,9
26493.61112172153_48556.234099037145,9
26497.498877040078_48559.769831438636,9
26497.84360516061_48600.73033151456,10
26501.325119329395_48563.45658893851,9
26505.08984858948_48567.294371536744,9
26507.46451210798_48599.223591093185,10
26508.296024599644_48571.25851821658,9
26509.100744458952_48589.051031052906,10
26509.506729257024_48586.82059468673,10
26510.943647359887_48575.34902897802,10
26511.681841615602_48578.09563084792,10
26512.116668989012_48598.584186430024,10
26512.186275913835_48580.20346116375,10
26512.255242145948_48591.91344908986,10
26513.473196540173_48585.22213999135,10
26514.366378759107_48583.01642881702,10
26516.288198086288_48599.075602672645,10
26519.979099399807_48600.69783982105,10
26522.42000097392_48599.27734135346,10
26523.54451424967_48602.84612290877,10
26523.61090280863_48594.81410726986,10
26526.984442635876_48605.52045193582,10
26530.594131583974_48604.58227524376,10
26534.07341269984_48604.106746359284,10
26537.252525421587_48607.70637100149,10
26537.37557807317_48611.63221977194,10
