id,cluster
26551.737514105465_47167.26698355675,10
26554.34050651029_47168.932977053104,10
26555.020072504027_47150.105362701965,10
26557.540847299035_47151.6490462581,10
26558.503881708155_47171.58634178348,10
26560.467349427458_47153.41966370077,10
26562.669718686655_47174.25752569706,10
26563.39385155588_47155.190281143456,10
26566.361364871227_47156.97914054333,10
26566.838017445793_47176.94652879387,10
26569.3698893735_47158.786241900394,10
26570.989093034666_47179.65149084283,10
26572.378413875776_47160.59334325747,10
26575.12294545328_47182.37241184393,10
26575.408264541024_47162.393708704236,10
26578.459441369243_47164.18733824069,10
26579.335537264436_47184.77910828454,10
26581.510618197462_47165.980967777155,10
26583.62686846814_47186.871580164676,10
26584.571638326684_47167.76661108517,10
26587.64250175691_47169.54426816473,10
26587.91819967184_47188.96405204481,10
26589.49300744659_47191.08382452876,10
26590.104069636025_47263.371234501865,0
26590.713365187134_47171.321925244294,10
26590.728253097506_47193.65615488074,5
26591.28486616596_47260.28012184183,0
26592.515016829737_47257.15331270428,8
26593.776027242908_47173.06792905446,10
26593.794521627355_47253.99080708921,0
26594.97037096146_47195.12805483568,10
26595.074026424973_47250.82830147413,0
26596.407664925886_47247.63508244922,0
26596.830487924228_47174.78227959522,10
26597.795437130088_47244.411150014465,0
26597.80009415513_47196.7988816116,10
26598.58751177061_47200.19432286969,10
26599.183209334296_47241.18721757971,0
26599.884948605555_47176.49663013598,10
26600.18447594027_47203.94541734696,10
26600.263849242463_47271.6425989018,8
26600.43544448492_47201.24305407657,10
26600.947453866684_47237.41868861772,0
26601.823691317524_47268.17162001239,8
26602.590986664112_47208.05216504339,10
26603.088170727264_47233.10556312848,0
26603.343892298057_47199.94507523223,10
26603.568163595755_47264.18112895232,8
26603.64150984683_47178.58050232246,10
26603.937067330982_47229.888261903165,0
26604.09455029822_47230.46193687983,0
26604.1864006072_47228.11787754752,0
26604.320828401495_47212.5039074518,10
26604.872075375475_47224.75033178147,0
26605.37400115242_47217.3006445722,10
26605.497266077156_47259.67112572158,8
26605.557750143744_47221.38278601542,10
26606.4861088548_47200.274467777315,10
26607.362199524545_47220.10216721067,10
26607.438672171193_47255.194737995276,8
26608.10017164806_47181.03389615465,10
26609.39238187787_47250.751965773416,8
26609.862094155145_47202.23123171183,10
26611.506033092544_47246.4290869174,8
26612.229230273922_47205.28206792218,10
26612.504695420525_47182.47705151647,10
26613.587517211137_47209.42697640835,10
26613.779625815223_47242.22610142724,8
26615.203346434206_47212.99169552421,10
26615.615233189463_47239.000734450165,8
26616.035846615654_47210.959464901105,10
26616.449340587227_47230.95848432557,8
26616.855081164216_47182.90996840793,10
26616.99311783181_47227.16446135903,8
26617.01285521527_47236.752985986175,8
26617.076717943128_47215.976225269726,10
26617.290891014523_47234.072235944644,8
26618.28249854601_47229.59578333953,8
26618.922222748282_47222.69016704502,10
26618.950089452053_47218.96075501526,10
26619.574218487476_47209.87953340043,10
26620.184316472594_47184.82342172088,10
26621.860122634775_47206.94666701036,10
26622.492401345648_47188.217411455356,10
26622.79036489087_47229.98413298653,8
26622.867357177784_47210.31169554332,10
26623.626837167463_47204.28648711335,10
26623.73502804478_47190.234866355124,10
26624.73733255134_47191.996206570504,10
26625.915262686576_47212.25595132976,10
26626.126829810055_47203.75192859881,10
26626.564773039274_47194.87796693621,10
26628.34137995126_47201.34262841316,10
26628.3922135272_47197.75972730191,10
26628.96316819537_47214.20020711621,10
26629.866981141553_47203.69520376998,10
26631.97334458681_47216.079965975354,10
26632.701976082215_47293.532999690746,3
26633.94014421961_47204.716357158744,10
26634.39495460597_47289.70720287118,3
26634.945791860904_47217.8952279072,10
26636.69812409368_47285.7681031774,6
26637.10616035532_47206.33755507938,10
26637.691887739464_47224.653158042434,8
26637.918239134997_47219.71048983904,10
26638.83360442785_47221.963133217454,10
26639.611484545352_47281.71570060942,11
26640.27217649103_47207.95875300001,10
26640.89724887252_47221.52042773219,10
26642.90051144666_47279.45891508125,6
26643.882821073472_47223.32504158664,8
