id,cluster
27511.28659884139_28646.81133017363,9
27513.798826454116_28644.566471597136,9
27517.203338936128_28641.528031629125,9
27518.259806254668_28620.998381075457,9
27518.977548719377_28616.740632844496,9
27520.70384079317_28623.902222556626,9
27521.500136287425_28637.69601026959,9
27521.95045005236_28614.628715791856,9
27525.792013125207_28633.883753948983,9
27526.23115927673_28605.737981040453,9
27526.350608921923_28610.85141408634,9
27527.82224733239_28607.83796021836,9
27528.705727469645_28608.638287648242,9
27530.07896944948_28630.091262667298,9
27530.7236987958_28607.07426408599,9
27531.92956979278_28612.488548538455,9
27534.368388043615_28626.29481562686,4
27535.069719673993_28603.29726579081,10
27535.35767055066_28615.95881209469,10
27536.60541233018_28642.480146530615,10
27538.660268907603_28622.49441282767,2
27538.990029743287_28619.049078316944,2
27539.378827784563_28599.555993265796,10
27539.858787062516_28646.247388065796,10
27542.18926455386_28622.98433544822,3
27542.984143406335_28618.689893569768,7
27543.099857680576_28650.01272541795,10
27543.65102312751_28595.850446510958,10
27544.955374982383_28627.76458348851,9
27546.328624184367_28653.77615858708,10
27547.340011539804_28614.88125785316,9
27547.905993177905_28592.15881121283,9
27547.952814167915_28632.121272724067,10
27549.56969600388_28657.52571323853,9
27551.18158211046_28636.054403154885,10
27551.718029567994_28611.066585935456,8
27552.14373793575_28588.48108737142,9
27552.823073139123_28661.261389372306,9
27554.427577215356_28639.938107675836,10
27555.077180692595_28584.465127644613,9
27556.06414614448_28664.99121449071,9
27556.1181974909_28607.245877816662,8
27556.706321448444_28580.110932032418,9
27557.69079948261_28643.77238628692,10
27559.29291501995_28668.715188593742,9
27560.08027951877_28578.653995900888,10
27560.897354765377_28604.542008661116,8
27560.983553739745_28647.596639502666,10
27562.55121590443_28672.44887104555,9
27563.476386446124_28577.048942375648,10
27564.305839986762_28651.410867323077,9
27565.149824916018_28572.39851197603,9
27565.83904879792_28676.192261846136,9
27566.05550139142_28602.954978468824,9
27567.628126844153_28655.203390122766,9
27568.496714808767_28571.121301726707,10
27569.181023097473_28679.850503799713,9
27570.14067671416_28602.536099596036,9
27570.950414311905_28658.974207901738,9
27571.86575348777_28569.62493418271,9
27572.5771388031_28683.423596906283,9
27573.145495234807_28601.201541225415,9
27573.583489530174_28564.536189193743,10
27574.28500718681_28662.748907671496,9
27576.03970069411_28686.879899336847,9
27576.142928256675_28597.78315203746,9
27576.942686467235_28563.458223288217,10
27577.63190546886_28666.52748943204,9
27578.35777801052_28593.5777085925,9
27579.568708770512_28690.219411091413,9
27579.790044496352_28588.58521089053,8
27580.996031020368_28670.274405278302,9
27581.559431972924_28563.089744424582,10
27582.312517328202_28586.404736550336,9
27583.257679310715_28693.433728800985,9
27584.195099557317_28554.722237657566,10
27584.37738384133_28673.989655210284,9
27585.792265152573_28559.419973519394,10
27585.925196506072_28587.036285571907,9
27586.67082101404_28556.630804597058,10
27587.106612314717_28696.52285246556,9
27587.80057344021_28677.635610519534,9
27588.164660643724_28585.11586624106,9
27589.03090974116_28580.643478557788,10
27590.03494342028_28555.72844645683,10
27591.05890607873_28699.47919619834,9
27591.265599817016_28681.21227120605,9
27591.5435406431_28578.49858394581,10
27592.72229172526_28546.58515370071,10
27594.287466776044_28552.015163236894,10
27594.833986887024_28684.7252221308,9
27595.11456060276_28702.302759999315,9
27595.183249544367_28548.967398984852,10
27595.702553349543_28578.68118240512,10
27597.94201894018_28576.762740957915,10
27598.26193741501_28572.743259604184,10
27598.505734650244_28688.17446329377,9
27598.512920960413_28548.331631528294,10
27599.256349392723_28705.00547769304,9
27600.73519491063_28570.651865273278,10
27601.178121238016_28538.27679781977,10
27602.285765082244_28691.494845291127,9
27602.711305973382_28544.677851331035,10
27603.484272448626_28707.587349279525,9
27603.59970606592_28541.32624009486,10
27605.361791427058_28570.488557965196,10
27606.174078183023_28694.686368122857,9
27606.941684696656_28541.012061205733,10
27606.995857659633_28564.55568301415,10
27607.448679010056_28568.45649721215,10
27607.778642295787_28710.068215729945,9
27609.454351226705_28562.503841279056,10
27609.82837167004_28530.02068485989,10
27610.20758832366_28697.638319605536,9
27611.20405713022_28537.334261152388,10
27612.139458934205_28712.448077044304,9
27612.166286121348_28533.670469037108,10
27614.38629550416_28700.350699739156,9
27614.679164226916_28711.64948805223,9
27614.824159711276_28562.30097200687,10
27615.39775817391_28707.672448753725,9
27615.436899381144_28533.66846584875,10
27616.11635212091_28703.69540945522,9
27618.456478934233_28521.776552773044,10
27618.690512387897_28702.878870368848,9
27619.64021144942_28530.014675294813,10
27620.646737967116_28526.050704269583,10
27623.120238974883_28705.22283149461,9
27627.636100113366_28707.363063043354,9
27628.9527271361_28718.428686874293,9
27630.15860049691_28720.96387044931,9
27631.187273740998_28715.16433852495,9
27632.23809580335_28709.299565015077,9
27633.421820345895_28711.89999017561,9
27634.80489382342_28722.769889250012,9
27636.933609084415_28711.01650958976,9
27639.48564180895_28724.43363473133,9
27641.72263995657_28712.51389676741,9
27644.200844453502_28725.955106893278,4
27646.553508483415_28713.8610770493,9
27648.97018956567_28727.359852717804,4
27651.426214664956_28715.058050435437,9
27653.237411353275_28656.047641753597,9
27653.79367714546_28728.64787220491,4
27656.306305166217_28716.164206719845,9
27658.346373517677_28657.51959723731,9
27658.66392445731_28729.85472692204,4
27661.193779987192_28717.179545902527,4
27663.177248038446_28658.84506298212,9
27663.580931501227_28730.980416869184,4
27666.091100127996_28718.11392159284,4
27667.730034915578_28660.02403898803,9
27668.525010645462_28732.027022658764,4
27670.99826558862_28718.967333790788,4
27672.410793323383_28661.105622410458,9
27673.496161890023_28732.994544290774,0
27675.944808049444_28719.781063198505,4
27677.219523261858_28662.0898132494,9
27678.50669019497_28733.934223470485,0
27680.930727510466_28720.555109816,4
27682.082395975372_28663.03621488884,9
27683.5565955603_28734.846060197902,4
27685.92403150795_28721.33503626824,4
27686.999411463927_28663.944827328785,9
27688.60650257294_28735.750003091154,4
27689.487580544945_28783.35208584919,4
27689.699229099428_28788.22531773242,6
27690.29477274692_28778.461466616718,6
27690.924720041898_28722.12084255523,4
27690.929718410367_28793.081162266415,11
27691.025674980097_28773.559428076856,6
27691.042766187587_28800.78095316859,9
27691.37756410642_28797.26637407847,9
27691.68028724448_28768.645970229594,4
27691.918889540975_28664.896840615933,9
27692.305367872483_28763.673476188455,4
27692.900916864113_28758.641945953437,4
27693.572756013702_28753.677102141388,8
27693.65641123289_28736.64605215024,4
27694.32088532124_28748.77894475231,4
27695.066553871977_28744.020918713275,4
27695.8097616659_28739.403024024283,4
27696.840830206507_28665.892254750288,9
27698.67186754261_28737.526501447846,4
27701.61026390442_28735.837041117302,4
27701.826757803683_28666.96822903065,9
27704.273031106633_28732.81900292669,4
27705.921627865864_28486.726440118582,10
27706.23908365483_28477.140389535427,10
27706.87667233249_28668.12476345701,9
27707.642101535217_28733.832745759843,4
27709.95049675209_28737.652537610156,5
27710.257850062106_28473.59620060878,10
27710.33168246735_28476.76886165048,10
27712.044715388998_28669.41484460051,9
27712.30564697249_28737.6969375942,5
27714.254468872445_28470.050162645173,10
27714.47596608817_28479.568145770267,10
27714.707552196425_28733.965945711978,5
27717.330886973195_28670.838472461142,9
27718.248627891862_28466.531767967364,10
27718.320259243315_28732.495808312582,5
27718.548869999842_28469.620313684594,10
27722.14461804002_28739.14708095971,5
27722.240327120366_28463.041016575353,10
27722.24299208815_28672.272030507193,9
27723.1410534443_28472.30665372705,10
27723.143768113172_28733.286525396026,5
27724.41855437874_28735.503616278398,5
27726.264020178096_28459.514575808244,10
27726.781030733866_28673.715518738663,9
27727.68893762299_28471.798470111517,10
27727.991888224955_28734.043560289156,5
27730.31970706506_28455.95244566603,10
27731.616848557496_28674.772575613588,9
27732.015588047543_28740.527979966908,5
27732.19252253591_28468.095762838002,10
27732.864619578664_28734.766912991978,5
27734.205852852865_28736.928386217896,5
27734.368012211555_28452.396279385815,10
27736.710874785582_28464.394952842034,10
27736.750445559046_28675.443201131966,9
27737.76442318664_28735.434862591166,5
27738.408935617575_28448.846076967588,10
27741.243994372013_28460.69604012362,10
27741.677322152493_28676.201780970292,9
27741.928400967725_28741.84155444781,5
27742.422789456945_28445.339437715666,10
27742.691299048878_28736.04740908673,5
27744.07929164257_28738.18297303894,5
27745.71312992817_28456.993532949673,10
27746.222802657616_28737.835815889448,5
27746.39747833783_28677.048315128563,9
27746.40957372966_28441.876361630035,10
27748.358934012853_28740.80008299934,5
27750.118281454048_28453.2874313202,10
27750.403742111303_28438.425088747048,10
27750.920812661287_28741.068325069016,0
27751.02171458354_28743.137883800882,5
27751.230840977718_28677.79951029519,9
27753.908438602914_28738.64054209849,5
27754.21114436968_28744.849218294075,5
27754.405294601882_28434.985619066694,10
27754.577575993495_28449.579066337967,10
27756.177410072152_28678.455366470167,9
27758.26683948655_28746.060506987982,0
27758.411770198316_28431.526393539287,10
27759.09101354651_28445.86843800297,10
27761.12644163808_28678.978992396107,9
27762.423168900612_28428.047412164826,10
27763.188799934152_28746.771749882595,5
27763.584764718584_28442.18752012598,10
27765.713763763713_28744.82997246163,5
27765.84173097523_28740.235174725087,5
27766.07793567551_28679.370388073,9
27766.41734186738_28424.560635053283,10
27768.058829509726_28438.53631270699,10
