id,cluster
26351.203218920688_42067.80573012123,8
26352.270567916854_42065.69599021915,8
26353.488594272632_42067.92733325562,8
26353.830582034476_42061.64888925043,8
26354.822186324644_42056.922319297315,8
26355.245380787364_42051.516280359814,9
26356.14347971465_42046.525050297685,9
26357.484661101807_42068.342918359835,8
26357.516483106505_42041.948629110935,9
26358.901788116917_42037.09899640108,9
26360.299394745885_42031.976152168114,9
26361.15345378993_42066.98896826182,8
26361.707114875808_42069.99026799331,8
26364.35686337682_42013.80380604539,9
26364.494972337005_42063.86548296158,8
26365.03104786527_42009.18804089818,8
26365.643716593986_42004.574626505484,9
26366.15595559463_42072.869382156045,8
26366.194869562976_41999.963562867284,10
26366.743702836284_42017.7976473722,9
26366.74602237649_41995.32083559369,10
26366.753807338995_42059.8241173268,9
26367.29717503453_41990.64644468468,9
26367.87539425513_41985.900643546505,9
26367.929958795903_42054.86487135749,9
26368.34990744592_42074.33891347915,8
26368.48068003829_41981.083432179155,9
26369.0839646248_42049.895866698345,9
26369.098268756665_41976.22062956606,10
26369.728160410257_41971.31223570722,10
26370.215824825675_42044.91710334936,9
26370.365433956445_41966.39390704711,10
26371.010089395237_41961.46564358573,10
26371.072313444616_42075.00742389329,8
26371.3181577628_42039.97216993223,9
26371.642441650598_41956.52756266186,10
26372.191566243662_42021.169564878626,9
26372.262490722525_41951.57966427549,10
26372.39096343616_42035.06106644696,9
26372.88746114198_41946.635700688515,10
26373.42439919147_42030.16801693619,9
26373.517352908955_41941.69567190093,10
26374.14724477502_41936.7635657131,10
26374.41846502872_42025.29302139996,9
26375.417452310172_42020.429877849296,9
26376.42136103582_42015.57858628423,9
26376.456188425764_42076.40439320503,9
26377.412966424698_42010.683829264366,9
26378.392268476808_42005.74560678971,9
26379.35434589659_42000.76196918161,9
26380.299198684046_41995.73291644006,9
26381.207142230312_41990.73575795034,10
26381.697347051268_42077.58646755242,9
26382.078176535393_41985.770493712436,10
26382.914762114146_41980.82127462902,9
26383.716898966573_41975.888100700104,10
26384.482126507464_41970.98088278208,10
26385.210444736822_41966.099620874964,10
26385.96336944416_41961.22613492738,10
26386.74090062949_41956.36042493933,10
