id,cluster
20207.978466213317_34545.92704015062,10
20213.022872617636_34545.917739948345,10
20218.093320392672_34545.91445298108,10
20223.18980953842_34545.91717924883,10
20227.589098884637_34231.36387442259,9
20228.244486114127_34545.93990756162,10
20232.147505502133_34232.33901921078,9
20233.257350119788_34545.98263791945,10
20236.797860409373_34232.80922280825,9
20238.252998965057_34546.06301930247,10
20241.540163606347_34232.77448521501,9
20243.23143264993_34546.181051710686,10
20246.46940331191_34232.65173011109,9
20247.463717417366_34544.8268736157,10
20250.94985326736_34542.00048501751,10
20251.585579526058_34232.44095749647,9
20254.43598911736_34539.17409641932,10
20256.743571481755_34232.19437391487,9
20261.943379179007_34231.9119793663,9
20267.07677394906_34231.53509554343,9
20268.68942519023_34549.19118890916,9
20268.974684500663_34546.822389056055,9
20271.473876645978_34551.574867356016,9
20272.14375579191_34231.06372244629,9
20272.329654577276_34544.468467796716,9
20273.490920441098_34554.659285789785,9
20274.74055657559_34558.44444421045,9
20275.68462465389_34542.114546537385,9
20275.99019271008_34562.229602631116,9
20276.66012677298_34594.06406058563,10
20276.681501421623_34566.92053548224,9
20276.68733303786_34599.38468870901,10
20276.68949403793_34588.754976897944,10
20276.748376591437_34583.40422539173,10
20276.771112832568_34604.71686126808,10
20276.81448271022_34572.517242763824,9
20276.83677443349_34578.01180606699,10
20276.879488608443_34610.01134653838,10
20277.012460365484_34615.26814451989,10
20277.17740777302_34620.50697835794,10
20277.195972312453_34230.27819252477,9
20277.374330831055_34625.72784805251,10
20277.586012056305_34630.94666340762,10
20277.602943793045_34533.2120978973,9
20277.735961021885_34540.08952773077,9
20277.789736567975_34528.056359079375,9
20277.80967987857_34537.51571843005,9
20277.812451448768_34636.16342442325,10
20277.99128775564_34522.90647196853,8
20278.048729378337_34641.37025282568,10
20278.207597356046_34517.76243656478,8
20278.294845845005_34646.56714861492,10
20278.364877884014_34512.755119878326,8
20278.463129339543_34507.88452190919,8
20278.56138079508_34503.01392394005,8
20278.575397660912_34651.746065962085,10
20278.76539547951_34497.996474297375,8
20278.890384826045_34656.90700486716,10
20279.07517339284_34492.83217298116,8
20279.21767017882_34662.056020439544,10
20279.389872457334_34487.729120199176,8
20279.45341663974_34951.90448059651,10
20279.55725371923_34667.19311267925,10
20279.70949267299_34482.687315951414,8
20279.923893667496_34672.318197734465,10
20280.019274758146_34477.6692907132,8
20280.31759002362_34677.43127560522,10
20280.319218712793_34472.67504448453,10
20280.619159468777_34467.56616939799,10
20280.750641584338_34682.54215916049,10
20280.919097026082_34462.3426654536,10
20281.223048349646_34687.65084840029,10
20281.245128469964_34947.958722086885,10
20281.248551414606_34457.1308590958,10
20281.607522634342_34451.930750324595,10
20281.707753025472_34692.73773123224,10
20281.96895685829_34446.84724409602,10
20282.204755611805_34697.80280765634,10
20282.233423510683_34229.17850577888,9
20282.332854086453_34441.88034041007,10
20282.68199121715_34436.84632685449,8
20283.01636825037_34431.74520342928,8
20283.202921541975_34943.34986107531,10
20283.34582567546_34426.63620798198,8
20283.67036349241_34421.519340512605,8
20284.00473666681_34416.277907882635,8
20284.348945198668_34410.91191009209,8
20284.710368661665_34405.4371176766,8
20285.005751338143_34938.65886659943,10
20285.0890070558_34399.853530636174,8
20285.399618179625_34395.14786935469,9
20285.64220203313_34391.32013383214,9
