id,cluster
26629.5629643692_40926.91999381524,10
26633.85684817824_40924.20935329379,10
26638.123665840598_40921.516684607566,10
26642.762047475626_40918.63185478377,10
26647.19865504378_40915.83924714623,10
26650.680644107546_40937.9811901225,10
26651.06192457239_40913.33102283252,10
26654.25344718599_40914.88528005558,10
26654.96223086437_40935.33393782849,10
26655.131892537305_40910.683062358745,10
26656.773222884585_40920.50201881542,10
26658.88205937371_40925.319781095175,10
26659.273347150265_40932.67661913928,10
26659.40855893852_40907.8953657249,10
26660.579956653382_40929.33856689484,10
26663.577082679425_40930.01934652269,10
26663.64339503464_40905.141558536925,10
26667.836400825658_40902.421640794826,10
26667.873437451846_40927.362119978745,10
26672.06139676733_40899.6758120707,10
26672.17471485472_40924.691015140445,10
26676.318382859656_40896.90407236457,10
26676.480914888038_40922.006032007805,10
26680.540920749663_40894.182008523385,10
26680.774812798845_40919.329039269855,10
26684.729010437353_40891.50962054715,10
26685.056408587134_40916.66003692659,10
26688.931865919516_40888.910362370916,10
26689.318320152404_40914.00104740338,10
26693.14948719615_40886.38423399468,10
26693.56054749465_40911.35207070022,10
26697.389256117887_40883.87776452965,10
26697.78801192474_40908.70318371654,10
26701.651172684727_40881.39095397584,10
26702.00071344267_40906.05438645234,10
26705.942618928682_40878.90199210266,10
26706.20603415488_40903.41157156866,10
26710.26359484976_40876.41087891012,10
26710.403974061373_40900.774739065484,10
26714.58469024453_40898.12415935268,10
26714.591954284526_40873.93753311847,10
26718.748182704356_40895.459832430264,10
26718.927697232983_40871.481954727686,10
26722.88953003486_40892.787723794325,10
26723.243755978197_40869.046282546304,10
26727.008732236038_40890.107833444876,10
26727.54013052017_40866.63051657431,10
26731.127935533783_40887.404200199264,10
26731.848809803167_40864.19687099397,10
26735.247139928088_40884.676824057504,10
26736.169793827183_40861.745345805284,10
26739.381109501413_40881.893957458786,10
26740.485857751955_40859.29187305887,10
26743.529844253753_40879.05560040312,10
26744.797001577477_40856.83645275475,10
26749.090921687875_40854.365306365115,10
26753.367618083154_40851.878433889986,10
26757.64923710619_40849.373725646336,10
26761.935778756986_40846.85118163416,10
26766.205096654754_40844.310932913475,10
26770.457190799494_40841.75297948426,10
26774.711746882753_40839.18314123781,10
26778.968764904537_40836.601418174134,10
26783.223323453727_40834.009818197825,10
26787.475422530333_40831.4083413089,10
26791.697994378697_40828.82089254424,10
26795.89103899883_40826.24747190383,10
26800.101309846475_40823.66603668297,10
26804.328806921643_40821.07658688164,10
26808.556305262067_40818.48713935335,10
26812.783804867755_40815.89769409809,10
27002.55019274943_40714.229753220134,10
27007.132097246646_40711.361292661255,10
27010.91205170143_40708.98475255984,10
27013.89005611378_40707.10013291589,10
27074.044330589146_40751.52630126299,9
27076.082614441766_40754.6075439149,9
27078.784544116123_40758.69142506945,10
27081.456945089954_40762.78735580935,10
27084.09981736327_40766.89533613459,10
27086.7353078265_40771.03106481008,10
27089.36341647965_40775.1945418358,10
27092.03828023761_40779.42304267005,10
27094.75989910038_40783.71656731285,10
27097.513508480526_40788.06135238793,10
27100.299108378047_40792.457397895305,10
27103.040414766605_40796.80819826898,10
27105.737427646203_40801.11375350892,10
27108.434440723853_40805.35995050508,10
27111.131453999566_40809.54678925743,10
27113.818624390915_40813.67037024678,10
27116.49595189791_40817.73069347311,10
27119.1535937445_40821.81685929515,10
27121.791549930687_40825.92886771288,10
27124.431967342705_40830.06460916303,10
27127.074845980555_40834.22408364561,10
27129.784166149773_40838.499913052525,10
27132.559927850372_40842.892097383796,9
27135.365219280946_40847.30587641084,10
27138.200040441494_40851.74125013368,9
27141.07915595497_40856.188237626295,9
27144.002565821364_40860.6468388887,9
27146.921054592058_40865.09953643514,10
27149.834622267055_40869.54633026563,10
27152.706357255774_40873.98743872151,0
27155.536259558223_40878.42286180278,0
27158.32186817772_40882.79720922911,8
27161.06318311427_40887.11048100049,8
27163.79711599463_40891.378288442174,8
27166.523666818794_40895.60063155415,8
27169.274825948734_40899.870322140574,8
27172.050593384458_40904.18736020145,5
27175.62857080361_40907.48455390379,5
27176.96723961882_40909.73636793035,5
27177.356052851363_40913.12169400022,5
27179.836529088596_40917.666067430655,0
27180.638764102314_40924.6819494694,0
27180.710076325748_40908.35679736825,5
27181.672309556452_40931.007867014974,0
27182.28255482044_40922.25022266231,0
27182.853489432764_40933.258642429035,0
27182.88299814126_40926.71074979082,0
27185.968854771323_40940.488418829176,9
27186.426537770203_40933.46307603299,9
27186.492899967445_40907.82393495333,5
27187.201710932954_40942.62808118925,9
27187.464992883055_40935.873001499705,9
27191.163561367946_40942.29198857995,9
27191.224967910246_40905.58369419197,0
27191.321072183_40949.24642467782,9
27192.53668178463_40944.498103076134,9
27192.68927148428_40951.381331678254,9
27194.906280154148_40901.63607508415,0
27196.64127968847_40950.90282407744,9
27197.185131735605_40957.57004179136,9
27198.139899772243_40952.96572744848,9
27198.449788153564_40897.17282403991,0
27198.568095890278_40959.62769241998,9
27201.855491908504_40892.19394105924,9
27202.28879223626_40959.13867933432,9
27202.886780964323_40965.627497232155,9
27203.72835392761_40961.13861427172,9
27204.247598548376_40967.697154467016,9
27205.66230738795_40888.364317284315,9
27207.81080667977_40967.347585976284,9
27208.581049839133_40973.74437050668,10
27209.255290443354_40969.36332465618,9
27209.87023459191_40885.68395271514,9
27209.96893644307_40975.81980675404,9
27213.418950255167_40975.58963339824,9
27214.021859899523_40981.803391781854,9
27214.033868920724_40882.99000143694,0
27214.76992474065_40977.584161740844,9
27215.451580082346_40983.83109254138,9
27218.153210374403_40880.28246344974,0
27219.059085289122_40983.66726401942,9
27219.910535051007_40990.25157211452,9
27220.545403612006_40985.80742387714,9
27221.369785064075_40992.27316443705,10
27222.2947000154_40877.5470946129,0
27224.923153651216_40991.87220084473,9
27225.865653561053_40998.806225610686,10
27226.42177648354_40994.04988790261,10
27226.458337843727_40874.783894926426,0
27227.300296246467_41000.83983905082,10
27230.649045506587_40872.00470779607,0
27230.72570453978_41000.150728223,10
27233.870591089548_41001.85563389728,10
27234.866823003988_40869.20953322182,0
27235.046867259163_41009.13457282538,10
27236.734955895772_41005.954556073644,10
27238.476732015497_40866.82545603881,0
27239.459081289053_41018.622485745174,10
27239.62146823584_41010.055328710914,10
27241.478772541115_40864.852476247026,0
27242.47599912749_41017.01367082051,10
27242.530128109753_41014.15795180909,10
27245.419102076103_41018.231012323726,10
27246.93251584086_41028.87787142965,10
27248.288390134883_41022.27451025482,10
27248.389307491074_41030.927195159136,10
27248.792861389804_41025.82346329013,10
27253.136181951268_41037.156054518025,10
27253.163236340446_41031.971434478575,10
27254.588052472267_41039.19551616715,10
27254.745527827177_41034.04772093154,10
27259.101139390168_41040.16610587892,10
27259.386606215092_41045.79807222732,10
27260.700657304445_41042.36695789897,10
27260.81633005223_41047.819858546995,10
27264.98982881586_41048.43231685801,10
27265.386032024377_41054.370351769554,10
