id,cluster
30634.130514883727_34564.50236721112,10
30637.366717387446_34565.2984305518,10
30640.609191197385_34566.12038363148,10
30643.85166500732_34566.94233671116,10
30647.10726725031_34567.769483867756,10
30650.37599792635_34568.601825101265,10
30652.302840117525_34494.236100938215,2
30652.703750099558_34624.29806947597,10
30653.644728602387_34569.43416633477,10
30656.126857705833_34625.19197334022,10
30656.164731346453_34493.52432808396,11
30656.931510576313_34570.26772223742,10
30659.620461314636_34626.11880092464,10
30659.777637983574_34492.88625757351,2
30660.236343848126_34571.102492809194,10
30663.14156002889_34492.32188940687,9
30663.18456092597_34627.07855222924,10
30663.54117711994_34571.937263380976,10
30666.5054820742_34491.75752124024,9
30666.748660537298_34628.03830353384,10
30666.85093440754_34572.75620001523,10
30669.941604001353_34491.44695108605,9
30670.165615710925_34573.55930271197,10
30670.32752956599_34629.02168009651,10
30673.449925810346_34491.39017894432,9
30673.48029701431_34574.362405408705,10
30673.531061455033_34439.871564123096,4
30673.921168012042_34630.02868191725,10
30676.778570124687_34575.15374666394,10
30676.824659343074_34439.69800471246,4
30676.958247619343_34491.33340680259,9
30677.5148064581_34631.035683737995,10
30680.060435042047_34575.933326477694,10
30680.118257231115_34439.524445301824,8
30680.39108101474_34491.94221605206,9
30681.088754806857_34632.052017467795,10
30683.34229995941_34576.71290629143,10
30683.42896560951_34439.590240216545,4
30683.748425996535_34493.21660669274,9
30684.643013058314_34633.077683106676,10
30686.622524862476_34577.50434975854,10
30686.756784478253_34439.89538945664,4
30687.105770978334_34494.490997333414,9
30688.19727130977_34634.10334874554,10
30689.641004230285_34496.024256885954,4
30689.847698214253_34502.590331597065,9
30689.901109751234_34578.30765687901,10
30690.084603347_34440.20053869672,4
30690.26363608179_34506.66978580827,4
30690.280942732308_34498.81032461112,4
30691.528756334916_34511.04868724475,4
30691.720352924585_34635.131825618715,10
30693.17969464_34579.11096399948,10
30693.69394665177_34513.88143143836,9
30693.931788899463_34439.63542109484,4
30695.212257902753_34636.16311372619,10
30696.441871046733_34579.9275357295,10
30696.75920703235_34515.168018389115,4
30698.29834113564_34438.20003665099,4
30698.70416288092_34637.19440183366,10
30699.687638971438_34580.75737206907,10
30699.82446741293_34516.45460533986,9
30700.727746055323_34438.715748709576,4
30701.220003658516_34441.18255727059,4
30702.16653227563_34638.2100513949,10
30702.933406896143_34581.58720840863,10
30703.066044005405_34442.9087156975,4
30703.071881369655_34516.893237334276,9
30703.567613244268_34499.75049569261,9
30705.599366086888_34639.210062409904,10
30706.162766227757_34582.438212334644,10
30706.265867095994_34443.894223990304,4
30706.50144890252_34516.48391437235,9
30706.570521264075_34500.91098818611,9
30709.032199898145_34640.21007342491,10
30709.37571696627_34583.310383847114,10
30709.46569018658_34444.87973228311,4
30709.573429283886_34502.0714806796,9
30709.931016435385_34516.074591410434,9
30710.801604218756_34425.69097946273,8
30712.065897121833_34514.22375775222,9
30712.12988078741_34598.77866350669,10
30712.419598543056_34422.968555156316,8
30712.43385701506_34641.20630980313,10
30712.588667704786_34584.18255535957,10
30712.62063250785_34504.32231189613,9
30712.645822297192_34445.932525316486,4
30712.906090961864_34510.9314133977,9
30713.746284801895_34507.63906904318,9
30713.90699499094_34601.15923452507,10
30714.037592867357_34420.24613084989,9
30715.75240340709_34417.487598868676,9
30715.80433743764_34642.19877154454,10
30715.806263427825_34447.05260309046,4
30715.821310637148_34585.063835201145,10
30716.35116912277_34601.77167760083,10
30717.564030162248_34414.69295921267,9
30718.966704558465_34448.172680864416,8
30719.073645763357_34585.954223371824,10
30719.174817860217_34643.19123328596,10
30719.375656917415_34411.89831955666,9
30719.462403182886_34600.615992733976,10
30721.315276842077_34409.17539865358,9
30722.01241675136_34601.40762852622,10
30722.110737019088_34449.31260848518,4
30722.325980889567_34586.8446115425,10
30722.52232626741_34644.17592229449,10
30723.255681203835_34493.061088315284,9
30723.382889936234_34406.52419650342,9
30724.001209828188_34604.14658497754,10
30724.46016303006_34489.95899711376,9
30725.238360809693_34450.47238595273,9
30725.4505030304_34403.872994353274,9
30725.58159906056_34587.72049224322,10
30725.664644856286_34486.856905912224,9
30725.846862659222_34645.15283857014,10
30726.47738413098_34604.73118588186,10
30726.88061392157_34483.70865369289,9
30727.33842897346_34401.65745772814,9
30728.108070225913_34480.51424045575,9
30728.365984600307_34451.63216342029,8
30728.840500276332_34588.58186547397,10
30729.046667765433_34399.87758662805,9
30729.171399051032_34646.12975484579,10
30729.335526530253_34477.319827218605,9
30729.440939659744_34603.16143123915,10
30730.633544180673_34474.063112889926,9
30731.110172905563_34397.91394330119,9
30731.491968233877_34452.80643855981,9
30731.93434220699_34603.97116996383,10
30732.002123177168_34470.74409746971,9
30732.099401492105_34589.44323870473,10
30732.46968147825_34647.10155137526,10
30733.37070217367_34467.425082049485,9
30733.52894439386_34395.766527747575,9
30733.957591772727_34607.16040205587,10
30734.616311710415_34453.99521137131,9
30734.9296308808_34464.101040380905,9
30735.32548468583_34590.32323832925,10
30735.741709940878_34648.068228158554,10
30735.947715882157_34393.61911219396,9
30736.468228003934_34607.6894863306,10
30736.67890929857_34460.77197246396,9
30737.740655186954_34455.183984182804,9
30738.41735656056_34391.54385110643,8
30738.428187716338_34457.442904547024,9
30738.518749857496_34591.22186434753,10
30739.013738403508_34649.03490494185,10
30739.46625090062_34605.558422787995,10
30740.86828142775_34456.37800692038,4
30740.937866429074_34389.540744484955,8
30741.712015029163_34592.12049036581,10
30741.937502185392_34606.3801416834,10
30742.2595127432_34650.00699941315,10
30743.45837629759_34387.5376378635,8
30743.881981858263_34610.154643016824,10
30743.999190432813_34457.577279584024,4
30744.87410254291_34593.08910280949,10
30745.479032959956_34650.98451157244,10
30746.00350103474_34385.53439366831,8
30746.360621471344_34610.66810271358,10
30747.13009943787_34458.77655224767,8
30748.005012398735_34594.127701678575,10
30748.573240640526_34383.53101189941,8
30748.69855317671_34651.96202373173,10
30749.373421024633_34607.920520773674,10
30750.242958787807_34459.99436700799,8
30751.135922254558_34595.16630054766,10
30751.142980246314_34381.527630130506,8
30751.537824278264_34608.049834248945,10
30751.895101150592_34652.94098342638,10
30752.853831232234_34611.0560431394,10
30753.2666522134_34379.876943204494,8
30753.337768482616_34461.230723864974,8
30754.1698381862_34614.06225202985,10
30754.245500138313_34596.266927081895,10
30755.06867688161_34653.92139065638,10
30756.272710125264_34613.88369716549,10
30756.432578177424_34462.46708072196,8
30756.51308577289_34616.16959309403,10
30757.333746049997_34597.429581281285,10
30758.242252612617_34654.90179788638,10
30759.16244704942_34610.52037854631,10
30759.527388714945_34463.710023264255,8
30759.8835739923_34617.378066331956,10
30760.421991961677_34598.592235480675,10
30760.83378207917_34607.227859793995,10
30761.28671521451_34604.00614090855,10
30761.404342690905_34655.882270277805,10
30761.73964834985_34600.7844220231,10
30762.622200095167_34464.95955149187,8
30763.254062211712_34618.58653956988,10
30763.497110427845_34599.832676835584,10
30764.55494711647_34656.86280783065,10
30765.717011475397_34466.20907971948,8
30766.559101448496_34601.15090534602,10
30767.70555154203_34657.8433453835,10
30768.81182373539_34467.46124226826,8
30769.621092469144_34602.46913385645,10
30770.866002527633_34658.83041290552,10
30771.906636875152_34468.71603913822,9
30772.665033505917_34603.83224848385,10
30774.036300073276_34659.82401039669,10
30775.001450014912_34469.97083600818,8
30775.690924558814_34605.24024922822,10
30777.206597618915_34660.81760788786,10
30778.10939171776_34471.218972900846,8
30778.71681561171_34606.64824997259,10
30780.126363305404_34609.15076741511,10
30780.39822833964_34661.82162168461,10
30781.230461983694_34472.46044981623,9
30783.611192235447_34662.83605178694,10
30784.351532249628_34473.701926731614,9
30786.82415613125_34663.85048188926,10
30787.47260343812_34474.94340371135,10
30790.045325785683_34664.862231016225,10
30790.593675549168_34476.18488075545,10
30793.27470119874_34665.87129916782,10
30793.714747660215_34477.42635779954,10
30796.5040766118_34666.88036731942,10
30796.845666476478_34478.6598763272,10
30799.710479687554_34667.89351739259,10
30799.98643199796_34479.88543633843,10
30802.893910426_34668.910749387345,10
30803.127197519443_34481.11099634966,10
30806.077341164444_34669.9279813821,10
30806.28437373564_34482.312755089646,10
30809.249286190996_34670.94791291837,10
30809.45796064656_34483.49071255839,10
30812.409745505647_34671.97054399617,10
30812.631547557477_34484.66867002714,10
30815.5702048203_34672.99317507396,10
30815.79693101337_34485.81242872998,10
30818.715896564303_34674.01193842247,10
30818.954111014245_34486.9219886669,10
30821.846820737654_34675.02683404169,10
30822.111291015113_34488.03154860382,10
30824.977744911004_34676.04172966091,10
30825.278317715703_34489.13841846165,10
30828.12179754999_34677.06577099972,10
30828.45519111601_34490.242598240366,0
30831.278978654605_34678.09895805811,10
30831.632064516314_34491.346778019084,0
30834.436159759218_34679.13214511651,10
30834.805656927998_34492.45492779087,8
30837.60975120004_34680.17972799673,10
30837.975968351064_34493.56704755573,8
30840.799752977073_34681.24170669877,10
30841.14627977413_34494.67916732058,8
30843.989754754108_34682.30368540081,10
30844.30838743344_34495.78606509595,8
30847.184680301332_34683.37222205066,10
30847.462291329_34496.887740881815,8
30850.384529618746_34684.44731664832,10
30850.616195224564_34497.98941666768,8
30853.384476716135_34498.950370589046,8
30853.58437893616_34685.522411245984,10
30855.767135803726_34499.7706026459,8
30856.794074717316_34686.62115923445,10
30858.546905569085_34500.71700300409,6
30860.013616962213_34687.7435606137,10
30861.72378601221_34501.78957166363,11
30863.23315920711_34688.86596199297,10
30864.900666455345_34502.86214032315,11
30866.457625020943_34690.01599629049,10
30868.082470903402_34503.91887549221,2
30869.47428936379_34476.36988859331,2
30869.47753486606_34479.86287935586,4
30869.48078036833_34483.35587011842,4
30869.68701440372_34691.193663506274,10
30870.101170709913_34472.96289367379,2
30870.590036686805_34486.33549989925,6
30871.269199356386_34504.95977717078,2
30871.358178904436_34469.64189459731,2
30872.61518709896_34466.32089552083,2
30872.805303821486_34488.801768698366,6
30872.916403786498_34692.37133072205,10
30873.814760887697_34463.10164399269,2
30874.455927809373_34506.00067884935,3
30874.95690027065_34459.984140012886,11
30875.020570956167_34491.26803749748,11
30876.0990396536_34456.86663603308,11
30876.15071691181_34693.560824669905,10
30877.403640736833_34453.11270722932,11
30877.65921246593_34493.10758873814,2
30877.673835549915_34507.03218378396,3
30878.87070352035_34448.722353601595,11
30879.389953779653_34694.76214534983,10
30880.416532039148_34444.373046061606,6
30880.721228350783_34494.32042242034,2
30880.922922578015_34508.05429197461,3
30881.48483935134_34440.25167768187,6
30881.99685972164_34436.31720237466,4
