id,cluster
27037.037633720185_29925.537727471572,10
27038.525309621557_29924.733603507673,10
27038.903437485493_29904.483414317176,6
27041.335505598443_29896.0955409181,5
27041.488170519726_29923.132880683675,10
27042.04586379748_29893.658395805884,11
27042.73327945585_29898.893532298775,5
27042.85443932314_29903.554817685577,5
27044.131053313256_29901.691523679445,5
27044.451031417895_29921.53215785968,10
27044.864354052974_29891.58209696212,11
27045.147396404114_29904.90088235551,5
27045.782308728427_29908.52160832697,5
27045.960345704247_29918.998492258517,5
27046.01611337878_29915.53188388019,5
27046.071881053314_29912.065275501864,5
27046.680564945338_29921.825219358143,10
27047.68284430846_29889.505798118356,11
27048.720615611353_29922.72006964856,10
27050.543991393402_29887.77536829991,11
27051.14180900112_29851.650957469756,7
27051.304510786656_29922.32292440848,10
27053.4477953078_29886.390807506774,6
27054.071328839458_29921.537217069777,10
27054.55257895294_29849.36550945371,7
27056.351599222195_29885.006246713645,6
27057.021069769748_29920.362947632464,10
27057.706584793497_29847.26865512512,3
27059.32102697509_29883.654225957056,5
27059.970810700037_29919.18867819515,10
27060.362849064782_29901.699757025428,5
27060.60382652279_29845.360394483985,3
27062.35607856648_29882.334745237014,5
27062.36275482515_29916.959423892207,10
27063.493058800294_29901.898385860914,5
27063.501068252088_29843.452133842853,3
27064.19690214508_29913.67518472364,10
27065.391130157874_29881.01526451697,5
27066.031049465008_29910.390945555075,0
27066.42620060237_29841.54372191348,3
27066.623268535805_29902.097014696403,5
27067.25818569462_29907.11070175663,5
27067.878310833916_29903.83445332831,5
27069.359742297333_29902.44058970096,5
27069.37922357364_29839.635158695866,2
27071.702480084874_29902.929110874582,5
27072.332246544913_29837.726595478252,2
27074.374974356455_29903.704678354392,0
27075.22128793463_29835.77101084497,2
27077.377225112083_29904.767292140386,10
27078.0463477428_29833.768404796014,2
27080.0939160886_29875.02449747441,5
27080.379475867703_29905.82990592638,10
27080.871407550963_29831.76579874706,2
27082.069135341924_29865.66105943587,5
27082.761484058552_29873.920225969876,5
27082.879588422566_29868.743871748564,5
27083.25540457956_29907.288007702457,10
27083.278231063017_29863.469913840232,5
27083.690041503207_29871.826684061263,5
27084.328911881552_29830.54995453467,11
27086.005011247646_29909.141597468617,10
27086.50687558585_29862.17043496165,5
27087.758194986527_29798.679742598968,0
27087.954137640998_29802.41469182056,8
27088.153068815715_29824.346599865028,8
27088.191563400287_29806.036879850668,8
27088.367153531708_29821.181210164643,8
27088.41886073457_29830.12087215885,6
27088.470472264395_29809.5463066893,8
27088.749381128502_29813.055733527934,8
27088.754617915733_29910.995187234774,10
27089.004500094456_29816.075101251994,8
27089.23582916226_29818.604409861484,8
27089.69357971262_29828.053087268967,6
27089.73552010868_29860.870956083065,5
27090.665631143835_29831.577806320838,6
27091.06922310934_29834.92075702065,4
27091.15970599199_29913.266520423374,10
27091.472815074856_29838.263707720456,5
27091.894453382985_29841.6144586733,5
27092.334138033733_29844.97300987918,5
27092.77382268448_29848.331561085062,5
27092.890341460145_29860.185123095536,5
27093.220275476426_29915.955597034415,10
27093.23319426658_29851.700535497883,5
27093.712252780024_29855.07993311765,5
27094.19131129347_29858.459330737416,5
27094.457094498186_29861.638559898885,5
27094.509602394166_29864.617620602065,5
27094.56211029015_29867.596681305244,5
27095.04608927368_29870.579955011715,10
27095.28084496086_29918.644673645456,10
27095.96153934476_29873.56744172149,10
27096.07223287287_29859.28924610243,5
27096.650590591376_29876.69171908232,10
27097.113243013533_29879.952787094204,10
27097.25117525784_29918.829932494322,10
27097.57589543569_29883.213855106093,10
27098.038547789343_29886.45255489496,10
27098.07310889581_29920.62897112575,10
27098.501200074505_29889.668886460804,10
27098.96385235966_29892.885218026648,10
27099.131266367363_29916.51137358101,10
27099.35501751822_29857.569679212706,5
27099.423223281217_29896.031824043515,10
27099.879312839174_29899.108704511396,10
27100.33540239713_29902.185584979285,10
27100.794773152033_29905.275610212862,10
27101.011357476887_29914.1928146677,10
27101.25742510388_29908.378780212133,10
27101.59706728127_29921.908489475292,10
27101.60998956178_29858.1488249283,5
27101.720077055725_29911.481950211404,10
27101.786572383247_29927.892545181712,10
27102.133561611947_29930.296917058633,10
