id,cluster
18049.893419875363_35865.08225119334,5
18051.438881477417_35864.277196646064,5
18052.400933043195_35862.574545483105,5
18052.779574572698_35859.97429770448,5
18054.3067731896_35858.76274585285,5
18056.982528893903_35858.93988992824,5
18059.6582845982_35859.117034003626,5
18061.610954329222_35858.096159707355,5
18062.840538086966_35855.877267039425,5
18064.070121844707_35853.6583743715,9
18065.946566868417_35853.010313916486,0
18068.4698731581_35853.933085674376,0
18070.31516764289_35853.3010228337,9
18071.482450322786_35851.11412539445,0
18072.64973300268_35848.9272279552,9
18074.539293879978_35848.23164032825,5
18077.15113295468_35849.027362513596,5
18078.94724094482_35848.3692191991,5
18079.9276178504_35846.25721038475,5
18080.907994755984_35844.14520157041,5
18082.373725662394_35843.28265754062,5
18084.32481056963_35843.6695782954,5
18086.275895476865_35844.05649905017,5
18087.672765858966_35843.20753197005,5
18088.515421715925_35841.12267705504,5
18089.358077572884_35839.03782214003,0
18090.813971196905_35838.15160929967,0
18092.883102587984_35838.46403853395,0
18094.952233979064_35838.776467768235,0
18096.347464730778_35837.90246681514,0
18097.068794843122_35835.84203567467,0
18097.790124955467_35833.781604534204,0
18099.218146919175_35832.8929164259,0
18101.352860734238_35833.17597134976,0
18103.4875745493_35833.45902627363,0
18104.89756081447_35832.54803451597,0
18105.582819529733_35830.442996076774,0
18106.268078244997_35828.33795763759,0
18107.694460760053_35827.42819024729,0
18109.861967074896_35827.713693905855,0
18112.02947338974_35827.99919756444,0
18113.43618129674_35827.085589942864,0
18114.0820907959_35824.972871041144,0
18114.728000295057_35822.86015213943,0
18116.052719981602_35821.64647764928,0
18118.05624985553_35821.33184757069,0
18119.430868402083_35817.15010058919,0
18119.92882861358_35815.600088380765,0
18120.059779729458_35821.0172174921,0
18120.517985911643_35819.623301831605,0
18122.01186654614_35814.97326520631,0
18124.094904478698_35814.346442031856,0
18126.177942411257_35813.7196188574,0
18127.854005033812_35814.339773946456,0
18128.2105495316_35812.68083772636,0
18129.12309234636_35816.206907299,0
18130.192725839723_35811.23009863872,5
18131.02234512101_35833.92667358373,9
18131.80995834244_35851.16152586163,9
18132.17490214785_35809.77935955109,5
18132.822647969104_35835.72552795902,9
18133.924933057693_35849.537994228725,9
18134.157078455974_35808.32862046345,5
18134.622950817196_35837.524382334304,9
18135.854033924654_35808.60363330396,5
18136.039907772945_35847.91446259582,9
18136.42325366529_35839.32323670959,9
18137.265768553894_35810.60439807261,5
18137.869412858003_35841.15871871971,9
18138.154882488197_35846.29093096292,9
18138.961428395334_35843.030828364645,9
18138.987319986696_35810.92870091194,5
18139.35990300491_35844.72302416679,9
18140.023983879026_35846.3365902781,8
18141.018688223063_35809.57654182196,0
18141.647211945427_35848.05144054137,8
18143.050056459433_35808.224382731976,0
18143.270440011827_35849.76629080464,8
18143.861445322833_35802.863506724665,5
18144.893668078228_35851.48114106791,8
18145.0814246958_35806.87222364199,5
18145.351887650268_35805.085264972884,5
18146.51690560589_35853.44907674555,8
18147.131238535403_35805.517983091784,5
18148.140152594813_35855.67009783756,8
18149.199497978236_35804.16166108136,0
18149.763399583735_35857.891118929576,8
18151.267757421072_35802.805339070925,5
18151.386646572657_35860.112140021585,8
18151.68931031754_35796.60111953921,5
18152.76164482465_35798.26901414564,5
18152.90856284562_35862.16607373791,8
18153.336016863905_35801.4490170605,5
18153.833979331765_35799.93690875207,5
18154.329148402627_35864.052920078546,8
18155.403047462944_35800.09863488492,5
18155.74973395963_35865.93976641918,8
18157.170319516637_35867.82661275982,8
18157.468849218185_35798.75419254419,5
18158.590905073645_35869.71345910045,8
18159.534650973426_35797.40975020346,5
18159.673775152787_35790.80973924759,5
18160.11036181196_35871.74467208968,8
18160.857606534188_35792.6430782255,0
18161.600452728668_35796.06530786273,5
18161.72868973158_35873.9202517275,8
18162.041437915588_35794.476417203405,0
18163.347017651206_35876.09583136532,8
18163.647810063412_35794.72294938063,0
18164.965345570825_35878.27141100314,8
18165.676722977656_35793.382674757166,0
18166.39921942321_35880.35412893952,8
18167.648639208353_35882.34398517447,8
18167.7056358919_35792.0424001337,5
18167.813999974875_35784.9278466518,0
18168.898058993494_35884.333841409425,8
18168.98800209023_35786.96950327048,0
18169.734548806144_35790.70212551024,0
18170.14747877864_35886.32369764437,8
18170.162004205587_35789.01115988917,0
18171.329272149535_35888.465200839826,8
18171.75116510478_35789.34907066107,0
18172.443439106184_35890.758350995784,8
18173.557606062837_35893.05150115174,8
18173.755484787802_35787.983235586194,0
18174.671773019487_35895.3446513077,8
18175.748310742205_35897.60025364084,8
18175.75980447082_35786.61740051131,0
18176.118179566394_35778.86312674787,0
18176.78721923099_35899.81830815117,8
18177.17742133798_35781.14533520832,0
18177.764124153844_35785.25156543644,0
18177.826127719778_35902.03636266149,8
18178.236663109565_35783.427543668775,0
18178.865036208565_35904.25441717182,8
18179.770903231474_35783.8708886361,0
18179.90394469735_35906.472471682144,8
18181.78014170371_35782.47537011029,0
18183.78938017595_35781.07985158449,0
18184.286280381057_35772.80578723186,0
18185.293063382356_35775.278101857424,0
18185.798618648187_35779.68433305868,0
18186.299846383656_35777.75041648299,0
18187.80416846258_35778.2829053467,0
18189.806029619132_35776.875568448544,0
18191.80789077568_35775.46823155039,0
18192.02152930318_35766.44611860207,0
18192.81843021956_35768.42072077381,0
18193.615331135938_35770.39532294555,0
18193.809751932233_35774.06089465223,0
18194.412232052317_35772.36992511729,0
18195.794397630794_35772.63784002714,0
18197.761827871374_35771.19906767511,0
18199.72925811195_35769.76029532307,0
18199.779331252787_35760.21419117141,0
18200.60820902994_35762.32503277816,0
18201.43708680709_35764.4358743849,0
18201.69668835253_35768.32152297103,0
18202.265964584243_35766.546715991644,0
18203.655511129356_35766.87489245073,0
18205.605726442434_35765.42040376216,0
18207.55594175551_35763.96591507358,0
18207.580171768623_35753.856479390575,0
18208.161738372248_35751.882902439545,0
18208.40905547048_35756.121537290615,0
18209.237939172337_35758.38659519066,0
18209.506157068587_35762.51142638501,0
18210.066822874196_35760.6516530907,0
18210.153755281346_35750.20080643754,0
18211.44776579226_35761.073794218995,0
18212.14577219045_35748.518710435535,0
18213.380767926534_35759.653018575525,0
18214.13778909955_35746.83661443353,0
18215.31377006081_35758.23224293206,0
18216.167925972903_35745.13650780002,0
18217.24677219508_35756.81146728859,0
18218.236182810502_35743.41839053504,0
18219.19084140721_35755.37481231834,0
18220.304439648102_35741.700273270035,5
18221.145977697197_35753.9222780213,0
18222.3726964857_35739.98215600505,5
18223.101113987177_35752.46974372426,0
18224.416362389256_35738.3205302314,5
18225.056250277165_35751.01720942722,4
18226.435437358767_35736.71539594912,5
18227.027372912118_35749.563596518776,0
18228.454512328277_35735.110261666836,5
18229.014481892053_35748.10890499893,4
18230.473587297787_35733.50512738455,5
18231.00159087198_35746.654213479094,0
18232.469301038407_35731.95845441622,5
18232.988699851914_35745.19952195925,0
18234.441653550133_35730.47024276185,5
18235.09387152955_35744.104000901614,0
18236.414006061863_35728.98203110748,5
18237.3171059049_35743.367650306194,0
18238.38635857359_35727.493819453106,5
18239.54034028024_35742.631299710774,0
18240.38084627551_35726.02031102914,5
18241.76357465559_35741.894949115354,0
18242.39746916762_35724.56150583559,0
18243.957294681248_35741.08086755435,0
18244.441144025463_35723.062015412615,0
18246.12150035722_35740.18905502776,0
18246.511870849034_35721.521839760215,0
18248.285706033195_35739.29724250118,0
18248.582597672605_35719.981664107814,0
18250.449911709173_35738.40542997459,0
18250.653324496176_35718.44148845541,0
18252.614117385147_35737.513617448014,0
18252.76340089317_35716.8773636409,0
18253.79782804432_35735.785930380094,0
18254.001043686687_35733.22236877085,0
18254.20425932906_35730.658807161606,0
18254.37381120584_35738.094929128965,0
18254.91282686359_35715.289289664266,0
18255.72899317126_35740.14936501747,0
18257.062252834014_35713.70121568763,0
18257.08417513668_35742.20380090596,0
18258.439357102096_35744.25823679446,0
18259.211678804433_35712.113141710994,0
18259.86463084568_35746.30377180229,0
18260.54712694487_35712.51379196734,0
18261.068597255326_35714.90316645667,0
18261.35999636743_35748.340405929455,0
18261.59006756578_35717.292540946,0
18262.111537876233_35719.68191543533,0
18262.855361889186_35750.37704005661,0
18263.488794868936_35720.05069196635,0
18264.35072741094_35752.41367418377,0
18265.721838543875_35718.398870539066,0
18265.84609293269_35754.45030831094,0
18266.74629963198_35756.684109619695,0
18267.051347508805_35759.11507811005,0
18267.35639538563_35761.5460466004,0
18267.661443262456_35763.97701509076,0
18267.954882218823_35716.74704911178,0
18267.96649113928_35766.40798358111,0
18268.87038716454_35768.64038364109,4
18270.187925893762_35715.09522768449,0
18270.288413099286_35705.382896087605,0
18270.373131338238_35770.67421527069,4
18270.578708708414_35707.92187348282,0
18270.869004317545_35710.46085087803,0
18271.159299926672_35712.99982827324,0
18271.875875511938_35772.708046900276,4
18272.40498666522_35713.50676806525,0
18273.378619685634_35774.74187852987,4
18274.60606453319_35711.981670254056,0
18274.845702443185_35776.75120065842,4
18276.27712378458_35778.736013285925,4
18276.807142401158_35710.456572442854,0
18277.708545125985_35780.720825913435,4
18279.008220269126_35708.93147463166,0
18279.13996646738_35782.70563854094,4
18280.523983429004_35696.69120251873,0
18280.543104205422_35784.658979259126,8
18281.195773582167_35707.44204422735,0
18281.917958340102_35786.58084806799,8
18282.496348082645_35695.35129310987,0
18283.292812474785_35788.502716876865,5
18283.36980234028_35705.98828122992,0
18284.46871273629_35694.01138370101,5
18284.667666609465_35790.42458568573,5
18285.543831098392_35704.534518232496,0
18286.44107738993_35692.67147429215,5
18286.57821922572_35791.39434396523,8
18287.717859856504_35703.08075523507,0
18288.473697980215_35691.35494742436,5
18289.02447032355_35791.411991715344,8
18289.882053681155_35701.67944408424,0
18290.56657450714_35690.06180309765,5
18291.470721421385_35791.42963946547,8
18292.036412572343_35700.330584780015,5
18292.46497967259_35787.335142329684,8
18292.617557871064_35790.07068967025,8
18292.659451034066_35688.768658770925,5
18293.441530419477_35792.43662070221,8
