id,cluster
20514.050562698438_35643.778677817085,4
20514.09214644813_35621.9140969074,4
20514.124050490223_35619.27074107095,4
20514.128713857648_35624.880295622264,4
20514.155954532314_35616.627385234504,4
20514.18785857441_35613.98402939805,4
20514.233752718785_35628.16933721555,4
20514.338791579918_35631.458378808835,4
20514.469425185544_35611.32343535317,8
20514.47990523284_35634.69977095339,4
20514.65709367756_35637.89351364922,4
20514.83428212228_35641.08725634505,4
20515.00065436572_35608.645603099874,6
20515.26411319653_35601.76412667949,8
20515.531883545893_35605.96777084657,4
20515.562812279146_35598.68653047068,8
20516.063112726068_35603.28993859327,4
20516.18111692494_35600.99107451645,8
20517.674203077248_35601.96903871732,4
20520.365154599433_35602.00507121874,4
20523.056106121618_35602.04110372014,4
20525.747057643803_35602.07713622156,4
20528.638895315515_35602.35913838702,4
20531.731619136757_35602.88711021654,6
20534.824342957996_35603.41508204606,6
20537.273454449558_35604.61592277093,4
20539.07895361144_35606.48963239114,6
20540.884452773324_35608.363342011355,11
20542.689951935205_35610.237051631564,11
20544.035486866018_35612.356553269085,3
20544.921057565763_35614.72184692393,3
20545.80662826551_35617.08714057876,2
20546.692198965255_35619.45243423361,6
20547.1875034827_35622.27300907036,11
20547.292541817842_35625.54886508905,6
20547.39758015299_35628.824721107725,6
20547.745305936638_35631.8497694494,4
20548.33571916879_35634.624010114065,4
20548.92613240094_35637.39825077874,4
20549.51654563309_35640.1724914434,4
20550.105324430635_35643.143451220116,8
20550.69246879357_35646.311130108865,8
20551.27961315651_35649.47880899762,8
20551.7589348757_35652.497847023056,8
20552.13043395114_35655.36824418517,8
20552.501933026582_35658.23864134728,8
20552.873432102024_35661.10903850939,8
20553.06905985379_35663.98242098428,8
20553.08881628188_35666.85878877194,8
20553.10857270997_35669.735156559604,8
20553.12832913806_35672.61152434727,8
20556.329849891263_35708.66303596734,9
20558.945870751115_35708.90946240152,9
20561.561891610963_35709.155888835696,9
20584.463692986184_35464.655026788656,12
20587.567342753486_35465.44804487,1
20590.67099252079_35466.24106295134,1
20593.48344709422_35466.94470180235,1
20596.00470647377_35467.558961423034,7
20598.52596585332_35468.17322104371,1
20601.047225232873_35468.787480664396,7
20603.542658050363_35469.40188757893,3
20606.012264305788_35470.01644178733,2
20608.481870561212_35470.630995995736,11
20610.951476816637_35471.245550204134,11
20613.745773735784_35471.95643636179,4
20616.86476131864_35472.763654468705,4
20618.86318069173_35756.388624572,0
20619.983748901504_35473.57087257562,4
20621.6996742297_35755.71243065585,0
20623.107656508797_35474.362247548714,8
20624.18155034817_35755.243533267436,0
20626.23648414053_35475.137779387995,8
20626.66342646664_35754.77463587903,0
20629.145302585108_35754.30573849062,0
20629.36531177226_35475.91331122727,8
20632.02442738181_35753.75483164555,0
20632.451503849225_35476.66141004326,8
20635.300800856738_35753.12191534382,0
20635.495060371428_35477.382075835994,8
20638.53861689363_35478.10274162871,8
20638.577174331665_35752.48899904209,9
20641.562493035875_35478.70358930391,8
20641.83387075817_35751.852241603156,9
20644.566688798164_35479.18461886156,8
20645.070890136252_35751.21164302701,9
20647.57088456045_35479.66564841921,8
20648.307909514333_35750.57104445087,9
20650.482429965137_35480.13929909596,4
20651.531811580906_35749.94238316048,9
20653.301325012228_35480.605570891785,11
20654.742596335975_35749.32565915584,9
20654.783290860472_35479.18167539253,6
20654.928327509875_35475.867612598195,6
20655.073364159278_35472.55354980385,6
20655.21840080868_35469.239487009516,4
20655.44666007245_35465.95394768962,8
20655.758141950588_35462.69693184414,8
20655.941892776278_35481.24089449083,11
20656.069623828724_35459.43991599868,8
20656.463926423436_35456.510260872,8
20656.941049734716_35453.90796646411,8
20657.418173046_35451.305672056216,8
20657.89529635728_35448.70337764833,8
20657.953381091043_35748.7089351512,9
20658.404133257292_35482.0452698931,2
