id,cluster
23198.75532112941_35944.88199082783,9
23199.23632376805_35855.27346066687,9
23204.457811031527_35944.8368042924,9
23204.70716158504_35854.698116516316,9
23209.425747717665_35853.2161608094,9
23209.63893465036_35944.870404384725,9
23210.8763662483_35102.738612133464,9
23213.759706554185_35101.64652614201,9
23214.42482865968_35853.63037373622,9
23214.93814920334_35944.94681991257,9
23216.712818626693_35066.6963556232,9
23219.191751405306_35099.587697892406,9
23219.70440441109_35855.94075529676,9
23219.909553879068_35066.898046867434,9
23220.35545469046_35945.06605087593,9
23222.994486613366_35059.10690865285,9
23223.97113428601_35056.50225346595,9
23224.613957565205_35097.52892740022,9
23224.73148409829_35065.28940353311,9
23225.759795009722_35062.69235746158,9
23225.762911178772_35944.600180232315,9
23227.12778319672_35258.11174109593,0
23228.68973802766_35054.87839190088,9
23229.23196833246_35252.875324851666,0
23230.026325033883_35095.470214665445,9
23231.16051866828_35943.549207981705,9
23231.29844383547_35248.4162379074,0
23231.426302300883_35554.52294526553,9
23232.45875712407_35055.86891226794,9
23233.39604220589_35053.24471898907,9
23233.5863385047_35244.088325180826,0
23234.77453990297_35944.83128676927,9
23234.984219383223_35554.781704310444,9
23235.278191575235_35059.47381456713,9
23235.414092848892_35093.42152626119,9
23236.095652340147_35239.89158667196,0
23236.181703570015_35941.53171832554,9
23236.604974882845_35948.446416595034,9
23238.090046820707_35051.60123473053,8
23238.80178369529_35235.82418537117,0
23239.629047262253_35555.15052704252,9
23240.531454067437_35950.48583009218,9
23240.777261010247_35091.38286218744,9
23241.704732570128_35231.88612127848,0
23241.886130038834_35052.57381199092,8
23242.796353654987_35049.943846180184,8
23243.865429377896_35503.37413597805,5
23244.492311725582_35948.82827081477,9
23244.696248661043_35227.951508965154,0
23244.78429186027_35056.16245077024,9
23245.00874189326_35230.79994638124,0
23246.1232103657_35089.373945485626,9
23246.39150365256_35945.049455091415,9
23247.51496270873_35048.272553338036,8
23247.820615445846_35223.99638058252,0
23247.929085741827_35503.494666264116,5
23248.713811664697_35232.56566067945,0
23250.98926570846_35220.01728435121,0
23251.372552089317_35049.191414621164,8
23251.45194091525_35087.39477615575,9
23252.250794657713_35046.60314018504,8
23252.31064706512_35235.08111411434,0
23252.549028199137_35503.581669838255,5
23254.15545503976_35215.9512377724,0
23254.369121796746_35052.700430029574,8
23255.79924809454_35238.34630668592,0
23256.765913080635_35085.46115213436,9
23257.00384950194_35044.93560672121,8
23257.319183439737_35211.7982408461,0
23257.725256749825_35503.635146700486,5
23259.52649229001_35241.85326025002,0
23260.52473785905_35207.763604015905,0
23260.92540573986_35045.824456079354,8
23261.70524218507_35043.28418031295,8
23262.065126861846_35083.57307342146,9
23262.825219691138_35503.596154380764,5
23263.492379651543_35245.60197480665,0
23263.772118297704_35203.847327281816,0
23264.015463371477_35049.26968825949,8
23266.354972707108_35041.64886096028,8
23266.5757177215_35417.1478750106,8
23267.342201822376_35081.74046437371,5
23267.351629361714_35200.17425605157,0
23267.637866480025_35249.62243630897,0
23267.848917023082_35503.46469287911,5
23270.3134337679_35042.505875966956,8
23271.009625102943_35040.01351475184,8
23271.263271051088_35196.744390325155,0
23271.96295277546_35253.91464475699,0
23272.597137962213_35079.963324991106,5
23272.72351393557_35417.172952974855,8
23272.91689737728_35503.21437730537,5
23273.58062536745_35045.85522533297,8
23274.968817181958_35009.01852549067,8
23275.187212704404_35193.1919118936,4
23275.669199372573_35038.37814168762,8
23277.659081052603_35014.40395149788,8
23277.82747496146_35078.23771606558,5
23277.84562582659_35417.16350126162,4
23278.029160753737_35502.84520765956,5
23279.12345432167_35189.51682075688,4
23280.400093223805_35035.14141239802,8
23280.483466181162_35019.28559608574,8
23282.582417458063_35185.710046575434,6
23283.029244128636_35417.14776873422,4
23283.033212820115_35076.563637597144,5
23283.143893501383_35502.90694218895,5
23283.322597402348_35023.26588481613,8
23285.20230665664_35030.30332688302,8
23285.564102113585_35181.77158934925,4
23286.176474716154_35026.34481768906,8
23288.206970018255_35074.88974238868,5
23288.261095620226_35503.399580893565,5
23288.274368841707_35417.125755392684,8
23288.346511537176_35177.81845890503,4
23288.36115663628_35028.089480181916,8
23290.92964572883_35173.85065524276,4
23292.418016898806_35028.020940437695,8
23293.34874655588_35073.21603044019,5
23293.43734338131_35503.85234866569,9
23293.51211555514_35417.14727044676,4
23293.719435853352_35169.83028894293,8
23295.678137783998_35049.2041597787,8
23295.936549056983_35054.48783080783,8
23296.436283364805_35072.82292341361,5
23296.715881910735_35165.75736000554,4
23296.84463132189_35070.23138572113,5
23297.352845950845_35009.26178915135,0
23298.391930227983_35060.68795659371,8
23298.672636784635_35504.26524550533,0
23298.694624316282_35065.93580823147,5
23298.742484268936_35417.21231389644,9
23299.016250897403_35027.473468836455,8
23299.164694278094_35075.97770596827,5
23299.205991878494_35045.32597885516,8
23299.670517515522_35162.39425051377,4
23302.58334266771_35159.74096046761,8
23302.665358051672_35064.60674516852,5
23303.331112482243_35008.68227474851,0
23303.588219024445_35081.39977318226,5
23303.947291556055_35504.47234200048,0
23303.997455892768_35417.2278007221,9
23304.323141442474_35041.936833280444,8
23304.35978875633_35027.03788925819,8
23304.86143101893_35156.69005027186,8
23306.240406669313_35087.035507888795,5
23306.50478256919_35153.24151992654,8
23307.06580448543_35158.86749989378,8
23307.12125721269_35092.88491008789,5
23308.189072112433_35098.114606116986,0
23308.44863047558_35026.714201702875,8
23308.756832528066_35066.24419653225,5
23309.029456565735_35039.53234117354,8
23309.03137775043_35008.033189130685,0
23309.26130769556_35504.47363815115,0
23309.277030426638_35417.193730923726,9
23309.37822819376_35149.54089772895,8
23309.443851368545_35102.72459597611,6
23310.632206965493_35107.42786455327,6
23311.134735885404_35145.31297602813,8
23311.587337263165_35140.94029125553,8
23311.754138903274_35112.22441184846,9
23312.627592135577_35117.089580160595,9
23312.78347489748_35025.317863673,8
23313.083064334274_35136.69805106209,8
23313.117902968694_35159.77386879229,9
23313.25256666239_35122.02336948969,9
23313.324937248282_35038.11250253443,8
23313.631522411808_35127.011930857014,8
23313.764459383823_35132.055264262584,8
23314.453641755408_35007.31453229788,8
23314.5456831473_35066.60852948393,5
23314.60826947488_35417.07437051496,9
23314.88285761907_35504.912003546495,0
23316.98784139986_35162.64943819737,9
23317.324383633353_34988.671174836694,8
23317.364322022015_35022.84887516856,8
23317.79017236617_35036.656122276705,8
23318.675619778922_35167.49420810901,5
23318.785807100565_34992.85086655667,8
23319.209188267305_35006.293315714865,8
23319.991173037488_35416.869719495786,9
23320.03190990937_35065.699744023535,5
23320.41998369098_35172.388073953174,9
23320.811941326585_35505.78743818654,9
23320.97299707451_34997.28244711625,8
23322.065727521105_35020.794262636984,9
23322.220933136028_35177.33103572984,9
23322.425161919396_35035.163200400355,8
23323.298017286128_35004.96953938166,8
23323.885953555196_35001.96591651545,8
23324.575440835484_35183.055539798646,0
23324.73086283818_35064.10959590086,5
23325.364239500937_35416.767910360824,9
23326.887691394746_35019.154026078264,9
23327.057692581835_35033.660411111865,8
23327.483506789355_35189.5615861596,0
23327.63778648979_35003.55539538678,8
23328.642541933732_35061.838085115895,5
23330.453061793232_35195.106684347884,0
23330.727468865225_35416.76894311007,9
23331.626010946227_35017.56960776897,9
23331.687764353486_35032.14775441121,8
23332.2284958783_35002.05088373025,8
23333.26769911399_35060.64760988837,8
23333.484105847125_35199.690834363515,0
23335.965237389635_35417.20555399257,9
23336.256318427273_35029.80532819171,8
23336.280686175553_35016.0410077091,9
23336.456101189164_35204.01639527283,0
23336.826586654337_35000.50680179277,8
23338.606334378965_35060.53817021829,8
23339.369047819357_35208.08336707585,8
23339.535969890043_35619.082496625924,10
23339.695794843792_35613.93416797763,10
23339.71023609045_35017.71928940541,9
23340.7633548032_35026.63313245334,9
23340.820276292266_35623.97351371387,10
23340.96242520494_35014.51620766948,9
23341.077545074168_35418.07774300831,9
23341.299751153514_35608.52852776898,10
23341.432058817903_34998.923149574366,8
23341.914660690923_35022.60445285791,9
23342.44682940829_35212.20672288052,8
23342.724122287877_35603.65368264816,10
23343.74797399648_35627.6256142378,10
23343.968908246872_35599.30963261514,10
23344.503420058645_35059.376036315836,8
23345.23583465602_35594.878484945875,10
23345.6712280344_35012.99520765011,9
23345.689445955963_35216.386462686845,8
