id,cluster
29922.572720604025_34469.412524909305,2
29925.826932378797_34467.71973705035,11
29930.023514468798_34426.3791366122,11
29930.139116036677_34465.44293925465,2
29930.32603449178_34505.582666176335,0
29932.155097763018_34428.97775909719,4
29932.851177540946_34504.32623351432,0
29934.23634940652_34463.11335863516,4
29934.298922658007_34431.61577591396,6
29936.454989153775_34434.293187062496,4
29937.23227798_34502.14385785114,0
29938.118632488317_34460.73099519186,4
29938.611055649544_34436.97059821103,4
29940.627648415717_34439.82530087907,4
29941.45831825125_34500.0315147291,8
29942.00091557012_34458.348631748566,4
29942.5047674523_34442.8572950666,4
29944.286654335054_34454.719409107165,8
29944.38188648888_34445.88928925413,8
29944.975848783135_34449.843327267656,8
29945.529298354697_34497.9892041482,0
29945.768331912943_34457.1286573847,8
29949.420881516788_34457.071072100276,9
29949.725805773047_34495.87505611661,0
29953.07343112064_34457.01348681585,9
29954.04784050631_34493.6890706343,0
29956.26571650292_34457.57164904126,9
29957.787369752445_34491.78497124174,0
29958.997737663634_34458.745558776514,9
29960.944393511447_34490.16275793892,0
29962.529689942745_34458.29877779291,9
29964.101417270453_34488.540544636104,0
29966.86157334025_34456.23130609045,9
29967.263364803453_34486.897230176095,0
29969.256218619976_34382.63624557835,4
29970.43023611045_34485.2328145589,0
29971.261227491388_34385.06514074322,4
29971.282064387946_34454.18309110378,9
29973.463243699654_34387.6974813055,4
29973.597107417445_34483.56839894171,0
29975.665259907917_34390.32982186778,9
29975.791163085825_34452.154132832904,9
29976.72459906649_34481.9094767455,0
29977.92142528488_34392.91839152652,9
29979.812711057573_34480.256047970295,0
29980.231739830546_34395.46319028172,9
29980.258422160834_34449.99501481293,9
29982.542054376212_34398.00798903691,9
29982.900823048665_34478.60261919508,0
29984.683841612965_34447.70573704383,9
29985.405336262058_34401.05873184863,9
29985.98729502526_34476.97027580631,0
29988.821585488084_34404.61541871686,9
29989.07212698737_34475.35901780399,0
29989.121568687384_34445.44602739771,9
29992.156958949476_34473.747759801656,0
29992.46100088537_34407.088807713866,9
29993.571603384084_34443.21588587456,9
29995.892396893105_34471.74030033623,0
29996.323582453908_34408.478898839654,9
29997.933033160716_34440.93883087581,9
30000.186164022452_34409.86898996544,9
30000.27844081825_34469.33663940769,0
30002.20585801728_34438.61486240146,9
30003.26274817794_34570.9198234809,10
30004.662024402198_34466.940896932356,0
30005.77475022918_34436.7058367585,9
30006.21622983857_34424.71331224765,9
30007.296327880085_34570.605628103214,10
30007.758613735154_34428.61387236504,9
30008.639709796407_34435.21175394692,9
30009.020996757314_34464.58283608163,0
30009.300997631733_34432.514432482436,9
30011.392093917144_34570.2760392143,10
30013.35781822479_34462.25453840232,0
30015.550046289114_34569.93105681415,10
30017.586343141833_34460.02564336159,0
30019.707998661084_34569.586074414,10
30021.706571508435_34457.896150959445,0
30024.17935765188_34569.26763382334,10
30025.84895258464_34455.79024344065,0
30026.740156933338_34426.7064080631,8
30028.964123261496_34568.97573504218,10
30030.013486370448_34453.70792080522,0
30031.19020334092_34424.47233042282,8
30031.57380748502_34614.59439121793,10
30033.780887655546_34568.63623604525,10
30034.31093217763_34451.553720057396,5
30035.56148962522_34422.21696805846,8
30035.878745587943_34614.27061626149,10
30038.62965083403_34568.24913683256,10
30038.74129000619_34449.32764119719,5
30039.85401578623_34419.94032097003,8
30040.58604581242_34613.92233614449,10
30042.5628848713_34447.40993577957,5
30043.480876927802_34567.85609646468,10
30044.149004393214_34417.68341894985,9
30045.695708158448_34613.549550866934,10
30045.77571677296_34445.80060380454,0
30048.334565936868_34567.45711494163,10
30048.44645544618_34415.44626199792,9
30048.988548674624_34444.19127182951,0
30049.96032465089_34613.25203133657,10
30052.14395115171_34442.590169690026,0
30052.785749708237_34413.244432582054,8
30053.146414120023_34567.08998344617,10
30053.379895289734_34613.02977755338,10
30055.241924204216_34440.99729738609,0
30056.79946592858_34612.807523770214,10
30057.166887179388_34411.077930702275,9
30057.91642147727_34566.7547019783,10
30058.339897256727_34439.40442508216,0
30060.232164655365_34612.590464386405,10
30061.484032703447_34408.82091048539,9
30062.140987062186_34437.43152282917,0
30062.66920127377_34566.411615252466,10
30063.677991470086_34612.378599401985,10
30065.32163748581_34331.74485246865,8
30065.73718628042_34406.4733719314,8
30066.645193620607_34435.07859062711,0
30067.123818284806_34612.16673441755,9
30067.39741841858_34334.35825457794,8
30067.404753509516_34566.060723268674,10
30069.41981999119_34337.235973119954,4
30069.980495212287_34404.21677368284,8
30070.57949150117_34611.956130848266,9
30071.15186316205_34432.6920592259,0
30071.388842203654_34340.378008094696,4
30072.22153066199_34565.669855069485,10
30074.045011119168_34611.7467886941,9
30074.07165951524_34341.44548555433,6
30074.213959499055_34402.051115739705,8
30075.66099568652_34430.27192862551,0
30076.76185932156_34342.757907292515,2
30077.119532731187_34565.239010654914,10
30077.499449414794_34340.42374106456,3
30077.510530737167_34611.53744653995,9
30078.46465463707_34399.82806641333,8
30078.745646523497_34346.38983082434,6
