id,cluster
33724.64970180972_31555.113224554585,8
33724.90886919829_31553.151449537545,8
33725.20035490063_31510.3413422658,8
33725.36838341565_31550.581475717303,8
33726.02824446179_31547.403303093866,8
33726.459053404324_31508.54496637586,9
33726.68810550794_31544.22513047043,8
33727.50881164335_31541.089499853606,8
33728.45162846949_31505.825326247068,9
33728.490362868004_31537.996411243403,8
33729.47191409265_31534.9033226332,8
33730.03958328528_31492.57552074882,8
33730.44420353466_31503.105686118273,9
33730.648777292336_31531.86311340333,8
33731.202664224715_31493.929462935437,8
33731.29779496173_31497.056024182813,9
33731.39292569874_31500.18258543019,9
33732.020952467035_31528.875783553798,8
33732.97937819778_31492.827875460658,8
33733.393127641735_31525.88845370427,8
33734.977026966735_31522.996027758043,8
33736.627936880934_31493.75126175847,8
33736.77265044201_31520.198505715125,9
33738.568273917306_31517.400983672203,9
33738.84123664623_31492.46760235528,8
33739.61927749369_31488.97689725108,8
33740.55592639636_31514.695842325953,9
33740.97831067347_31486.61613898401,8
33742.73560787918_31512.08308167637,9
33742.91833618556_31485.385327554064,8
33744.915289362005_31509.47032102679,9
33745.322442267025_31483.855814760664,8
33747.20985845322_31507.005646071008,9
33748.190628917844_31482.027600603808,8
33749.61931515283_31504.689056809017,9
33751.058815568664_31480.19938644695,8
33752.02877185244_31502.37246754703,9
33752.78829933725_31601.434674804797,0
33753.150866906406_31602.930665346445,0
33753.42352071815_31599.330578082136,0
33753.92700221948_31478.371172290095,8
33754.54162711906_31500.213239878936,5
33754.58791843541_31603.973385230518,0
33755.93472851065_31597.452959727627,0
33756.66594198986_31476.36797777876,8
33756.946391601035_31606.720230991137,0
33757.1578809527_31498.211373804737,10
33758.33075288352_31608.484489195114,0
33758.445936303135_31595.57534137312,0
33759.275634879785_31474.189802912937,8
33759.774134786334_31496.20950773054,10
33760.73229583953_31593.32913924058,10
33761.88532776971_31472.01162804712,8
33762.53646083636_31494.366081622287,10
33762.79380711983_31590.714353330004,10
33764.32513975515_31470.2272557899,8
33764.85531840013_31588.09956741943,0
33765.44485910279_31492.68109547998,10
33766.595070836105_31468.83668614128,8
33766.91847133843_31585.49003979947,0
33768.35325736921_31490.996109337673,10
33768.98326593474_31582.88577047013,9
33769.139926471646_31467.0556820052,8
33771.048060531044_31580.281501140787,9
33771.363412631545_31489.500079234036,10
33771.959706661764_31464.884243381654,8
33773.11449708502_31577.668012592352,9
33774.47532488979_31488.193005169065,10
33774.77948685188_31462.712804758114,8
33775.18257559667_31575.045304824824,9
33777.25065410831_31572.42259705729,10
33777.395751741424_31460.350347949094,8
33777.43837621994_31462.734888369843,9
33777.58723714804_31486.885931104094,10
33779.297396022244_31569.814488205353,10
33779.808501330364_31457.796872954605,8
33779.93637476594_31464.950494216853,9
33780.80418867082_31485.79148415243,10
33781.322801338465_31567.220978269,10
33781.78720176157_31621.5948274591,0
33782.22125091932_31455.243397960116,8
33782.434373311924_31467.166100063863,8
33783.34820665469_31564.62746833265,10
33784.12617945815_31484.909664314066,10
33784.33857002366_31452.623129295942,9
33784.67545470882_31621.764056362765,0
33785.37689515048_31562.027362319535,10
33786.16045864341_31449.936066962087,9
33787.408866825834_31559.42066022966,10
33787.44817024549_31484.027844475706,10
33787.563707656074_31621.933285266434,0
33787.98234726316_31447.24900462823,9
33789.44083850119_31556.813958139785,10
33789.546555403846_31444.464668960103,9
33790.5395776892_31482.309603684684,10
33790.84936097446_31622.106372161415,0
33790.85308306548_31441.583059957706,9
33791.45311546112_31554.191574816297,10
33792.15961072711_31438.70145095531,9
33793.149371374835_31435.712368305973,9
33793.40040178928_31479.754941941006,10
33793.4456977056_31551.553510259204,10
33793.82236500866_31432.615812009702,9
33794.27324166139_31535.401365757636,9
33794.49535864249_31429.51925571343,5
33794.532414663976_31622.283317047713,0
33794.87456141412_31426.401960447758,5
33794.959973323574_31423.263926212698,5
33795.01342559559_31537.28325646712,9
33795.045385233025_31420.12589197763,5
33795.38476768188_31477.61774917668,10
33795.43827995009_31548.91544570211,10
33795.60274840748_31532.474819124152,9
33795.960825600865_31479.347861824514,10
33796.49267536698_31475.898025391714,10
33796.63255336784_31418.287714431313,5
33796.93225515357_31529.548272490672,9
33797.36849458226_31546.226401758107,9
33797.82330021011_31538.12049125261,9
33798.03033895781_31526.66644680211,9
33798.21546835349_31622.46026193401,0
33798.22084912393_31481.08836333521,10
33798.896999820194_31523.829342058474,10
33799.11847756644_31528.526658841954,9
33799.23634160211_31543.4863784272,9
33799.72147772802_31417.749393573737,5
33799.76366068257_31520.99223731484,10
33800.44321485832_31518.127220456612,10
33800.61135411839_31482.903158508656,10
33800.63317482463_31538.95772603809,9
33800.935662347445_31515.234291483794,10
33801.10418862196_31540.74635509629,9
33801.42810983657_31512.34136251097,10
33801.76229523265_31622.677448600316,0
33801.92056658249_31509.002274190112,10
33802.16141564606_31529.409978178,9
33802.41303258522_31505.21702652122,10
33802.810402088195_31417.211072716163,5
33802.905498587934_31501.43177885232,10
33803.0746704483_31397.338521381127,9
33803.193196169115_31399.137774408515,9
33803.40978023929_31402.366242484397,9
33803.62636430946_31405.59471056028,9
33803.83802433184_31408.831105879748,9
33804.04476030642_31412.075428442797,9
33804.251496280995_31415.319751005853,9
33804.47628704956_31418.53633882263,9
33804.709786140054_31397.473721747472,9
33804.71913261211_31421.72519189313,9
33804.96197817466_31424.914044963632,9
33805.17289530145_31622.934877046628,0
33805.20435372568_31530.293297514043,9
33805.35461374619_31407.194686914707,9
33805.976462211474_31416.964495335043,9
33806.69843189303_31426.620584642886,3
33807.380729959266_31529.22699338987,9
33807.58116821672_31440.153015267344,7
33807.95955015211_31397.374084501273,8
33808.24730744892_31451.08607780479,11
33808.58349537025_31623.19230549294,0
33808.59452854947_31407.166171547677,9
33808.6905443468_31526.211065805473,10
33809.219658097856_31417.009661430384,9
33809.928493767235_31426.844810930885,3
33809.937533861_31465.8946627485,9
33810.00035873433_31523.195138221083,10
33810.86373738796_31441.061318366505,7
33811.15261035194_31520.119548139875,10
33811.20931416415_31397.274447255073,8
33811.444538141295_31451.568439852555,2
33811.72819848403_31623.85921816923,0
33811.83444335275_31407.137656180646,8
33812.14729919963_31516.98429556186,10
33812.46285398424_31417.054827525717,9
33813.14198804731_31513.84904298384,10
33813.158555641436_31427.069037218884,7
33813.403952588276_31465.625351396582,9
33813.97254930298_31510.631790690233,10
33814.1463065592_31441.96962146567,7
33814.60700464278_31624.9356150755,0
33814.63898296663_31507.332538681036,10
33814.64176883367_31452.050801900325,11
33814.86465200475_31428.457911531845,1
33815.04678285716_31431.01143386976,1
33815.24613876028_31433.97745803481,1
33815.305416630275_31504.033286671838,10
33815.462719714094_31437.355984026985,1
33815.679300667915_31440.73451001916,1
33815.82413420264_31500.717749636617,9
33815.86305665066_31444.068474666743,7
33816.01398766234_31447.357877969727,7
33816.164918674025_31450.647281272715,2
33816.19513568371_31497.38592757537,9
33816.23341010316_31432.40450842694,1
33816.56613716478_31494.054105514126,9
33816.80747625894_31490.729588012968,9
33816.870371315556_31465.356040044666,9
33816.919152966184_31487.412375071908,9
33817.03082967343_31484.09516213084,9
33817.05720259069_31478.67594643891,9
33817.07684621493_31481.183019253178,9
33817.24190576615_31475.897281823894,9
33817.2926618251_31442.270645023822,7
33817.485810801525_31626.012011981773,0
33817.630955741304_31472.847025408126,9
33818.02000571646_31469.796768992357,9
33818.40905569162_31466.74651257659,9
33818.42453374272_31432.63713520337,1
33819.89521506395_31626.71854876708,0
33820.30280318565_31441.96438904097,1
33820.40244272641_31465.103473503685,9
33820.463715967155_31632.634439375448,0
33820.73138282039_31628.802737857983,0
33822.253753047415_31626.80414628977,0
33823.31294454621_31441.658133058118,1
33824.00016682082_31464.867651773642,9
33825.03082664822_31626.638664670812,0
33826.09820116515_31442.6981748272,7
33827.59789091523_31464.6318300436,9
33827.80790024902_31626.473183051858,0
33828.658573042456_31445.084514348215,1
33829.43774628457_31466.397034241203,9
33829.519732928835_31470.163264366456,9
33829.60171957309_31473.92949449171,9
33830.895173633195_31626.59158079036,0
33831.37897026395_31447.5410352236,1
33831.41531371081_31475.77775812466,9
33834.259392829605_31450.067737453348,3
33834.29264680074_31626.99385788631,0
33834.96051534198_31475.70805526531,9
33837.09469234553_31452.016924311614,3
33837.69011996829_31627.396134982264,0
33838.50571697316_31475.63835240596,9
33839.884868811714_31453.388595798402,3
33841.054770841176_31627.67750889103,0
33841.89527104178_31462.3479587032,11
33842.09851930965_31475.481522390146,9
33842.675045277894_31454.76026728519,7
33842.76521602946_31459.587216433356,2
33843.63516101714_31456.826474163507,7
33844.38659941942_31627.837979612596,8
33845.62279322645_31455.838890106123,11
33845.738922351455_31475.23756521787,9
33847.71842799765_31627.99845033417,0
33848.72811265738_31456.6244642612,11
33849.37932539326_31474.993608045595,9
33851.03876868885_31628.153720283528,0
33851.833432088315_31457.41003841628,5
33852.9354743984_31461.690450971168,5
33853.01808859419_31474.743079582153,9
33853.23588600199_31459.098700652936,5
33854.347621493_31628.30378946068,0
33854.58013364769_31457.946229445137,9
33856.65521195423_31474.485979827543,9
33856.968217335496_31458.23303734776,9
33857.65647429715_31628.45385863783,9
33859.742829466544_31458.43083614779,9
33860.29233531428_31474.228880072937,9
33860.9653275743_31628.632882986905,9
33862.90397004084_31458.53962584521,9
33863.87201405392_31473.99184101414,9
33864.274181324436_31628.840862507903,9
33866.065110615134_31458.648415542637,10
33867.39424817316_31473.774862651153,9
33867.583035074575_31629.048842028904,9
33869.23446008647_31458.6900386683,10
33870.865628760366_31629.272761250108,9
33870.91648229239_31473.557884288166,9
33872.41201845484_31458.664495222205,10
33874.12196238182_31629.51262017151,9
33874.41573925691_31473.348930241413,9
33875.58957682321_31458.63895177611,10
33877.37829600327_31629.752479092913,9
33877.89201906673_31473.148000510893,9
33878.80488627925_31458.60661819751,10
33880.6018045261_31629.997785039697,9
33881.36829887654_31472.947070780374,9
33882.05794682295_31458.5674944864,10
33883.79248795031_31630.248538011852,9
33884.83801473321_31472.74354539145,9
33885.31100736665_31458.528370775297,10
33886.98317137452_31630.499290984015,9
33888.30116663672_31472.53742434412,5
33888.572275643004_31458.481304915473,10
33890.14431276793_31630.730465952303,9
33891.76431854023_31472.331303296793,5
33891.84175165202_31458.42629690694,8
33893.275912130535_31630.94206291673,9
33895.11122766104_31458.3712888984,8
33895.19300477683_31472.100367875373,9
33896.40751149314_31631.15365988115,9
33898.395476716665_31458.30435400403,8
33898.587225346535_31471.844618079864,9
33899.699959287_31631.377523873838,9
33901.69449881892_31458.225492223828,5
33901.98144591624_31471.588868284358,5
33903.153255512094_31631.61365489479,9
33904.99352092117_31458.146630443625,5
33905.34284178127_31471.321456024583,5
33906.606551737204_31631.849785915747,9
33908.304033656146_31458.04796345412,5
33908.671412941636_31471.042381300533,9
33910.11565338314_31632.090871142307,9
33911.62603702386_31457.92949125531,5
33911.999984102_31470.76330657649,9
33913.6805604499_31632.33691057448,0
33914.948040391566_31457.811019056502,9
33915.307219055656_31470.50014365158,9
33917.24546751667_31632.582950006647,0
33918.26183837812_31457.68996028078,9
33918.59311780261_31470.252892525816,9
33920.7447237353_31632.822773669028,0
33921.56743098352_31457.566314928146,9
33921.879016549545_31470.005641400046,9
33924.178329105795_31633.05638156162,0
33924.87302358892_31457.44266957551,9
33925.184612113866_31469.755648788705,9
33927.611934476285_31633.28998945421,8
33928.186824011485_31457.30976603057,9
33928.509904495564_31469.50291469178,9
33931.02912826942_31633.507894785096,9
33931.50883225119_31457.167604293318,9
33931.83519687726_31469.250180594863,9
33934.429910485196_31633.71009755427,9
33934.830840490904_31457.025442556067,9
33935.186751379195_31468.993352458256,9
33937.83069270098_31633.91230032345,9
33938.17582815061_31456.88315325513,9
33938.56456800137_31468.73243028196,9
33941.175671549725_31634.116129455677,9
33941.54379523033_31456.740736390508,9
33941.942384623544_31468.471508105667,9
33944.46484703144_31634.321584950954,0
33944.911762310054_31456.59831952588,5
33945.289017587915_31468.20681094934,5
33947.75402251315_31634.52704044623,0
33948.34045884137_31456.462145914382,5
33948.604466894474_31467.93833881298,5
33951.31893958775_31634.703323607508,0
33951.829884824285_31456.33221555601,5
33951.91991620103_31467.669866676613,5
33955.15959825524_31634.850434434782,0
33955.22223600673_31467.40673195746,5
33955.31931080721_31456.202285197633,5
33958.51142631157_31467.14893465552,5
33958.80545498575_31456.090798395922,5
33959.00025692273_31634.997545262053,0
33961.8006166164_31466.89113735358,5
33962.288317359926_31455.997755150875,5
33962.63575275999_31635.168171261983,0
33965.10950455257_31466.595064031353,5
33965.77117973409_31455.904711905827,5
33966.06608576702_31635.36231243457,0
33968.43809012009_31466.260714688837,5
33969.252401383594_31455.840631807205,5
33969.496418774055_31635.556453607154,0
33971.76667568761_31465.92636534632,5
33972.73198230842_31455.805514855012,9
33973.002253070954_31635.759387891358,0
33975.08705576853_31465.593377824483,4
33976.21156323324_31455.77039790282,8
33976.583588657726_31635.971115287182,0
33978.39923036284_31465.26175212332,4
33979.66816646592_31455.759098193612,8
33980.164924244484_31636.182842683003,0
33981.711404957154_31464.930126422158,4
33983.09055585629_31636.43638420295,0
33983.10179200643_31455.771615727394,6
33985.05968930076_31464.6101451609,5
33985.360483493125_31636.731739847022,0
33986.53541754695_31455.784133261175,4
33988.246724591256_31637.02235227767,0
33988.44408339367_31464.30180833954,4
33989.13030435318_31457.131877207972,4
33990.886452425126_31459.814847567784,4
33991.74927915068_31637.308221494888,0
33991.82847748658_31463.99347151818,4
33992.64260049706_31462.497817927597,4
33994.362696807606_31462.515903258183,4
33995.251833710114_31637.594090712108,0
33996.046741356746_31459.86910355954,4
33997.730785905886_31457.222303860897,4
33998.670683543205_31637.829095715562,0
33999.4000052366_31457.08932067546,4
34001.05439934889_31459.47015400322,4
34002.00582864996_31638.013236505256,9
34002.70879346118_31461.850987330978,4
34004.423967895855_31461.82698510844,4
34005.34097375672_31638.197377294942,9
34006.19992265292_31459.3981473356,5
34007.97587740999_31456.96930956276,4
34008.68432622368_31638.395949948776,9
34009.61719517141_31456.850958455474,4
34011.123875937206_31459.043094013745,5
34012.035886050835_31638.608954466752,9
34012.630556703_31461.235229572016,5
34014.371994552705_31461.15580577277,4
34015.38744587799_31638.82195898473,9
34016.34818948632_31458.804822616017,5
34018.32438441994_31456.45383945926,4
34018.74064804059_31639.038902724835,9
34020.289851707654_31456.875917216832,4
34022.09549253865_31639.25978568707,9
34022.24459134947_31460.071055888733,4
34024.32002741288_31460.50173618064,4
34025.45033703669_31639.480668649307,9
34026.5161598979_31458.16795809255,4
34028.71229238292_31455.83418000446,4
34028.75922540871_31639.717600784727,9
34030.654782934194_31456.23598579177,4
34032.02215765469_31639.970582093323,9
34032.34363155172_31459.37337545447,4
34034.87040983392_31460.823491571784,4
34035.28508990067_31640.223563401923,9
34038.235117780816_31460.5863341437,4
34038.56443615055_31640.486982492548,9
34041.26592147423_31455.486110393347,4
34041.59982572771_31460.349176715623,4
34041.860196404305_31640.760839365204,9
34042.61009362552_31458.64910213217,4
34044.926784635296_31460.103016415116,4
34045.15595665806_31641.034696237853,9
34048.21599450357_31459.84785324218,4
34048.6330842714_31641.295699210918,9
34051.471828277805_31378.897332769884,2
34051.505204371846_31459.59269006925,4
34051.790614919984_31381.676166289304,2
34052.14693214566_31384.670092476757,2
34052.29157924432_31641.543848284397,9
34052.389162754625_31454.57743548238,4
34052.54077995483_31387.879111332255,6
34052.89626045553_31457.835884149314,4
34052.934627764_31391.088130187753,2
34053.36458477297_31394.29037149683,7
34053.6784618997_31452.636943341546,8
34053.830650981734_31397.48583525949,3
34054.296717190504_31400.68129902215,11
34054.766066014614_31403.878063851495,6
34055.23869745406_31407.076129747522,2
34055.71132889351_31410.27419564355,11
34055.95007421723_31641.79199735787,9
34056.183960675415_31413.456471831447,6
34056.65659279979_31416.62295831122,4
34056.764157890764_31452.014407726812,6
34057.12922492416_31419.789444790997,11
34057.65437859076_31422.989860872945,11
34058.2320537996_31426.224206557068,3
34058.80972900843_31429.45855224119,4
34059.37263469268_31432.583748346377,4
34059.608569190146_31642.040146431347,9
34059.849853881824_31451.391872112075,8
34059.92077085232_31435.59979487262,6
34060.46890701196_31438.615841398863,6
34060.85455396441_31441.559092340816,4
34061.07771170968_31444.429547698477,6
34061.30086945495_31447.300003056134,4
34061.40257510247_31449.907917519835,4
34062.62615800248_31450.93359142897,4
34063.58367495138_31459.916489034546,4
34064.209054123094_31458.264615347896,4
34064.79490627854_31462.870961190707,11
34065.09307025274_31450.63956567749,4
34065.663094245196_31466.16031203761,6
34066.18823885135_31469.784541575253,6
34066.671043793685_31457.915340130763,6
34066.71338345749_31473.408771112892,6
34066.720404440646_31452.304590231863,4
34067.2812086035_31476.747175063843,6
34067.508160566205_31455.928665092084,4
34067.89171428936_31479.79975342811,11
34067.935027620595_31450.233564240894,8
34068.502219975235_31482.85233179237,4
34069.173453337135_31485.962483984807,4
34069.905414375076_31489.130210005424,4
34070.63737541302_31492.29793602604,4
34071.15203010607_31449.71558711918,6
34071.35292317073_31495.46970459381,0
34072.05205764822_31498.645515708737,0
34072.75119212572_31501.821326823665,0
34073.47002166894_31505.035198595804,8
34074.20854627788_31508.287131025158,8
34074.36903259152_31449.197609997467,6
34074.94707088683_31511.53906345451,8
34075.71185619712_31514.813227007788,8
34076.40588127937_31450.68531991678,11
34076.502902208755_31518.10962168499,4
34077.26257616959_31454.178716877126,6
34077.293948220395_31521.406016362194,8
34077.57126565762_31448.6125949161,4
34078.158855841015_31524.60724413289,4
34079.097625070615_31527.71330499708,8
34080.03639430021_31530.81936586127,8
34080.53036934871_31533.730484216354,8
34080.57955021611_31536.446660062335,8
34080.75872930434_31447.96054187508,4
34080.87328196819_31539.448391465587,8
34081.41156460495_31542.73567842612,8
34081.94984724171_31546.022965386648,8
34082.1717365655_31531.6971891963,8
34082.50125884489_31549.38520134912,9
34083.06579941448_31552.82238631353,9
34083.63033998407_31556.259571277944,9
34083.94619295106_31447.308488834064,6
34085.50365186647_31530.34677500217,8
34086.0938359016_31448.627781624233,6
34087.12216886303_31446.6328104748,4
34087.201658155944_31451.918420245594,4
34087.239186059465_31575.779915248528,9
34087.728231001754_31578.978004436995,9
34088.217275944044_31582.17609362546,9
34088.83556716745_31528.99636080804,4
34090.286657040255_31445.93350679729,4
34091.955744717205_31528.01431755377,8
34092.316815790735_31604.566923069026,9
34092.956857415586_31608.00109549231,9
34093.05808179372_31731.842372647803,5
34093.35979420008_31729.569706870963,5
34093.45114521747_31445.23420311978,8
34093.59689904043_31611.435267915593,9
34093.76344589229_31726.972342322886,5
34094.195910753304_31614.723581263526,9
34094.26903687038_31724.05027900358,5
34094.7538925542_31617.86603553611,9
34094.77462784846_31721.12821568427,5
34094.86418451574_31527.40064523936,8
34095.27037687481_31717.932449008014,5
34095.311874355095_31621.008489808693,9
34095.71532717355_31446.387021255003,4
34095.75628394942_31714.46297897481,5
34095.90432168434_31624.256046437557,9
34096.24219102403_31710.993508941607,5
34096.53123454194_31627.608705422695,9
34096.61563443616_31444.533583759723,4
34096.65095469168_31707.581066930856,5
34096.982574952366_31704.225652942565,5
34097.05286960776_31641.688472360656,9
34097.0792029085_31449.39196120296,4
34097.15814739953_31630.96136440783,9
34097.220363295986_31638.068160976552,9
34097.31419521305_31700.870238954267,5
34097.38785698421_31634.447849592452,9
34097.772624314275_31526.786972924947,4
34098.33210424324_31687.601687884176,5
34098.538986301995_31684.139058638764,5
34098.745868360755_31680.676429393356,5
34098.87514735626_31698.42666569514,5
34099.49902891499_31690.210391150777,5
34099.780124696306_31443.831648717125,4
34100.850120506286_31526.21974139024,6
34101.66543138199_31696.894933165182,5
34102.03976031723_31691.96516843856,5
34102.94461495646_31443.12971367452,8
34104.09667309178_31525.69895063524,6
34104.45571540773_31695.363200635224,5
34104.58049171947_31693.71994572635,5
34105.32451539853_31444.116720060196,4
34106.13641172284_31696.258050380795,5
34106.70752032733_31699.579482401903,5
34106.91982602254_31446.79266787415,4
34107.278628931825_31702.90091442301,5
34107.34322567727_31525.178159880234,4
34107.93344385455_31706.279795218386,5
34108.6719650955_31709.71612478803,4
34108.95833118286_31447.80196900356,4
34109.41048633645_31713.15245435767,5
34110.37386834642_31716.624389002944,4
34110.67676635535_31524.808238027857,6
34111.44003087953_31447.14462344844,4
34111.562111125415_31720.131928723848,4
34112.7503539044_31723.63946844475,5
34114.097295126005_31524.5891850781,6
34114.33698889922_31446.398768903575,4
34117.517823896655_31524.370132128344,4
34117.649205241934_31445.56440536897,4
34120.96142158465_31444.730041834362,4
34120.98430921226_31524.233738443265,6
34124.21619180792_31443.92889981755,4
34124.49675107283_31524.180004022863,2
34127.41351591174_31443.16097931853,8
34128.00919293339_31524.12626960246,3
34130.61084001557_31442.39305881951,8
34131.44285082734_31524.1361458759,2
34133.83935068465_31441.61312090414,8
34134.79772475468_31524.20963284318,2
34137.09904791898_31440.82116557242,8
34138.15259868202_31524.28311981046,4
34140.35874515332_31440.029210240697,8
34141.50747265392_31524.40530254251,9
34143.465791356364_31439.618449441827,8
34144.6134921044_31645.860699560355,9
34144.86234667039_31524.576181039323,4
34146.420186528136_31439.588883175813,8
34147.98149368116_31646.13678542033,9
34148.21722068684_31524.747059536137,9
34149.37458169991_31439.559316909792,8
34150.97100883269_31439.47296749105,8
34151.34949525791_31646.412871280307,9
34151.58194368333_31524.923147657766,9
34154.66825876449_31646.65501128555,9
34154.956515659855_31525.104445404206,9
34157.93778420088_31646.863205436057,9
34158.331087636376_31525.28574315065,4
34161.20730963727_31647.071399586563,9
34161.70237777745_31525.480220087375,4
34164.40666542023_31647.45799145729,9
34165.0703860831_31525.687876214382,9
34167.535851549765_31648.02298104823,9
34168.438394388744_31525.895532341394,9
34170.665037679304_31648.587970639175,9
34171.42876565552_31526.08973401038,9
34173.794223808836_31649.152960230116,9
34177.2168493504_31649.61793378617,9
34180.93291430401_31649.98289130733,9
34184.6489792576_31650.34784882849,9
