id,cluster
26311.845215221394_37678.04017967227,10
26314.92235209356_37678.75521120678,10
26317.59463849085_37679.43182698939,10
26321.49726040006_37680.43747638598,10
26325.375274857597_37681.20597876543,10
26328.65042494218_37681.590400158675,10
26332.51367577605_37682.1058790722,10
26334.73771398422_37616.660901448544,10
26334.873444462773_37680.2637663997,10
26334.984626217632_37620.726293516804,10
26335.040425905383_37624.69129078731,10
26335.096225593137_37628.65628805782,10
26335.27916137308_37632.872341513284,10
26335.58923324522_37637.33945115371,10
26335.729731002357_37676.06406214117,10
26335.852804733364_37682.58484557894,10
26335.90914833524_37641.89549096336,10
26336.238906643135_37646.54046094224,10
26336.58601754194_37671.86435788263,10
26336.590805720713_37650.33700192294,10
26336.804902214273_37653.30186078476,10
26336.80742311542_37663.04450466251,10
26336.812321237034_37659.28938684767,10
26336.85905535415_37656.283466525885,10
26336.945248246295_37667.524505389745,10
26340.00149752534_37683.486243712425,10
26344.21909065689_37684.52170671242,10
26347.78952378146_37684.6691052999,10
26351.977582270687_37684.253318641946,10
26355.410215599935_37683.863659358685,10
26358.835470170947_37683.75483532614,10
26363.008771143694_37683.900719169615,10
26367.17468902064_37683.67884748933,10
26371.333223801776_37683.089220285285,10
26374.810157011198_37683.22134097017,10
26377.605488648896_37684.07520954398,10
26380.287630727456_37685.11956512712,10
26382.977155657612_37686.179697217485,10
26385.787252998518_37687.06511880576,10
26388.634260235525_37687.82179486689,10
26391.518177368638_37688.44972540087,10
26394.564501137273_37689.32784631464,10
26397.600986770485_37690.85659248526,10
26400.27329484637_37692.77106626576,10
26402.780737527683_37694.609376490516,10
26405.315247600807_37696.386230426666,10
26407.788241030874_37698.173328066536,10
26410.239088715454_37699.942757718665,10
26412.55706264328_37702.159853388206,10
26414.58960219724_37705.10233759998,10
26416.49910896457_37708.219548674155,10
26418.27573850928_37711.23075067501,10
26419.84074966479_37714.251090000835,10
26421.260581494913_37717.39882756262,10
26422.623818233347_37720.633900933055,10
26424.01904385943_37723.86088074011,10
26425.24940379573_37727.07299885554,10
26426.34196564091_37730.29382707436,10
26427.542797573093_37733.51402994669,10
26428.797764800882_37736.76951487121,10
26429.934619940177_37740.132467481075,10
26431.108386048498_37743.60396772473,10
26432.44209690923_37747.12793354718,10
26433.77826844091_37750.63804484689,10
26435.156271209118_37754.062886910164,10
26436.5638018068_37757.40846260793,10
26437.7547922792_37760.751340490795,10
26438.918715555545_37764.133926746574,10
26440.262269024963_37767.55106753838,10
26441.61812591522_37770.95627402792,10
26442.94691536086_37774.35768528054,10
26444.216648338035_37777.73966656401,10
26445.52575182906_37781.0304592639,10
26446.82993368713_37784.261959131574,10
26447.96678942672_37787.56561908616,10
26878.61833017084_37591.248435052825,8
26879.030109322324_37594.18963977206,8
26881.121727566995_37587.938391897886,8
26882.357065021453_37596.76200605559,8
26883.62512496315_37584.62834874293,8
26885.684020720575_37599.334372339115,8
26887.512292932544_37581.95161209905,8
26889.27427641052_37601.37858447136,8
26892.78323147518_37579.908181966224,8
26893.12783209128_37602.89464245233,9
26897.40956179177_37604.55058985656,9
26897.968044995832_37577.79802307142,8
26902.119465511994_37606.34642668406,8
26903.0667334945_37575.62113541462,8
26906.77769514856_37608.27504444,8
26908.020239054706_37573.524182784895,8
26911.384250701478_37610.33644312438,8
26912.828561676444_37571.50716518222,8
26915.973582674807_37612.506695440854,8
26917.440845494155_37569.54467181342,8
26920.54569106855_37614.78580138943,4
26921.85709050783_37567.63670267849,8
26925.164555077725_37617.001362056704,4
26926.273335521506_37565.72873354354,8
26929.83017470233_37619.15337744268,4
26930.841329228573_37563.73684067174,8
26934.552392941125_37621.20224357372,4
26935.561071629025_37561.66102406308,8
26939.331209794116_37623.14796044983,8
26940.19468819954_37559.46706885471,8
