id,cluster
23350.786264173985_31367.31874975865,10
23353.78617382544_31365.23134542047,10
23357.490477783642_31362.719928149207,10
23361.899176048602_31359.78449794486,10
23366.43827041104_31356.968814554493,10
23371.107760870957_31354.272877978106,10
23375.806778339793_31351.732794979667,10
23380.53532281754_31349.348565559172,10
23382.552321373238_31325.042566314834,10
23385.384427528767_31347.374442218585,10
23385.65721236525_31329.00271740481,10
23387.64761468365_31333.02829908644,10
23388.52352832843_31337.11931135972,10
23389.930845099567_31340.63071720416,10
23390.354092473463_31345.810424957897,10
23391.869564997065_31343.562516619757,10
23394.949794736975_31343.83178576661,10
23398.563037504726_31341.61174023768,10
23401.567783457907_31339.5649103017,10
23407.743206964857_31352.261975472305,10
23408.815817243656_31348.767088621044,10
23408.884819199855_31355.801194996966,10
23409.337275093312_31341.767235107545,10
23409.888427522455_31345.27220176978,10
23412.24065394865_31359.38474719503,10
23415.916264993535_31359.492723156385,10
23419.9116523345_31356.125122881036,10
23423.56593847623_31355.95936746133,10
23425.657382102825_31370.226110421252,10
23426.293815796627_31373.253358960777,10
23426.87912341872_31358.995456897268,10
23428.133989594677_31367.55550267322,10
23430.043290676076_31376.6372482918,10
23430.61059708653_31364.88489492519,10
23433.775543560612_31379.954088724477,10
23437.49057445023_31383.203880258807,10
23439.970994873336_31483.65417211309,8
23442.509047979256_31480.735178860978,8
23445.87912887312_31479.26401634074,8
23446.48788446764_31253.41586909965,10
23447.70758677814_31256.497148344537,10
23449.88578755418_31259.96340303566,10
23450.110744822763_31478.211586197074,8
23452.063988330225_31263.42965772678,10
23452.44419421146_31396.095897890536,10
23453.977315339886_31267.72154748228,10
23454.37186804025_31476.13005769811,8
23455.62576858316_31272.839072302155,10
23456.205974124336_31399.347411950414,10
23457.141368472898_31277.975112484528,10
23457.4228111192_31490.342451921017,8
23457.449950353744_31495.06633227972,8
23458.524115009088_31283.1296680294,10
23458.652673155317_31473.96152510529,9
23458.91141505656_31499.66375570165,8
23459.025242361964_31388.049244842314,10
23459.786308960443_31288.275023198446,10
23459.945612776635_31402.608924732056,10
23460.00354670535_31485.98920817593,9
23460.611821842755_31503.280715932462,8
23462.551170712326_31505.91721297215,8
23462.67631285793_31391.323091488917,10
23462.953160167974_31471.70598841862,9
23463.663110260855_31405.888335855972,10
23463.757831643925_31482.13305798123,9
23465.236296284027_31472.984910777435,9
23465.502081503488_31477.79829218173,9
23466.349526428156_31394.594841837657,10
23467.280708938306_31469.304159540046,9
23467.358466576992_31409.185645322163,10
23470.044883072645_31397.864495888534,10
23471.01938050557_31412.50684616692,10
23471.63531946632_31466.756038469568,9
23473.755001987334_31401.128144798702,10
23474.06114640322_31467.70435561787,9
23474.558189748997_31472.14911098494,9
23474.64585204659_31415.851938390257,9
23477.006160102424_31473.077555101718,9
23477.479883172226_31404.385788568157,10
23478.176375821073_31419.29038488419,9
23481.31055642916_31407.650746208186,10
23481.40505746349_31470.4896879682,9
23481.610951829014_31422.822185648718,9
23482.59322273233_31461.88430969497,9
23483.267411673456_31466.758606165946,9
23483.87494752466_31457.554109693814,9
23484.69371626129_31426.648226261797,9
23485.247021758143_31410.92301771879,10
23485.725229122967_31467.977306960343,9
23487.112586050447_31453.768006162485,9
23487.424669117892_31430.768506723423,9
23489.284925563545_31449.5118681351,9
23489.32898073818_31435.227137553167,9
23489.39506943809_31414.13684439788,10
23489.96667508085_31465.54041207816,9
23490.061301465954_31248.806845050727,9
23490.079201422646_31252.8058490768,9
