id,cluster
22009.52859017245_45415.791620763295,8
22011.717581480323_45481.057521148694,6
22012.546726252895_45415.788965837666,8
22014.943082495338_45481.05758701072,6
22015.56486233334_45415.78631091204,4
22018.168583510356_45481.05765287275,4
22018.667937524413_45415.7184849178,8
22021.509816746908_45481.063004055824,6
22021.855951826117_45415.58548785496,8
22024.96678220499_45481.07364055996,11
22025.043966127825_45415.45249079212,8
22028.156544116137_45415.29221796953,4
22028.423747663073_45481.084277064096,11
22031.19368579105_45415.1046693872,4
22031.84955608181_45481.11227303739,11
22034.230827465966_45414.917120804865,4
22035.24420746119_45481.157628479865,6
22037.412283482896_45414.71416548016,4
22038.638858840575_45481.202983922325,2
22040.738053841837_45414.4958034131,4
22041.977753840052_45481.25132051905,11
22044.063824200774_45414.277441346036,4
22045.260892459628_45481.30263827002,11
22047.551950200785_45414.1201646149,4
22048.544031079196_45481.353956021,11
22051.202431841866_45414.02397321969,9
22051.83209022787_45481.39071560575,11
22052.334603647665_45554.51390637045,8
22054.852913482948_45413.927781824495,9
22055.12506990564_45481.41291702427,6
22055.67854251991_45554.50136822496,8
22058.296777846266_45414.38226934992,9
22058.41804958341_45481.43511844279,4
22059.127783305274_45554.35549185358,8
22061.53402493182_45415.38743579596,9
22061.71266978486_45481.436177985976,4
22062.68232600376_45554.07627725631,8
22064.771272017377_45416.392602242006,9
22065.008930509994_45481.416095653825,4
22066.23686870225_45553.79706265904,8
22068.305191235126_45481.39601332168,4
22069.791411400736_45553.51784806177,8
22071.01201049649_45450.87842069469,2
22071.03981256299_45447.56453417126,11
22071.044886242256_45454.20646928413,2
22071.07776198802_45457.53451787357,11
22071.128292441757_45444.264809713844,11
22071.171317950735_45460.981066847824,11
22071.216772320524_45440.96508525644,6
22071.3255541304_45464.54611620688,2
22071.38232976221_45437.697913128635,4
22071.479790310063_45468.11116556593,4
22071.49321215238_45481.15866811289,4
22071.624964766816_45434.463293330446,11
22071.802940784422_45471.733302549575,4
22071.86759977142_45431.228673532256,6
22072.094602861063_45531.89949281087,4
22072.295005553482_45475.412527157816,4
22072.37987192248_45528.49020624274,4
22072.665140983892_45525.080919674605,4
22072.78707032254_45479.09175176606,4
22072.924171991654_45521.70745718087,4
22073.103657120675_45482.54356101917,4
22073.15696494576_45518.36981876152,4
22073.24476594788_45485.76795491717,6
22073.385874775082_45488.99234881517,6
22073.38975789987_45515.032180342176,4
22073.46876646899_45492.235922024534,11
22073.4751085765_45553.60832010006,8
22073.493441029597_45495.49867454527,11
22073.514316552624_45511.74539358494,4
22073.51811559021_45498.76142706601,6
22073.53064090402_45508.50945848981,4
22073.542790150816_45502.02417958675,4
22073.546965255424_45505.27352339468,8
22074.784552665613_45481.03361681922,4
22077.28796022953_45554.06847877392,8
22078.287452582692_45481.238122317314,11
22080.972072047378_45554.25734511088,8
22081.741152872397_45481.328683435975,4
22084.52744403004_45554.17491911091,8
22085.145653534724_45481.3053001752,11
22088.082816012706_45554.09249311096,8
22088.550154197055_45481.28191691443,3
22091.905458285975_45481.27204078359,3
22095.211565801488_45481.275671782685,7
22098.517673317_45481.27930278178,7
22101.820503784973_45481.35823589718,7
22105.1200572054_45481.512471128895,7
22106.573036292306_45552.55072733492,9
22108.419610625828_45481.66670636061,7
22109.82996957386_45553.48974759488,9
22111.706052432393_45482.11686709163,7
