id,cluster
20752.923320966336_46849.97906436051,0
20754.30985379762_46847.22720811647,0
20756.08068906319_46842.81276695736,5
20757.229222830032_46838.20793843163,5
20757.755455098137_46833.412722539295,4
20758.180837362175_46828.49129694391,11
20758.505369622137_46823.443661645484,9
20758.837272036344_46818.08484656372,9
20759.17654460479_46812.41485169862,9
20759.715088742676_46808.08728655988,9
20759.767399633638_46831.12922231509,4
20760.039552576953_46800.637757171375,9
20760.06918192321_46804.609064959586,9
20760.182087091798_46796.2095868479,9
20760.49678546774_46791.32455398918,9
20760.813944046695_46786.45734728765,10
20761.13356282866_46781.60796674332,9
20761.450725012608_46776.86562195607,10
20761.76543059854_46772.2303129259,10
20762.07767919529_46767.688166652704,10
20762.38747080286_46763.23918313647,10
20762.69726141323_46758.75453238813,10
20763.007051026405_46754.23421440767,10
20763.265056436532_46831.35743775903,4
20763.321756838144_46749.60289251982,10
20763.641378848446_46744.86056672457,8
20763.97083837741_46740.07656878185,10
20764.31013542503_46735.250898691644,10
20764.619916392618_46730.42343329707,10
20764.900181280176_46725.59417259812,8
20765.14846972835_46720.739350772375,8
20765.36478173714_46715.85896781985,8
20765.560417864595_46711.195540394045,8
20765.735378110727_46706.74906849499,8
20766.63393555382_46829.62381119658,4
20769.470101932147_46547.59361764518,10
20769.819243613194_46542.91155875591,10
20769.8740369855_46825.928342627754,6
20770.237242947675_46537.78479753144,10
20770.724099935585_46532.21333397176,10
20771.245391389028_46526.60599640768,10
20771.801117307987_46520.96278483918,10
20772.35684243195_46515.28985568488,10
20772.912566760904_46509.58720894475,10
20773.114138417182_46822.23287405894,11
20773.448613070683_46503.860910433235,10
20773.458345478062_46845.85308068428,10
20773.964981361278_46498.11096015031,10
20774.46413079156_46492.31950839651,10
20777.050702612927_46456.88385160346,10
20777.45391863509_46450.869117484064,10
20777.852215510185_46444.86036646468,10
20778.225140372902_46844.12340653001,10
20778.245593238214_46438.85759854529,10
20778.614375253448_46432.89065850002,10
20778.958561555894_46426.95954632886,10
20779.27077344757_46421.07619660049,10
20779.551010928473_46415.24060931489,10
20779.791894624315_46409.44093964518,10
20779.993424535092_46403.67718759135,10
20780.185117214827_46397.965024782265,10
20780.36697266352_46392.30445121792,10
20780.514394399783_46386.70552517934,10
20780.627382423605_46381.16824666654,10
20780.740371695607_46375.674569903174,10
20780.85336221578_46370.22449488927,10
20780.96635308288_46364.78631593119,10
20781.079344296904_46359.36003302895,10
20781.19479536681_46353.93968628566,10
20781.3127062926_46348.52527570133,10
20781.428156936676_46343.08908929232,10
20781.541147299045_46337.63112705864,10
20781.654136997036_46332.149392516876,10
20781.767126030645_46326.64388566704,10
20781.902251670763_46321.120415809506,10
20782.059513917375_46315.57898294426,10
20782.22169524864_46310.02761891824,10
20782.388795664552_46304.46632373145,10
20782.55343602661_46298.891179532744,5
20782.715616334815_46293.302186322115,5
20782.887634752777_46287.69134268514,5
20782.94520338166_46842.40591155416,10
20783.069491280497_46282.058648621794,5
20783.24150810128_46276.390353949006,5
20783.40368521512_46270.68645866676,5
20783.56340305609_46264.996456421984,5
20783.720661624193_46259.32034721468,10
20783.868081549947_46253.646286883304,10
20784.005662833348_46247.974275427856,10
20784.1457033595_46242.286403743565,10
20784.2882031284_46236.58267183042,10
20784.425782822822_46230.85321733725,10
20784.55844244277_46225.09804026404,10
20784.6984812248_46219.3467883711,9
20784.84589916892_46213.599461658414,9
20785.00561547122_46207.85008544653,9
20785.1776301317_46202.09865973545,9
20785.35948324093_46196.33727355722,10
20785.551174798904_46190.56592691184,10
20785.76254319586_46184.77267063844,10
20785.99358843179_46178.95750473701,10
20786.261527819068_46173.10447203313,10
20786.566361357687_46167.2135725268,8
20786.898250731574_46161.298737237325,8
20787.25719594073_46155.3599661647,8
20787.548107977753_46150.055698160315,8
20787.618534504338_46840.70059575675,10
20787.77098684264_46145.38593322414,8
20787.993865707533_46140.71616828798,8
20788.33397540212_46135.552302008546,8
20788.791315926417_46129.89433438584,8
20789.295386616563_46124.10134737728,8
20789.84618747257_46118.173340982845,8
20790.387148363163_46112.19982874488,8
20790.91826928835_46106.18081066337,8
20791.469068505234_46100.18942098454,8
20792.039546013802_46094.22565970839,8
20792.279568208724_46838.97553880939,10
20792.634620447847_46088.26373750952,8
20793.254291807356_46082.303654387935,8
20793.78544195642_46077.30909313097,8
20794.228070895042_46073.28005373862,8
20794.67069983366_46069.25101434627,8
20794.861801151717_46883.64016602919,10
20795.283036146273_46064.840502264786,8
20795.89398483625_46879.62984268919,10
20796.065079832886_46060.04851749416,8
20796.829891264762_46054.741466042964,8
20796.928304494817_46837.230740712075,10
20797.30078360525_46874.864850132944,10
20797.577470441902_46048.9193479112,10
20798.35948486639_46043.083156873035,10
20798.995367966367_46870.21700271681,10
20799.175934538216_46037.232892928456,10
20800.00714217745_46031.37462084316,10
20800.853107784085_46025.50834061714,10
20800.9777379196_46865.686300440786,10
20801.51063066917_46835.474461175865,10
20801.72366976409_46019.622103583155,10
20802.61882811747_46013.71590974122,10
20803.289709348504_46861.31212189059,10
20803.560720074773_46007.79160540612,10
20804.549345635998_46001.84919057786,10
20805.931282253085_46857.09446706622,10
20806.026546731784_46833.70670020075,10
20808.981169944804_46853.14779584372,10
20810.584278418966_46831.926792838494,10
20812.43937242366_46849.47210822308,10
20815.183825730714_46830.1347390891,10
20816.15093278015_46846.14960871855,10
20819.87438525428_46828.43328963719,10
20820.11585101427_46843.18029733013,10
20824.252955922046_46840.48936323462,10
20824.655956989664_46826.82244448279,10
20828.562247503472_46838.07680643202,10
20829.48918815865_46825.37180761393,10
20832.979771675233_46835.84987475736,10
20834.374078761248_46824.08137903062,10
20834.939217080824_46803.24939273737,10
20837.505528437323_46833.80856821065,10
20837.5544947515_46825.774102288546,10
20839.030436129415_46830.4499773877,10
20839.251108151235_46805.66445204255,10
20842.0411317975_46831.995108176045,10
20843.831091199303_46807.53683980994,10
20846.586581755768_46830.40949465358,10
20847.22836614352_46823.58028304596,10
20848.315659871107_46827.60455294355,10
20848.553729206298_46809.13684779999,10
20851.200911696906_46829.085054574316,10
20853.34277212013_46810.451071748015,10
20855.88412162092_46828.02178793826,10
20857.05231152178_46822.33680004094,10
20857.652365838832_46818.46269428763,10
20857.83458822921_46825.77236976047,10
20858.1982199408_46811.479511654004,10
20859.63475118037_46814.15005250055,10
20863.014307563753_46812.26839809102,10
20867.46418666455_46823.15670481598,10
20867.700184642126_46818.458433593616,10
20867.79103498898_46812.81773105904,10
20869.352994015106_46814.88107622658,10
21002.445626463923_46665.77998261579,10
21002.49741725555_46670.74779961837,10
21003.030900290534_46660.79438872669,10
21003.186272665414_46675.697839734436,10
21003.940855802677_46655.79888104349,10
21004.77045422209_46680.32927805136,10
21005.17549300035_46650.79345956619,10
21006.870101249257_46645.95961012168,10
21007.24996192557_46684.642114569135,10
21009.024680549388_46641.297332709946,10
21010.63296816432_46687.62694337468,10
21011.725322766186_46636.85960393892,10
